osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,bridge,width
150836218,1,Chapel Street,residential,20 mph,False,True,41.549,"LINESTRING (-2.2773951 54.0676866, -2.2773189 54.067678, -2.2767602 54.0676912)",,,,
592118932,,Duke Street,secondary,20 mph,False,False,84.654,"LINESTRING (-2.2773951 54.0676866, -2.2772813 54.0679664, -2.2772463 54.068061, -2.2772021 54.0681995, -2.2771646 54.068361, -2.2771565 54.0684338)",B6480,,,
592118932,,Duke Street,secondary,20 mph,False,True,36.146,"LINESTRING (-2.2773951 54.0676866, -2.2774203 54.067616, -2.2774309 54.0675888, -2.2775039 54.0674008, -2.2775161 54.0673694)",B6480,,,
2817465,,,unclassified,,False,False,2.82,"LINESTRING (-2.2771558 54.0689582, -2.2771126 54.068959)",,,,
"[32937978, 23951508]","['1', '2']",Mains View,secondary,"['20 mph', '30 mph']",False,False,134.32500000000002,"LINESTRING (-2.2771558 54.0689582, -2.2771672 54.0690011, -2.277199 54.0690465, -2.2773363 54.069209, -2.2773733 54.0692752, -2.277396 54.0693336, -2.2774083 54.0693654, -2.2774914 54.0695846, -2.2775022 54.0696132, -2.2775173 54.069653, -2.2775557 54.0697395, -2.277627 54.0698903, -2.2776722 54.0699813, -2.2777255 54.0700553, -2.2777734 54.0701041)",B6480,,,
"[32937993, 777779558, 777779559]",,Market Place,secondary,20 mph,False,True,58.312000000000005,"LINESTRING (-2.2771558 54.0689582, -2.2771539 54.068909, -2.2771549 54.0687916, -2.2771559 54.0686851, -2.2771562 54.0686643, -2.2771558 54.068636, -2.2771577 54.0684913, -2.2771565 54.0684338)",B6480,,,
33096236,2,Duke Street,secondary,30 mph,False,True,16.224,"LINESTRING (-2.2792181 54.0656215, -2.2793737 54.0655077)",B6480,,,
33096236,2,Duke Street,secondary,30 mph,False,False,75.004,"LINESTRING (-2.2792181 54.0656215, -2.279023 54.0658698, -2.2788162 54.0662521)",B6480,,,
56067419,,High Hill Grove Street,residential,30 mph,False,False,70.57300000000001,"LINESTRING (-2.2792181 54.0656215, -2.2790062 54.0655708, -2.2787773 54.0655243, -2.2782003 54.0654074)",,,,
2817472,,Bond Lane,unclassified,30 mph,False,True,141.083,"LINESTRING (-2.2800697 54.0687583, -2.2800772 54.0687336, -2.2800939 54.068679, -2.2801374 54.0686057, -2.2802929 54.0684514, -2.2806363 54.0681854, -2.2808327 54.0680494, -2.2809845 54.0677539, -2.2810064 54.0677227, -2.2810375 54.0676479)",,,,
4704578,,Kirkgate,unclassified,30 mph,False,False,100.684,"LINESTRING (-2.2800697 54.0687583, -2.2798528 54.0687294, -2.279382 54.0686922, -2.2792326 54.0686762, -2.2785486 54.0686084)",,,,
"[2817451, 1069885931, 1069885932, 1069885933]","['2', '3']",Kirkgate,tertiary,30 mph,False,True,170.831,"LINESTRING (-2.2800697 54.0687583, -2.2804913 54.0688064, -2.2807017 54.0688237, -2.2809112 54.0688464, -2.2812333 54.0688864, -2.2813648 54.0689087, -2.2814963 54.0689339, -2.281683 54.0689756, -2.2818418 54.0690161, -2.2819305 54.0690402, -2.2820312 54.0690838, -2.2821241 54.0691319, -2.2821813 54.0691743, -2.2822027 54.0691902, -2.2823008 54.0693084, -2.2823302 54.0693572)",,,,
2817451,2,Kirkgate,tertiary,30 mph,False,False,101.638,"LINESTRING (-2.2819037 54.0705435, -2.2822419 54.0698514, -2.2823205 54.0696629)",,,,
2817451,2,Kirkgate,tertiary,30 mph,False,True,64.97800000000001,"LINESTRING (-2.2819037 54.0705435, -2.2818825 54.0706015, -2.2818351 54.0707676, -2.2817772 54.0711226)",,,,
56067409,2,Marshfield Road,residential,30 mph,False,True,215.993,"LINESTRING (-2.2819037 54.0705435, -2.2816613 54.0705161, -2.2811405 54.0704956, -2.2795049 54.0704208, -2.2794185 54.0704206, -2.2793317 54.0704357, -2.279253 54.0704588, -2.2790756 54.070531, -2.2787597 54.0706935)",,,,
56067368,,Barrel Sykes,residential,30 mph,False,True,78.61599999999999,"LINESTRING (-2.2784565 54.0735491, -2.278172 54.0735452, -2.2779886 54.0735359, -2.2779582 54.0733674, -2.277974 54.0732056, -2.2780319 54.073111)",,,,
513250795,2,Langcliffe Road,secondary,30 mph,False,True,56.909,"LINESTRING (-2.2784565 54.0735491, -2.278588 54.0734315, -2.2788178 54.073287, -2.2790659 54.0731926)",B6479,,,
129321025,,High Hill Lane,unclassified,60 mph,False,True,18.658,"LINESTRING (-2.2716822 54.0655098, -2.2713996 54.0654843)",,,,
721328411,,,unclassified,60 mph,False,True,20.569,"LINESTRING (-2.2716822 54.0655098, -2.2716489 54.0654816, -2.2714974 54.0654189, -2.2714485 54.0653884)",,,,
1189859015,,Albert Hill,unclassified,30 mph,False,False,30.806,"LINESTRING (-2.2716822 54.0655098, -2.2717797 54.0655256, -2.2719544 54.0655788, -2.2721128 54.0656212)",,,,
41592413,,Victoria Street,unclassified,30 mph,False,False,41.887,"LINESTRING (-2.274183 54.066136, -2.2743664 54.0663025, -2.2745226 54.0664556)",,,,
41592414,,Albert Hill,unclassified,30 mph,False,True,70.30600000000001,"LINESTRING (-2.274183 54.066136, -2.2741159 54.0660988, -2.2740229 54.0660782, -2.2738512 54.0660686, -2.2737366 54.0660496, -2.2736247 54.0660085, -2.2734284 54.0659457, -2.2732048 54.0658969)",,,,
721328408,,Commercial Street,residential,30 mph,False,False,78.4,"LINESTRING (-2.274183 54.066136, -2.27419 54.0660931, -2.2741924 54.0660655, -2.2740939 54.0658182, -2.2740677 54.0657712, -2.2739597 54.0655951, -2.2738332 54.065472)",,,,
56067422,1,,residential,30 mph,False,False,67.37100000000001,"LINESTRING (-2.2754682 54.067588, -2.2754097 54.067547, -2.2752943 54.0674309, -2.2750634 54.0672359, -2.2750212 54.0671997, -2.2748899 54.0670868)",,,,
"[129321019, 923501230]",,School Hill,unclassified,30 mph,False,True,142.704,"LINESTRING (-2.2754682 54.067588, -2.2754399 54.0674803, -2.2753943 54.0673784, -2.2753287 54.0672465, -2.2750594 54.0668795, -2.2749484 54.0667652, -2.2748222 54.0666435, -2.2745747 54.0664784, -2.2745226 54.0664556)",,,,
220459197,,Victoria Street,unclassified,30 mph,False,False,26.095,"LINESTRING (-2.2754682 54.067588, -2.2754924 54.067622, -2.2755277 54.0676571, -2.2755818 54.0676816, -2.2756242 54.0676917, -2.2756886 54.0676959, -2.275777 54.0676911)",,,,
32197806,,Castle Hill,residential,30 mph,False,False,43.281,"LINESTRING (-2.2751473 54.0690941, -2.2751482 54.0690695, -2.275156 54.0690385, -2.2752568 54.068898, -2.2753889 54.0687346)",,,,
"[41592411, 100662197]",,Constitution Hill,unclassified,"['20 mph', '30 mph']",False,True,83.10799999999999,"LINESTRING (-2.2751473 54.0690941, -2.2753378 54.0691485, -2.275475 54.0691668, -2.275631 54.0691744, -2.2757615 54.069164, -2.2761029 54.0690884, -2.2761127 54.0690855, -2.2762703 54.0690389, -2.2763481 54.0690267)",,,,
56067422,1,,residential,30 mph,False,True,67.37100000000001,"LINESTRING (-2.2748899 54.0670868, -2.2750212 54.0671997, -2.2750634 54.0672359, -2.2752943 54.0674309, -2.2754097 54.067547, -2.2754682 54.067588)",,,,
59284770,,Castlebergh Lane,residential,30 mph,False,False,71.45,"LINESTRING (-2.2748899 54.0670868, -2.2748599 54.0670331, -2.2747656 54.0668354, -2.2746841 54.0667131, -2.2746125 54.0666197, -2.2745234 54.0665299, -2.2745084 54.0664877)",,,,
59284770,,Castlebergh Lane,residential,30 mph,False,True,187.911,"LINESTRING (-2.2748899 54.0670868, -2.2748686 54.0671217, -2.274857 54.0671861, -2.2748507 54.0672844, -2.2748619 54.0673606, -2.2748845 54.0674172, -2.2749681 54.067568, -2.2750041 54.0676565, -2.2750235 54.0677437, -2.2750871 54.0679935, -2.2751545 54.0681905, -2.2751915 54.0682829, -2.2752462 54.0684681, -2.2752991 54.0686139, -2.2753673 54.0686927, -2.2753889 54.0687346)",,,,
59284770,,Castlebergh Lane,residential,30 mph,False,True,3.688,"LINESTRING (-2.2745226 54.0664556, -2.2745084 54.0664877)",,,,
41592413,,Victoria Street,unclassified,30 mph,False,True,41.887,"LINESTRING (-2.2745226 54.0664556, -2.2743664 54.0663025, -2.274183 54.066136)",,,,
"[129321019, 923501230]",,School Hill,unclassified,30 mph,False,False,142.70399999999998,"LINESTRING (-2.2745226 54.0664556, -2.2745747 54.0664784, -2.2748222 54.0666435, -2.2749484 54.0667652, -2.2750594 54.0668795, -2.2753287 54.0672465, -2.2753943 54.0673784, -2.2754399 54.0674803, -2.2754682 54.067588)",,,,
32197807,,Commercial Street,residential,30 mph,False,True,71.37799999999999,"LINESTRING (-2.2737253 54.0648406, -2.2737135 54.065227, -2.2737185 54.0652575, -2.2737349 54.0652896, -2.2738332 54.065472)",,,,
56067421,,The Green,residential,30 mph,False,True,63.897,"LINESTRING (-2.2737253 54.0648406, -2.2735679 54.0648435, -2.2735329 54.0648466, -2.2734956 54.0648587, -2.2734592 54.0648817, -2.2734424 54.0649125, -2.2734092 54.0652847)",,,,
32937989,,,residential,20 mph,False,False,42.155,"LINESTRING (-2.2769981 54.0669238, -2.2775308 54.0668729, -2.2775441 54.0669348)",,,,
32937989,,,residential,20 mph,False,True,33.86,"LINESTRING (-2.2775634 54.0672391, -2.2775441 54.0669348)",,,,
100650559,,Duke Street,secondary,20 mph,False,False,14.814,"LINESTRING (-2.2775634 54.0672391, -2.2775161 54.0673694)",B6480,,,
100650559,,Duke Street,secondary,20 mph,False,True,40.304,"LINESTRING (-2.2775634 54.0672391, -2.2776392 54.0671089, -2.2776922 54.0670196, -2.2777525 54.0669511, -2.2778009 54.0669061)",B6480,,,
32937992,,Cheapside,unclassified,20 mph,False,False,48.338,"LINESTRING (-2.2771565 54.0684338, -2.2768761 54.0684091, -2.2766153 54.0683866, -2.2764245 54.0683671)",,,,
"[32937993, 777779558, 777779559]",,Market Place,secondary,20 mph,False,False,58.312000000000005,"LINESTRING (-2.2771565 54.0684338, -2.2771577 54.0684913, -2.2771558 54.068636, -2.2771562 54.0686643, -2.2771559 54.0686851, -2.2771549 54.0687916, -2.2771539 54.068909, -2.2771558 54.0689582)",B6480,,,
592118932,,Duke Street,secondary,20 mph,False,True,84.654,"LINESTRING (-2.2771565 54.0684338, -2.2771646 54.068361, -2.2772021 54.0681995, -2.2772463 54.068061, -2.2772813 54.0679664, -2.2773951 54.0676866)",B6480,,,
"[32937994, 1218279187]",,Kirkgate,"['residential', 'unclassified']","['20 mph', '30 mph']",False,"[False, True]",75.603,"LINESTRING (-2.2774148 54.068471, -2.2781165 54.0685647, -2.2781759 54.0685701, -2.2782908 54.0685764, -2.2784198 54.068592, -2.2785486 54.0686084)",,destination,,
33096233,,Langcliffe Road,secondary,,True,False,39.48,"LINESTRING (-2.2809226 54.0723632, -2.2810412 54.0722686, -2.2811134 54.072203, -2.2811981 54.0721142, -2.2812095 54.0721021, -2.2812459 54.0720637)",B6479,,,
513250795,2,Langcliffe Road,secondary,30 mph,False,False,153.363,"LINESTRING (-2.2809226 54.0723632, -2.2808665 54.072386, -2.2805788 54.0725218, -2.2803298 54.0726673, -2.2800942 54.0728128, -2.279942 54.0728949, -2.279757 54.0729657, -2.2793492 54.073103, -2.2790659 54.0731926)",B6479,,,
"[32937978, 1244888846, 1244888847]",2,Mains View,secondary,30 mph,False,False,92.105,"LINESTRING (-2.2777734 54.0701041, -2.2778593 54.0701803, -2.2779486 54.0702406, -2.2782388 54.0704048, -2.2784862 54.0705455, -2.2785945 54.0706066, -2.2787597 54.0706935)",B6480,,yes,
"[32937978, 23951508]","['1', '2']",Mains View,secondary,"['20 mph', '30 mph']",False,True,134.325,"LINESTRING (-2.2777734 54.0701041, -2.2777255 54.0700553, -2.2776722 54.0699813, -2.277627 54.0698903, -2.2775557 54.0697395, -2.2775173 54.069653, -2.2775022 54.0696132, -2.2774914 54.0695846, -2.2774083 54.0693654, -2.277396 54.0693336, -2.2773733 54.0692752, -2.2773363 54.069209, -2.277199 54.0690465, -2.2771672 54.0690011, -2.2771558 54.0689582)",B6480,,,
56067373,,Townhead,residential,30 mph,False,True,78.148,"LINESTRING (-2.2777734 54.0701041, -2.2776843 54.0701233, -2.2766458 54.070341)",,,,
4704578,,Kirkgate,unclassified,30 mph,False,True,100.68400000000001,"LINESTRING (-2.2785486 54.0686084, -2.2792326 54.0686762, -2.279382 54.0686922, -2.2798528 54.0687294, -2.2800697 54.0687583)",,,,
4704579,,,unclassified,,False,True,133.137,"LINESTRING (-2.2785486 54.0686084, -2.2786811 54.0682779, -2.2786909 54.0682435, -2.2787225 54.0681324, -2.2787307 54.0681039, -2.2787414 54.068066, -2.2787334 54.0679876, -2.2786801 54.0678812, -2.2786394 54.0677698, -2.2786341 54.0677125, -2.2786533 54.0676304, -2.2786641 54.0675322, -2.2786582 54.0674896, -2.2786437 54.0674592, -2.2786248 54.067435)",,,,
"[32937994, 1218279187]",,Kirkgate,"['unclassified', 'residential']","['20 mph', '30 mph']",False,"[False, True]",75.60300000000001,"LINESTRING (-2.2785486 54.0686084, -2.2784198 54.068592, -2.2782908 54.0685764, -2.2781759 54.0685701, -2.2781165 54.0685647, -2.2774148 54.068471)",,destination,,
188945130,,,residential,30 mph,False,True,46.911,"LINESTRING (-2.2714485 54.0653884, -2.2715148 54.0653845, -2.2716144 54.0654112, -2.2718424 54.0654782, -2.2720098 54.0655309, -2.2721 54.0655531)",,,,
721328410,,,residential,30 mph,False,False,11.131,"LINESTRING (-2.2714485 54.0653884, -2.2714323 54.0654202, -2.2714085 54.0654669, -2.2713996 54.0654843)",,,,
721328411,,,unclassified,60 mph,False,False,20.569,"LINESTRING (-2.2714485 54.0653884, -2.2714974 54.0654189, -2.2716489 54.0654816, -2.2716822 54.0655098)",,,,
56067327,,Townhead Avenue,residential,30 mph,False,False,138.398,"LINESTRING (-2.275528 54.0713791, -2.2753362 54.0710738, -2.2752897 54.0709874, -2.2752285 54.0708546, -2.2751914 54.070711, -2.2752012 54.0706081, -2.2752309 54.0705019, -2.2753152 54.0704011, -2.2754307 54.0702942, -2.2755286 54.0702169)",,,,
56067327,,Townhead Avenue,residential,30 mph,False,True,138.398,"LINESTRING (-2.2755286 54.0702169, -2.2754307 54.0702942, -2.2753152 54.0704011, -2.2752309 54.0705019, -2.2752012 54.0706081, -2.2751914 54.070711, -2.2752285 54.0708546, -2.2752897 54.0709874, -2.2753362 54.0710738, -2.275528 54.0713791)",,,,
56067373,,Townhead,residential,30 mph,False,False,60.53699999999999,"LINESTRING (-2.2755286 54.0702169, -2.2758056 54.0703116, -2.2759429 54.0703405, -2.2760629 54.070372, -2.2762546 54.0704609, -2.2763118 54.0704982)",,,,
56067373,,Townhead,residential,30 mph,False,True,90.54399999999998,"LINESTRING (-2.2755286 54.0702169, -2.27541 54.0701239, -2.2753211 54.0700255, -2.2751853 54.0698807, -2.2751039 54.0696689, -2.2750833 54.0696402, -2.2750624 54.0696292, -2.2750077 54.069601, -2.2749737 54.0695623, -2.2749631 54.0694921)",,,,
56067332,,Townhead Court,residential,30 mph,False,False,57.852999999999994,"LINESTRING (-2.2761731 54.0700161, -2.276452 54.0700035, -2.2766458 54.070341)",,,,
56067332,,Townhead Court,residential,30 mph,False,True,57.852999999999994,"LINESTRING (-2.2766458 54.070341, -2.276452 54.0700035, -2.2761731 54.0700161)",,,,
56067373,,Townhead,residential,30 mph,False,False,78.148,"LINESTRING (-2.2766458 54.070341, -2.2776843 54.0701233, -2.2777734 54.0701041)",,,,
56067373,,Townhead,residential,30 mph,False,True,28.054000000000002,"LINESTRING (-2.2766458 54.070341, -2.276541 54.0703799, -2.276427 54.0704306, -2.2763118 54.0704982)",,,,
2817467,1,Chapel Street,residential,30 mph,False,True,59.299,"LINESTRING (-2.2767602 54.0676912, -2.2766406 54.0676916, -2.2764337 54.067685, -2.2762375 54.0676788, -2.2758522 54.0676857)",,,,
150836218,1,Chapel Street,residential,20 mph,False,False,41.549,"LINESTRING (-2.2767602 54.0676912, -2.2773189 54.067678, -2.2773951 54.0676866)",,,,
715162045,,Cragdale,residential,30 mph,False,True,96.127,"LINESTRING (-2.2767602 54.0676912, -2.276755 54.0675646, -2.2767506 54.0674743, -2.2767508 54.0673429, -2.2767658 54.0672763, -2.2760057 54.0672255)",,,,
56067358,2,Northfields Avenue,residential,30 mph,False,False,74.766,"LINESTRING (-2.2799301 54.0721162, -2.2800285 54.0720641, -2.2800442 54.072048, -2.2800518 54.0720296, -2.2800476 54.0720156, -2.2798639 54.071891, -2.2798359 54.0718769, -2.2798025 54.0718707, -2.2797626 54.0718748, -2.2797283 54.0718878, -2.2797068 54.0719026, -2.2796857 54.0719291, -2.2796946 54.0719585, -2.2799301 54.0721162)",,,,
56067358,2,Northfields Avenue,residential,30 mph,False,True,74.766,"LINESTRING (-2.2799301 54.0721162, -2.2796946 54.0719585, -2.2796857 54.0719291, -2.2797068 54.0719026, -2.2797283 54.0718878, -2.2797626 54.0718748, -2.2798025 54.0718707, -2.2798359 54.0718769, -2.2798639 54.071891, -2.2800476 54.0720156, -2.2800518 54.0720296, -2.2800442 54.072048, -2.2800285 54.0720641, -2.2799301 54.0721162)",,,,
951637681,2,Northfields Avenue,residential,30 mph,False,False,105.814,"LINESTRING (-2.2799301 54.0721162, -2.2792609 54.0724527, -2.2785228 54.0724874)",,,,
56067363,2,Northfields Crescent,residential,30 mph,False,False,87.04400000000001,"LINESTRING (-2.2785228 54.0724874, -2.2785724 54.0726433, -2.2786768 54.072815, -2.2788584 54.0730145, -2.2790659 54.0731926)",,,,
56067363,2,Northfields Crescent,residential,30 mph,False,True,65.357,"LINESTRING (-2.2785228 54.0724874, -2.2785139 54.0723952, -2.278509 54.072295, -2.2785491 54.0721806, -2.2786725 54.0719118)",,,,
951637681,2,Northfields Avenue,residential,30 mph,False,True,105.814,"LINESTRING (-2.2785228 54.0724874, -2.2792609 54.0724527, -2.2799301 54.0721162)",,,,
56067363,2,Northfields Crescent,residential,30 mph,False,False,65.357,"LINESTRING (-2.2786725 54.0719118, -2.2785491 54.0721806, -2.278509 54.072295, -2.2785139 54.0723952, -2.2785228 54.0724874)",,,,
56067363,2,Northfields Crescent,residential,30 mph,False,True,87.04400000000001,"LINESTRING (-2.2790659 54.0731926, -2.2788584 54.0730145, -2.2786768 54.072815, -2.2785724 54.0726433, -2.2785228 54.0724874)",,,,
513250795,2,Langcliffe Road,secondary,30 mph,False,False,56.909,"LINESTRING (-2.2790659 54.0731926, -2.2788178 54.073287, -2.278588 54.0734315, -2.2784565 54.0735491)",B6479,,,
513250795,2,Langcliffe Road,secondary,30 mph,False,True,153.363,"LINESTRING (-2.2790659 54.0731926, -2.2793492 54.073103, -2.279757 54.0729657, -2.279942 54.0728949, -2.2800942 54.0728128, -2.2803298 54.0726673, -2.2805788 54.0725218, -2.2808665 54.072386, -2.2809226 54.0723632)",B6479,,,
56067373,,Townhead,residential,30 mph,False,False,28.054000000000002,"LINESTRING (-2.2763118 54.0704982, -2.276427 54.0704306, -2.276541 54.0703799, -2.2766458 54.070341)",,,,
56067373,,Townhead,residential,30 mph,False,True,60.537,"LINESTRING (-2.2763118 54.0704982, -2.2762546 54.0704609, -2.2760629 54.070372, -2.2759429 54.0703405, -2.2758056 54.0703116, -2.2755286 54.0702169)",,,,
59289407,,Town Head Way,residential,30 mph,False,True,177.85500000000002,"LINESTRING (-2.2763118 54.0704982, -2.2762741 54.0705286, -2.2762108 54.0705976, -2.2761163 54.0707352, -2.2760916 54.0708196, -2.2760968 54.0709063, -2.2761341 54.0709943, -2.2761924 54.0710677, -2.2765104 54.0714539, -2.2766414 54.0716227, -2.2767018 54.0716896, -2.276731 54.0718166, -2.2767144 54.0718948, -2.2767194 54.0719606, -2.2766942 54.0719846)",,,,
56067400,,Mains View,residential,30 mph,False,False,63.367000000000004,"LINESTRING (-2.2805934 54.0710738, -2.2799811 54.0710814, -2.2797331 54.0712335)",,,,
37016831,1,Penyghent View,secondary,30 mph,False,False,135.154,"LINESTRING (-2.2797331 54.0712335, -2.2800451 54.0714038, -2.280388 54.0715909, -2.2804429 54.0716201, -2.2807137 54.0717644, -2.280853 54.0718421, -2.2810125 54.0719322, -2.2810922 54.0719773, -2.2812459 54.0720637)",B6480,,,
"[513252401, 37016831]","['1', '2']","['Mains View', 'Penyghent View']",secondary,30 mph,False,True,79.68599999999999,"LINESTRING (-2.2797331 54.0712335, -2.2794131 54.0710547, -2.2788448 54.0707417)",B6480,,,
56067400,,Mains View,residential,30 mph,False,True,63.367000000000004,"LINESTRING (-2.2797331 54.0712335, -2.2799811 54.0710814, -2.2805934 54.0710738)",,,,
285800795,,Tilman Close,residential,,False,False,63.148,"LINESTRING (-2.2808138 54.0710683, -2.2817772 54.0711226)",,,,
285800795,,Tilman Close,residential,,False,True,63.148,"LINESTRING (-2.2817772 54.0711226, -2.2808138 54.0710683)",,,,
2817451,2,Kirkgate,tertiary,30 mph,False,False,64.97800000000001,"LINESTRING (-2.2817772 54.0711226, -2.2818351 54.0707676, -2.2818825 54.0706015, -2.2819037 54.0705435)",,,,
"[1069885936, 2817451, 1069885935]",2,Kirkgate,tertiary,30 mph,False,True,121.72800000000001,"LINESTRING (-2.2817772 54.0711226, -2.2817524 54.0713267, -2.2817313 54.0716479, -2.2817174 54.0717687, -2.2816997 54.0718388, -2.2816801 54.0718917, -2.2816435 54.0719652, -2.281606 54.0720734, -2.2815972 54.072094, -2.2815881 54.0721124, -2.2815724 54.0721281, -2.281542 54.0721512, -2.2814854 54.0721856)",,,,
2817451,2,Kirkgate,tertiary,30 mph,False,False,34.425,"LINESTRING (-2.2823205 54.0696629, -2.2823453 54.0695991, -2.2823578 54.0695123, -2.2823602 54.0694503, -2.2823481 54.0693935, -2.2823302 54.0693572)",,,,
2817451,2,Kirkgate,tertiary,30 mph,False,True,101.638,"LINESTRING (-2.2823205 54.0696629, -2.2822419 54.0698514, -2.2819037 54.0705435)",,,,
56067406,,Mill Close,residential,,False,False,60.404999999999994,"LINESTRING (-2.2823205 54.0696629, -2.2823846 54.0696743, -2.2832064 54.0698206)",,,,
56067406,,Mill Close,residential,,False,True,34.317,"LINESTRING (-2.2832064 54.0698206, -2.2830809 54.0701203)",,,,
56067406,,Mill Close,residential,,False,False,282.965,"LINESTRING (-2.2832064 54.0698206, -2.28325 54.0697652, -2.2832868 54.0697279, -2.2833248 54.0696944, -2.2833909 54.0696719, -2.2834459 54.0696678, -2.2835331 54.0696762, -2.2842731 54.0697778, -2.2844223 54.0697971, -2.2844783 54.0698063, -2.2845276 54.0698298, -2.2845593 54.069853, -2.284584 54.0698804, -2.2845981 54.0699093, -2.2846203 54.0699761, -2.2846233 54.0700687, -2.2846154 54.0701536, -2.2846048 54.0702203, -2.2845531 54.0703252, -2.2844987 54.070419, -2.2843486 54.0706182, -2.2841615 54.0707633, -2.2840245 54.0708547, -2.2838848 54.0709319, -2.2837984 54.0709739, -2.2837094 54.0710113, -2.2836183 54.0710426, -2.2835083 54.0710692, -2.2834441 54.0710769, -2.2833611 54.0710813, -2.2833031 54.0710806, -2.2832478 54.0710673)",,,,
56067406,,Mill Close,residential,,False,True,60.404999999999994,"LINESTRING (-2.2832064 54.0698206, -2.2823846 54.0696743, -2.2823205 54.0696629)",,,,
56067407,,Mill Close,residential,,False,True,26.381,"LINESTRING (-2.2832478 54.0710673, -2.2830832 54.071284)",,,,
56067406,,Mill Close,residential,,False,False,117.007,"LINESTRING (-2.2832478 54.0710673, -2.2831888 54.071047, -2.2831217 54.071011, -2.2830493 54.0709565, -2.2829663 54.0708964, -2.2829064 54.0708414, -2.282876 54.0707863, -2.2828562 54.0707276, -2.2828472 54.0706603, -2.2828449 54.0706008, -2.2828454 54.0705558, -2.2828688 54.0704912, -2.2830809 54.0701203)",,,,
