osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,width
188904682,2,,residential,,,False,False,88.453,"LINESTRING (-6.5236073 55.0682989, -6.5233187 55.0686385, -6.5231356 55.0688645, -6.5231257 55.0689396, -6.523183 55.069027)",Ishlan Court,
188904682,2,,residential,,,False,True,110.447,"LINESTRING (-6.5236073 55.0682989, -6.5237085 55.0682105, -6.5237883 55.0681457, -6.5239743 55.0680988, -6.5241915 55.0680373, -6.5244679 55.0679371, -6.524602 55.0678081, -6.5246565 55.0676917, -6.5246753 55.0675971)",Ishlan Court,
188904681,,,residential,,,False,False,154.11499999999998,"LINESTRING (-6.5209542 55.0681859, -6.5213887 55.0680415, -6.5218178 55.0679248, -6.5220914 55.0678572, -6.5222631 55.0678418, -6.5225635 55.0678511, -6.5227298 55.0679156, -6.522998 55.0680261, -6.5231042 55.0680776)",Westoncroft Avenue,
188904681,,,residential,,,False,False,40.431,"LINESTRING (-6.5231042 55.0680776, -6.5232072 55.0681275, -6.5234057 55.0682197, -6.5236073 55.0682989)",Westoncroft Avenue,
188904681,,,residential,,,False,True,154.115,"LINESTRING (-6.5231042 55.0680776, -6.522998 55.0680261, -6.5227298 55.0679156, -6.5225635 55.0678511, -6.5222631 55.0678418, -6.5220914 55.0678572, -6.5218178 55.0679248, -6.5213887 55.0680415, -6.5209542 55.0681859)",Westoncroft Avenue,
188904685,,,residential,,,False,True,77.523,"LINESTRING (-6.5231042 55.0680776, -6.523234 55.067977, -6.5234003 55.0678541, -6.5235988 55.0676606, -6.5236323 55.0675482, -6.5237544 55.0675132)",Westoncroft Park,
188904682,2,,residential,,,False,False,110.44700000000002,"LINESTRING (-6.5246753 55.0675971, -6.5246565 55.0676917, -6.524602 55.0678081, -6.5244679 55.0679371, -6.5241915 55.0680373, -6.5239743 55.0680988, -6.5237883 55.0681457, -6.5237085 55.0682105, -6.5236073 55.0682989)",Ishlan Court,
406158026,,,residential,,,False,False,83.82499999999999,"LINESTRING (-6.524835 55.071526, -6.5250543 55.0715243, -6.5252128 55.0715223, -6.5252828 55.0715306, -6.5253479 55.0715585, -6.525381 55.0716006, -6.5253345 55.0716558, -6.525254 55.071679, -6.5251919 55.0716736, -6.5251395 55.0716542, -6.5250153 55.07158, -6.524835 55.071526)",North Road,
406158026,,,residential,,,False,True,83.82499999999999,"LINESTRING (-6.524835 55.071526, -6.5250153 55.07158, -6.5251395 55.0716542, -6.5251919 55.0716736, -6.525254 55.071679, -6.5253345 55.0716558, -6.525381 55.0716006, -6.5253479 55.0715585, -6.5252828 55.0715306, -6.5252128 55.0715223, -6.5250543 55.0715243, -6.524835 55.071526)",North Road,
"[406158026, 449194748]",,,residential,,,False,True,222.511,"LINESTRING (-6.524835 55.071526, -6.524254 55.0715138, -6.523709 55.0715156, -6.5234501 55.0715165, -6.5229141 55.0715464, -6.5224565 55.0715654, -6.5221671 55.071598, -6.5219442 55.071655, -6.5217403 55.0717269, -6.5214778 55.071845)",North Road,
1124399842,1,,tertiary,30 mph,,True,False,29.531,"LINESTRING (-6.5179056 55.0714639, -6.5177571 55.0712123)",High Street,4
227851695,,,tertiary,30 mph,,True,False,21.755,"LINESTRING (-6.5179056 55.0714639, -6.517941 55.0713982, -6.5179623 55.0713703, -6.5180052 55.0713495, -6.518116 55.0713393)",Townhead Street,4
227851681,2,,residential,,,False,False,159.864,"LINESTRING (-6.5219648 55.0734624, -6.5219161 55.0734309, -6.5215773 55.0732112, -6.5214453 55.0731256, -6.5213503 55.0730273, -6.5213011 55.0730008, -6.5202461 55.0724209)",St James Road,
"[245170056, 1124399844]",2,,tertiary,30 mph,,True,False,182.871,"LINESTRING (-6.518116 55.0713393, -6.5181594 55.0713491, -6.518373 55.071397, -6.5185196 55.0714612, -6.5188409 55.0715919, -6.5189479 55.0716551, -6.519158 55.071779, -6.5195614 55.072017, -6.5201917 55.0723888, -6.5202461 55.0724209)",Townhead Street,
129052034,2,,tertiary,30 mph,,False,True,103.89099999999999,"LINESTRING (-6.5202461 55.0724209, -6.5199319 55.0725665, -6.5195939 55.0727326, -6.5189865 55.0730148)",Model School Road,
227851681,2,,residential,,,False,True,159.864,"LINESTRING (-6.5202461 55.0724209, -6.5213011 55.0730008, -6.5213503 55.0730273, -6.5214453 55.0731256, -6.5215773 55.0732112, -6.5219161 55.0734309, -6.5219648 55.0734624)",St James Road,
449194748,,,residential,,,False,False,101.24400000000001,"LINESTRING (-6.5202461 55.0724209, -6.5202847 55.0724041, -6.5208046 55.0721618, -6.5212375 55.0719606, -6.5214033 55.071881, -6.5214778 55.071845)",North Road,
320031606,,,residential,30 mph,,False,False,15.398,"LINESTRING (-6.5127732 55.073455, -6.512717 55.0734906, -6.5126337 55.0735675)",Parkview,
"[230454169, 320031606]",2,,residential,30 mph,,False,True,46.189,"LINESTRING (-6.5127732 55.073455, -6.5132127 55.0731775, -6.5132606 55.0731473)","['Parkview', 'John Street']",
349582722,,,residential,30 mph,,False,True,140.08599999999998,"LINESTRING (-6.5127732 55.073455, -6.5124251 55.0733121, -6.5118029 55.0732507, -6.5113201 55.0732691, -6.5108909 55.073263, -6.5106732 55.0732251)",Armstrong Drive,
227855907,,,residential,30 mph,,False,True,118.198,"LINESTRING (-6.5101364 55.0741677, -6.5105154 55.0742703, -6.5108373 55.0743563, -6.5112986 55.0744915, -6.5117278 55.0745836, -6.5118243 55.0746082)",Hillview Avenue,
227855917,,,residential,30 mph,,False,False,73.80799999999999,"LINESTRING (-6.5101364 55.0741677, -6.5098717 55.074473, -6.5095803 55.0747495)",Alexandra Avenue,
227855917,,,residential,30 mph,,False,True,47.941,"LINESTRING (-6.5101364 55.0741677, -6.5102708 55.0740127, -6.510428 55.0737708)",Alexandra Avenue,
227855892,,,residential,30 mph,,False,True,112.157,"LINESTRING (-6.510428 55.0737708, -6.5106656 55.0737931, -6.5110733 55.0738649, -6.5113308 55.0738588, -6.5114402 55.0738038, -6.511717 55.0735701, -6.5119102 55.0735947)",McAfee Place,
227855917,,,residential,30 mph,,False,False,47.941,"LINESTRING (-6.510428 55.0737708, -6.5102708 55.0740127, -6.5101364 55.0741677)",Alexandra Avenue,
227855917,,,residential,30 mph,,False,True,62.666,"LINESTRING (-6.510428 55.0737708, -6.510521 55.0735421, -6.5106732 55.0732251)",Alexandra Avenue,
227855893,,,residential,,,False,True,72.182,"LINESTRING (-6.5150693 55.0721388, -6.5154284 55.0722142, -6.5155386 55.0722374, -6.5159978 55.0723477, -6.5161268 55.0723722)",Cafe Lane,
230091979,,,residential,,,True,False,98.253,"LINESTRING (-6.5150693 55.0721388, -6.5151055 55.0720956, -6.515912 55.0714756, -6.515979 55.0714261)",John Street,
230454169,2,,residential,,,False,False,160.785,"LINESTRING (-6.5150693 55.0721388, -6.5145816 55.0723907, -6.5139659 55.0727401, -6.5135713 55.0729641, -6.5133693 55.0730787, -6.5132606 55.0731473)",John Street,
227855903,,,residential,,,False,True,35.932,"LINESTRING (-6.5106732 55.0732251, -6.5103062 55.0730894, -6.5101904 55.0730588)",Robinson Avenue,
227855917,,,residential,30 mph,,False,False,62.666,"LINESTRING (-6.5106732 55.0732251, -6.510521 55.0735421, -6.510428 55.0737708)",Alexandra Avenue,
349582722,,,residential,30 mph,,False,False,140.086,"LINESTRING (-6.5106732 55.0732251, -6.5108909 55.073263, -6.5113201 55.0732691, -6.5118029 55.0732507, -6.5124251 55.0733121, -6.5127732 55.073455)",Armstrong Drive,
227855907,,,residential,30 mph,,False,False,118.19800000000001,"LINESTRING (-6.5118243 55.0746082, -6.5117278 55.0745836, -6.5112986 55.0744915, -6.5108373 55.0743563, -6.5105154 55.0742703, -6.5101364 55.0741677)",Hillview Avenue,
320031606,,,residential,30 mph,,False,True,127.725,"LINESTRING (-6.5118243 55.0746082, -6.5121376 55.074025, -6.5126337 55.0735675)",Parkview,
227855892,,,residential,30 mph,,False,False,112.157,"LINESTRING (-6.5119102 55.0735947, -6.511717 55.0735701, -6.5114402 55.0738038, -6.5113308 55.0738588, -6.5110733 55.0738649, -6.5106656 55.0737931, -6.510428 55.0737708)",McAfee Place,
230091988,,,residential,,,False,False,48.321,"LINESTRING (-6.5112288 55.0728408, -6.5104809 55.0727667)",Trinity Drive,
230091991,,,residential,,,False,False,31.124000000000002,"LINESTRING (-6.512291 55.0719363, -6.5121301 55.0719087, -6.511878 55.071795)",St. Patrick's Park,
227855893,,,residential,,,False,False,72.182,"LINESTRING (-6.5161268 55.0723722, -6.5159978 55.0723477, -6.5155386 55.0722374, -6.5154284 55.0722142, -6.5150693 55.0721388)",Cafe Lane,
230451683,2,B66,secondary,30 mph,,False,False,58.905,"LINESTRING (-6.5161268 55.0723722, -6.5162048 55.0722515, -6.5163392 55.0720382, -6.5164647 55.0718794)",Market Street,
230091977,,,residential,,,False,False,53.42700000000001,"LINESTRING (-6.5132606 55.0731473, -6.5131547 55.0730788, -6.5125991 55.0728549)",Trinity Drive,
"[230454169, 320031606]",2,,residential,30 mph,,False,False,46.189,"LINESTRING (-6.5132606 55.0731473, -6.5132127 55.0731775, -6.5127732 55.073455)","['Parkview', 'John Street']",
230454169,2,,residential,,,False,True,160.785,"LINESTRING (-6.5132606 55.0731473, -6.5133693 55.0730787, -6.5135713 55.0729641, -6.5139659 55.0727401, -6.5145816 55.0723907, -6.5150693 55.0721388)",John Street,
320031627,2,B62,secondary,30 mph,,False,False,29.537,"LINESTRING (-6.515979 55.0714261, -6.5162228 55.0716521)",Cameron Place,
"[320031625, 449406204]",2,B62,secondary,30 mph,,False,True,93.296,"LINESTRING (-6.515979 55.0714261, -6.5159133 55.071363, -6.5158785 55.0713329, -6.5156558 55.0710991, -6.515621 55.0710626, -6.5155339 55.0709758, -6.5154236 55.070866, -6.515316 55.0707435, -6.5152413 55.0707048)",Victoria Street,
230091990,,,residential,,,False,True,160.15000000000003,"LINESTRING (-6.5115269 55.0693282, -6.5115883 55.0694177, -6.5116718 55.0695388, -6.5117492 55.0696511, -6.5119316 55.0700873, -6.511979 55.0702939, -6.5119852 55.0703207, -6.5119273 55.0706999, -6.511923 55.0707284)",Henry Street,
320031635,,,residential,,,False,False,80.801,"LINESTRING (-6.5115269 55.0693282, -6.5115969 55.0693124, -6.5120282 55.069215, -6.5126899 55.0690382)",,
"[308572739, 449406203, 308572741]",1,,"['unclassified', 'residential']",,,False,False,183.397,"LINESTRING (-6.5115269 55.0693282, -6.511391 55.0693574, -6.5112713 55.0693864, -6.5110266 55.0694736, -6.5109589 55.0695034, -6.5108449 55.0695457, -6.5107432 55.0696092, -6.5106618 55.0696855, -6.510769 55.0698862, -6.5109622 55.0702476, -6.5109082 55.0706832)",Edward Street,
230091970,,,residential,,,False,True,138.28199999999998,"LINESTRING (-6.5126337 55.0735675, -6.5127921 55.073628, -6.5142083 55.0737785, -6.5142598 55.0737177, -6.5143053 55.0736593, -6.5143676 55.0734845)",Jubilee Court,
320031606,,,residential,30 mph,,False,False,127.725,"LINESTRING (-6.5126337 55.0735675, -6.5121376 55.074025, -6.5118243 55.0746082)",Parkview,
320031606,,,residential,30 mph,,False,True,15.398,"LINESTRING (-6.5126337 55.0735675, -6.512717 55.0734906, -6.5127732 55.073455)",Parkview,
227855917,,,residential,30 mph,,False,True,73.80799999999999,"LINESTRING (-6.5095803 55.0747495, -6.5098717 55.074473, -6.5101364 55.0741677)",Alexandra Avenue,
230091976,,,residential,,,False,True,48.038000000000004,"LINESTRING (-6.5114166 55.0714602, -6.5115239 55.0714971, -6.511878 55.071795)",St. Patrick's Park,
230091978,,,residential,,,False,False,61.356,"LINESTRING (-6.5128918 55.0724001, -6.5130152 55.0725383, -6.512953 55.072596, -6.5125991 55.0728549)",,
230091976,,,residential,,,False,False,88.527,"LINESTRING (-6.5109077 55.0723608, -6.5113147 55.0720807, -6.5117117 55.0718626, -6.511878 55.071795)",St. Patrick's Park,
230091977,,,residential,,,False,False,96.35300000000001,"LINESTRING (-6.5109077 55.0723608, -6.5100248 55.0718309, -6.5098547 55.0717386)",Trinity Drive,
230091977,,,residential,,,False,True,121.391,"LINESTRING (-6.5109077 55.0723608, -6.5111398 55.0724686, -6.5117224 55.0726288, -6.5124171 55.0728054, -6.5125991 55.0728549)",Trinity Drive,
114874497,,,unclassified,,,False,True,12.29,"LINESTRING (-6.5126899 55.0690382, -6.5126329 55.0689326)",,
320031630,,,unclassified,,,False,False,203.76499999999996,"LINESTRING (-6.5126899 55.0690382, -6.5128118 55.069225, -6.5129034 55.0693944, -6.5130135 55.069598, -6.513228 55.0698798, -6.513274 55.0699483, -6.5133175 55.0700163, -6.5133463 55.070091, -6.5133654 55.0701698, -6.5133771 55.0702998, -6.5133759 55.0703613, -6.5133747 55.0704277, -6.5133721 55.0704485, -6.5133629 55.0705241, -6.5133418 55.0706406, -6.5133263 55.0707702, -6.5133225 55.0708017)",Union Street,
320031635,,,residential,,,False,True,80.80099999999999,"LINESTRING (-6.5126899 55.0690382, -6.5120282 55.069215, -6.5115969 55.0693124, -6.5115269 55.0693282)",,
230091976,,,residential,,,False,False,48.038000000000004,"LINESTRING (-6.511878 55.071795, -6.5115239 55.0714971, -6.5114166 55.0714602)",St. Patrick's Park,
230091976,,,residential,,,False,True,88.527,"LINESTRING (-6.511878 55.071795, -6.5117117 55.0718626, -6.5113147 55.0720807, -6.5109077 55.0723608)",St. Patrick's Park,
230091991,,,residential,,,False,True,31.124000000000002,"LINESTRING (-6.511878 55.071795, -6.5121301 55.0719087, -6.512291 55.0719363)",St. Patrick's Park,
227855903,,,residential,,,False,False,35.932,"LINESTRING (-6.5101904 55.0730588, -6.5103062 55.0730894, -6.5106732 55.0732251)",Robinson Avenue,
230091983,,,residential,,,False,False,37.388000000000005,"LINESTRING (-6.5101904 55.0730588, -6.5103008 55.072956, -6.5104809 55.0727667)",Trinity Drive,
230091977,,,residential,,,False,False,121.391,"LINESTRING (-6.5125991 55.0728549, -6.5124171 55.0728054, -6.5117224 55.0726288, -6.5111398 55.0724686, -6.5109077 55.0723608)",Trinity Drive,
230091977,,,residential,,,False,True,53.42700000000001,"LINESTRING (-6.5125991 55.0728549, -6.5131547 55.0730788, -6.5132606 55.0731473)",Trinity Drive,
230091978,,,residential,,,False,True,61.356,"LINESTRING (-6.5125991 55.0728549, -6.512953 55.072596, -6.5130152 55.0725383, -6.5128918 55.0724001)",,
230091988,,,residential,,,False,True,48.321,"LINESTRING (-6.5104809 55.0727667, -6.5112288 55.0728408)",Trinity Drive,
230091983,,,residential,,,False,True,37.388000000000005,"LINESTRING (-6.5104809 55.0727667, -6.5103008 55.072956, -6.5101904 55.0730588)",Trinity Drive,
230091977,,,residential,,,False,True,96.35300000000001,"LINESTRING (-6.5098547 55.0717386, -6.5100248 55.0718309, -6.5109077 55.0723608)",Trinity Drive,
230209031,,,residential,,,False,False,27.816,"LINESTRING (-6.5210845 55.0739453, -6.5210458 55.0738406, -6.5209975 55.0737763, -6.5209588 55.0737559, -6.5208848 55.0737484)",St James's Park,
230209031,,,residential,,,False,True,68.5,"LINESTRING (-6.5210845 55.0739453, -6.5211496 55.0739403, -6.5212147 55.0739462, -6.5213265 55.0739706, -6.5214438 55.0740378, -6.5216096 55.0741436, -6.5218987 55.0743105)",St James's Park,
1244738361,,,residential,,,False,False,69.112,"LINESTRING (-6.5210845 55.0739453, -6.5210406 55.0739592, -6.5210062 55.0739841, -6.5203881 55.0744195)",St James's Park,
230209031,,,residential,,,False,True,27.816000000000003,"LINESTRING (-6.5208848 55.0737484, -6.5209588 55.0737559, -6.5209975 55.0737763, -6.5210458 55.0738406, -6.5210845 55.0739453)",St James's Park,
230451681,2,B62,secondary,30 mph,,False,False,174.70000000000002,"LINESTRING (-6.5201044 55.0745602, -6.5198546 55.074231, -6.5196356 55.0739264, -6.5194166 55.0736218, -6.5192118 55.0733317, -6.5189686 55.0731356)",Coleraine Road,
1244738361,,,residential,,,False,True,24.046,"LINESTRING (-6.5201044 55.0745602, -6.5202104 55.0745227, -6.5203881 55.0744195)",St James's Park,
230209035,,,residential,,,False,True,9.311,"LINESTRING (-6.5215196 55.0745166, -6.5216251 55.0745746)",St James's Park,
1244738362,,,residential,,,False,False,33.281,"LINESTRING (-6.5215196 55.0745166, -6.5218987 55.0743105)",St James's Park,
230209035,,,residential,,,False,False,18.235,"LINESTRING (-6.5215196 55.0745166, -6.5214105 55.0744605, -6.5213086 55.0744057)",St James's Park,
230209031,,,residential,,,False,True,9.436,"LINESTRING (-6.5218987 55.0743105, -6.522003 55.0743708)",St James's Park,
1244738362,,,residential,,,False,True,33.281,"LINESTRING (-6.5218987 55.0743105, -6.5215196 55.0745166)",St James's Park,
230209031,,,residential,,,False,False,68.5,"LINESTRING (-6.5218987 55.0743105, -6.5216096 55.0741436, -6.5214438 55.0740378, -6.5213265 55.0739706, -6.5212147 55.0739462, -6.5211496 55.0739403, -6.5210845 55.0739453)",St James's Park,
230209031,,,residential,,,False,False,9.436,"LINESTRING (-6.522003 55.0743708, -6.5218987 55.0743105)",St James's Park,
230209035,,,residential,,,False,False,9.311,"LINESTRING (-6.5216251 55.0745746, -6.5215196 55.0745166)",St James's Park,
1244738361,,,residential,,,False,False,24.046,"LINESTRING (-6.5203881 55.0744195, -6.5202104 55.0745227, -6.5201044 55.0745602)",St James's Park,
