osmid,highway,oneway,reversed,length,name,geometry,lanes
231075215,residential,False,True,52.703,,"LINESTRING (45.3159619 34.6353991, 45.3163775 34.6350709)",
231072988,residential,False,True,44.069,,"LINESTRING (45.3124906 34.6324099, 45.3128273 34.6326933)",
231072988,residential,False,False,39.073,,"LINESTRING (45.3139172 34.6336107, 45.3136187 34.6333594)",
231072988,residential,False,True,13.331,,"LINESTRING (45.3139172 34.6336107, 45.3140191 34.6336964)",
231083013,residential,False,False,49.663,,"LINESTRING (45.3139172 34.6336107, 45.3143037 34.6332971)",
231069999,residential,False,False,48.797,,"LINESTRING (45.3131742 34.632331, 45.3128045 34.6320147)",
231069999,residential,False,True,39.392,,"LINESTRING (45.3131742 34.632331, 45.3134727 34.6325863)",
231083015,residential,False,False,79.685,,"LINESTRING (45.3131742 34.632331, 45.3137955 34.6318288)",
231072981,residential,False,False,91.637,,"LINESTRING (45.3133255 34.633583, 45.3125909 34.6341432)",
231072981,residential,False,True,36.576,,"LINESTRING (45.3133255 34.633583, 45.3136187 34.6333594)",
231083014,residential,False,True,52.064,,"LINESTRING (45.3133255 34.633583, 45.3137434 34.6339008)",
231069999,residential,False,False,39.392,,"LINESTRING (45.3134727 34.6325863, 45.3131742 34.632331)",
231069999,residential,False,True,109.67,,"LINESTRING (45.3134727 34.6325863, 45.3143037 34.6332971)",
231083008,residential,False,True,50.54,,"LINESTRING (45.3134727 34.6325863, 45.3130766 34.6329031)",
231083010,residential,False,True,115.349,,"LINESTRING (45.3150822 34.6354592, 45.3160055 34.6347528)",
231083017,residential,False,False,50.149,,"LINESTRING (45.3150822 34.6354592, 45.3146904 34.6351438)",
231072988,residential,False,False,44.069,,"LINESTRING (45.3128273 34.6326933, 45.3124906 34.6324099)",
231072988,residential,False,True,32.626,,"LINESTRING (45.3128273 34.6326933, 45.3130766 34.6329031)",
231069999,residential,False,False,50.122,,"LINESTRING (45.3156056 34.6344107, 45.3152336 34.6340798)",
231069999,residential,False,True,38.438,,"LINESTRING (45.3156056 34.6344107, 45.3158969 34.6346598)",
231083021,residential,False,False,116.859,,"LINESTRING (45.3156056 34.6344107, 45.3146904 34.6351438)",
231069999,residential,False,False,53.014,,"LINESTRING (45.3147815 34.6337058, 45.3143798 34.6333622)",
231069999,residential,False,True,58.655,,"LINESTRING (45.3147815 34.6337058, 45.3152336 34.6340798)",
231083016,residential,False,False,131.743,,"LINESTRING (45.3147815 34.6337058, 45.3158087 34.6328755)",
231083021,residential,False,True,44.75,,"LINESTRING (45.3143399 34.6354245, 45.3146904 34.6351438)",
231083022,residential,False,True,51.773,,"LINESTRING (45.3143399 34.6354245, 45.3138925 34.6351394)",
231069999,residential,False,False,109.67,,"LINESTRING (45.3143037 34.6332971, 45.3134727 34.6325863)",
231069999,residential,False,True,10.044,,"LINESTRING (45.3143037 34.6332971, 45.3143798 34.6333622)",
231083013,residential,False,True,49.663,,"LINESTRING (45.3143037 34.6332971, 45.3139172 34.6336107)",
231069984,residential,False,False,53.459,,"LINESTRING (45.3154029 34.6325296, 45.3158087 34.6328755)",
231069984,residential,False,True,26.414,,"LINESTRING (45.3154029 34.6325296, 45.3152061 34.6323558)",
231083007,residential,False,True,131.656,,"LINESTRING (45.3154029 34.6325296, 45.3143798 34.6333622)",
231069984,residential,False,False,30.896,,"LINESTRING (45.3141986 34.631503, 45.3144371 34.6316997)",
231069984,residential,False,True,100.001,,"LINESTRING (45.3141986 34.631503, 45.3134382 34.630857)",
231083015,residential,False,True,51.698,,"LINESTRING (45.3141986 34.631503, 45.3137955 34.6318288)",
231069999,residential,False,False,46.799,,"LINESTRING (45.3128045 34.6320147, 45.3124495 34.6317117)",
231069999,residential,False,True,48.797,,"LINESTRING (45.3128045 34.6320147, 45.3131742 34.632331)",
231083011,residential,False,False,80.198,,"LINESTRING (45.3128045 34.6320147, 45.3133982 34.6314841)",
231069999,residential,False,False,10.044,,"LINESTRING (45.3143798 34.6333622, 45.3143037 34.6332971)",
231069999,residential,False,True,53.014,,"LINESTRING (45.3143798 34.6333622, 45.3147815 34.6337058)",
231083007,residential,False,False,131.656,,"LINESTRING (45.3143798 34.6333622, 45.3154029 34.6325296)",
231083006,residential,False,False,52.825,,"LINESTRING (45.3137955 34.6318288, 45.3133982 34.6314841)",
231083015,residential,False,False,51.698,,"LINESTRING (45.3137955 34.6318288, 45.3141986 34.631503)",
231083015,residential,False,True,79.685,,"LINESTRING (45.3137955 34.6318288, 45.3131742 34.632331)",
231083017,residential,False,True,50.149,,"LINESTRING (45.3146904 34.6351438, 45.3150822 34.6354592)",
231083021,residential,False,False,44.75,,"LINESTRING (45.3146904 34.6351438, 45.3143399 34.6354245)",
231083021,residential,False,True,116.859,,"LINESTRING (45.3146904 34.6351438, 45.3156056 34.6344107)",
230945754,secondary,False,False,13.739,شەقامی سەرسەنگ,"LINESTRING (45.3138925 34.6351394, 45.3140008 34.6350538)",2
230945754,secondary,False,True,58.422,شەقامی سەرسەنگ,"LINESTRING (45.3138925 34.6351394, 45.3134319 34.6355033)",2
231083022,residential,False,False,51.773,,"LINESTRING (45.3138925 34.6351394, 45.3143399 34.6354245)",
231072971,residential,False,False,87.404,,"LINESTRING (45.3137434 34.6339008, 45.3130348 34.634428)",
231083014,residential,False,False,52.064,,"LINESTRING (45.3137434 34.6339008, 45.3133255 34.633583)",
231072971,residential,False,True,33.952999999999996,,"LINESTRING (45.3137434 34.6339008, 45.3139895 34.6337184, 45.3140191 34.6336964)",
231069984,residential,False,False,60.152,,"LINESTRING (45.3158087 34.6328755, 45.3162687 34.633262)",
231069984,residential,False,True,53.459,,"LINESTRING (45.3158087 34.6328755, 45.3154029 34.6325296)",
231083016,residential,False,True,131.743,,"LINESTRING (45.3158087 34.6328755, 45.3147815 34.6337058)",
231083006,residential,False,False,47.375,,"LINESTRING (45.3133982 34.6314841, 45.3130326 34.6311824)",
231083006,residential,False,True,52.825,,"LINESTRING (45.3133982 34.6314841, 45.3137955 34.6318288)",
231083011,residential,False,True,80.198,,"LINESTRING (45.3133982 34.6314841, 45.3128045 34.6320147)",
231069999,residential,False,False,14.341,,"LINESTRING (45.3160055 34.6347528, 45.3158969 34.6346598)",
231069999,residential,False,True,33.424,,"LINESTRING (45.3160055 34.6347528, 45.3162588 34.6349694)",
231083010,residential,False,False,115.349,,"LINESTRING (45.3160055 34.6347528, 45.3150822 34.6354592)",
231072988,residential,False,False,32.626,,"LINESTRING (45.3130766 34.6329031, 45.3128273 34.6326933)",
231072988,residential,False,True,20.29,,"LINESTRING (45.3130766 34.6329031, 45.3132316 34.6330336)",
231083008,residential,False,False,50.54,,"LINESTRING (45.3130766 34.6329031, 45.3134727 34.6325863)",
230469120,primary,True,False,79.437,شەقامی شەهید سەرکەوت,"LINESTRING (45.3130326 34.6311824, 45.3124495 34.6317117)",
231083006,residential,False,True,47.375,,"LINESTRING (45.3130326 34.6311824, 45.3133982 34.6314841)",
231070007,residential,False,False,12.659,,"LINESTRING (45.3183667 34.6290009, 45.3182711 34.6289186)",
231070007,residential,False,True,49.299,,"LINESTRING (45.3183667 34.6290009, 45.318739 34.6293214)",
231087341,residential,False,True,144.677,,"LINESTRING (45.3183667 34.6290009, 45.3172886 34.6299527)",
231069998,tertiary,False,False,46.918,,"LINESTRING (45.3180302 34.6305349, 45.3176504 34.6302514)",
