osmid,name,highway,oneway,reversed,length,width,geometry,ref,maxspeed,lanes,bridge,access
"[69901713, 18488578, 69901718, 18488575]",Fügnerova,primary,False,True,61.75,,"LINESTRING (15.08136 50.9195285, 15.0812745 50.9194833, 15.0811423 50.9194136, 15.0807958 50.9192262, 15.0807285 50.9192003, 15.0806679 50.9191934)",13,50,,yes,
23075676,Fügnerova,primary,False,True,10.956,,"LINESTRING (15.0806679 50.9191934, 15.080623 50.9191912, 15.080516 50.9192104)",13,50,2,,
"[69901713, 18488578, 69901718, 18488575]",Fügnerova,primary,False,False,61.75,,"LINESTRING (15.0806679 50.9191934, 15.0807285 50.9192003, 15.0807958 50.9192262, 15.0811423 50.9194136, 15.0812745 50.9194833, 15.08136 50.9195285)",13,50,,yes,
69731148,Žitavská,primary,False,False,29.417,,"LINESTRING (15.0728243 50.9203407, 15.072884 50.9203742, 15.0730247 50.9204381, 15.0731707 50.9204883)",13,50,2,,
14392300,Husova,residential,False,False,44.071,,"LINESTRING (15.0801551 50.9218945, 15.0797631 50.9215969, 15.0797534 50.9215896)",,,,,
18488027,Husova,residential,True,False,34.868,,"LINESTRING (15.0805006 50.9221201, 15.0801551 50.9218945)",,,,,
18492841,Okružní,residential,True,False,107.747,,"LINESTRING (15.0805006 50.9221201, 15.0804394 50.9221634, 15.0799568 50.9225052, 15.0797251 50.922628, 15.07944 50.922744, 15.0793777 50.9227728)",,,,,
792811341,Zahradní,residential,False,True,61.298,,"LINESTRING (15.0809398 50.922418, 15.0815885 50.9220483)",,,,,
69901722,Husova,residential,True,False,45.22500000000001,,"LINESTRING (15.0809398 50.922418, 15.0808791 50.9223771, 15.0805624 50.9221641, 15.0805006 50.9221201)",,,,,
18492968,Nerudova,residential,False,False,141.617,,"LINESTRING (15.0818155 50.9229884, 15.0815877 50.9230973, 15.0813745 50.9232487, 15.0811386 50.9233948, 15.0809737 50.9234733, 15.0808171 50.9235201, 15.0805583 50.9235583, 15.0801307 50.9236148)",,,,,
69907219,Husova,residential,True,False,88.347,,"LINESTRING (15.0818155 50.9229884, 15.0815173 50.9228141, 15.0812328 50.9226297, 15.0809398 50.922418)",,,,,
14392244,Husova,residential,True,False,102.125,,"LINESTRING (15.0847334 50.9230758, 15.0844287 50.9231294, 15.0843624 50.9231354, 15.0841697 50.9231527, 15.0840234 50.9231502, 15.0832913 50.9231318)",,,,,
18498087,Čapkova,residential,False,True,100.613,,"LINESTRING (15.0847334 50.9230758, 15.0846617 50.9230251, 15.0842505 50.9227207, 15.0837909 50.9223934)",,,,,
18487728,ČSA,residential,False,True,43.283,,"LINESTRING (15.0819696 50.9203051, 15.0822744 50.9201006, 15.0822949 50.9200882, 15.0823923 50.9200214)",,,,,
69907217,ČSA,residential,True,False,105.53,,"LINESTRING (15.0819696 50.9203051, 15.0814435 50.9206456, 15.081167 50.9208118, 15.0809471 50.9208978, 15.0808531 50.9209346)",,,,,
18487728,ČSA,residential,False,False,43.283,,"LINESTRING (15.0823923 50.9200214, 15.0822949 50.9200882, 15.0822744 50.9201006, 15.0819696 50.9203051)",,,,,
792811342,Hrnčířské nám.,residential,False,False,34.007,,"LINESTRING (15.0808531 50.9209346, 15.0810378 50.9212174)",,,,,
18488171,Tkalcovská,residential,False,False,66.387,,"LINESTRING (15.0799939 50.92063, 15.0791522 50.9209037)",,,,,no
"[22817208, 18494256]",Hejnická,residential,False,False,156.754,,"LINESTRING (15.0799939 50.92063, 15.0799727 50.920604, 15.079935 50.9205579, 15.0798991 50.9204992, 15.0798798 50.9204343, 15.0798761 50.9203987, 15.0798642 50.9202906, 15.0798642 50.9202398, 15.0798926 50.9201792, 15.0799452 50.9201439, 15.0809576 50.9196755, 15.0810229 50.9196612, 15.0810755 50.9196614, 15.0811144 50.9196653)",,,,,
22817208,Hejnická,residential,False,True,62.565,,"LINESTRING (15.0799939 50.92063, 15.0802093 50.9207547, 15.0802687 50.9207891, 15.0805977 50.9210425)",,,,,
18488171,Tkalcovská,residential,False,True,66.387,,"LINESTRING (15.0791522 50.9209037, 15.0799939 50.92063)",,,,,no
49509588,Děkanská,residential,False,True,42.705,,"LINESTRING (15.0791522 50.9209037, 15.0794231 50.9212477)",,,,,no
49509588,Děkanská,residential,False,False,30.527,,"LINESTRING (15.0791522 50.9209037, 15.0789582 50.9207194, 15.0788956 50.9206835)",,,,,no
18491550,Mezibranská,residential,True,False,43.811,,"LINESTRING (15.077079 50.9212674, 15.0776526 50.9211109)",,,,,
22977592,Okružní,residential,False,True,111.374,,"LINESTRING (15.077079 50.9212674, 15.0773273 50.9217945, 15.0773685 50.9218614, 15.0775868 50.9222156)",,,,,destination
18491371,Mezibranská,residential,True,False,29.666999999999998,,"LINESTRING (15.0747018 50.9214904, 15.074929 50.9215497, 15.0750996 50.9215802)",,,,,
"[70174711, 70174708, 244252389, 18492231]",Raisova,residential,False,False,319.671,,"LINESTRING (15.0747018 50.9214904, 15.0745642 50.9216935, 15.0743664 50.9219691, 15.0742756 50.9220993, 15.0741905 50.9222333, 15.0740061 50.9224622, 15.0738817 50.9226364, 15.0737515 50.9229092, 15.0736566 50.9231238, 15.0735923 50.923417, 15.0734995 50.9237825, 15.0734836 50.9242258)",,,,yes,
18492330,Míru,tertiary,False,False,27.746,,"LINESTRING (15.0747018 50.9214904, 15.0748459 50.9215994, 15.074944 50.9216875)",03510,50,,,
"[22817205, 22817206, 22817207]",Míru,tertiary,False,True,160.341,,"LINESTRING (15.0747018 50.9214904, 15.0739559 50.9212177, 15.0737983 50.92115, 15.0736515 50.9210618, 15.0734635 50.9208559, 15.0732628 50.9206416, 15.0732289 50.9205852, 15.0731707 50.9204883)",03510,50,,yes,
"[18491234, 14391931]","['Kostelní', 'Mezibranská']",residential,False,"[False, True]",157.111,,"LINESTRING (15.0776526 50.9211109, 15.0783328 50.9208992, 15.0786307 50.9212871, 15.0788768 50.9215138, 15.0790943 50.9216973)",,,,,
"[18494397, 77991270]","['Míru', 'Sv. Čecha']",residential,True,False,185.0,,"LINESTRING (15.0776526 50.9211109, 15.0780763 50.9214312, 15.0784009 50.9217173, 15.0785621 50.9218871, 15.0775868 50.9222156)",,,,,
18492330,Míru,tertiary,False,False,153.059,,"LINESTRING (15.074944 50.9216875, 15.0751035 50.9218476, 15.0752654 50.9219903, 15.0754333 50.9221259, 15.0755623 50.9222178, 15.0756803 50.9222836, 15.0757962 50.9223379, 15.0759964 50.9224059, 15.0761767 50.9224584, 15.0763277 50.9224896, 15.0764217 50.9225013, 15.0765234 50.9224954, 15.076576 50.9224997)",03510,50,,,
18492330,Míru,tertiary,False,True,27.746,,"LINESTRING (15.074944 50.9216875, 15.0748459 50.9215994, 15.0747018 50.9214904)",03510,50,,,
494776746,Míru,residential,False,False,18.36,,"LINESTRING (15.074944 50.9216875, 15.0749409 50.9216533, 15.0749626 50.9216242, 15.0750155 50.9215968, 15.0750996 50.9215802)",,,,,
18492330,Míru,tertiary,False,True,153.059,,"LINESTRING (15.076576 50.9224997, 15.0765234 50.9224954, 15.0764217 50.9225013, 15.0763277 50.9224896, 15.0761767 50.9224584, 15.0759964 50.9224059, 15.0757962 50.9223379, 15.0756803 50.9222836, 15.0755623 50.9222178, 15.0754333 50.9221259, 15.0752654 50.9219903, 15.0751035 50.9218476, 15.074944 50.9216875)",03510,50,,,
"[70174706, 385747373, 385747374]",Kodešova,tertiary,False,True,71.69800000000001,,"LINESTRING (15.076576 50.9224997, 15.0766096 50.9225246, 15.0766435 50.9225702, 15.0766697 50.9227188, 15.0766836 50.922885, 15.0766851 50.9229548, 15.0766829 50.9230379, 15.076655 50.9231291)",03510,50,,yes,
23334895,Havlíčkova,residential,False,False,40.698,,"LINESTRING (15.0793777 50.9227728, 15.0796031 50.9231101)",,,,,
22977593,Okružní,residential,True,False,35.119,,"LINESTRING (15.0793777 50.9227728, 15.0792503 50.9227969, 15.0790901 50.9228012, 15.0788828 50.9227933)",,,,,
"[18492668, 23334894]","['B. Němcové', 'Havlíčkova']",residential,True,False,132.481,,"LINESTRING (15.0793777 50.9227728, 15.0791416 50.9225122, 15.0796566 50.9222461, 15.0801551 50.9218945)",,,,,
69901710,Havlíčkovo nám.,residential,False,False,29.603,,"LINESTRING (15.0801307 50.9236148, 15.0797364 50.9237102)",,,,,
550914807,Havlíčkovo nám.,residential,False,True,33.09,,"LINESTRING (15.0801307 50.9236148, 15.0797917 50.9234077)",,,,,
18492888,Mládeže,residential,False,False,224.365,,"LINESTRING (15.0801307 50.9236148, 15.080853 50.9241885, 15.0819935 50.925254)",,,,,
18492968,Nerudova,residential,False,True,141.617,,"LINESTRING (15.0801307 50.9236148, 15.0805583 50.9235583, 15.0808171 50.9235201, 15.0809737 50.9234733, 15.0811386 50.9233948, 15.0813745 50.9232487, 15.0815877 50.9230973, 15.0818155 50.9229884)",,,,,
18493084,Lužická,residential,False,False,82.534,,"LINESTRING (15.0819935 50.925254, 15.0831708 50.9252693)",,,,,
18492888,Mládeže,residential,False,True,224.365,,"LINESTRING (15.0819935 50.925254, 15.080853 50.9241885, 15.0801307 50.9236148)",,,,,
23334895,Havlíčkova,residential,False,True,35.634,,"LINESTRING (15.0797917 50.9234077, 15.0796031 50.9231101)",,,,,
69901710,Havlíčkovo nám.,residential,False,True,33.859,,"LINESTRING (15.0797917 50.9234077, 15.0797364 50.9237102)",,,,,
550914807,Havlíčkovo nám.,residential,False,False,33.09,,"LINESTRING (15.0797917 50.9234077, 15.0801307 50.9236148)",,,,,
18493084,Lužická,residential,False,True,29.781,,"LINESTRING (15.0857986 50.9252682, 15.085374 50.9252782)",,,,,
494763869,,residential,False,True,13.039,,"LINESTRING (15.0857986 50.9252682, 15.085656 50.9251929)",,,,,
69907210,Lužická,residential,False,False,32.384,,"LINESTRING (15.0857986 50.9252682, 15.0859642 50.9252716, 15.0862604 50.9252776)",,,,,
18494216,ČSA,residential,False,False,78.914,,"LINESTRING (15.0825385 50.9198932, 15.0833762 50.9194191)",,,,,
18498058,Zahradní,residential,False,False,172.312,,"LINESTRING (15.083818 50.9203684, 15.0837658 50.9204359, 15.0836581 50.9205232, 15.0834586 50.9206909, 15.0832737 50.9208463, 15.0829634 50.9210708, 15.0828405 50.9211598, 15.0827024 50.9212735, 15.0826673 50.9213024, 15.0823179 50.9215931)",,,,,
22939031,,residential,False,False,110.85300000000001,,"LINESTRING (15.083818 50.9203684, 15.0838125 50.920229, 15.0837983 50.9201741, 15.0836719 50.9199795, 15.0835221 50.9197491, 15.0833762 50.9194191)",,,,,
"[69731134, 69901719]",Fügnerova,primary,False,False,196.64,,"LINESTRING (15.083818 50.9203684, 15.0833619 50.9202288, 15.0831135 50.9201524, 15.0824699 50.9199584, 15.082038 50.9198249, 15.081834 50.919747, 15.0816616 50.9196818, 15.0815097 50.9196118, 15.08136 50.9195285)",13,50,,,
"[620964961, 620966661, 620966662, 9521519]",Fügnerova,primary,False,True,310.457,,"LINESTRING (15.083818 50.9203684, 15.0840583 50.9204248, 15.0842383 50.9204882, 15.0843677 50.9205337, 15.0844946 50.9205923, 15.0845623 50.9206374, 15.0846246 50.9207032, 15.0846994 50.9207909, 15.0849232 50.9210635, 15.0852372 50.921443, 15.0853206 50.9215581, 15.0855561 50.9218402, 15.0857066 50.9220256, 15.0857257 50.922048, 15.0861405 50.9225346, 15.086206 50.9226291)",13,"['30', '50']",,,
18498058,Zahradní,residential,False,True,172.31199999999998,,"LINESTRING (15.0823179 50.9215931, 15.0826673 50.9213024, 15.0827024 50.9212735, 15.0828405 50.9211598, 15.0829634 50.9210708, 15.0832737 50.9208463, 15.0834586 50.9206909, 15.0836581 50.9205232, 15.0837658 50.9204359, 15.083818 50.9203684)",,,,,
18498087,Čapkova,residential,False,False,80.703,,"LINESTRING (15.0823179 50.9215931, 15.0829652 50.9218648, 15.0832679 50.9220029)",,,,,
792811340,Zahradní,residential,False,False,71.958,,"LINESTRING (15.0823179 50.9215931, 15.0821179 50.9217174, 15.0819283 50.9218431, 15.0815885 50.9220483)",,,,,
792811341,Zahradní,residential,False,False,61.298,,"LINESTRING (15.0815885 50.9220483, 15.0809398 50.922418)",,,,,
18498244,Hrnčířské nám.,residential,False,True,100.511,,"LINESTRING (15.0815885 50.9220483, 15.081454 50.9219036, 15.0812975 50.921698, 15.081181 50.9214983, 15.0810951 50.9213084, 15.0810378 50.9212174)",,,,,
792811340,Zahradní,residential,False,True,71.958,,"LINESTRING (15.0815885 50.9220483, 15.0819283 50.9218431, 15.0821179 50.9217174, 15.0823179 50.9215931)",,,,,
792811342,Hrnčířské nám.,residential,False,True,34.007,,"LINESTRING (15.0810378 50.9212174, 15.0808531 50.9209346)",,,,,
18498244,Hrnčířské nám.,residential,False,False,100.511,,"LINESTRING (15.0810378 50.9212174, 15.0810951 50.9213084, 15.081181 50.9214983, 15.0812975 50.921698, 15.081454 50.9219036, 15.0815885 50.9220483)",,,,,
22977524,Okružní,residential,True,False,108.179,,"LINESTRING (15.0810378 50.9212174, 15.0809412 50.9213379, 15.0809073 50.9214157, 15.0808648 50.9216016, 15.0808296 50.9216881, 15.0807523 50.9218196, 15.0805456 50.9220663, 15.0805006 50.9221201)",,,,,
46985110,ČSA,residential,True,False,21.551,,"LINESTRING (15.0805977 50.9210425, 15.0808531 50.9209346)",,,,,
22817208,Hejnická,residential,False,False,62.565,,"LINESTRING (15.0805977 50.9210425, 15.0802687 50.9207891, 15.0802093 50.9207547, 15.0799939 50.92063)",,,,,
14392300,Husova,residential,False,True,44.071,,"LINESTRING (15.0797534 50.9215896, 15.0797631 50.9215969, 15.0801551 50.9218945)",,,,,
"[18487938, 222645500]","['ČSA', 'Husova']",residential,True,False,98.55000000000001,,"LINESTRING (15.0797534 50.9215896, 15.0796253 50.9214954, 15.0796577 50.9214784, 15.0805977 50.9210425)",,,,,
49509588,Děkanská,residential,False,False,42.705,,"LINESTRING (15.0794231 50.9212477, 15.0791522 50.9209037)",,,,,no
"[22924480, 22924490]",Sídlištní,residential,False,True,136.06,,"LINESTRING (15.0857122 50.9241682, 15.0858376 50.9241621, 15.0860089 50.9241651, 15.08615 50.9241722, 15.086249 50.9241772, 15.0863289 50.9241552, 15.0863707 50.9241313, 15.0864035 50.9240311, 15.0864464 50.9235171, 15.0864987 50.9234249, 15.0865835 50.9233667)",,,,,
22924494,Příčná,residential,False,False,114.016,,"LINESTRING (15.0857122 50.9241682, 15.0857055 50.9242324, 15.0857009 50.924306, 15.0856736 50.9247432, 15.085656 50.9251929)",,,,,
503324562,Sídlištní,residential,False,False,141.84,,"LINESTRING (15.0857122 50.9241682, 15.085425 50.9241697, 15.0843474 50.924151, 15.0836895 50.9241676)",,,,,
494763869,,residential,False,False,13.039,,"LINESTRING (15.085656 50.9251929, 15.0857986 50.9252682)",,,,,
22924494,Příčná,residential,False,True,114.01599999999999,,"LINESTRING (15.085656 50.9251929, 15.0856736 50.9247432, 15.0857009 50.924306, 15.0857055 50.9242324, 15.0857122 50.9241682)",,,,,
22924601,V Úvoze,residential,False,False,157.718,,"LINESTRING (15.085656 50.9251929, 15.085361 50.9251301, 15.0845211 50.9248668, 15.0841255 50.9246739, 15.0836726 50.9245394)",,,,,destination
508625879,Husova,residential,True,False,10.393,,"LINESTRING (15.0819174 50.9230563, 15.0818155 50.9229884)",,,,,
262186571,V Úvoze,residential,False,True,213.1,,"LINESTRING (15.0819174 50.9230563, 15.0819461 50.9231113, 15.0821033 50.9234127, 15.0822456 50.9236444, 15.0824171 50.9238509, 15.0826007 50.924013, 15.0828375 50.9241649, 15.0831403 50.9243234, 15.0834939 50.9244775, 15.0836726 50.9245394)",,,,,destination
23334895,Havlíčkova,residential,False,False,35.634,,"LINESTRING (15.0796031 50.9231101, 15.0797917 50.9234077)",,,,,
23334895,Havlíčkova,residential,False,True,40.698,,"LINESTRING (15.0796031 50.9231101, 15.0793777 50.9227728)",,,,,
22924639,U Potoka,residential,False,False,39.076,,"LINESTRING (15.0796031 50.9231101, 15.0793509 50.923174, 15.0790771 50.9232254)",,,,,
22924752,Purkyňova,residential,False,False,180.558,,"LINESTRING (15.0768539 50.9256259, 15.0744839 50.9249895)",,,,,
"[70174713, 22924751]",U Plovárny,residential,False,False,117.94800000000001,,"LINESTRING (15.0768539 50.9256259, 15.0769466 50.9254959, 15.0770863 50.9252459, 15.0773196 50.9248219, 15.0773499 50.9247593, 15.0774038 50.9246246)",,,,yes,
22924752,Purkyňova,residential,False,True,180.558,,"LINESTRING (15.0744839 50.9249895, 15.0768539 50.9256259)",,,,,
22924997,Kodešova,tertiary,False,True,38.724,,"LINESTRING (15.0744839 50.9249895, 15.0742858 50.9253146)",03510,50,,,
22924997,Kodešova,tertiary,False,False,110.796,,"LINESTRING (15.0744839 50.9249895, 15.0748647 50.9243994, 15.0749706 50.9241945, 15.0750127 50.9241043, 15.0750399 50.9240575)",03510,50,,,
"[70174709, 70174706, 22924997]",Kodešova,tertiary,False,False,104.11000000000001,,"LINESTRING (15.0750399 50.9240575, 15.0751142 50.9239923, 15.0755821 50.9237367, 15.0757467 50.9236486, 15.0759175 50.9235497, 15.0761508 50.9234401)",03510,50,,yes,
22924997,Kodešova,tertiary,False,True,110.796,,"LINESTRING (15.0750399 50.9240575, 15.0750127 50.9241043, 15.0749706 50.9241945, 15.0748647 50.9243994, 15.0744839 50.9249895)",03510,50,,,
22924755,Krátká,residential,False,False,65.134,,"LINESTRING (15.0734836 50.9242258, 15.0736609 50.9248008)",,,,,
22924754,Jiráskova,residential,True,False,80.064,,"LINESTRING (15.0734836 50.9242258, 15.0737758 50.9242592, 15.0739085 50.9242659, 15.0740413 50.9242547, 15.074301 50.924207, 15.0745936 50.924147)",,,,,
"[70174708, 244252389, 18492231, 70174711]",Raisova,residential,False,True,319.67100000000005,,"LINESTRING (15.0734836 50.9242258, 15.0734995 50.9237825, 15.0735923 50.923417, 15.0736566 50.9231238, 15.0737515 50.9229092, 15.0738817 50.9226364, 15.0740061 50.9224622, 15.0741905 50.9222333, 15.0742756 50.9220993, 15.0743664 50.9219691, 15.0745642 50.9216935, 15.0747018 50.9214904)",,,,yes,
22924997,Kodešova,tertiary,False,False,38.724,,"LINESTRING (15.0742858 50.9253146, 15.0744839 50.9249895)",03510,50,,,
22924756,,residential,False,True,40.788,,"LINESTRING (15.0742858 50.9253146, 15.0739831 50.9252424, 15.0737819 50.9251403)",,,,,
22924997,Kodešova,tertiary,False,True,97.60500000000002,,"LINESTRING (15.0742858 50.9253146, 15.0742382 50.9254342, 15.0742013 50.9256191, 15.0741477 50.9257596, 15.0740617 50.9259145, 15.0739739 50.9260476, 15.0738802 50.9261467)",03510,50,,,
22924755,Krátká,residential,False,True,38.692,,"LINESTRING (15.0737819 50.9251403, 15.0736609 50.9248008)",,,,,
22924756,,residential,False,False,40.788,,"LINESTRING (15.0737819 50.9251403, 15.0739831 50.9252424, 15.0742858 50.9253146)",,,,,
77991224,Purkyňova,residential,False,False,70.396,,"LINESTRING (15.0803192 50.9257123, 15.0793362 50.9258422)",,,,,
18493084,Lužická,residential,False,False,87.888,,"LINESTRING (15.0831708 50.9252693, 15.0844247 50.9252748)",,,,,
18493084,Lužická,residential,False,True,82.534,,"LINESTRING (15.0831708 50.9252693, 15.0819935 50.925254)",,,,,
22975706,Školní,residential,False,False,88.454,,"LINESTRING (15.0831708 50.9252693, 15.0836726 50.9245394)",,,,,
18493084,Lužická,residential,False,False,66.537,,"LINESTRING (15.0844247 50.9252748, 15.085374 50.9252782)",,,,,
18493084,Lužická,residential,False,True,87.888,,"LINESTRING (15.0844247 50.9252748, 15.0831708 50.9252693)",,,,,
22925012,Pod Rozhlednou,residential,False,False,73.172,,"LINESTRING (15.0789745 50.9252251, 15.0792797 50.9257611, 15.0793362 50.9258422)",,,,,
"[221467685, 221467687]",,unclassified,False,True,70.553,,"LINESTRING (15.0789745 50.9252251, 15.0787501 50.9252361, 15.0785001 50.9252166, 15.0783084 50.9255278)",,,,,
"[70174704, 385747372, 77991247]",Havlíčkova,residential,False,True,182.376,,"LINESTRING (15.0789745 50.9252251, 15.0789683 50.9252049, 15.0789506 50.9251578, 15.0789523 50.9251104, 15.0789406 50.9246942, 15.0789565 50.9246508, 15.0789852 50.9245855, 15.0791305 50.9244156, 15.0791894 50.9243471, 15.0793052 50.9242123, 15.0796096 50.9238579, 15.0797364 50.9237102)",,,,yes,
29259868,U Nemocnice,residential,False,False,45.762,,"LINESTRING (15.0860805 50.9260369, 15.0861814 50.9256303)",,,,,
29259868,U Nemocnice,residential,False,True,45.762,,"LINESTRING (15.0861814 50.9256303, 15.0860805 50.9260369)",,,,,
22925127,Liliová,residential,False,False,91.488,,"LINESTRING (15.0861814 50.9256303, 15.0853488 50.925567, 15.0853255 50.9255386, 15.085374 50.9252782)",,,,,
29259868,U Nemocnice,residential,False,False,39.635999999999996,,"LINESTRING (15.0861814 50.9256303, 15.0862361 50.9254347, 15.0862444 50.925381, 15.0862604 50.9252776)",,,,,
29259868,U Nemocnice,residential,False,True,39.635999999999996,,"LINESTRING (15.0862604 50.9252776, 15.0862444 50.925381, 15.0862361 50.9254347, 15.0861814 50.9256303)",,,,,
69907210,Lužická,residential,False,True,32.384,,"LINESTRING (15.0862604 50.9252776, 15.0859642 50.9252716, 15.0857986 50.9252682)",,,,,
18493084,Lužická,residential,False,False,29.781,,"LINESTRING (15.085374 50.9252782, 15.0857986 50.9252682)",,,,,
