osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,access
218139381,False,Lesík,residential,False,440.5679999999999,"LINESTRING (14.103939 50.1509641, 14.1038277 50.1509736, 14.1018593 50.1511294, 14.1012803 50.1511814, 14.1011754 50.1511912, 14.1010576 50.1512052, 14.1009698 50.1512172, 14.1008693 50.1512332, 14.1001139 50.1513913, 14.099737 50.1514639, 14.0995363 50.1515026, 14.0994566 50.151518, 14.0993888 50.1515274, 14.0993751 50.1515293, 14.0992926 50.1515362, 14.0991894 50.1515398, 14.0990862 50.1515367, 14.0989841 50.1515269, 14.0981262 50.1513458, 14.0979171 50.1512958)",,,,
387822667,False,Vojtěcha Lanny,residential,True,16.207,"LINESTRING (14.0979171 50.1512958, 14.0980051 50.1511614)",,,,
22996894,False,V. Kratochvíla,residential,False,83.214,"LINESTRING (14.0979171 50.1512958, 14.0978147 50.1512795, 14.0967837 50.1511152)",,,,
218139381,False,Lesík,residential,True,440.568,"LINESTRING (14.0979171 50.1512958, 14.0981262 50.1513458, 14.0989841 50.1515269, 14.0990862 50.1515367, 14.0991894 50.1515398, 14.0992926 50.1515362, 14.0993751 50.1515293, 14.0993888 50.1515274, 14.0994566 50.151518, 14.0995363 50.1515026, 14.099737 50.1514639, 14.1001139 50.1513913, 14.1008693 50.1512332, 14.1009698 50.1512172, 14.1010576 50.1512052, 14.1011754 50.1511912, 14.1012803 50.1511814, 14.1018593 50.1511294, 14.1038277 50.1509736, 14.103939 50.1509641)",,,,
23525757,True,Osvoboz. pol. vězňů,residential,False,79.378,"LINESTRING (14.1009211 50.1439371, 14.1008747 50.1439882, 14.1005318 50.144365, 14.100424 50.144479, 14.1004224 50.1444801, 14.1003728 50.1445138, 14.1003216 50.1445318)",,,,
49423661,False,Leoše Janáčka,residential,False,54.072,"LINESTRING (14.1009211 50.1439371, 14.10108 50.143997, 14.1015761 50.1441826)",,,,
49423661,False,Leoše Janáčka,residential,True,66.849,"LINESTRING (14.1032831 50.1448225, 14.1024735 50.1445188)",,,,
49423661,False,Leoše Janáčka,residential,False,40.983999999999995,"LINESTRING (14.1032831 50.1448225, 14.1034205 50.1448737, 14.1035903 50.1449424, 14.1037733 50.1450152)",,,,
49423661,False,Leoše Janáčka,residential,True,40.984,"LINESTRING (14.1037733 50.1450152, 14.1035903 50.1449424, 14.1034205 50.1448737, 14.1032831 50.1448225)",,,,
223992885,False,Ivana Olbrachta,residential,False,100.00899999999999,"LINESTRING (14.1037733 50.1450152, 14.1038867 50.1449438, 14.1041584 50.1447827, 14.1046248 50.1444959, 14.1048233 50.1444241)",,,,
"[49092641, 223992885]",False,"['Ivana Olbrachta', 'Poštovní náměstí']",residential,"[False, True]",82.26700000000001,"LINESTRING (14.1037733 50.1450152, 14.1036331 50.1451478, 14.1035069 50.1452653, 14.1035649 50.1452871, 14.1037411 50.1453517, 14.1038877 50.1454054, 14.1039307 50.145434, 14.1039388 50.1454682, 14.1039271 50.1455492)",,,,
39700011,False,Zádušní,residential,False,56.558,"LINESTRING (14.0963193 50.1459005, 14.0970979 50.1459993)",,,,
39700011,False,Zádušní,residential,True,56.558,"LINESTRING (14.0970979 50.1459993, 14.0963193 50.1459005)",,,,
39700011,False,Zádušní,residential,False,101.43700000000001,"LINESTRING (14.0970979 50.1459993, 14.0971666 50.1460059, 14.0973435 50.1460228, 14.0979355 50.1460977, 14.0983472 50.1461543, 14.0984911 50.146183)",,,,
39700011,False,Zádušní,residential,True,101.43700000000001,"LINESTRING (14.0984911 50.146183, 14.0983472 50.1461543, 14.0979355 50.1460977, 14.0973435 50.1460228, 14.0971666 50.1460059, 14.0970979 50.1459993)",,,,
1122404635,False,Havířská,residential,False,64.64699999999999,"LINESTRING (14.0984911 50.146183, 14.0984371 50.1462185, 14.0984139 50.1462337, 14.0983477 50.1462768, 14.0981389 50.1463912, 14.0978138 50.1465692)",,,,
"[728853345, 1122404636, 362768349]",False,Zádušní,residential,False,325.198,"LINESTRING (14.0984911 50.146183, 14.0985761 50.1462188, 14.0987585 50.1463433, 14.0989852 50.1464967, 14.0990741 50.1465568, 14.0992663 50.1466866, 14.0994101 50.1467807, 14.099548 50.1468659, 14.0995851 50.1468873, 14.0996877 50.1469465, 14.0996989 50.1469528, 14.0997589 50.1469867, 14.0998936 50.1470565, 14.1000016 50.1471055, 14.1000824 50.1471392, 14.1000993 50.1471457, 14.1003292 50.14723, 14.1003657 50.1472435, 14.101135 50.1475083, 14.101389 50.1475958, 14.101466 50.1476204, 14.1015236 50.147641, 14.1015919 50.1476653, 14.1018249 50.1477434, 14.1020282 50.1478078, 14.10218 50.1478529)",,,30,
24263970,False,náměstí starosty Pavla,residential,False,116.19799999999998,"LINESTRING (14.1027789 50.1478282, 14.1028255 50.1477972, 14.1028668 50.1477571, 14.1029093 50.1476873, 14.1029917 50.1475075, 14.1030399 50.1473657, 14.103055 50.1473319, 14.1030832 50.1472958, 14.1030898 50.1472897, 14.1031539 50.1472297, 14.1033991 50.147037, 14.1034188 50.1470219, 14.1035421 50.1469283)",,,,
42723716,False,Slánská,residential,False,96.79199999999999,"LINESTRING (14.1027789 50.1478282, 14.1028605 50.1478992, 14.1028656 50.1479058, 14.1029717 50.1479702, 14.1032621 50.148447, 14.1033226 50.1485463, 14.1033901 50.1485919)",,,,
292511488,False,náměstí starosty Pavla,residential,True,45.623999999999995,"LINESTRING (14.1027789 50.1478282, 14.1027236 50.1478537, 14.1026636 50.1478743, 14.1025998 50.1478896, 14.1025334 50.1478993, 14.1024656 50.1479033, 14.1023975 50.1479015, 14.1023305 50.147894, 14.10218 50.1478529)",,,,
"[24263969, 1213317286]",True,Hajnova,residential,False,169.405,"LINESTRING (14.1035421 50.1469283, 14.1036149 50.1469615, 14.1039757 50.1471081, 14.1040445 50.1471319, 14.1042274 50.1471829, 14.1050108 50.1473901, 14.1052947 50.1474661, 14.1056564 50.147563, 14.1056896 50.1475719)",,1,,
24263970,False,náměstí starosty Pavla,residential,True,116.19800000000001,"LINESTRING (14.1035421 50.1469283, 14.1034188 50.1470219, 14.1033991 50.147037, 14.1031539 50.1472297, 14.1030898 50.1472897, 14.1030832 50.1472958, 14.103055 50.1473319, 14.1030399 50.1473657, 14.1029917 50.1475075, 14.1029093 50.1476873, 14.1028668 50.1477571, 14.1028255 50.1477972, 14.1027789 50.1478282)",,,,
228671889,False,náměstí starosty Pavla,residential,True,52.126000000000005,"LINESTRING (14.1035421 50.1469283, 14.103479 50.1468994, 14.1030344 50.1466956, 14.1029602 50.1466459)",,2,,
707439745,False,gen. Klapálka,tertiary,False,65.655,"LINESTRING (14.1058486 50.1447759, 14.1066827 50.1450267)",2385,2,50,
24431668,False,Dr. Vrbenského,residential,False,78.531,"LINESTRING (14.1058486 50.1447759, 14.1057784 50.1448738, 14.1056101 50.1451084, 14.1054666 50.1453013, 14.1053797 50.145415)",,,,
219200237,False,gen. Klapálka,tertiary,True,83.149,"LINESTRING (14.1058486 50.1447759, 14.1056611 50.1447211, 14.1050482 50.1445256, 14.1049964 50.1445065, 14.1049339 50.1444835, 14.1048233 50.1444241)",2385,2,50,
"[24431669, 24431670, 1213317285]",True,náměstí starosty Pavla,residential,False,158.832,"LINESTRING (14.10218 50.1478529, 14.1024406 50.1472332, 14.1024893 50.1471171, 14.1025737 50.146916, 14.1026402 50.1467591, 14.1026748 50.1466909, 14.1026972 50.1466545, 14.1027404 50.1466306, 14.1028019 50.1466185, 14.1028666 50.1466207, 14.1029111 50.1466292, 14.1029602 50.1466459)",,,,
292511488,False,náměstí starosty Pavla,residential,False,45.623999999999995,"LINESTRING (14.10218 50.1478529, 14.1023305 50.147894, 14.1023975 50.1479015, 14.1024656 50.1479033, 14.1025334 50.1478993, 14.1025998 50.1478896, 14.1026636 50.1478743, 14.1027236 50.1478537, 14.1027789 50.1478282)",,,,
"[728853345, 1122404636, 362768349]",False,Zádušní,residential,True,325.198,"LINESTRING (14.10218 50.1478529, 14.1020282 50.1478078, 14.1018249 50.1477434, 14.1015919 50.1476653, 14.1015236 50.147641, 14.101466 50.1476204, 14.101389 50.1475958, 14.101135 50.1475083, 14.1003657 50.1472435, 14.1003292 50.14723, 14.1000993 50.1471457, 14.1000824 50.1471392, 14.1000016 50.1471055, 14.0998936 50.1470565, 14.0997589 50.1469867, 14.0996989 50.1469528, 14.0996877 50.1469465, 14.0995851 50.1468873, 14.099548 50.1468659, 14.0994101 50.1467807, 14.0992663 50.1466866, 14.0990741 50.1465568, 14.0989852 50.1464967, 14.0987585 50.1463433, 14.0985761 50.1462188, 14.0984911 50.146183)",,,30,
24431671,True,plk. Stříbrného,residential,False,140.779,"LINESTRING (14.1029602 50.1466459, 14.10302 50.1465806, 14.1031537 50.1464518, 14.1032258 50.1463485, 14.1032897 50.1462579, 14.103373 50.1461434, 14.103487 50.1460126, 14.1036094 50.1458712, 14.1037112 50.1457333, 14.1037635 50.1456675, 14.1038062 50.1456259, 14.1039271 50.1455492)",,1,,
228671889,False,náměstí starosty Pavla,residential,False,52.126000000000005,"LINESTRING (14.1029602 50.1466459, 14.1030344 50.1466956, 14.103479 50.1468994, 14.1035421 50.1469283)",,2,,
49092641,False,Poštovní náměstí,residential,False,18.555999999999997,"LINESTRING (14.1039271 50.1455492, 14.1039157 50.1456674, 14.103979 50.1456939)",,,,
"[49092641, 223992885]",False,"['Ivana Olbrachta', 'Poštovní náměstí']",residential,"[False, True]",82.26700000000001,"LINESTRING (14.1039271 50.1455492, 14.1039388 50.1454682, 14.1039307 50.145434, 14.1038877 50.1454054, 14.1037411 50.1453517, 14.1035649 50.1452871, 14.1035069 50.1452653, 14.1036331 50.1451478, 14.1037733 50.1450152)",,,,
49092642,True,Mlýnská,residential,False,62.06999999999999,"LINESTRING (14.1039271 50.1455492, 14.104045 50.1455207, 14.1041156 50.1455037, 14.1041612 50.1454822, 14.1045035 50.1451563)",,,,
30975671,False,,residential,False,30.164,"LINESTRING (14.1086741 50.1502926, 14.1086891 50.1505637)",,,,
218090786,False,Pod Zámkem,tertiary,False,166.6,"LINESTRING (14.1086741 50.1502926, 14.108166 50.1502961, 14.1076832 50.1502901, 14.1070802 50.1502632, 14.1063488 50.1501804)",,2,,
1213317284,False,Huťská,residential,False,38.816,"LINESTRING (14.1063903 50.1477795, 14.1061873 50.1477122, 14.1061274 50.1476924, 14.1059064 50.1476192)",,3,,
387794928,True,Slánská,residential,False,81.869,"LINESTRING (14.1053458 50.1492964, 14.1063748 50.149624)",,,,
387794929,False,Slánská,residential,True,27.121,"LINESTRING (14.1053458 50.1492964, 14.1050053 50.1491874)",,,,
25455213,True,Josefa Hoffmanna,residential,False,184.361,"LINESTRING (14.1053458 50.1492964, 14.1063447 50.1478457, 14.1063721 50.1478059, 14.1063903 50.1477795)",,,,
314095072,True,Poděbradova,residential,False,37.606,"LINESTRING (14.0985579 50.1450496, 14.0987113 50.144726)",,,,
30975694,False,Poděbradova,residential,True,69.428,"LINESTRING (14.0985579 50.1450496, 14.0983134 50.1455495, 14.098267 50.1456455)",,,,
25894136,True,Vašatova,residential,False,46.93299999999999,"LINESTRING (14.097206 50.1447297, 14.0973138 50.1447711, 14.0977919 50.144922)",,,,
30975697,False,Tyršova,residential,True,128.72699999999998,"LINESTRING (14.097206 50.1447297, 14.0972298 50.1446278, 14.0975687 50.144195, 14.0977587 50.1439471, 14.0978779 50.1437813, 14.0979484 50.1436792)",,,,
30975670,False,Slánská,residential,False,44.064,"LINESTRING (14.1063748 50.149624, 14.1064352 50.1496893, 14.1064941 50.1498181, 14.10647 50.1499235, 14.1064557 50.1500026)",,,,
30975702,False,U haldy,residential,False,121.806,"LINESTRING (14.1063748 50.149624, 14.1065694 50.1496249, 14.1069112 50.1496855, 14.1077552 50.1498171, 14.1080351 50.1498696)",,,,
387794930,False,Slánská,residential,False,66.094,"LINESTRING (14.1063488 50.1501804, 14.1060352 50.1507398)",,,,
218090786,False,Pod Zámkem,tertiary,False,191.67600000000002,"LINESTRING (14.1063488 50.1501804, 14.1058836 50.1501144, 14.1053162 50.1500138, 14.1045381 50.1498519, 14.104067 50.14971, 14.103817 50.1496206)",,2,,
218090786,False,Pod Zámkem,tertiary,True,166.59999999999997,"LINESTRING (14.1063488 50.1501804, 14.1070802 50.1502632, 14.1076832 50.1502901, 14.108166 50.1502961, 14.1086741 50.1502926)",,2,,
25455211,False,Železárenská,residential,True,60.044,"LINESTRING (14.1060352 50.1507398, 14.1052024 50.1508224)",,,,
387794930,False,Slánská,residential,True,66.094,"LINESTRING (14.1060352 50.1507398, 14.1063488 50.1501804)",,,,
25455211,False,Železárenská,residential,False,190.378,"LINESTRING (14.1060352 50.1507398, 14.1077489 50.1505819, 14.1086891 50.1505637)",,,,
387794930,False,Slánská,residential,False,88.761,"LINESTRING (14.1060352 50.1507398, 14.1054212 50.1511502, 14.1052945 50.1513651)",,,,
387794930,False,Slánská,residential,True,88.761,"LINESTRING (14.1052945 50.1513651, 14.1054212 50.1511502, 14.1060352 50.1507398)",,,,
30975671,False,,residential,True,30.164,"LINESTRING (14.1086891 50.1505637, 14.1086741 50.1502926)",,,,
25455211,False,Železárenská,residential,True,190.378,"LINESTRING (14.1086891 50.1505637, 14.1077489 50.1505819, 14.1060352 50.1507398)",,,,
30975674,False,Ocelárenská,residential,False,114.306,"LINESTRING (14.108814 50.1456999, 14.1073772 50.1452428)",,,,
30975678,False,Rooseveltova,residential,True,104.472,"LINESTRING (14.1075115 50.1442517, 14.1066827 50.1450267)",,,,
221007039,False,Divadelní,residential,False,58.407,"LINESTRING (14.1075115 50.1442517, 14.1082167 50.1445194)",,,50,
30975678,False,Rooseveltova,residential,False,159.40699999999998,"LINESTRING (14.1075115 50.1442517, 14.1082075 50.1436113, 14.109223 50.1435558)",,,,
221007039,False,Divadelní,residential,True,149.252,"LINESTRING (14.1075115 50.1442517, 14.1074196 50.1442225, 14.1057105 50.143681, 14.1056337 50.1436572)",,,50,
30975678,False,Rooseveltova,residential,False,104.472,"LINESTRING (14.1066827 50.1450267, 14.1075115 50.1442517)",,,,
707439745,False,gen. Klapálka,tertiary,False,55.014,"LINESTRING (14.1066827 50.1450267, 14.1073772 50.1452428)",2385,2,50,
707439745,False,gen. Klapálka,tertiary,True,65.655,"LINESTRING (14.1066827 50.1450267, 14.1058486 50.1447759)",2385,2,50,
30975680,False,Baráčkova,residential,False,128.93,"LINESTRING (14.109223 50.1435558, 14.1082167 50.1445194)",,,,
30975678,False,Rooseveltova,residential,True,159.40699999999998,"LINESTRING (14.109223 50.1435558, 14.1082075 50.1436113, 14.1075115 50.1442517)",,,,
30975680,False,Baráčkova,residential,True,128.93,"LINESTRING (14.1082167 50.1445194, 14.109223 50.1435558)",,,,
221007039,False,Divadelní,residential,False,71.816,"LINESTRING (14.1082167 50.1445194, 14.1090639 50.1448692)",,,50,
221007039,False,Divadelní,residential,True,58.407,"LINESTRING (14.1082167 50.1445194, 14.1075115 50.1442517)",,,50,
23525755,True,Leoše Janáčka,residential,False,112.59,"LINESTRING (14.0995592 50.1434238, 14.0997352 50.1434898, 14.1002767 50.143694, 14.1003285 50.1437136, 14.1009211 50.1439371)",,,,
30975697,False,Tyršova,residential,False,128.727,"LINESTRING (14.0979484 50.1436792, 14.0978779 50.1437813, 14.0977587 50.1439471, 14.0975687 50.144195, 14.0972298 50.1446278, 14.097206 50.1447297)",,,,
48249749,False,Váňova,residential,False,33.594,"LINESTRING (14.1003216 50.1445318, 14.10049 50.1446242, 14.1006705 50.1447348)",,,30,
48249750,True,Váňova,residential,False,53.877,"LINESTRING (14.1003216 50.1445318, 14.1002096 50.1444929, 14.0997685 50.1443403, 14.0996577 50.1443)",,,,
48249749,False,Váňova,residential,False,20.725,"LINESTRING (14.1006705 50.1447348, 14.1008653 50.1448732)",,,30,
30975689,False,Žižkova,residential,True,105.44,"LINESTRING (14.1006705 50.1447348, 14.1001084 50.1455478, 14.1000716 50.1456019)",,,,
48249749,False,Váňova,residential,True,33.594,"LINESTRING (14.1006705 50.1447348, 14.10049 50.1446242, 14.1003216 50.1445318)",,,30,
49423661,False,Leoše Janáčka,residential,False,66.849,"LINESTRING (14.1024735 50.1445188, 14.1032831 50.1448225)",,,,
49423661,False,Leoše Janáčka,residential,True,36.808,"LINESTRING (14.1024735 50.1445188, 14.102149 50.1443971, 14.1020276 50.1443517)",,,,
658690346,False,Floriánská,residential,True,104.697,"LINESTRING (14.1024735 50.1445188, 14.1024341 50.1445588, 14.1023725 50.1446213, 14.101689 50.1453149)",,,,
30975692,True,Komenského,residential,False,64.63199999999999,"LINESTRING (14.0996577 50.1443, 14.0996222 50.1443566, 14.099319 50.1448392)",,,,
48249750,True,Váňova,residential,False,53.348,"LINESTRING (14.0996577 50.1443, 14.0991628 50.1441062, 14.0990193 50.1440494)",,,,
387794927,False,Komenského,residential,True,91.901,"LINESTRING (14.098917 50.1456152, 14.0989678 50.145529, 14.0993121 50.1449418, 14.0992925 50.144884, 14.099319 50.1448392)",,,,
48249750,True,Váňova,residential,False,86.752,"LINESTRING (14.0990193 50.1440494, 14.0988586 50.1439959, 14.0981392 50.1437353, 14.0979484 50.1436792)",,,,
49423663,True,Poděbradova,residential,False,79.535,"LINESTRING (14.0990193 50.1440494, 14.0990949 50.1439635, 14.0992977 50.1437354, 14.0995034 50.143504, 14.0995592 50.1434238)",,,,
30975698,False,Stará,residential,False,58.128,"LINESTRING (14.101689 50.1453149, 14.1024037 50.1455669)",,,,
658690346,False,Floriánská,residential,False,104.697,"LINESTRING (14.101689 50.1453149, 14.1023725 50.1446213, 14.1024341 50.1445588, 14.1024735 50.1445188)",,,,
30975698,False,Stará,residential,True,58.128,"LINESTRING (14.1024037 50.1455669, 14.101689 50.1453149)",,,,
49095070,False,Balcarova,residential,True,90.911,"LINESTRING (14.1024037 50.1455669, 14.1026893 50.1452373, 14.1030302 50.1448547)",,,,
50034345,False,Stará,residential,True,68.976,"LINESTRING (14.1024037 50.1455669, 14.1024573 50.145607, 14.1024391 50.1461744)",,,,
49095415,False,O. Peška,residential,False,88.96600000000001,"LINESTRING (14.0973509 50.1456705, 14.0973898 50.1456086, 14.0977502 50.1449932, 14.0977919 50.144922)",,,,
1122404635,False,Havířská,residential,True,64.647,"LINESTRING (14.0978138 50.1465692, 14.0981389 50.1463912, 14.0983477 50.1462768, 14.0984139 50.1462337, 14.0984371 50.1462185, 14.0984911 50.146183)",,,,
39725752,False,Pod Zámkem,secondary,False,42.158,"LINESTRING (14.096656 50.1462447, 14.0971374 50.1464651)",238,,,
9526133,True,Čs. armády,secondary,False,76.70899999999999,"LINESTRING (14.096656 50.1462447, 14.0959011 50.1458997, 14.0957691 50.145855)",238,,50,
42723716,False,Slánská,residential,True,96.792,"LINESTRING (14.1033901 50.1485919, 14.1033226 50.1485463, 14.1032621 50.148447, 14.1029717 50.1479702, 14.1028656 50.1479058, 14.1028605 50.1478992, 14.1027789 50.1478282)",,,,
24431668,False,Dr. Vrbenského,residential,False,78.09100000000001,"LINESTRING (14.1053797 50.145415, 14.1051175 50.1456917, 14.1049597 50.1458321, 14.1047576 50.1459917)",,,,
24431668,False,Dr. Vrbenského,residential,True,78.531,"LINESTRING (14.1053797 50.145415, 14.1054666 50.1453013, 14.1056101 50.1451084, 14.1057784 50.1448738, 14.1058486 50.1447759)",,,,
49090548,False,Hrnčířská,residential,True,68.749,"LINESTRING (14.1053797 50.145415, 14.1052978 50.1453931, 14.1047524 50.1452305, 14.1045035 50.1451563)",,,,
60197367,False,Mlýnská,residential,False,66.021,"LINESTRING (14.1045035 50.1451563, 14.1050375 50.1446711)",,,,
49090548,False,Hrnčířská,residential,False,68.749,"LINESTRING (14.1045035 50.1451563, 14.1047524 50.1452305, 14.1052978 50.1453931, 14.1053797 50.145415)",,,,
24431668,False,Dr. Vrbenského,residential,True,78.09100000000001,"LINESTRING (14.1047576 50.1459917, 14.1049597 50.1458321, 14.1051175 50.1456917, 14.1053797 50.145415)",,,,
49092641,False,Poštovní náměstí,residential,True,65.138,"LINESTRING (14.1047576 50.1459917, 14.1046713 50.1459837, 14.1044767 50.1459022, 14.103979 50.1456939)",,,,
223268737,True,Dr. Vrbenského,residential,False,138.226,"LINESTRING (14.1047576 50.1459917, 14.1046916 50.1460478, 14.1045244 50.1461946, 14.10442 50.1463545, 14.1043598 50.1464393, 14.1042756 50.1465348, 14.1041769 50.1465991, 14.104071 50.1466636, 14.1038817 50.1467624, 14.1037469 50.1468158, 14.1036156 50.1468934, 14.1035421 50.1469283)",,,,
60197367,False,Mlýnská,residential,True,66.021,"LINESTRING (14.1050375 50.1446711, 14.1045035 50.1451563)",,,,
49423661,False,Leoše Janáčka,residential,False,37.265,"LINESTRING (14.1015761 50.1441826, 14.1016995 50.1442288, 14.1020276 50.1443517)",,,,
