osmid,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,ref,tunnel,access
"[40924827, 41706534, 41706535]",Zollrain,residential,False,True,19.137999999999998,"LINESTRING (7.7952833 47.5536966, 7.7953158 47.5536921, 7.7954136 47.5536286, 7.7954604 47.5535798)",yes,,,,,
"[39976228, 661752277, 661752278]",Schützenweg,residential,False,True,260.02700000000004,"LINESTRING (7.7952833 47.5536966, 7.7950596 47.5535286, 7.7949296 47.5534426, 7.7948042 47.5533669, 7.7946554 47.553293, 7.7944026 47.5531881, 7.7943488 47.5531697, 7.7942819 47.5531504, 7.7942024 47.5531325, 7.793794 47.5530612, 7.7936597 47.5530385, 7.7933198 47.5529811, 7.7932517 47.5529679, 7.7932129 47.5529553, 7.7931722 47.552936, 7.7930254 47.552839, 7.7929234 47.5527798, 7.7928797 47.552758, 7.7928413 47.5527443, 7.7927663 47.5527232, 7.7926011 47.5526802, 7.7924517 47.5526411, 7.7923043 47.5526192)",,,,,,
"[34993553, 54569492]","['Zürcherstrasse', 'Kaiserstrasse']",primary,False,True,209.269,"LINESTRING (7.7980835 47.5520836, 7.7978802 47.5521521, 7.7974508 47.5523141, 7.7970409 47.5524871, 7.7964142 47.5527529, 7.7962393 47.5528171, 7.7960543 47.5528654, 7.7959763 47.5528857, 7.7957967 47.5529169, 7.7956203 47.5529383)",,50,"['2', '3']",3;7,,
35602974,Magdenerstrasse,residential,False,False,57.318,"LINESTRING (7.7980835 47.5520836, 7.7980506 47.5520235, 7.7980347 47.551993, 7.798008 47.5518843, 7.7980145 47.5517434, 7.7980749 47.5515805)",,30,,,,
34993556,Quellenstrasse,residential,True,False,80.03,"LINESTRING (7.7921814 47.5516487, 7.7918876 47.5515774, 7.7915754 47.5514911, 7.7911943 47.5513772)",,30,,,,
"[827890026, 54569499, 827890039]",Bahnhofstrasse,"['residential', 'living_street']",False,False,92.68399999999998,"LINESTRING (7.7921814 47.5516487, 7.7922249 47.551538, 7.7921268 47.5515063, 7.7920319 47.551454, 7.7919256 47.5513889, 7.7918379 47.5513456, 7.7917886 47.5513308, 7.7916387 47.5512861, 7.7915617 47.5512614, 7.7914164 47.5512158, 7.7913327 47.5511592)",,,,,,
"[1205716433, 54569498]",Bahnhofstrasse,residential,False,True,60.466,"LINESTRING (7.7921814 47.5516487, 7.7921852 47.5517112, 7.7921952 47.5517715, 7.7922037 47.5518191, 7.7922363 47.551943, 7.7922817 47.5520798, 7.7923007 47.5521856)",,50,3,,,
34993558,Quellenrain,residential,False,False,55.906,"LINESTRING (7.7902596 47.5511165, 7.7900264 47.551594)",,,,,,
827890047,Quellenstrasse,residential,False,False,40.991,"LINESTRING (7.7902596 47.5511165, 7.7897417 47.5509994)",,30,,,,
827890047,Quellenstrasse,residential,False,True,40.991,"LINESTRING (7.7897417 47.5509994, 7.7902596 47.5511165)",,30,,,,
34993557,Quellenstrasse,residential,False,False,120.033,"LINESTRING (7.7897417 47.5509994, 7.7891749 47.5508776, 7.7885851 47.5507565, 7.7882114 47.5506859)",,30,,,,
54569497,Bahnhofstrasse,residential,False,True,32.346000000000004,"LINESTRING (7.7897417 47.5509994, 7.7898307 47.5508328, 7.7899027 47.5507299)",,,,,,
34993558,Quellenrain,residential,False,True,52.09,"LINESTRING (7.789853 47.5520476, 7.7900264 47.551594)",,,,,,
"[1205716434, 1205716438]",Kaiserstrasse,primary,False,False,185.70700000000002,"LINESTRING (7.789853 47.5520476, 7.790302 47.552135, 7.7905955 47.5521786, 7.7910308 47.5522011, 7.7913001 47.5521974, 7.7920565 47.5521884, 7.7923007 47.5521856)",,50,"['2', '3']",3;7,,
"[1205716434, 54571931]",Kaiserstrasse,primary,False,True,152.90900000000002,"LINESTRING (7.789853 47.5520476, 7.7894801 47.5519807, 7.7888755 47.5518588, 7.7880115 47.5517161, 7.7878828 47.5516991)",,50,2,3;7,,
34993559,Belchenstrasse,residential,False,False,57.54,"LINESTRING (7.7882114 47.5506859, 7.7880332 47.5511892)",,,,,,
34993557,Quellenstrasse,residential,False,False,177.256,"LINESTRING (7.7882114 47.5506859, 7.7880177 47.5506436, 7.787463 47.5505234, 7.7871449 47.5504153, 7.7868235 47.5503007, 7.7862632 47.5500997, 7.7860728 47.5500233)",,30,,,,
34993557,Quellenstrasse,residential,False,True,120.03300000000002,"LINESTRING (7.7882114 47.5506859, 7.7885851 47.5507565, 7.7891749 47.5508776, 7.7897417 47.5509994)",,30,,,,
34993559,Belchenstrasse,residential,False,True,57.54,"LINESTRING (7.7880332 47.5511892, 7.7882114 47.5506859)",,,,,,
34993560,Margaretenweg,residential,False,False,156.213,"LINESTRING (7.7880332 47.5511892, 7.7900264 47.551594)",,,,,,
34993559,Belchenstrasse,residential,False,False,57.812,"LINESTRING (7.7880332 47.5511892, 7.7879357 47.551528, 7.7878828 47.5516991)",,,,,,
34993560,Margaretenweg,residential,False,True,109.655,"LINESTRING (7.7880332 47.5511892, 7.7870985 47.5510368, 7.7866365 47.5509086)",,,,,,
54571931,Kaiserstrasse,primary,False,False,4.148,"LINESTRING (7.7878283 47.5516929, 7.7878828 47.5516991)",,50,2,3;7,,
"[40479883, 1038101754, 22992747, 43009188]","['Habich-Dietschy-Strasse', 'Fröschweid']","['residential', 'living_street']",False,True,370.386,"LINESTRING (7.7878283 47.5516929, 7.7877935 47.5518252, 7.787767 47.5519161, 7.7877283 47.5520486, 7.7877003 47.5521449, 7.7876974 47.5521765, 7.7877065 47.552202, 7.7877574 47.5522457, 7.7885468 47.5527016, 7.7888759 47.5528903, 7.7894991 47.5532441, 7.7899703 47.553523, 7.7900336 47.553561, 7.79012 47.5536223, 7.7901864 47.5536806, 7.7902458 47.5537473, 7.7903163 47.5538667, 7.79039 47.5540278, 7.7905029 47.5542146)",,"['20', '30']",,,,
34993560,Margaretenweg,residential,False,False,109.655,"LINESTRING (7.7866365 47.5509086, 7.7870985 47.5510368, 7.7880332 47.5511892)",,,,,,
34993558,Quellenrain,residential,False,False,52.09,"LINESTRING (7.7900264 47.551594, 7.789853 47.5520476)",,,,,,
34993558,Quellenrain,residential,False,True,55.906,"LINESTRING (7.7900264 47.551594, 7.7902596 47.5511165)",,,,,,
34993560,Margaretenweg,residential,False,True,156.213,"LINESTRING (7.7900264 47.551594, 7.7880332 47.5511892)",,,,,,
54569497,Bahnhofstrasse,residential,False,False,126.561,"LINESTRING (7.7913327 47.5511592, 7.791051 47.5510739, 7.7910219 47.5510504, 7.7909904 47.5510016, 7.7909364 47.5509769, 7.7900414 47.5506781, 7.7899468 47.5506733, 7.7899027 47.5507299)",,,,,,
"[827890026, 54569499, 827890039]",Bahnhofstrasse,"['living_street', 'residential']",False,True,92.684,"LINESTRING (7.7913327 47.5511592, 7.7914164 47.5512158, 7.7915617 47.5512614, 7.7916387 47.5512861, 7.7917886 47.5513308, 7.7918379 47.5513456, 7.7919256 47.5513889, 7.7920319 47.551454, 7.7921268 47.5515063, 7.7922249 47.551538, 7.7921814 47.5516487)",,,,,,
34993561,,residential,True,False,26.372,"LINESTRING (7.7911943 47.5513772, 7.7912867 47.551232, 7.7913327 47.5511592)",,,,,,
54569500,Quellenstrasse,residential,True,False,75.903,"LINESTRING (7.7911943 47.5513772, 7.7911409 47.5513626, 7.7910874 47.551348, 7.7906314 47.5512218, 7.7902596 47.5511165)",,,,,,
"[40924827, 179475692, 179475694]",Zollrain,residential,False,True,44.275000000000006,"LINESTRING (7.794811 47.5539303, 7.7949434 47.5538766, 7.7950315 47.5538433, 7.795084 47.5538242, 7.7951937 47.5537586, 7.7952833 47.5536966)",,,,,building_passage,
35602974,Magdenerstrasse,residential,False,True,57.318000000000005,"LINESTRING (7.7980749 47.5515805, 7.7980145 47.5517434, 7.798008 47.5518843, 7.7980347 47.551993, 7.7980506 47.5520235, 7.7980835 47.5520836)",,30,,,,
"[41706594, 41079284, 41706591]",Stadtweg,residential,False,False,100.226,"LINESTRING (7.7980749 47.5515805, 7.7979455 47.551548, 7.7978058 47.5515309, 7.7976226 47.5515188, 7.7974086 47.5515317, 7.797332 47.551539, 7.797061 47.5515707, 7.7968591 47.5515942, 7.7967621 47.5515801)",yes,30,,,,
265289639,Magdenerstrasse,residential,False,False,107.327,"LINESTRING (7.7980749 47.5515805, 7.7982649 47.5512327, 7.7986216 47.5506891)",,50,,,,
"[40925829, 39694054, 41474761, 1072336335, 661752272]","['Kirchgasse', 'Kapuzinergasse', 'Jagdgasse', 'Bahnhofstrasse']",living_street,False,"[False, True]",374.099,"LINESTRING (7.7920986 47.5533399, 7.7926 47.55344, 7.7928984 47.5535355, 7.7930428 47.5536022, 7.7931065 47.5536342, 7.7932997 47.5536662, 7.793406 47.5536945, 7.7936261 47.5537587, 7.7938606 47.5538367, 7.7937311 47.5539944, 7.7935734 47.5541138, 7.7934909 47.5541767, 7.7934324 47.5541627, 7.7933716 47.5541502, 7.7932379 47.5541067, 7.7931038 47.5540736, 7.7929062 47.5540223, 7.7924356 47.5539234, 7.7922303 47.5538808, 7.791874 47.5538047, 7.7918923 47.5537647, 7.7919738 47.5535881, 7.7920448 47.553447, 7.7920986 47.5533399)",,20,1,,,
"[40925829, 39694054, 41474761, 1072336335, 661752272]","['Kirchgasse', 'Jagdgasse', 'Kapuzinergasse', 'Bahnhofstrasse']",living_street,False,"[False, True]",374.09900000000005,"LINESTRING (7.7920986 47.5533399, 7.7920448 47.553447, 7.7919738 47.5535881, 7.7918923 47.5537647, 7.791874 47.5538047, 7.7922303 47.5538808, 7.7924356 47.5539234, 7.7929062 47.5540223, 7.7931038 47.5540736, 7.7932379 47.5541067, 7.7933716 47.5541502, 7.7934324 47.5541627, 7.7934909 47.5541767, 7.7935734 47.5541138, 7.7937311 47.5539944, 7.7938606 47.5538367, 7.7936261 47.5537587, 7.793406 47.5536945, 7.7932997 47.5536662, 7.7931065 47.5536342, 7.7930428 47.5536022, 7.7928984 47.5535355, 7.7926 47.55344, 7.7920986 47.5533399)",,20,1,,,
"[1038101753, 40926347]",Bahnhofstrasse,"['living_street', 'residential']",False,False,81.642,"LINESTRING (7.7920986 47.5533399, 7.7921598 47.5531439, 7.7922013 47.5530109, 7.7922885 47.5527081, 7.7923043 47.5526192)",,20,,,,
39694101,Gottesackerweg,residential,False,False,163.16600000000003,"LINESTRING (7.7954604 47.5535798, 7.7958657 47.5537927, 7.7964487 47.5539638, 7.7972215 47.5541213, 7.7974391 47.554124)",,,,,,destination
"[40924827, 41706534, 41706535]",Zollrain,residential,False,False,19.137999999999998,"LINESTRING (7.7954604 47.5535798, 7.7954136 47.5536286, 7.7953158 47.5536921, 7.7952833 47.5536966)",yes,,,,,
41706534,Zollrain,residential,False,True,40.347,"LINESTRING (7.7954604 47.5535798, 7.7956188 47.553384, 7.7957059 47.5532572)",,,,,,
34993537,Hermann-Keller-Strasse,residential,True,False,7.612,"LINESTRING (7.7955353 47.5554385, 7.795635 47.5554511)",,,,,yes,
36820442,Hermann-Keller-Strasse,tertiary,False,False,91.09,"LINESTRING (7.7971241 47.5549343, 7.7972064 47.5548004, 7.7972257 47.554769, 7.7972654 47.5547018, 7.7974586 47.5543839, 7.7975389 47.5542565, 7.7975854 47.5541766)",,,,,,
36820442,Hermann-Keller-Strasse,tertiary,False,True,39.440999999999995,"LINESTRING (7.7971241 47.5549343, 7.7970579 47.5550432, 7.7970221 47.5551022, 7.7969557 47.5552114, 7.7969533 47.5552416, 7.7969713 47.5552634)",,,,,,
41078976,,residential,False,False,98.266,"LINESTRING (7.7971241 47.5549343, 7.7967795 47.5548487, 7.7961337 47.5545827, 7.7961572 47.5544584)",,,,,,
41078976,,residential,False,True,98.266,"LINESTRING (7.7961572 47.5544584, 7.7961337 47.5545827, 7.7967795 47.5548487, 7.7971241 47.5549343)",,,,,,
41079249,Alleeweg,residential,False,True,67.371,"LINESTRING (7.7928119 47.5504808, 7.7928891 47.5503116, 7.7929223 47.5502375, 7.7931121 47.5499695, 7.7931792 47.5499394)",,30,,,,
41079249,Alleeweg,residential,False,False,67.37100000000001,"LINESTRING (7.7931792 47.5499394, 7.7931121 47.5499695, 7.7929223 47.5502375, 7.7928891 47.5503116, 7.7928119 47.5504808)",,30,,,,
41079266,Lichsweg,residential,False,False,126.56,"LINESTRING (7.7931792 47.5499394, 7.7944054 47.5502228, 7.7947746 47.5503081)",,30,,,,
41079266,Lichsweg,residential,False,False,17.421,"LINESTRING (7.7947746 47.5503081, 7.7950032 47.5503353)",,30,,,,
41079266,Lichsweg,residential,False,True,126.56,"LINESTRING (7.7947746 47.5503081, 7.7944054 47.5502228, 7.7931792 47.5499394)",,30,,,,
41079266,Lichsweg,residential,False,False,111.117,"LINESTRING (7.7950032 47.5503353, 7.7964664 47.5504879)",,30,,,,
41079266,Lichsweg,residential,False,True,17.421,"LINESTRING (7.7950032 47.5503353, 7.7947746 47.5503081)",,30,,,,
41079341,Im Lichs,residential,False,False,65.213,"LINESTRING (7.7950032 47.5503353, 7.7949048 47.550918)",,,,,,
41079266,Lichsweg,residential,False,True,111.117,"LINESTRING (7.7964664 47.5504879, 7.7950032 47.5503353)",,30,,,,
41706591,Stadtweg,residential,False,True,131.018,"LINESTRING (7.7964664 47.5504879, 7.7965011 47.5513332, 7.7965115 47.5514205, 7.7965535 47.5514881, 7.796643 47.5515484, 7.7967621 47.5515801)",,30,,,,
41539535,,residential,False,False,60.507,"LINESTRING (7.7967621 47.5515801, 7.7967456 47.5516936, 7.7968822 47.5519339, 7.7969766 47.5520589, 7.7969984 47.5520878)",,,,,,
41706591,Stadtweg,residential,False,False,131.018,"LINESTRING (7.7967621 47.5515801, 7.796643 47.5515484, 7.7965535 47.5514881, 7.7965115 47.5514205, 7.7965011 47.5513332, 7.7964664 47.5504879)",,30,,,,
"[41706594, 41079284, 41706591]",Stadtweg,residential,False,True,100.22599999999998,"LINESTRING (7.7967621 47.5515801, 7.7968591 47.5515942, 7.797061 47.5515707, 7.797332 47.551539, 7.7974086 47.5515317, 7.7976226 47.5515188, 7.7978058 47.5515309, 7.7979455 47.551548, 7.7980749 47.5515805)",yes,30,,,,
41079341,Im Lichs,residential,False,True,65.213,"LINESTRING (7.7949048 47.550918, 7.7950032 47.5503353)",,,,,,
41079353,Im Lichs,residential,False,False,94.035,"LINESTRING (7.7949048 47.550918, 7.795244 47.5509698, 7.7951582 47.551578)",,,,,,
41079353,Im Lichs,residential,False,True,58.926,"LINESTRING (7.7949048 47.550918, 7.7945921 47.5508829, 7.7945179 47.5509189, 7.7944504 47.5511691)",,,,,,
41079353,Im Lichs,residential,False,True,94.035,"LINESTRING (7.7951582 47.551578, 7.795244 47.5509698, 7.7949048 47.550918)",,,,,,
41079353,Im Lichs,residential,False,False,58.925999999999995,"LINESTRING (7.7944504 47.5511691, 7.7945179 47.5509189, 7.7945921 47.5508829, 7.7949048 47.550918)",,,,,,
41539535,,residential,False,True,60.507,"LINESTRING (7.7969984 47.5520878, 7.7969766 47.5520589, 7.7968822 47.5519339, 7.7967456 47.5516936, 7.7967621 47.5515801)",,,,,,
265289639,Magdenerstrasse,residential,False,False,52.564,"LINESTRING (7.7986216 47.5506891, 7.7988672 47.5502464)",,50,,,,
265289639,Magdenerstrasse,residential,False,True,107.327,"LINESTRING (7.7986216 47.5506891, 7.7982649 47.5512327, 7.7980749 47.5515805)",,50,,,,
265289639,Magdenerstrasse,residential,False,True,52.564,"LINESTRING (7.7988672 47.5502464, 7.7986216 47.5506891)",,50,,,,
"[159194539, 41706507, 179477373, 41706510]",Hermann-Keller-Strasse,residential,False,False,121.006,"LINESTRING (7.795635 47.5554511, 7.795684 47.5554565, 7.7957492 47.5554442, 7.7958569 47.5554513, 7.7959018 47.5554542, 7.7959845 47.5554666, 7.7961578 47.555492, 7.7964623 47.5555295, 7.7967469 47.5555437, 7.7968488 47.555486, 7.7969713 47.5552634)",yes,,,,,
1091885869,Salinenstrasse,tertiary,False,True,5.605,"LINESTRING (7.7957642 47.5532887, 7.7957059 47.5532572)",,50,,,,
41539774,Zürcherstrasse,residential,False,False,185.26700000000002,"LINESTRING (7.7957642 47.5532887, 7.7958709 47.553195, 7.7960049 47.5530644, 7.7962248 47.5529591, 7.7965466 47.5528165, 7.7966213 47.5527961, 7.7967471 47.5527464, 7.7967782 47.5527498, 7.7968046 47.5527527, 7.7970829 47.552886, 7.7968878 47.5531174, 7.7972212 47.553245)",,,,,,
1091885869,Salinenstrasse,tertiary,False,False,42.345,"LINESTRING (7.7957642 47.5532887, 7.7958757 47.5533337, 7.796105 47.553415, 7.7962561 47.553475)",,50,,,,
54571931,Kaiserstrasse,primary,False,True,4.148,"LINESTRING (7.7878828 47.5516991, 7.7878283 47.5516929)",,50,2,3;7,,
34993559,Belchenstrasse,residential,False,True,57.812,"LINESTRING (7.7878828 47.5516991, 7.7879357 47.551528, 7.7880332 47.5511892)",,,,,,
"[1205716434, 54571931]",Kaiserstrasse,primary,False,False,152.909,"LINESTRING (7.7878828 47.5516991, 7.7880115 47.5517161, 7.7888755 47.5518588, 7.7894801 47.5519807, 7.789853 47.5520476)",,50,2,3;7,,
41539774,Zürcherstrasse,residential,False,True,185.26700000000002,"LINESTRING (7.7972212 47.553245, 7.7968878 47.5531174, 7.7970829 47.552886, 7.7968046 47.5527527, 7.7967782 47.5527498, 7.7967471 47.5527464, 7.7966213 47.5527961, 7.7965466 47.5528165, 7.7962248 47.5529591, 7.7960049 47.5530644, 7.7958709 47.553195, 7.7957642 47.5532887)",,,,,,
54571932,Salinenstrasse,tertiary,False,False,12.44,"LINESTRING (7.7974391 47.554124, 7.7975854 47.5541766)",,50,,,,
39694101,Gottesackerweg,residential,False,True,163.166,"LINESTRING (7.7974391 47.554124, 7.7972215 47.5541213, 7.7964487 47.5539638, 7.7958657 47.5537927, 7.7954604 47.5535798)",,,,,,destination
"[54571932, 1091885869]",Salinenstrasse,tertiary,False,True,114.74799999999999,"LINESTRING (7.7974391 47.554124, 7.7972461 47.5540391, 7.7971562 47.5539962, 7.7970688 47.553938, 7.7968151 47.553772, 7.7966771 47.5536845, 7.7965421 47.553616, 7.7965218 47.553606, 7.7963945 47.5535432, 7.7962561 47.553475)",,50,,,,
54571932,Salinenstrasse,tertiary,False,True,12.44,"LINESTRING (7.7975854 47.5541766, 7.7974391 47.554124)",,50,,,,
36820442,Hermann-Keller-Strasse,tertiary,False,True,91.09,"LINESTRING (7.7975854 47.5541766, 7.7975389 47.5542565, 7.7974586 47.5543839, 7.7972654 47.5547018, 7.7972257 47.554769, 7.7972064 47.5548004, 7.7971241 47.5549343)",,,,,,
54569497,Bahnhofstrasse,residential,False,False,32.346000000000004,"LINESTRING (7.7899027 47.5507299, 7.7898307 47.5508328, 7.7897417 47.5509994)",,,,,,
54569497,Bahnhofstrasse,residential,False,True,126.56099999999999,"LINESTRING (7.7899027 47.5507299, 7.7899468 47.5506733, 7.7900414 47.5506781, 7.7909364 47.5509769, 7.7909904 47.5510016, 7.7910219 47.5510504, 7.791051 47.5510739, 7.7913327 47.5511592)",,,,,,
829109461,Fassbindstrasse,residential,False,False,321.61699999999996,"LINESTRING (7.7899027 47.5507299, 7.7892698 47.5504618, 7.7887974 47.5502335, 7.7885429 47.5501113, 7.7882717 47.5500202, 7.7877267 47.5498553, 7.78755 47.5498095, 7.7872595 47.5497862, 7.7869635 47.5497848, 7.7867583 47.5498181, 7.7865422 47.5498589, 7.7861846 47.5499671, 7.7860728 47.5500233)",,,,,,
34993557,Quellenstrasse,residential,False,True,177.256,"LINESTRING (7.7860728 47.5500233, 7.7862632 47.5500997, 7.7868235 47.5503007, 7.7871449 47.5504153, 7.787463 47.5505234, 7.7880177 47.5506436, 7.7882114 47.5506859)",,30,,,,
829109461,Fassbindstrasse,residential,False,True,321.617,"LINESTRING (7.7860728 47.5500233, 7.7861846 47.5499671, 7.7865422 47.5498589, 7.7867583 47.5498181, 7.7869635 47.5497848, 7.7872595 47.5497862, 7.78755 47.5498095, 7.7877267 47.5498553, 7.7882717 47.5500202, 7.7885429 47.5501113, 7.7887974 47.5502335, 7.7892698 47.5504618, 7.7899027 47.5507299)",,,,,,
