osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,lanes,access
220681918,Eriksgatan,tertiary,40,False,False,84.885,"LINESTRING (12.8302668 55.8722717, 12.8299741 55.8717822, 12.8298291 55.8715489)",,,,
"[28160005, 148893967]","['Östergatan', 'Järnvägsgatan']",residential,40,False,False,242.577,"LINESTRING (12.8344117 55.8702916, 12.8335715 55.8703686, 12.833318 55.8703897, 12.8331816 55.8703913, 12.8330632 55.8703775, 12.8329635 55.870352, 12.8328763 55.870321, 12.8328196 55.8702853, 12.832728 55.8700338, 12.8326548 55.8698282, 12.8323514 55.8690648)",,,,
28160005,Östergatan,residential,40,False,True,83.942,"LINESTRING (12.8344117 55.8702916, 12.8350662 55.8702359, 12.8353203 55.8702077, 12.8356067 55.8701554, 12.8356603 55.8701448, 12.8357242 55.8701346)",,,,
35998456,Rådmansgatan,residential,40,False,True,139.34,"LINESTRING (12.8344117 55.8702916, 12.8344308 55.8703561, 12.8344918 55.8705146, 12.8347393 55.871139, 12.8348645 55.8714509, 12.8348904 55.8715155)",,,,
27942572,Österleden,primary,40,True,False,33.730000000000004,"LINESTRING (12.8357242 55.8701346, 12.8357029 55.8700986, 12.8356934 55.8700611, 12.8356957 55.8700232, 12.83571 55.8699861, 12.8357357 55.8699511, 12.8357721 55.8699191, 12.835818 55.8698913, 12.8358719 55.8698684)",17,roundabout,,
28160005,Östergatan,residential,40,False,False,83.942,"LINESTRING (12.8357242 55.8701346, 12.8356603 55.8701448, 12.8356067 55.8701554, 12.8353203 55.8702077, 12.8350662 55.8702359, 12.8344117 55.8702916)",,,,
35998437,Borgmästaregatan,residential,40,False,False,98.744,"LINESTRING (12.833572 55.8717179, 12.8320476 55.8719569)",,,,
35998437,Borgmästaregatan,residential,40,False,True,85.273,"LINESTRING (12.833572 55.8717179, 12.8348904 55.8715155)",,,,
148893962,Järnvägsgatan,residential,40,False,True,110.51199999999999,"LINESTRING (12.833572 55.8717179, 12.8336122 55.8717824, 12.8339025 55.872248, 12.8340255 55.8723752, 12.8341898 55.8725536, 12.8342465 55.8726343)",,,,
237117171,Österleden,primary,50,True,False,44.12799999999999,"LINESTRING (12.8371479 55.8700438, 12.83698 55.8700446, 12.8366758 55.8700243, 12.8366015 55.8700285, 12.8365647 55.8700333, 12.8365214 55.8700403, 12.8364545 55.87006)",17,,,
148893962,Järnvägsgatan,residential,40,False,False,33.915000000000006,"LINESTRING (12.8342489 55.8729363, 12.8342857 55.8727823, 12.8342465 55.8726343)",,,,
148893962,Järnvägsgatan,residential,40,False,True,63.143,"LINESTRING (12.8342489 55.8729363, 12.8343242 55.8729969, 12.8346302 55.8734601)",,,,
593430669,Skolallén,residential,40,False,False,87.97,"LINESTRING (12.8342489 55.8729363, 12.8341825 55.8729835, 12.8340781 55.8730256, 12.8329865 55.8732686)",,,,
35997784,,residential,40,True,False,23.171,"LINESTRING (12.835923 55.8712758, 12.8359642 55.8712759, 12.8360046 55.8712806, 12.8360426 55.8712897, 12.8360764 55.871303, 12.8361049 55.8713197, 12.8361269 55.8713393, 12.8361414 55.871361, 12.8361479 55.8713838, 12.8361461 55.871407)",,roundabout,,
"[220681936, 28160007]",Regeringsgatan,"['residential', 'living_street']",40,False,True,113.15599999999999,"LINESTRING (12.835923 55.8712758, 12.8359245 55.8712468, 12.8359238 55.8711817, 12.8359607 55.8706798, 12.8359714 55.8704278, 12.8359842 55.8703296, 12.8360026 55.8702597)",,,,
