osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,junction,lanes
"[1160861190, 1160861191]",False,Svenshögsvägen,tertiary,"['40', '30']",True,241.316,"LINESTRING (13.0839564 55.6374647, 13.0839366 55.6373348, 13.0839155 55.6371964, 13.0839635 55.6368287, 13.084024 55.636331, 13.0840797 55.6359355, 13.084169 55.6353009)",,,
208664685,False,Rusthållarevägen,residential,40,False,37.614,"LINESTRING (13.0830551 55.637033, 13.0835438 55.6372288)",,,
28582094,False,Rågångsvägen,residential,40,False,326.12100000000004,"LINESTRING (13.0830551 55.637033, 13.0833623 55.6345112, 13.0833975 55.6343623, 13.0833822 55.6343169, 13.083318 55.6342797, 13.0831823 55.6342367, 13.083072 55.6342072)",,,
208664685,False,Rusthållarevägen,residential,40,True,160.91400000000002,"LINESTRING (13.0830551 55.637033, 13.0823368 55.6367493, 13.0820544 55.6366378, 13.081661 55.6364669, 13.0810965 55.6362283, 13.0809923 55.6361748)",,,
28582089,False,Ringvägen,unclassified,40,False,65.093,"LINESTRING (13.083072 55.6342072, 13.0835279 55.6337611, 13.0835749 55.6336959)",,,
28582089,False,Ringvägen,unclassified,40,True,137.511,"LINESTRING (13.083072 55.6342072, 13.0827651 55.6344938, 13.0819471 55.6352684)",,,
28582094,False,Rågångsvägen,residential,40,True,326.121,"LINESTRING (13.083072 55.6342072, 13.0831823 55.6342367, 13.083318 55.6342797, 13.0833822 55.6343169, 13.0833975 55.6343623, 13.0833623 55.6345112, 13.0830551 55.637033)",,,
23451033,False,Industrigatan,residential,40,True,57.445,"LINESTRING (13.0734867 55.6364551, 13.0737014 55.6359529)",,,
28582101,False,Kärleksgatan,residential,40,False,134.711,"LINESTRING (13.0720587 55.633646, 13.0718981 55.633694, 13.07163 55.6337731, 13.0709152 55.633987, 13.0704353 55.6341221, 13.0703503 55.6341474, 13.0701553 55.6342056)",,,
165787907,False,Lundavägen,secondary,40,True,49.732,"LINESTRING (13.0720587 55.633646, 13.072185 55.6337251, 13.0723236 55.6337906, 13.0725238 55.6338631, 13.0726875 55.6339118)",M 852,,
