osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,access,maxspeed,junction
"[312391012, 312391013]",True,,,,residential,False,480.30199999999996,"LINESTRING (-1.5288522 12.3702621, -1.5288374 12.3704845, -1.5288991 12.3708654, -1.5289848 12.3713938, -1.5290447 12.3717247, -1.5291517 12.3723664, -1.5292153 12.372358, -1.5291373 12.3719131, -1.5289723 12.3708592, -1.5289103 12.3704635, -1.5288522 12.3702621)",no,,
403319817,False,2,3.38,,residential,True,150.282,"LINESTRING (-1.5288522 12.3702621, -1.5288811 12.3702564, -1.5302087 12.3699957)",,,
681046330,False,1,N 5,Avenue Capitaine Kouanda,trunk,False,5.958,"LINESTRING (-1.5299838 12.3681231, -1.5299782 12.3680698)",,,
27732999,False,2,,Avenue Capitaine Kouanda,tertiary,True,209.663,"LINESTRING (-1.5299838 12.3681231, -1.5300482 12.3686651, -1.5301227 12.3692139, -1.5302087 12.3699957)",,,
150914157,True,2,N 4,Avenue du Yatenga,trunk,False,101.67099999999999,"LINESTRING (-1.5299838 12.3681231, -1.5301669 12.3680928, -1.5308036 12.3679886, -1.5308466 12.3679821, -1.5309069 12.3679715)",,,
312389067,False,2,,Avenue Capitaine Kouanda,tertiary,False,15.608,"LINESTRING (-1.5302087 12.3699957, -1.5302584 12.3701274)",,50,
27732999,False,2,,Avenue Capitaine Kouanda,tertiary,False,209.663,"LINESTRING (-1.5302087 12.3699957, -1.5301227 12.3692139, -1.5300482 12.3686651, -1.5299838 12.3681231)",,,
403319817,False,2,3.38,,residential,False,150.282,"LINESTRING (-1.5302087 12.3699957, -1.5288811 12.3702564, -1.5288522 12.3702621)",,,
264549368,False,4,N 4,Avenue Nelson Mandela,trunk,True,24.717,"LINESTRING (-1.5283517 12.3683843, -1.5285755 12.368344)",,,
150914145,True,,N 4,Avenue Nelson Mandela,trunk,False,82.89500000000001,"LINESTRING (-1.5283517 12.3683843, -1.5281631 12.3684018, -1.5279768 12.3684146, -1.5278426 12.3684334, -1.5275938 12.3684688)",,,
27732874,False,2,,Avenue de la B.C.F.A.O.,unclassified,False,92.9,"LINESTRING (-1.5283729 12.3666723, -1.5292181 12.3665442)",,,
27732550,False,,1.10,Rue du Travail,unclassified,False,118.398,"LINESTRING (-1.5283729 12.3666723, -1.5277483 12.3667783, -1.5274002 12.3668373, -1.527299 12.366855)",,,
333539022,True,1,N 5,Avenue Bassawanga,trunk,False,187.195,"LINESTRING (-1.5283729 12.3666723, -1.5284825 12.3674953, -1.5285755 12.368344)",,,
150914144,False,,,Rue de l'Hôtel de Ville,residential,False,152.63400000000004,"LINESTRING (-1.5258702 12.3688031, -1.5259756 12.3687811, -1.5267347 12.3686446, -1.5269316 12.3686028, -1.5271223 12.3685732, -1.5271694 12.3685662, -1.5272237 12.3685656, -1.5272528 12.3685644)",,,
150914144,False,,,Rue de l'Hôtel de Ville,residential,True,138.018,"LINESTRING (-1.5258702 12.3688031, -1.5257766 12.3688186, -1.5254326 12.3688774, -1.5246184 12.3690165)",,,
294323758,False,2,,Rue Joseph Badoua,residential,False,135.459,"LINESTRING (-1.5258702 12.3688031, -1.5258858 12.3688746, -1.5260766 12.3697759, -1.5261036 12.3699033, -1.5261287 12.3699947)",,,
294323758,False,2,,Rue Joseph Badoua,residential,True,100.929,"LINESTRING (-1.5258702 12.3688031, -1.5258493 12.3686944, -1.5257084 12.3679093)",,,
681046334,False,,,Rue du Travail,residential,True,181.855,"LINESTRING (-1.5255316 12.3670243, -1.5271809 12.3667427)",,,
55365009,False,,,Rue Patrice Lumumba,residential,False,138.901,"LINESTRING (-1.5255316 12.3670243, -1.5253885 12.3670486, -1.5248707 12.3671409, -1.5242735 12.3672483)",,,
294323758,False,2,,Rue Joseph Badoua,residential,False,100.266,"LINESTRING (-1.5255316 12.3670243, -1.5255509 12.3671317, -1.5257084 12.3679093)",,,
294323758,False,2,,Rue Joseph Badoua,residential,True,370.082,"LINESTRING (-1.5255316 12.3670243, -1.5251152 12.3648678, -1.5250575 12.3647083, -1.524973 12.3645169, -1.5247659 12.3641407, -1.5245888 12.3638609)",,,
27733014,False,2,,Avenue de Lyon,residential,True,71.836,"LINESTRING (-1.5248774 12.3702691, -1.5247996 12.3699442, -1.5247379 12.3696377)",,,
55388315,False,2,N 4,Avenue de la Nation,trunk,True,139.291,"LINESTRING (-1.5248774 12.3702691, -1.5255287 12.3701272, -1.5261287 12.3699947)",,,
331654899,False,2,,Avenue de Lyon,residential,False,67.436,"LINESTRING (-1.5248774 12.3702691, -1.5249554 12.3705499, -1.52504 12.3708544)",,,
340691125,False,2,N 4,Avenue de la Nation,trunk,False,213.62900000000002,"LINESTRING (-1.5248774 12.3702691, -1.5245194 12.3703483, -1.5238732 12.3705053, -1.5232815 12.3706235, -1.5229587 12.3706903)",,,
27733014,False,2,,Avenue de Lyon,residential,False,70.283,"LINESTRING (-1.5246184 12.3690165, -1.5246843 12.3693574, -1.5247379 12.3696377)",,,
150914144,False,,,Rue de l'Hôtel de Ville,residential,False,138.018,"LINESTRING (-1.5246184 12.3690165, -1.5254326 12.3688774, -1.5257766 12.3688186, -1.5258702 12.3688031)",,,
207200112,False,,,Rue du Grand Marché,residential,True,101.215,"LINESTRING (-1.5246184 12.3690165, -1.5245301 12.3686041, -1.5244387 12.3681234)",,,
27771217,False,2,,Rue du Grand Marché,residential,True,125.782,"LINESTRING (-1.5242735 12.3672483, -1.5242069 12.3668972, -1.5241769 12.3667344, -1.5240667 12.3661353)",,,
55365009,False,,,Rue Patrice Lumumba,residential,True,138.901,"LINESTRING (-1.5242735 12.3672483, -1.5248707 12.3671409, -1.5253885 12.3670486, -1.5255316 12.3670243)",,,
207200112,False,,,Rue du Grand Marché,residential,False,98.949,"LINESTRING (-1.5242735 12.3672483, -1.5243597 12.3677199, -1.5244387 12.3681234)",,,
27732594,False,,,Rue Raag-Naba Wanda,residential,False,79.416,"LINESTRING (-1.5229587 12.3706903, -1.5228805 12.3703189, -1.5228116 12.3699907)",,,
340691125,False,2,N 4,Avenue de la Nation,trunk,True,213.629,"LINESTRING (-1.5229587 12.3706903, -1.5232815 12.3706235, -1.5238732 12.3705053, -1.5245194 12.3703483, -1.5248774 12.3702691)",,,
207200108,False,,,Rue Raag-Naba Wanda,residential,False,100.063,"LINESTRING (-1.5226972 12.3693587, -1.5225222 12.3684752)",,,
27732594,False,,,Rue Raag-Naba Wanda,residential,True,71.36500000000001,"LINESTRING (-1.5226972 12.3693587, -1.5227504 12.3696547, -1.5228116 12.3699907)",,,
207200110,True,,,Rue de l'Hôtel de Ville,residential,False,212.11,"LINESTRING (-1.5226972 12.3693587, -1.5229126 12.3693203, -1.5246184 12.3690165)",,,
27771217,False,2,,Rue du Grand Marché,residential,False,125.782,"LINESTRING (-1.5240667 12.3661353, -1.5241769 12.3667344, -1.5242069 12.3668972, -1.5242735 12.3672483)",,,
27771217,False,2,,Rue du Grand Marché,residential,True,119.174,"LINESTRING (-1.5240667 12.3661353, -1.5239775 12.3656213, -1.5238726 12.3650805)",,,
27771217,False,2,,Rue du Grand Marché,residential,True,119.356,"LINESTRING (-1.5238726 12.3650805, -1.5236836 12.3640231)",,,
27771217,False,2,,Rue du Grand Marché,residential,False,119.174,"LINESTRING (-1.5238726 12.3650805, -1.5239775 12.3656213, -1.5240667 12.3661353)",,,
27732874,False,2,,Avenue de la B.C.F.A.O.,unclassified,True,92.9,"LINESTRING (-1.5292181 12.3665442, -1.5283729 12.3666723)",,,
27556929,True,1,N 5,Avenue Moro Naba Oubri,trunk,False,77.761,"LINESTRING (-1.5292181 12.3665442, -1.5291785 12.3662718, -1.5291176 12.3658518)",,,
312430390,False,2,N 5,Avenue de la B.C.F.A.O.,trunk,True,59.52199999999999,"LINESTRING (-1.5292181 12.3665442, -1.529304 12.3665311, -1.5296237 12.3664813, -1.5297593 12.3664601)",,,
312430389,False,2,,Avenue de la B.C.F.A.O.,unclassified,False,16.471,"LINESTRING (-1.5297593 12.3664601, -1.5299087 12.3664347)",,,
312430390,False,2,N 5,Avenue de la B.C.F.A.O.,trunk,False,59.52199999999999,"LINESTRING (-1.5297593 12.3664601, -1.5296237 12.3664813, -1.529304 12.3665311, -1.5292181 12.3665442)",,,
27733007,False,2,,Avenue du Médiateur du Faso,residential,True,119.939,"LINESTRING (-1.5287258 12.3694126, -1.5285755 12.368344)",,,
27733007,False,2,,Avenue du Médiateur du Faso,residential,False,95.453,"LINESTRING (-1.5287258 12.3694126, -1.5288108 12.369983, -1.5288522 12.3702621)",,,
55387746,False,2,,Avenue de la Nation,residential,True,273.573,"LINESTRING (-1.5287258 12.3694126, -1.5281284 12.36955, -1.5272159 12.3697575, -1.5266921 12.3698718, -1.5264543 12.3699237, -1.5263566 12.3699436, -1.5262699 12.3699581)",,,
155264633,False,,,Avenue de Lyon,residential,False,51.461,"LINESTRING (-1.5255218 12.3726313, -1.5256023 12.3726198, -1.5257326 12.3726076, -1.5259935 12.3725896)",,,
331654899,False,2,,Avenue de Lyon,residential,True,81.22800000000001,"LINESTRING (-1.5255218 12.3726313, -1.5254 12.3721875, -1.5253282 12.3719257)",,,
27753250,False,,1.06,,residential,False,139.948,"LINESTRING (-1.5244387 12.3681234, -1.5257084 12.3679093)",,,
207200112,False,,,Rue du Grand Marché,residential,False,101.215,"LINESTRING (-1.5244387 12.3681234, -1.5245301 12.3686041, -1.5246184 12.3690165)",,,
207200112,False,,,Rue du Grand Marché,residential,True,98.949,"LINESTRING (-1.5244387 12.3681234, -1.5243597 12.3677199, -1.5242735 12.3672483)",,,
27753250,False,,1.06,,residential,True,139.948,"LINESTRING (-1.5257084 12.3679093, -1.5244387 12.3681234)",,,
55377100,False,,,Rue 1.04,residential,False,77.865,"LINESTRING (-1.5257084 12.3679093, -1.5264115 12.3677726)",,,
294323758,False,2,,Rue Joseph Badoua,residential,False,100.929,"LINESTRING (-1.5257084 12.3679093, -1.5258493 12.3686944, -1.5258702 12.3688031)",,,
294323758,False,2,,Rue Joseph Badoua,residential,True,100.266,"LINESTRING (-1.5257084 12.3679093, -1.5255509 12.3671317, -1.5255316 12.3670243)",,,
55377100,False,,,Rue 1.04,residential,True,77.865,"LINESTRING (-1.5264115 12.3677726, -1.5257084 12.3679093)",,,
27732594,False,,,Rue Raag-Naba Wanda,residential,False,71.36500000000001,"LINESTRING (-1.5228116 12.3699907, -1.5227504 12.3696547, -1.5226972 12.3693587)",,,
27732594,False,,,Rue Raag-Naba Wanda,residential,True,79.416,"LINESTRING (-1.5228116 12.3699907, -1.5228805 12.3703189, -1.5229587 12.3706903)",,,
27753270,False,,,Rue 3.42,residential,False,212.873,"LINESTRING (-1.5228116 12.3699907, -1.5237165 12.3698222, -1.5237858 12.3698093, -1.5245237 12.3696763, -1.5247379 12.3696377)",,,
27733014,False,2,,Avenue de Lyon,residential,False,71.836,"LINESTRING (-1.5247379 12.3696377, -1.5247996 12.3699442, -1.5248774 12.3702691)",,,
27733014,False,2,,Avenue de Lyon,residential,True,70.283,"LINESTRING (-1.5247379 12.3696377, -1.5246843 12.3693574, -1.5246184 12.3690165)",,,
27753270,False,,,Rue 3.42,residential,True,212.873,"LINESTRING (-1.5247379 12.3696377, -1.5245237 12.3696763, -1.5237858 12.3698093, -1.5237165 12.3698222, -1.5228116 12.3699907)",,,
27753382,False,,,Rue Pog-Toenga,residential,False,180.014,"LINESTRING (-1.5305152 12.3663137, -1.5308013 12.3679083)",,,
27753382,False,,,Rue Pog-Toenga,residential,True,67.018,"LINESTRING (-1.5305152 12.3663137, -1.5304125 12.3657194)",,,
312430389,False,2,,Avenue de la B.C.F.A.O.,unclassified,False,65.424,"LINESTRING (-1.5305152 12.3663137, -1.5311079 12.3662088)",,,
312430389,False,2,,Avenue de la B.C.F.A.O.,unclassified,True,67.235,"LINESTRING (-1.5305152 12.3663137, -1.5299087 12.3664347)",,,
157103039,False,4,N 1,Avenue Kadiogo,trunk,True,2.881,"LINESTRING (-1.5313463 12.3675743, -1.531367 12.3675581)",,,
207200105,True,2,N 1,Avenue Kadiogo,trunk,False,52.158,"LINESTRING (-1.5313463 12.3675743, -1.5312383 12.3676387, -1.5311306 12.3677192, -1.5310407 12.3677798, -1.5309446 12.3678297)",,,
27753357,False,,,,residential,True,152.652,"LINESTRING (-1.5311079 12.3662088, -1.531367 12.3675581)",,,
312430389,False,2,,Avenue de la B.C.F.A.O.,unclassified,False,63.15,"LINESTRING (-1.5311079 12.3662088, -1.5316794 12.3661044)",,,
312430389,False,2,,Avenue de la B.C.F.A.O.,unclassified,True,65.424,"LINESTRING (-1.5311079 12.3662088, -1.5305152 12.3663137)",,,
27753374,False,,2.17,,residential,False,66.163,"LINESTRING (-1.5316794 12.3661044, -1.5315944 12.3655152)",,,
312430389,False,2,,Avenue de la B.C.F.A.O.,unclassified,True,63.15,"LINESTRING (-1.5316794 12.3661044, -1.5311079 12.3662088)",,,
27753374,False,,2.17,,residential,True,65.991,"LINESTRING (-1.5312867 12.3637203, -1.5313755 12.3643074)",,,
27753407,False,,,Rue Rimvuuse,residential,False,130.516,"LINESTRING (-1.5312867 12.3637203, -1.5301093 12.3639548)",,,
27753382,False,,,Rue Pog-Toenga,residential,False,64.055,"LINESTRING (-1.5301093 12.3639548, -1.5302146 12.3645216)",,,
27753407,False,,,Rue Rimvuuse,residential,False,130.443,"LINESTRING (-1.5301093 12.3639548, -1.5289288 12.3641704)",,,
27753407,False,,,Rue Rimvuuse,residential,True,130.516,"LINESTRING (-1.5301093 12.3639548, -1.5312867 12.3637203)",,,
27753407,False,,,Rue Rimvuuse,residential,False,97.978,"LINESTRING (-1.5289288 12.3641704, -1.52804 12.3643209)",,,
27753407,False,,,Rue Rimvuuse,residential,True,130.443,"LINESTRING (-1.5289288 12.3641704, -1.5301093 12.3639548)",,,
27753374,False,,2.17,,residential,False,65.991,"LINESTRING (-1.5313755 12.3643074, -1.5312867 12.3637203)",,,
27753374,False,,2.17,,residential,True,64.651,"LINESTRING (-1.5313755 12.3643074, -1.5314782 12.3648801)",,,
27753411,False,,,,residential,False,128.322,"LINESTRING (-1.5313755 12.3643074, -1.5302146 12.3645216)",,,
27753382,False,,,Rue Pog-Toenga,residential,False,66.023,"LINESTRING (-1.5302146 12.3645216, -1.5303026 12.3651091)",,,
27753382,False,,,Rue Pog-Toenga,residential,True,64.055,"LINESTRING (-1.5302146 12.3645216, -1.5301093 12.3639548)",,,
27753411,False,,,,residential,True,128.322,"LINESTRING (-1.5302146 12.3645216, -1.5313755 12.3643074)",,,
37237339,False,,,Rue Poedogo,residential,False,133.522,"LINESTRING (-1.5302146 12.3645216, -1.5290042 12.3647314)",,,
27556929,True,1,N 5,Avenue Moro Naba Oubri,trunk,False,62.916,"LINESTRING (-1.5290042 12.3647314, -1.5289288 12.3641704)",,,
37237339,False,,,Rue Poedogo,residential,True,133.522,"LINESTRING (-1.5290042 12.3647314, -1.5302146 12.3645216)",,,
403320344,False,,,Rue Poedogo,residential,False,98.593,"LINESTRING (-1.5290042 12.3647314, -1.5281022 12.3648308)",,,
55377028,False,,,Rue Zombre Toenga,residential,False,123.624,"LINESTRING (-1.5281022 12.3648308, -1.5269776 12.365002)",,,
333539022,True,1,N 5,Avenue Bassawanga,trunk,False,206.866,"LINESTRING (-1.5281022 12.3648308, -1.5283729 12.3666723)",,,
403320344,False,,,Rue Poedogo,residential,True,98.593,"LINESTRING (-1.5281022 12.3648308, -1.5290042 12.3647314)",,,
27732540,True,,,Avenue Monseigneur Thévenoud,tertiary,False,194.017,"LINESTRING (-1.526891 12.365021, -1.5271809 12.3667427)",,,
55377028,False,,,Rue Zombre Toenga,residential,True,9.64,"LINESTRING (-1.526891 12.365021, -1.5269776 12.365002)",,,
27753374,False,,2.17,,residential,False,64.651,"LINESTRING (-1.5314782 12.3648801, -1.5313755 12.3643074)",,,
27753374,False,,2.17,,residential,True,71.739,"LINESTRING (-1.5314782 12.3648801, -1.5315944 12.3655152)",,,
27753414,False,,,Rue Balm Naba Tenga,residential,False,130.203,"LINESTRING (-1.5314782 12.3648801, -1.5303026 12.3651091)",,,
27753382,False,,,Rue Pog-Toenga,residential,False,68.904,"LINESTRING (-1.5303026 12.3651091, -1.5304125 12.3657194)",,,
27753382,False,,,Rue Pog-Toenga,residential,True,66.023,"LINESTRING (-1.5303026 12.3651091, -1.5302146 12.3645216)",,,
27753414,False,,,Rue Balm Naba Tenga,residential,False,67.055,"LINESTRING (-1.5303026 12.3651091, -1.5296946 12.3652137)",,,
27753414,False,,,Rue Balm Naba Tenga,residential,True,130.203,"LINESTRING (-1.5303026 12.3651091, -1.5314782 12.3648801)",,,
27556929,True,1,N 5,Avenue Moro Naba Oubri,trunk,False,64.767,"LINESTRING (-1.5290682 12.3653105, -1.5290042 12.3647314)",,,
27753414,False,,,Rue Balm Naba Tenga,residential,True,68.883,"LINESTRING (-1.5290682 12.3653105, -1.5296946 12.3652137)",,,
27753374,False,,2.17,,residential,False,71.739,"LINESTRING (-1.5315944 12.3655152, -1.5314782 12.3648801)",,,
27753374,False,,2.17,,residential,True,66.163,"LINESTRING (-1.5315944 12.3655152, -1.5316794 12.3661044)",,,
37237338,False,,,,residential,False,130.365,"LINESTRING (-1.5315944 12.3655152, -1.5304125 12.3657194)",,,
27753382,False,,,Rue Pog-Toenga,residential,False,67.018,"LINESTRING (-1.5304125 12.3657194, -1.5305152 12.3663137)",,,
27753382,False,,,Rue Pog-Toenga,residential,True,68.904,"LINESTRING (-1.5304125 12.3657194, -1.5303026 12.3651091)",,,
37237338,False,,,,residential,True,130.365,"LINESTRING (-1.5304125 12.3657194, -1.5315944 12.3655152)",,,
27753407,False,,,Rue Rimvuuse,residential,True,97.978,"LINESTRING (-1.52804 12.3643209, -1.5289288 12.3641704)",,,
333539022,True,1,N 5,Avenue Bassawanga,trunk,False,57.099,"LINESTRING (-1.52804 12.3643209, -1.5281022 12.3648308)",,,
37261939,False,,,,residential,True,74.669,"LINESTRING (-1.5304018 12.3697254, -1.5310834 12.3696378)",,,
37261940,False,,,,residential,False,90.814,"LINESTRING (-1.5309688 12.3688288, -1.5310834 12.3696378)",,,
37261940,False,,,,residential,True,92.657,"LINESTRING (-1.5312489 12.3708492, -1.5311379 12.370023)",,,
37261939,False,,,,residential,False,74.669,"LINESTRING (-1.5310834 12.3696378, -1.5304018 12.3697254)",,,
37261939,False,,,,residential,True,59.043,"LINESTRING (-1.5310834 12.3696378, -1.5316223 12.3695681)",,,
37261940,False,,,,residential,False,43.239,"LINESTRING (-1.5310834 12.3696378, -1.5311379 12.370023)",,,
37261940,False,,,,residential,True,90.814,"LINESTRING (-1.5310834 12.3696378, -1.5309688 12.3688288)",,,
37261939,False,,,,residential,False,59.043,"LINESTRING (-1.5316223 12.3695681, -1.5310834 12.3696378)",,,
447572590,False,,,,residential,True,43.455,"LINESTRING (-1.5316223 12.3695681, -1.5316848 12.3699541)",,,
37261942,False,,,,residential,True,96.228,"LINESTRING (-1.5302584 12.3701274, -1.5311379 12.370023)",,,
312389067,False,2,,Avenue Capitaine Kouanda,tertiary,True,15.608,"LINESTRING (-1.5302584 12.3701274, -1.5302087 12.3699957)",,50,
312389067,False,2,,Avenue Capitaine Kouanda,tertiary,False,293.733,"LINESTRING (-1.5302584 12.3701274, -1.5303896 12.3704369, -1.5305895 12.3708979, -1.5307517 12.3713106, -1.5308668 12.37168, -1.531032 12.3721398, -1.5311793 12.3726087)",,50,
37261940,False,,,,residential,False,92.657,"LINESTRING (-1.5311379 12.370023, -1.5312489 12.3708492)",,,
37261940,False,,,,residential,True,43.239,"LINESTRING (-1.5311379 12.370023, -1.5310834 12.3696378)",,,
37261942,False,,,,residential,False,96.228,"LINESTRING (-1.5311379 12.370023, -1.5302584 12.3701274)",,,
37261942,False,,,,residential,True,59.893,"LINESTRING (-1.5311379 12.370023, -1.5316848 12.3699541)",,,
37261942,False,,,,residential,False,59.893,"LINESTRING (-1.5316848 12.3699541, -1.5311379 12.370023)",,,
447572590,False,,,,residential,False,43.455,"LINESTRING (-1.5316848 12.3699541, -1.5316223 12.3695681)",,,
55377061,False,,,Rue Balonge,residential,False,75.633,"LINESTRING (-1.5299087 12.3664347, -1.5297875 12.3657649)",,,
312430389,False,2,,Avenue de la B.C.F.A.O.,unclassified,False,67.235,"LINESTRING (-1.5299087 12.3664347, -1.5305152 12.3663137)",,,
312430389,False,2,,Avenue de la B.C.F.A.O.,unclassified,True,16.471,"LINESTRING (-1.5299087 12.3664347, -1.5297593 12.3664601)",,,
55377061,False,,,Rue Balonge,residential,False,62.116,"LINESTRING (-1.5297875 12.3657649, -1.5296946 12.3652137)",,,
55377061,False,,,Rue Balonge,residential,True,75.633,"LINESTRING (-1.5297875 12.3657649, -1.5299087 12.3664347)",,,
55377066,False,,2.12,,residential,False,73.4,"LINESTRING (-1.5297875 12.3657649, -1.5291176 12.3658518)",,,
27753414,False,,,Rue Balm Naba Tenga,residential,False,68.883,"LINESTRING (-1.5296946 12.3652137, -1.5290682 12.3653105)",,,
27753414,False,,,Rue Balm Naba Tenga,residential,True,67.055,"LINESTRING (-1.5296946 12.3652137, -1.5303026 12.3651091)",,,
55377061,False,,,Rue Balonge,residential,True,62.116,"LINESTRING (-1.5296946 12.3652137, -1.5297875 12.3657649)",,,
27556929,True,1,N 5,Avenue Moro Naba Oubri,trunk,False,60.429,"LINESTRING (-1.5291176 12.3658518, -1.5290682 12.3653105)",,,
55377066,False,,2.12,,residential,True,73.4,"LINESTRING (-1.5291176 12.3658518, -1.5297875 12.3657649)",,,
312389067,False,2,,Avenue Capitaine Kouanda,tertiary,True,293.733,"LINESTRING (-1.5311793 12.3726087, -1.531032 12.3721398, -1.5308668 12.37168, -1.5307517 12.3713106, -1.5305895 12.3708979, -1.5303896 12.3704369, -1.5302584 12.3701274)",,50,
55388311,False,2,3.38,,residential,True,66.872,"LINESTRING (-1.526342 12.3707551, -1.5269456 12.3706365)",,,
"[673292269, 312543373, 687607735]",False,2,,Rue Joseph Badoua,residential,"[False, True]",174.415,"LINESTRING (-1.526342 12.3707551, -1.5266364 12.3718285, -1.5266927 12.3721258, -1.5267128 12.3722795)",,,
312543373,False,2,,Rue Joseph Badoua,residential,True,87.669,"LINESTRING (-1.526342 12.3707551, -1.526222 12.3703274, -1.5261287 12.3699947)",,,
150914143,True,,N 4,Place des Cinéastes,trunk,False,12.176,"LINESTRING (-1.5276326 12.3685646, -1.5276352 12.368541, -1.5276287 12.3685099, -1.5276205 12.3684942, -1.5275938 12.3684688)",,,roundabout
608576000,True,1,,Avenue Nelson Mandela,trunk,False,24.695,"LINESTRING (-1.5276326 12.3685646, -1.5277406 12.3685486, -1.5278567 12.3685273)",,,
55377028,False,,,Rue Zombre Toenga,residential,False,9.64,"LINESTRING (-1.5269776 12.365002, -1.526891 12.365021)",,,
55377028,False,,,Rue Zombre Toenga,residential,True,123.624,"LINESTRING (-1.5269776 12.365002, -1.5281022 12.3648308)",,,
150914160,True,,,,tertiary,False,102.785,"LINESTRING (-1.5269776 12.365002, -1.5268833 12.3645771, -1.526875 12.3645288, -1.5268636 12.3644711, -1.5268014 12.3640941)",,,
341788110,False,2,N 4,Avenue Nelson Mandela,trunk,False,151.35399999999998,"LINESTRING (-1.5273804 12.369149, -1.52725 12.3692716, -1.5270217 12.369486, -1.5268972 12.3695802, -1.5266933 12.3697207, -1.5264519 12.3698695, -1.5262699 12.3699581)",,,
"[759674391, 447571583]",True,1,N 4,Avenue Nelson Mandela,trunk,False,46.229,"LINESTRING (-1.5273804 12.369149, -1.527451 12.369079, -1.5275107 12.3689821, -1.5275479 12.3688979, -1.5275767 12.3688224, -1.5275841 12.3687911)",,,
150914144,False,,,Rue de l'Hôtel de Ville,residential,True,152.634,"LINESTRING (-1.5272528 12.3685644, -1.5272237 12.3685656, -1.5271694 12.3685662, -1.5271223 12.3685732, -1.5269316 12.3686028, -1.5267347 12.3686446, -1.5259756 12.3687811, -1.5258702 12.3688031)",,,
207641385,True,1,,Rue de l'Hôtel de Ville,residential,False,23.294,"LINESTRING (-1.5272528 12.3685644, -1.5272897 12.3685753, -1.5273554 12.3685851, -1.5274644 12.3685948)",,,
150914160,True,,,,tertiary,False,106.939,"LINESTRING (-1.5275732 12.3684574, -1.527559 12.368394, -1.5274136 12.3675085)",,,
963070742,True,,N 4,Place des Cinéastes,trunk,False,12.713999999999999,"LINESTRING (-1.5275732 12.3684574, -1.5275412 12.368452, -1.5274988 12.3684622, -1.5274657 12.3684857)",,,roundabout
150914143,True,,N 4,Place des Cinéastes,trunk,False,14.995,"LINESTRING (-1.5274777 12.3686127, -1.5274938 12.368624, -1.5275163 12.3686312, -1.5275458 12.3686346, -1.5275775 12.3686277, -1.5276048 12.3686107)",,,roundabout
150914154,True,1,N 4,Avenue Nelson Mandela,trunk,False,60.75899999999999,"LINESTRING (-1.5274777 12.3686127, -1.5274583 12.3688008, -1.5274364 12.3689527, -1.5274104 12.3690599, -1.5273804 12.369149)",,,
150914149,True,1,N 4,Avenue Nelson Mandela,trunk,False,56.116,"LINESTRING (-1.5278567 12.3685273, -1.5279861 12.3684958, -1.5281701 12.3684472, -1.5283517 12.3683843)",,,
150914143,True,,N 4,Place des Cinéastes,trunk,False,6.013999999999999,"LINESTRING (-1.5276048 12.3686107, -1.5276197 12.3685937, -1.5276326 12.3685646)",,,roundabout
963070742,True,,N 4,Place des Cinéastes,trunk,False,2.572,"LINESTRING (-1.5275938 12.3684688, -1.5275732 12.3684574)",,,roundabout
312391973,True,2,N 2,Avenue du Yatenga,primary,False,57.57900000000001,"LINESTRING (-1.5314505 12.368219, -1.5312209 12.3680504, -1.5311242 12.3679813, -1.5310986 12.3679604, -1.5310297 12.3679043)",,,
963070742,True,,N 4,Place des Cinéastes,trunk,False,2.459,"LINESTRING (-1.5274644 12.3685948, -1.5274777 12.3686127)",,,roundabout
963070742,True,,N 4,Place des Cinéastes,trunk,False,3.354,"LINESTRING (-1.5274657 12.3684857, -1.5274602 12.3684984, -1.5274528 12.3685131)",,,roundabout
