osmid,oneway,name,highway,reversed,length,lanes,geometry,ref,maxspeed
179135487,False,,residential,True,15.082,,"LINESTRING (-58.0171499 -35.5780552, -58.0171598 -35.5779198)",,
208418332,True,Avenida Lastra,secondary,False,84.847,1,"LINESTRING (-58.0171499 -35.5780552, -58.0162193 -35.5779584)",,
648543322,True,Avenida Presidente Perón,secondary,False,6.513,,"LINESTRING (-58.0084962 -35.5790308, -58.0084853 -35.5790887)",,
40550523,True,Quintana,residential,False,10.057,,"LINESTRING (-58.0118024 -35.574298, -58.0117882 -35.5743877)",,
322182742,True,Remedios de Escalada,residential,False,111.091,,"LINESTRING (-58.0118024 -35.574298, -58.0130136 -35.5744642)",,
40550523,True,Quintana,residential,False,102.015,,"LINESTRING (-58.0117882 -35.5743877, -58.0116346 -35.5752966)",,
322182742,True,Remedios de Escalada,residential,False,105.863,,"LINESTRING (-58.0130136 -35.5744642, -58.014171 -35.5746063)",,
322182743,True,Remedios de Escalada,residential,False,110.926,,"LINESTRING (-58.0129988 -35.5745478, -58.0117882 -35.5743877)",,
322289652,True,Alvear,residential,False,9.392,,"LINESTRING (-58.0129988 -35.5745478, -58.0130136 -35.5744642)",,
322182742,True,Remedios de Escalada,residential,False,69.275,,"LINESTRING (-58.014171 -35.5746063, -58.0149284 -35.5746992)",,
40550581,True,Libres del Sur,secondary,False,9.452,,"LINESTRING (-58.0141558 -35.5746904, -58.014171 -35.5746063)",,
322182743,True,Remedios de Escalada,residential,False,105.835,,"LINESTRING (-58.0141558 -35.5746904, -58.0129988 -35.5745478)",,
339406381,True,Belgrano,secondary,False,9.477,,"LINESTRING (-58.0149284 -35.5746992, -58.0149138 -35.5747836)",,
322182742,True,Remedios de Escalada,residential,False,83.98500000000001,,"LINESTRING (-58.0149284 -35.5746992, -58.0157652 -35.574802, -58.0158191 -35.5748526)",,
322182743,True,Remedios de Escalada,residential,False,69.333,,"LINESTRING (-58.0149138 -35.5747836, -58.0141558 -35.5746904)",,
339406381,True,Belgrano,secondary,False,97.334,,"LINESTRING (-58.0149138 -35.5747836, -58.0147638 -35.5756504)",,
40550523,True,Quintana,residential,False,95.823,,"LINESTRING (-58.011618 -35.5753894, -58.0114876 -35.5762446)",,
322182746,True,Soler,residential,False,112.086,,"LINESTRING (-58.011618 -35.5753894, -58.010477 -35.575244, -58.0104287 -35.5751877)",,
322182746,True,Soler,residential,False,110.407,,"LINESTRING (-58.0128273 -35.5755252, -58.011618 -35.5753894)",,
322289652,True,Alvear,residential,False,9.996,,"LINESTRING (-58.0128273 -35.5755252, -58.0128429 -35.5754362)",,
40550581,True,Libres del Sur,secondary,False,9.576,,"LINESTRING (-58.0139818 -35.5756548, -58.0139972 -35.5755696)",,
322182746,True,Soler,residential,False,105.403,,"LINESTRING (-58.0139818 -35.5756548, -58.0128273 -35.5755252)",,
322182746,True,Soler,residential,False,69.963,,"LINESTRING (-58.0147481 -35.5757409, -58.0139818 -35.5756548)",,
339406381,True,Belgrano,secondary,False,101.188,,"LINESTRING (-58.0147481 -35.5757409, -58.014592 -35.576642)",,
40550523,True,Quintana,residential,False,9.273,,"LINESTRING (-58.0114876 -35.5762446, -58.0114703 -35.5763268)",,
208418328,True,Arenales,residential,False,108.441,,"LINESTRING (-58.0114876 -35.5762446, -58.0126723 -35.576395)",,
208418328,True,Arenales,residential,False,105.243,,"LINESTRING (-58.0126723 -35.576395, -58.0138199 -35.5765518)",,
322289652,True,Alvear,residential,False,97.728,,"LINESTRING (-58.0126723 -35.576395, -58.0128273 -35.5755252)",,
40550581,True,Libres del Sur,secondary,False,100.811,,"LINESTRING (-58.0138199 -35.5765518, -58.0139818 -35.5756548)",,
208418328,True,Arenales,residential,False,70.545,,"LINESTRING (-58.0138199 -35.5765518, -58.014592 -35.576642)",,
322182752,False,,residential,True,14.523,,"LINESTRING (-58.0186723 -35.5780818, -58.0186488 -35.578211)",,
208418332,True,Avenida Lastra,secondary,False,136.659,1,"LINESTRING (-58.0186488 -35.578211, -58.0171499 -35.5780552)",,
322182752,False,,residential,False,14.523,,"LINESTRING (-58.0186488 -35.578211, -58.0186723 -35.5780818)",,
