osmid,oneway,lanes,name,highway,reversed,length,geometry
249810923,False,,9a Avenida,residential,True,81.206,"LINESTRING (-89.8197752 16.8077849, -89.8199384 16.8084983)"
249814652,False,,11 Calle,residential,True,105.939,"LINESTRING (-89.8197752 16.8077849, -89.8207581 16.8076353)"
249819140,False,,8a Calle,residential,False,81.081,"LINESTRING (-89.827009 16.8044475, -89.8276028 16.8049042)"
249819140,False,,8a Calle,residential,True,72.683,"LINESTRING (-89.827009 16.8044475, -89.8264719 16.8040439)"
250794133,False,,3a Avenida,residential,False,56.004,"LINESTRING (-89.827009 16.8044475, -89.8273134 16.8040367)"
250794133,False,,3a Avenida,residential,True,191.28599999999997,"LINESTRING (-89.827009 16.8044475, -89.8264897 16.8051416, -89.8260674 16.8057559, -89.826044 16.8058223, -89.8260583 16.8058818)"
249819140,False,,8a Calle,residential,False,91.453,"LINESTRING (-89.8276028 16.8049042, -89.8282644 16.8054289)"
249819140,False,,8a Calle,residential,True,81.081,"LINESTRING (-89.8276028 16.8049042, -89.827009 16.8044475)"
250794131,False,,2a Avenida,residential,False,64.728,"LINESTRING (-89.8276028 16.8049042, -89.8279314 16.8044144)"
250794131,False,,2a Avenida,residential,True,159.719,"LINESTRING (-89.8276028 16.8049042, -89.8267542 16.8060888)"
249819140,False,,8a Calle,residential,True,91.453,"LINESTRING (-89.8282644 16.8054289, -89.8276028 16.8049042)"
250794127,False,,1a Avenida,residential,True,132.45499999999998,"LINESTRING (-89.8282644 16.8054289, -89.8278309 16.8060268, -89.8275578 16.8064094)"
249810920,False,,5a Avenida,residential,False,75.489,"LINESTRING (-89.8243329 16.8059301, -89.8242389 16.8052572)"
249819143,False,,9a Calle,residential,False,136.352,"LINESTRING (-89.8243329 16.8059301, -89.8230588 16.8060568)"
249819143,False,,9a Calle,residential,True,114.393,"LINESTRING (-89.8243329 16.8059301, -89.8254071 16.8059)"
249810920,False,,5a Avenida,residential,True,99.362,"LINESTRING (-89.8243329 16.8059301, -89.8244804 16.8064726, -89.8245892 16.8067889)"
249819143,False,,9a Calle,residential,False,77.569,"LINESTRING (-89.8267542 16.8060888, -89.8260583 16.8058818)"
249819143,False,,9a Calle,residential,True,17.803,"LINESTRING (-89.8267542 16.8060888, -89.826908 16.8061517)"
250794131,False,,2a Avenida,residential,False,159.719,"LINESTRING (-89.8267542 16.8060888, -89.8276028 16.8049042)"
249819143,False,,9a Calle,residential,False,54.961,"LINESTRING (-89.8260583 16.8058818, -89.825542 16.805877)"
249819143,False,,9a Calle,residential,True,77.569,"LINESTRING (-89.8260583 16.8058818, -89.8267542 16.8060888)"
249810922,False,,3a Avenida,residential,True,87.81400000000001,"LINESTRING (-89.8260583 16.8058818, -89.8260815 16.805943, -89.8261495 16.8066647)"
250794133,False,,3a Avenida,residential,False,191.286,"LINESTRING (-89.8260583 16.8058818, -89.826044 16.8058223, -89.8260674 16.8057559, -89.8264897 16.8051416, -89.827009 16.8044475)"
249819143,False,,9a Calle,residential,False,114.393,"LINESTRING (-89.8254071 16.8059, -89.8243329 16.8059301)"
249819143,False,,9a Calle,residential,True,14.586,"LINESTRING (-89.8254071 16.8059, -89.825542 16.805877)"
401504597,False,,4a Avenida,residential,False,92.073,"LINESTRING (-89.8254071 16.8059, -89.8255617 16.8067147)"
249819143,False,,9a Calle,residential,False,73.031,"LINESTRING (-89.8230588 16.8060568, -89.8223763 16.8061239)"
249819143,False,,9a Calle,residential,True,136.352,"LINESTRING (-89.8230588 16.8060568, -89.8243329 16.8059301)"
253203845,False,,6a Avenida,residential,False,97.335,"LINESTRING (-89.8230588 16.8060568, -89.8231907 16.806923)"
253203845,False,,6a Avenida,residential,True,69.996,"LINESTRING (-89.8230588 16.8060568, -89.8229387 16.8054379)"
249819143,False,,9a Calle,residential,False,69.158,"LINESTRING (-89.8223763 16.8061239, -89.8217305 16.806192)"
249819143,False,,9a Calle,residential,True,73.031,"LINESTRING (-89.8223763 16.8061239, -89.8230588 16.8060568)"
253203848,False,,6a Avenida A,residential,False,103.231,"LINESTRING (-89.8223763 16.8061239, -89.8222028 16.8052105)"
253203848,False,,6a Avenida A,residential,True,97.19300000000001,"LINESTRING (-89.8223763 16.8061239, -89.8224282 16.8062848, -89.8225362 16.806878, -89.8225461 16.8069811)"
249819143,False,,9a Calle,residential,False,73.398,"LINESTRING (-89.8210577 16.8062412, -89.820372 16.8063107)"
249819143,False,,9a Calle,residential,True,71.825,"LINESTRING (-89.8210577 16.8062412, -89.8217305 16.806192)"
253203850,False,,7a Avenida A,residential,False,97.74,"LINESTRING (-89.8210577 16.8062412, -89.8212138 16.8071074)"
253203850,False,,7a Avenida A,residential,True,98.142,"LINESTRING (-89.8210577 16.8062412, -89.8208845 16.8053743)"
249819143,False,,9a Calle,residential,False,70.848,"LINESTRING (-89.820372 16.8063107, -89.8197101 16.8063776)"
249819143,False,,9a Calle,residential,True,73.398,"LINESTRING (-89.820372 16.8063107, -89.8210577 16.8062412)"
253203851,False,,8a Avenida,residential,False,98.693,"LINESTRING (-89.820372 16.8063107, -89.8202076 16.8054372)"
253203851,False,,8a Avenida,residential,True,97.147,"LINESTRING (-89.820372 16.8063107, -89.8205174 16.8071732)"
