osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,lanes
"[283480796, 764866132, 283480797]",primary,False,False,177.64600000000002,"LINESTRING (122.605662 11.4939561, 122.6057632 11.4940414, 122.6058766 11.4941064, 122.6060805 11.4942026, 122.6062422 11.4942611, 122.6064001 11.494305, 122.6071753 11.4945089)",503,Capiz-Aklan Road,yes,
283480834,unclassified,False,True,105.537,"LINESTRING (122.6036396 11.4942928, 122.6045721 11.4945493)",,,,
764877620,primary,False,True,101.619,"LINESTRING (122.6036396 11.4942928, 122.6032864 11.4951386)",503,Capiz-Aklan Road,,
764877620,primary,False,False,94.396,"LINESTRING (122.6036396 11.4942928, 122.6039591 11.4936039, 122.6040039 11.4935228)",503,Capiz-Aklan Road,,
283480834,unclassified,False,False,105.537,"LINESTRING (122.6045721 11.4945493, 122.6036396 11.4942928)",,,,
764862111,unclassified,False,True,91.635,"LINESTRING (122.6045721 11.4945493, 122.6044027 11.4953565)",,,,
283480834,unclassified,False,True,92.243,"LINESTRING (122.6045721 11.4945493, 122.6046749 11.494563, 122.6053853 11.4947756)",,,,
283480836,unclassified,False,False,155.03,"LINESTRING (122.6045721 11.4945493, 122.6046496 11.4941654, 122.604651 11.4939938, 122.6046193 11.4938684, 122.6045519 11.4938005, 122.6043383 11.49366, 122.6040039 11.4935228)",,,,
764862111,unclassified,False,False,83.714,"LINESTRING (122.6053853 11.4947756, 122.6051562 11.4954942)",,,,
283480834,unclassified,False,False,92.243,"LINESTRING (122.6053853 11.4947756, 122.6046749 11.494563, 122.6045721 11.4945493)",,,,
"[764862112, 283480813, 764862111]",unclassified,False,True,95.987,"LINESTRING (122.6053853 11.4947756, 122.6055123 11.4944012, 122.6055768 11.4942192, 122.605662 11.4939561)",,,yes,
283480827,unclassified,False,False,124.027,"LINESTRING (122.6032864 11.4951386, 122.6044027 11.4953565)",,,,
764877620,primary,False,False,101.619,"LINESTRING (122.6032864 11.4951386, 122.6036396 11.4942928)",503,Capiz-Aklan Road,,
"[764877620, 764877621, 676777061]",primary,False,True,59.126,"LINESTRING (122.6032864 11.4951386, 122.6031815 11.4953725, 122.6031007 11.4955809, 122.6030795 11.49563)",503,Capiz-Aklan Road,yes,2
283480827,unclassified,False,False,83.52,"LINESTRING (122.6044027 11.4953565, 122.6051562 11.4954942)",,,,
764862111,unclassified,False,True,219.48499999999999,"LINESTRING (122.6044027 11.4953565, 122.6043383 11.495778, 122.6043662 11.4958638, 122.6045644 11.4960901, 122.6046876 11.496209, 122.6047675 11.4962561, 122.6048339 11.4962561, 122.6049051 11.4961873, 122.6050003 11.495911, 122.6051562 11.4954942)",,,,
283480827,unclassified,False,True,124.027,"LINESTRING (122.6044027 11.4953565, 122.6032864 11.4951386)",,,,
764862111,unclassified,False,False,91.635,"LINESTRING (122.6044027 11.4953565, 122.6045721 11.4945493)",,,,
283480827,unclassified,False,True,83.52,"LINESTRING (122.6051562 11.4954942, 122.6044027 11.4953565)",,,,
764862111,unclassified,False,False,219.48499999999999,"LINESTRING (122.6051562 11.4954942, 122.6050003 11.495911, 122.6049051 11.4961873, 122.6048339 11.4962561, 122.6047675 11.4962561, 122.6046876 11.496209, 122.6045644 11.4960901, 122.6043662 11.4958638, 122.6043383 11.495778, 122.6044027 11.4953565)",,,,
764862111,unclassified,False,True,83.714,"LINESTRING (122.6051562 11.4954942, 122.6053853 11.4947756)",,,,
283480817,residential,False,False,53.915000000000006,"LINESTRING (122.6030795 11.49563, 122.602812 11.4954272, 122.6027129 11.4953084)",,,,
"[764877621, 764877620, 676777061]",primary,False,False,59.126000000000005,"LINESTRING (122.6030795 11.49563, 122.6031007 11.4955809, 122.6031815 11.4953725, 122.6032864 11.4951386)",503,Capiz-Aklan Road,yes,2
676777061,primary,False,True,231.32599999999996,"LINESTRING (122.6030795 11.49563, 122.6029737 11.4959091, 122.6028563 11.4961279, 122.6027629 11.4961948, 122.6026477 11.4962391, 122.6022394 11.4962623, 122.6015007 11.4963115, 122.6013232 11.4963247)",503,Capiz-Aklan Road,,2
764877620,primary,False,True,35.834,"LINESTRING (122.6041578 11.493238, 122.6040039 11.4935228)",503,Capiz-Aklan Road,,
"[764862114, 764862115, 764862116]",unclassified,False,False,158.722,"LINESTRING (122.6041578 11.493238, 122.6042387 11.4932884, 122.6043383 11.493345, 122.6045527 11.4934701, 122.6046606 11.49356, 122.6048069 11.4936477, 122.6051856 11.4937892, 122.6052375 11.4937967, 122.6053708 11.493761, 122.6054538 11.4937354)",,,yes,
"[764877620, 764866133, 764866132]",primary,False,False,50.693000000000005,"LINESTRING (122.6041578 11.493238, 122.6042406 11.4930951, 122.6043334 11.4929273, 122.6043893 11.4928428)",503,Capiz-Aklan Road,yes,
764866132,primary,False,False,33.42,"LINESTRING (122.6054538 11.4937354, 122.605662 11.4939561)",503,Capiz-Aklan Road,,
"[764862114, 764862115, 764862116]",unclassified,False,True,158.72199999999998,"LINESTRING (122.6054538 11.4937354, 122.6053708 11.493761, 122.6052375 11.4937967, 122.6051856 11.4937892, 122.6048069 11.4936477, 122.6046606 11.49356, 122.6045527 11.4934701, 122.6043383 11.493345, 122.6042387 11.4932884, 122.6041578 11.493238)",,,yes,
764866132,primary,False,True,160.079,"LINESTRING (122.6054538 11.4937354, 122.6046932 11.4929247, 122.6045664 11.4928332, 122.6044652 11.4928086, 122.6043893 11.4928428)",503,Capiz-Aklan Road,,
283480817,residential,False,False,729.936,"LINESTRING (122.6027129 11.4953084, 122.6025936 11.4950858, 122.6024444 11.4948491, 122.6022144 11.4945342, 122.6020046 11.4943031, 122.6018757 11.4942022, 122.6018112 11.4941739, 122.6017246 11.4941937, 122.6016012 11.4942667, 122.6014487 11.4942752, 122.6012742 11.4942494, 122.6010952 11.4941758, 122.6008162 11.4939495, 122.6005255 11.4937533, 122.6004235 11.4936251, 122.6002907 11.4935251, 122.6001522 11.4934478, 122.5998923 11.4933535, 122.5998461 11.4932894, 122.59985 11.4931347, 122.5998712 11.4929895, 122.5998538 11.4928631, 122.5998019 11.4927254, 122.599858 11.4924995, 122.5998795 11.4919278, 122.5998983 11.4917766, 122.5999559 11.4916571, 122.6000163 11.4915729, 122.600082 11.4914152, 122.6000498 11.4911747, 122.5999962 11.4909355, 122.5999251 11.4905347)",,,,
283480817,residential,False,True,53.915000000000006,"LINESTRING (122.6027129 11.4953084, 122.602812 11.4954272, 122.6030795 11.49563)",,,,
764874377,residential,False,False,106.78800000000001,"LINESTRING (122.6027129 11.4953084, 122.6026022 11.4953876, 122.6024463 11.4954847, 122.602277 11.4955856, 122.6021238 11.4956445, 122.6019855 11.4956763, 122.6018351 11.4957062)",,,,
764874377,residential,False,True,106.788,"LINESTRING (122.6018351 11.4957062, 122.6019855 11.4956763, 122.6021238 11.4956445, 122.602277 11.4955856, 122.6024463 11.4954847, 122.6026022 11.4953876, 122.6027129 11.4953084)",,,,
