osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction
183054535,Rahumäe,residential,False,False,94.673,"LINESTRING (25.5489678 58.1004887, 25.5487557 58.1008782, 25.5485176 58.1013062)",,,,
177869245,Aia,residential,False,True,14.798,"LINESTRING (25.5513028 58.1012124, 25.5514563 58.1013179)",,,,
177869245,Aia,residential,False,False,156.274,"LINESTRING (25.5513028 58.1012124, 25.5508444 58.1008974, 25.5504472 58.1006292, 25.5501989 58.1004616, 25.549602 58.1001342)",,,,
214709059,Loigu,residential,False,True,164.07399999999998,"LINESTRING (25.5513028 58.1012124, 25.5498652 58.1012822, 25.5498173 58.1012845, 25.5491718 58.1013025, 25.5485176 58.1013062)",,,,
183054535,Rahumäe,residential,False,False,290.66,"LINESTRING (25.5485176 58.1013062, 25.5478936 58.1025772, 25.5476065 58.1031621, 25.5473063 58.1037735, 25.54732 58.1038381)",,,,
183054535,Rahumäe,residential,False,True,94.673,"LINESTRING (25.5485176 58.1013062, 25.5487557 58.1008782, 25.5489678 58.1004887)",,,,
214709059,Loigu,residential,False,False,164.07399999999998,"LINESTRING (25.5485176 58.1013062, 25.5491718 58.1013025, 25.5498173 58.1012845, 25.5498652 58.1012822, 25.5513028 58.1012124)",,,,
"[219877744, 1106666644]",Koidu,unclassified,False,True,110.34,"LINESTRING (25.5580934 58.0981571, 25.5582078 58.0981885, 25.5589306 58.0983853, 25.5595568 58.0985462, 25.559765 58.0986087)",,,,
254492555,Tartu mnt,primary,False,False,60.409,"LINESTRING (25.559765 58.0986087, 25.5594411 58.0989105, 25.5592865 58.099089)",2,6,50,
"[219877744, 1106666644]",Koidu,unclassified,False,False,110.34,"LINESTRING (25.559765 58.0986087, 25.5595568 58.0985462, 25.5589306 58.0983853, 25.5582078 58.0981885, 25.5580934 58.0981571)",,,,
753502303,Pärnu mnt,primary,True,False,25.217000000000002,"LINESTRING (25.5470758 58.1051608, 25.547032 58.1051708, 25.5469851 58.1051753, 25.5469375 58.1051739, 25.5468917 58.1051669, 25.5468501 58.1051546, 25.546815 58.1051375, 25.5467882 58.1051167, 25.546771 58.1050932, 25.5467645 58.1050682)",,6,50,roundabout
1077447211,Viljandi mnt,secondary,False,False,65.22800000000001,"LINESTRING (25.5470758 58.1051608, 25.5471347 58.1052524, 25.5471409 58.105262, 25.5472866 58.1054699, 25.5473005 58.1055192, 25.547381 58.105723)",2,49,50,
106515441,Pärnu mnt,primary,False,False,146.803,"LINESTRING (25.5467645 58.1050682, 25.5465093 58.1050462, 25.5464241 58.1050529, 25.546275 58.1050702, 25.5461176 58.105085, 25.5455042 58.1051549, 25.5453449 58.1051692, 25.5451755 58.1051893, 25.5443054 58.1052543)",2,6,50,
753502303,Pärnu mnt,primary,True,False,28.641000000000002,"LINESTRING (25.5467645 58.1050682, 25.5467721 58.1050363, 25.5467969 58.1050068, 25.5468368 58.1049825, 25.5468883 58.1049653, 25.5469471 58.1049568, 25.547008 58.1049577, 25.5470659 58.1049678, 25.5471156 58.1049864)",,6,50,roundabout
753502303,Pärnu mnt,primary,True,False,22.560000000000002,"LINESTRING (25.5471156 58.1049864, 25.5471545 58.1050132, 25.5471761 58.1050451, 25.5471784 58.1050789, 25.547161 58.1051114, 25.5471257 58.1051396, 25.5470758 58.1051608)",,6,50,roundabout
1077447210,Tartu mnt,primary,False,True,41.918,"LINESTRING (25.5471156 58.1049864, 25.5472922 58.1049134, 25.5477481 58.1048196)",2,6,50,
