osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry
70376213,,Furugatan,residential,40,False,False,64.503,,"LINESTRING (14.1184927 56.5482245, 14.1185524 56.5483392, 14.1185735 56.5483652, 14.1185751 56.5483936, 14.1185568 56.5484202, 14.1185215 56.5484409, 14.1184744 56.5484526, 14.1184229 56.5484534, 14.1183746 56.5484434, 14.118337 56.5484239, 14.1183159 56.5483979, 14.1183143 56.5483695, 14.1183326 56.5483429, 14.1183679 56.5483222, 14.1184927 56.5482245)"
70376213,,Furugatan,residential,40,False,True,64.503,,"LINESTRING (14.1184927 56.5482245, 14.1183679 56.5483222, 14.1183326 56.5483429, 14.1183143 56.5483695, 14.1183159 56.5483979, 14.118337 56.5484239, 14.1183746 56.5484434, 14.1184229 56.5484534, 14.1184744 56.5484526, 14.1185215 56.5484409, 14.1185568 56.5484202, 14.1185751 56.5483936, 14.1185735 56.5483652, 14.1185524 56.5483392, 14.1184927 56.5482245)"
70376229,,Furugatan,residential,40,False,True,60.892,,"LINESTRING (14.1157874 56.5484484, 14.115637 56.5479071)"
70376229,,Furugatan,residential,40,False,False,67.10400000000001,,"LINESTRING (14.1157874 56.5484484, 14.1160399 56.5485497, 14.1160684 56.5485725, 14.1160788 56.5485996, 14.1160696 56.5486269, 14.1160422 56.5486501, 14.1160008 56.5486658, 14.1159516 56.5486716, 14.1159022 56.5486665, 14.11586 56.5486514, 14.1158315 56.5486286, 14.1158211 56.5486015, 14.1157874 56.5484484)"
70376229,,Furugatan,residential,40,False,True,67.104,,"LINESTRING (14.1157874 56.5484484, 14.1158211 56.5486015, 14.1158315 56.5486286, 14.11586 56.5486514, 14.1159022 56.5486665, 14.1159516 56.5486716, 14.1160008 56.5486658, 14.1160422 56.5486501, 14.1160696 56.5486269, 14.1160788 56.5485996, 14.1160684 56.5485725, 14.1160399 56.5485497, 14.1157874 56.5484484)"
70376244,,Blomstervägen,residential,40,False,True,36.715,,"LINESTRING (14.1151319 56.5465177, 14.115077 56.5461889)"
70376244,,Blomstervägen,residential,40,False,False,60.312,,"LINESTRING (14.1151319 56.5465177, 14.1151827 56.5466435, 14.1151789 56.5466714, 14.115156 56.5466963, 14.1151176 56.5467145, 14.1150695 56.5467232, 14.115019 56.5467211, 14.1149738 56.5467085, 14.1149408 56.5466874, 14.114925 56.5466608, 14.1149288 56.546633, 14.1149516 56.5466081, 14.1151319 56.5465177)"
70376244,,Blomstervägen,residential,40,False,True,60.312,,"LINESTRING (14.1151319 56.5465177, 14.1149516 56.5466081, 14.1149288 56.546633, 14.114925 56.5466608, 14.1149408 56.5466874, 14.1149738 56.5467085, 14.115019 56.5467211, 14.1150695 56.5467232, 14.1151176 56.5467145, 14.115156 56.5466963, 14.1151789 56.5466714, 14.1151827 56.5466435, 14.1151319 56.5465177)"
70369730,,Snapphanevägen,residential,40,False,False,89.751,,"LINESTRING (14.1212427 56.5466832, 14.1215089 56.5466181, 14.1218776 56.5465428, 14.1225217 56.5463005)"
70369730,,Snapphanevägen,residential,40,False,True,98.698,,"LINESTRING (14.1212427 56.5466832, 14.121055 56.5467292, 14.1198021 56.5468827, 14.1196837 56.5468972)"
