osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,junction,tunnel
"[604967120, 604967121]",Rosengade,secondary,50,False,False,189.90400000000002,"LINESTRING (10.8793021 56.4134097, 10.8792849 56.4134773, 10.8792419 56.4136466, 10.8792285 56.4136914, 10.8792123 56.4137317, 10.8791984 56.4137612, 10.879175 56.4137989, 10.8791492 56.4138369, 10.8791274 56.4138757, 10.8791158 56.4138983, 10.8791064 56.4139228, 10.8790439 56.4141748, 10.8789584 56.4145816, 10.8788463 56.4150068, 10.8788341 56.415034, 10.8788191 56.4150603, 10.8788066 56.4150767, 10.8787941 56.4150898)",2,O,,,
30648400,H. P. Rosenvinges Plads,tertiary,50,False,False,58.024,"LINESTRING (10.8824473 56.4136853, 10.8824433 56.4139452, 10.8824392 56.4142071)",2,,,,
145911657,Østerbrogade,tertiary,50,False,False,153.57600000000002,"LINESTRING (10.8824473 56.4136853, 10.8826967 56.4137024, 10.8838905 56.4137896, 10.8849233 56.4138626)",2,,,,
"[613851632, 604967113, 613851630]",Østergade,tertiary,50,False,True,186.68300000000002,"LINESTRING (10.8824473 56.4136853, 10.8822562 56.4136668, 10.8820651 56.4136483, 10.8816671 56.4136122, 10.8814287 56.4135902, 10.880622 56.4135163, 10.8799049 56.4134488, 10.8797828 56.4134322, 10.8795892 56.4133992, 10.8794665 56.4133782)","['2', '3']",,,,
"[612024034, 625919506, 625919507, 24434948]",Kannikegade,secondary,50,False,False,228.17999999999995,"LINESTRING (10.8760625 56.4122205, 10.8761386 56.4122415, 10.8762253 56.4122602, 10.8763593 56.4122882, 10.8765326 56.412338, 10.8767059 56.4123878, 10.8767701 56.4124091, 10.8770661 56.4125185, 10.8775002 56.4126789, 10.8779492 56.4128632, 10.8780164 56.4128908, 10.8785591 56.4131136, 10.8787797 56.413203, 10.8788393 56.4132219, 10.878884 56.4132338, 10.8789518 56.4132502, 10.8791036 56.4132811, 10.8791979 56.4132969)",2,O,,,
24434949,Søndergade,residential,50,False,False,80.978,"LINESTRING (10.8760625 56.4122205, 10.8759965 56.4122868, 10.8759454 56.4123473, 10.8758756 56.4124659, 10.8758736 56.41249, 10.8758501 56.4127809, 10.8758383 56.4129265)",,,,,
"[569713460, 332637591]",Søndergade,secondary,50,False,True,62.04,"LINESTRING (10.8760625 56.4122205, 10.8759989 56.4121971, 10.8759338 56.4121709, 10.8759029 56.4121544, 10.8758743 56.4121364, 10.8758482 56.41212, 10.8758257 56.4121012, 10.8757458 56.4120202, 10.8756687 56.411934, 10.8755927 56.4118485, 10.8755167 56.411763)","['2', '3']",O,,,
24434949,Søndergade,residential,50,False,True,80.978,"LINESTRING (10.8758383 56.4129265, 10.8758501 56.4127809, 10.8758736 56.41249, 10.8758756 56.4124659, 10.8759454 56.4123473, 10.8759965 56.4122868, 10.8760625 56.4122205)",,,,,
24434950,Torvet,living_street,,False,False,112.909,"LINESTRING (10.8758383 56.4129265, 10.8754828 56.413511, 10.8755072 56.4135675, 10.8755737 56.4136061, 10.8757312 56.4136492, 10.8760655 56.4136932)",,,,,
24434950,Torvet,living_street,,False,True,112.909,"LINESTRING (10.8760655 56.4136932, 10.8757312 56.4136492, 10.8755737 56.4136061, 10.8755072 56.4135675, 10.8754828 56.413511, 10.8758383 56.4129265)",,,,,
30696051,Torvet,living_street,,True,False,105.887,"LINESTRING (10.8760655 56.4136932, 10.8762699 56.4136634, 10.8763803 56.4136095, 10.8763673 56.4135197, 10.876218 56.4132916, 10.8761165 56.413194, 10.8758383 56.4129265)",,,,,
621945737,Åstrupvej,tertiary,50,False,False,12.484,"LINESTRING (10.8783068 56.4157446, 10.8781939 56.4156513)",2,,,,
30612864,Grønland,residential,50,False,False,40.806,"LINESTRING (10.8783068 56.4157446, 10.8781061 56.4158253, 10.8780859 56.4158327, 10.8780634 56.4158392, 10.8780413 56.4158441, 10.8780157 56.4158474, 10.8777738 56.4158704, 10.8777047 56.4158771)",,,,,
621945737,Åstrupvej,tertiary,50,False,True,128.28300000000002,"LINESTRING (10.8783068 56.4157446, 10.8783606 56.4157857, 10.8787447 56.4160789, 10.8793737 56.416559, 10.8795036 56.4166883)",2,,,,
"[30622280, 563807183]",Markedsgade,secondary,50,False,"[False, True]",63.575,"LINESTRING (10.8778393 56.4152709, 10.877786 56.4152742, 10.8777079 56.4152778, 10.8776333 56.4152803, 10.8775569 56.4152811, 10.8774675 56.4152791, 10.8773672 56.4152746, 10.8772641 56.415269, 10.8770139 56.4152531, 10.8768101 56.4152415)","['2', '3']",O,,,
30676705,Nørregade,residential,50,False,False,113.73400000000001,"LINESTRING (10.8778393 56.4152709, 10.8777919 56.4151741, 10.8777751 56.4151413, 10.8777503 56.4150991, 10.8777214 56.4150578, 10.8776944 56.4150215, 10.8774635 56.4147389, 10.8774154 56.41468, 10.8772768 56.4145214, 10.8772074 56.414442, 10.8771387 56.4143634, 10.8771118 56.4143327)",2,,,,
"[563807184, 545484556]",Bredgade,secondary,50,False,"[False, True]",63.589,"LINESTRING (10.8778393 56.4152709, 10.8779071 56.4152664, 10.8779886 56.4152592, 10.8780792 56.4152487, 10.8784619 56.4151958, 10.8785953 56.4151751, 10.8786342 56.4151672, 10.8786716 56.4151566, 10.8787001 56.4151462, 10.8787285 56.4151336, 10.8787536 56.4151204, 10.878774 56.4151074, 10.8787941 56.4150898)",3,O,,,
621945737,Åstrupvej,tertiary,50,False,True,47.899,"LINESTRING (10.8778393 56.4152709, 10.8779081 56.4153785, 10.877926 56.4154066, 10.8779547 56.4154457, 10.8779799 56.4154725, 10.8781939 56.4156513)",2,,,,
30612865,Thykiersvej,residential,50,False,False,3.152,"LINESTRING (10.8757431 56.4151753, 10.8757401 56.4152036)",2,,,,
"[628769936, 628769934]",Markedsgade,secondary,50,True,False,66.096,"LINESTRING (10.8757431 56.4151753, 10.8760389 56.415187, 10.8761918 56.4151932, 10.8763155 56.4151999, 10.8764237 56.4152076, 10.8766221 56.4152273, 10.8767157 56.4152348, 10.8768101 56.4152415)",1,O,,,
30612864,Grønland,residential,50,False,False,172.834,"LINESTRING (10.8760027 56.4160308, 10.8758561 56.4160443, 10.8753777 56.4160885, 10.8742092 56.4161964, 10.8734117 56.41627, 10.873331 56.41627, 10.8732316 56.4162564)",,,,,
30612864,Grønland,residential,50,False,True,106.07400000000001,"LINESTRING (10.8760027 56.4160308, 10.8763678 56.4159978, 10.8770991 56.4159318, 10.8772705 56.4159163, 10.8775567 56.4158905, 10.8777047 56.4158771)",,,,,
30612865,Thykiersvej,residential,50,False,True,46.229,"LINESTRING (10.8760027 56.4160308, 10.875873 56.4156629, 10.8758592 56.4156227)",2,,,,
30612864,Grønland,residential,50,False,True,172.834,"LINESTRING (10.8732316 56.4162564, 10.873331 56.41627, 10.8734117 56.41627, 10.8742092 56.4161964, 10.8753777 56.4160885, 10.8758561 56.4160443, 10.8760027 56.4160308)",,,,,
30612933,Violskrænten,residential,50,False,False,42.854,"LINESTRING (10.8732316 56.4162564, 10.8733977 56.4160213, 10.8734817 56.4158967)",2,,,,
30612933,Violskrænten,residential,50,False,True,135.185,"LINESTRING (10.8732316 56.4162564, 10.8730051 56.416562, 10.8727857 56.4168525, 10.8725373 56.4171814, 10.8725296 56.4171915, 10.8723879 56.417379)",2,,,,
1059289170,Violskrænten,residential,50,False,True,4.058,"LINESTRING (10.8736706 56.415346, 10.8736941 56.4153801)",,,,,
628769933,Markedsgade,secondary,50,True,False,21.086,"LINESTRING (10.8736706 56.415346, 10.8738171 56.4153153, 10.8739915 56.4152793)",1,O,,,
1059289168,Schoubygade,residential,50,False,False,3.378,"LINESTRING (10.8727376 56.4155689, 10.8727613 56.4155963)",,,,,
30723788,Schoubygade,residential,50,False,True,74.99799999999999,"LINESTRING (10.8727376 56.4155689, 10.8726763 56.4155124, 10.8725952 56.4154426, 10.8724604 56.4153343, 10.8720378 56.415017)",2,,,,
628769933,Markedsgade,secondary,50,True,False,62.53,"LINESTRING (10.8727376 56.4155689, 10.8728658 56.4155347, 10.872992 56.4155016, 10.8734717 56.4153912, 10.8736706 56.415346)",1,O,,,
"[102268329, 150637018]","['Grisetorvet', 'Vestergade']",residential,,False,"[False, True]",45.582,"LINESTRING (10.8716005 56.4138453, 10.8718146 56.4138249, 10.8719409 56.4139579, 10.8721038 56.4140644)",,,,,
"[563706187, 612024031]",Posthaven,secondary,50,False,False,126.882,"LINESTRING (10.8716005 56.4138453, 10.8715947 56.4138228, 10.8715879 56.4138045, 10.8715787 56.4137856, 10.8714579 56.413586, 10.871291 56.4133287, 10.8712326 56.4132386, 10.871235 56.4132128, 10.8712514 56.4131893, 10.8712821 56.4131671, 10.8718267 56.4130569, 10.8720036 56.4130329)",,O,,,
30622347,Bredgade,residential,50,False,True,124.31,"LINESTRING (10.8787941 56.4150898, 10.8788485 56.4150984, 10.8789721 56.4151181, 10.8789995 56.4151213, 10.8790219 56.4151225, 10.8790452 56.4151226, 10.8790662 56.4151208, 10.8803619 56.4149016, 10.8807308 56.4148392)",2,,,,
"[563807184, 545484556]",Bredgade,secondary,50,False,"[False, True]",63.589,"LINESTRING (10.8787941 56.4150898, 10.878774 56.4151074, 10.8787536 56.4151204, 10.8787285 56.4151336, 10.8787001 56.4151462, 10.8786716 56.4151566, 10.8786342 56.4151672, 10.8785953 56.4151751, 10.8784619 56.4151958, 10.8780792 56.4152487, 10.8779886 56.4152592, 10.8779071 56.4152664, 10.8778393 56.4152709)",3,O,,,
"[604967120, 604967121]",Rosengade,secondary,50,False,True,189.904,"LINESTRING (10.8787941 56.4150898, 10.8788066 56.4150767, 10.8788191 56.4150603, 10.8788341 56.415034, 10.8788463 56.4150068, 10.8789584 56.4145816, 10.8790439 56.4141748, 10.8791064 56.4139228, 10.8791158 56.4138983, 10.8791274 56.4138757, 10.8791492 56.4138369, 10.879175 56.4137989, 10.8791984 56.4137612, 10.8792123 56.4137317, 10.8792285 56.4136914, 10.8792419 56.4136466, 10.8792849 56.4134773, 10.8793021 56.4134097)",2,O,,,
150637386,Nytorv,residential,50,False,False,41.608000000000004,"LINESTRING (10.8737786 56.4149355, 10.8737592 56.4149864, 10.8737652 56.4150249, 10.8739915 56.4152793)",2,,,,
556011908,Mogensgade,residential,50,False,True,134.335,"LINESTRING (10.8737786 56.4149355, 10.8738302 56.4149096, 10.8741794 56.4148051, 10.8745674 56.4146359, 10.8754991 56.4141975)",2,,,,
563807176,Smedestræde,residential,,False,True,37.429,"LINESTRING (10.8737786 56.4149355, 10.8736525 56.4149118, 10.8734001 56.414689)",,,,,
628769933,Markedsgade,secondary,50,True,False,20.664,"LINESTRING (10.8739915 56.4152793, 10.8743065 56.4152147)",1,O,,,
1059289169,Nytorv,residential,50,False,False,4.064,"LINESTRING (10.8739915 56.4152793, 10.8740162 56.4153132)",,,,,
150637386,Nytorv,residential,50,False,True,41.608,"LINESTRING (10.8739915 56.4152793, 10.8737652 56.4150249, 10.8737592 56.4149864, 10.8737786 56.4149355)",2,,,,
30624935,Solvangs Allé,residential,,False,True,93.68,"LINESTRING (10.880291 56.4177595, 10.8817535 56.4175242)",,,,,
621945737,Åstrupvej,tertiary,50,False,False,128.75699999999998,"LINESTRING (10.880291 56.4177595, 10.8799753 56.417276, 10.8797709 56.4169848, 10.879748 56.4169522, 10.8795036 56.4166883)",2,,,,
30624924,Korsgade,residential,50,False,False,76.544,"LINESTRING (10.8846901 56.4150863, 10.8846832 56.4152026, 10.8847976 56.4157711)",2,,,,
30624924,Korsgade,residential,50,False,True,79.721,"LINESTRING (10.8846901 56.4150863, 10.8846993 56.4148897, 10.8848015 56.4143725)",2,,,,
577688423,Djursgade,tertiary,50,False,False,149.801,"LINESTRING (10.8846901 56.4150863, 10.8831916 56.4146865, 10.8824965 56.4145011)",2,,,,
30648400,H. P. Rosenvinges Plads,tertiary,50,False,False,33.612,"LINESTRING (10.8824392 56.4142071, 10.8824414 56.4144491, 10.8824965 56.4145011)",2,,,,
30648400,H. P. Rosenvinges Plads,tertiary,50,False,True,58.024,"LINESTRING (10.8824392 56.4142071, 10.8824433 56.4139452, 10.8824473 56.4136853)",2,,,,
30710479,Nygade,residential,50,False,False,146.46699999999998,"LINESTRING (10.8824392 56.4142071, 10.8825015 56.4142115, 10.8836783 56.4142939, 10.8848015 56.4143725)",2,,,,
30624924,Korsgade,residential,50,False,False,57.191,"LINESTRING (10.8849233 56.4138626, 10.8848508 56.4141659, 10.8848015 56.4143725)",2,,,,
"[604967080, 145911657]",Østerbrogade,tertiary,50,False,False,92.731,"LINESTRING (10.8849233 56.4138626, 10.8849784 56.4138666, 10.8854276 56.4139004, 10.8858922 56.4139321, 10.8862361 56.4139531, 10.8862967 56.4139568, 10.8864195 56.4139643)",2,,,,
145911657,Østerbrogade,tertiary,50,False,True,153.57600000000002,"LINESTRING (10.8849233 56.4138626, 10.8838905 56.4137896, 10.8826967 56.4137024, 10.8824473 56.4136853)",2,,,,
"[101994879, 593705137, 101994883, 625919511]",N P Josiassens Vej,tertiary,50,False,False,95.164,"LINESTRING (10.8865655 56.4112289, 10.8865673 56.411357, 10.8865911 56.411515, 10.8866336 56.4117973, 10.8866398 56.4118493, 10.8866635 56.4120311, 10.8866717 56.4120824)","['2', '3']",,yes,,
30687497,Sønder Allé,residential,50,False,False,109.806,"LINESTRING (10.8799756 56.4107813, 10.8816948 56.4110469)",,,,,
30687497,Sønder Allé,residential,50,False,True,91.51,"LINESTRING (10.8799756 56.4107813, 10.8785405 56.4105647)",,,,,
30687497,Sønder Allé,residential,50,False,False,149.461,"LINESTRING (10.8747877 56.4095291, 10.8753055 56.4099338, 10.8766981 56.4102888)",,,,,
30688119,Fasanvej,residential,50,False,True,65.708,"LINESTRING (10.8747877 56.4095291, 10.8743248 56.4096529, 10.873826 56.4097862)",,,,,
30687497,Sønder Allé,residential,50,False,False,100.146,"LINESTRING (10.8832958 56.4112068, 10.8833917 56.4112109, 10.8849189 56.4112763)",,,,,
30687497,Sønder Allé,residential,50,False,True,100.344,"LINESTRING (10.8832958 56.4112068, 10.8829094 56.4111878, 10.8827841 56.4111816, 10.8824621 56.4111534, 10.8823851 56.4111467, 10.881894 56.4110757, 10.8816948 56.4110469)",,,,,
30687497,Sønder Allé,residential,50,False,True,109.806,"LINESTRING (10.8816948 56.4110469, 10.8799756 56.4107813)",,,,,
30687497,Sønder Allé,residential,50,False,False,100.34400000000002,"LINESTRING (10.8816948 56.4110469, 10.881894 56.4110757, 10.8823851 56.4111467, 10.8824621 56.4111534, 10.8827841 56.4111816, 10.8829094 56.4111878, 10.8832958 56.4112068)",,,,,
30612933,Violskrænten,residential,50,False,False,135.185,"LINESTRING (10.8723879 56.417379, 10.8725296 56.4171915, 10.8725373 56.4171814, 10.8727857 56.4168525, 10.8730051 56.416562, 10.8732316 56.4162564)",2,,,,
30612933,Violskrænten,residential,50,False,True,64.966,"LINESTRING (10.8723879 56.417379, 10.8721848 56.4176837, 10.8720226 56.4179272)",2,,,,
548302594,Bakkehegnet,residential,50,False,False,108.289,"LINESTRING (10.8723879 56.417379, 10.8724852 56.4173844, 10.873493 56.4174401, 10.8740163 56.417469, 10.874139 56.4174793)",,,,,
30624924,Korsgade,residential,50,False,False,79.721,"LINESTRING (10.8848015 56.4143725, 10.8846993 56.4148897, 10.8846901 56.4150863)",2,,,,
30624924,Korsgade,residential,50,False,True,57.191,"LINESTRING (10.8848015 56.4143725, 10.8848508 56.4141659, 10.8849233 56.4138626)",2,,,,
30710475,Nygade,residential,50,False,False,83.715,"LINESTRING (10.8848015 56.4143725, 10.8855724 56.4144306, 10.88615 56.4144742)",2,,,,
30710479,Nygade,residential,50,False,True,146.46699999999998,"LINESTRING (10.8848015 56.4143725, 10.8836783 56.4142939, 10.8825015 56.4142115, 10.8824392 56.4142071)",2,,,,
30710475,Nygade,residential,50,False,True,83.715,"LINESTRING (10.88615 56.4144742, 10.8855724 56.4144306, 10.8848015 56.4143725)",2,,,,
30723788,Schoubygade,residential,50,False,False,74.998,"LINESTRING (10.8720378 56.415017, 10.8724604 56.4153343, 10.8725952 56.4154426, 10.8726763 56.4155124, 10.8727376 56.4155689)",2,,,,
"[547420064, 547420065, 612145648, 543508342, 115107643]","['Overstræde', 'Lillegade']",residential,50,False,False,98.869,"LINESTRING (10.8720378 56.415017, 10.8723061 56.4148996, 10.8720925 56.4146853, 10.8720099 56.4146042, 10.8717766 56.4143937, 10.8717018 56.4143264, 10.8716601 56.4142985)",,,,,building_passage
30687497,Sønder Allé,residential,50,False,False,87.608,"LINESTRING (10.8849189 56.4112763, 10.8863372 56.4113476)",,,,,
30687497,Sønder Allé,residential,50,False,True,100.146,"LINESTRING (10.8849189 56.4112763, 10.8833917 56.4112109, 10.8832958 56.4112068)",,,,,
30687497,Sønder Allé,residential,50,False,False,91.51,"LINESTRING (10.8785405 56.4105647, 10.8799756 56.4107813)",,,,,
30687497,Sønder Allé,residential,50,False,True,117.419,"LINESTRING (10.8785405 56.4105647, 10.8783771 56.4105402, 10.8777649 56.4104486, 10.8766981 56.4102888)",,,,,
30687497,Sønder Allé,residential,50,False,False,117.41899999999998,"LINESTRING (10.8766981 56.4102888, 10.8777649 56.4104486, 10.8783771 56.4105402, 10.8785405 56.4105647)",,,,,
30687497,Sønder Allé,residential,50,False,True,149.461,"LINESTRING (10.8766981 56.4102888, 10.8753055 56.4099338, 10.8747877 56.4095291)",,,,,
"[239681409, 617985842]","['Åstien', 'Sønder Allé']","['residential', 'unclassified']",50,False,"[False, True]",150.349,"LINESTRING (10.8766981 56.4102888, 10.8764332 56.410814, 10.8762834 56.4107748, 10.8761574 56.410717, 10.8759991 56.4105871, 10.8755149 56.4102034)",,,,,
101994883,N P Josiassens Vej,tertiary,50,False,False,85.38499999999999,"LINESTRING (10.8866717 56.4120824, 10.8866752 56.4121071, 10.8867688 56.4128484)",2,,,,
"[593705137, 101994883, 625919511, 101994879]",N P Josiassens Vej,tertiary,50,False,True,95.164,"LINESTRING (10.8866717 56.4120824, 10.8866635 56.4120311, 10.8866398 56.4118493, 10.8866336 56.4117973, 10.8865911 56.411515, 10.8865673 56.411357, 10.8865655 56.4112289)","['2', '3']",,yes,,
30612864,Grønland,residential,50,False,False,106.07399999999998,"LINESTRING (10.8777047 56.4158771, 10.8775567 56.4158905, 10.8772705 56.4159163, 10.8770991 56.4159318, 10.8763678 56.4159978, 10.8760027 56.4160308)",,,,,
30612864,Grønland,residential,50,False,True,40.806,"LINESTRING (10.8777047 56.4158771, 10.8777738 56.4158704, 10.8780157 56.4158474, 10.8780413 56.4158441, 10.8780634 56.4158392, 10.8780859 56.4158327, 10.8781061 56.4158253, 10.8783068 56.4157446)",,,,,
35837956,Tulipanvej,unclassified,,False,False,123.248,"LINESTRING (10.8777047 56.4158771, 10.8773933 56.4163184, 10.876976 56.4169096)",,,,,
35837956,Tulipanvej,unclassified,,False,False,95.549,"LINESTRING (10.876976 56.4169096, 10.8764122 56.4177103)",,,,,
35604344,Rolighedsvej,residential,50,False,True,169.442,"LINESTRING (10.876976 56.4169096, 10.8777964 56.4170888, 10.8778862 56.4170762, 10.8786281 56.4169721, 10.8795036 56.4166883)",,,,,
35837956,Tulipanvej,unclassified,,False,True,123.248,"LINESTRING (10.876976 56.4169096, 10.8773933 56.4163184, 10.8777047 56.4158771)",,,,,
35604344,Rolighedsvej,residential,50,False,False,169.442,"LINESTRING (10.8795036 56.4166883, 10.8786281 56.4169721, 10.8778862 56.4170762, 10.8777964 56.4170888, 10.876976 56.4169096)",,,,,
621945737,Åstrupvej,tertiary,50,False,False,128.28300000000002,"LINESTRING (10.8795036 56.4166883, 10.8793737 56.416559, 10.8787447 56.4160789, 10.8783606 56.4157857, 10.8783068 56.4157446)",2,,,,
621945737,Åstrupvej,tertiary,50,False,True,128.757,"LINESTRING (10.8795036 56.4166883, 10.879748 56.4169522, 10.8797709 56.4169848, 10.8799753 56.417276, 10.880291 56.4177595)",2,,,,
30612933,Violskrænten,residential,50,False,False,64.966,"LINESTRING (10.8720226 56.4179272, 10.8721848 56.4176837, 10.8723879 56.417379)",2,,,,
35837956,Tulipanvej,unclassified,,False,True,95.549,"LINESTRING (10.8764122 56.4177103, 10.876976 56.4169096)",,,,,
35900924,Åbyen,residential,50,False,False,25.03,"LINESTRING (10.8820905 56.4128476, 10.882077 56.4128361, 10.8820679 56.412824, 10.88206 56.4128103, 10.8820511 56.4127903, 10.8819877 56.4126308)",,,,,
35900924,Åbyen,residential,50,False,True,48.909000000000006,"LINESTRING (10.8820905 56.4128476, 10.8821048 56.4128572, 10.8821222 56.4128646, 10.8821465 56.412872, 10.8821732 56.412878, 10.8822073 56.4128839, 10.8828459 56.4129725)",,,,,
616945311,Åbyen,residential,50,False,False,329.618,"LINESTRING (10.8820905 56.4128476, 10.8819346 56.4128559, 10.881891 56.412856, 10.8818505 56.4128539, 10.8818119 56.412849, 10.8812274 56.4127496, 10.8810978 56.4127238, 10.8808694 56.4126754, 10.8802561 56.4125391, 10.879873 56.4124458, 10.8797368 56.4124126, 10.8794569 56.4123328, 10.8790301 56.4122111, 10.8782061 56.4119454, 10.8774596 56.4116784, 10.8773641 56.41157)",,,,,
101994883,N P Josiassens Vej,tertiary,50,False,True,8.291,"LINESTRING (10.8867776 56.4129228, 10.8867688 56.4128484)",2,,,,
35900923,Åbyen,residential,50,False,False,45.638000000000005,"LINESTRING (10.8867776 56.4129228, 10.8864835 56.4129131, 10.8864425 56.4129106, 10.8864031 56.4129076, 10.8860428 56.4128711)",,,,,
"[101994883, 604967094]",N P Josiassens Vej,tertiary,50,False,False,107.715,"LINESTRING (10.8867776 56.4129228, 10.8867822 56.412967, 10.8867873 56.4130345, 10.8867905 56.4131063, 10.8867892 56.4131843, 10.8867872 56.4132541, 10.8867843 56.4133207, 10.8867796 56.4133812, 10.8867698 56.4134441, 10.8867581 56.4135018, 10.886748 56.413543, 10.8867064 56.4136699, 10.8866585 56.4138201, 10.8866378 56.4138849)",2,,,,
35900926,J.H. Bostrups Vej,residential,50,False,False,72.097,"LINESTRING (10.8860428 56.4128711, 10.8859852 56.4122235)",,,,,
35900923,Åbyen,residential,50,False,True,45.638000000000005,"LINESTRING (10.8860428 56.4128711, 10.8864031 56.4129076, 10.8864425 56.4129106, 10.8864835 56.4129131, 10.8867776 56.4129228)",,,,,
35900924,Åbyen,residential,50,False,False,207.777,"LINESTRING (10.8860428 56.4128711, 10.8858702 56.4128551, 10.8858206 56.4128523, 10.8857724 56.4128517, 10.8857122 56.4128526, 10.8856539 56.4128573, 10.8855906 56.4128653, 10.8855368 56.4128748, 10.8854806 56.4128876, 10.8853848 56.4129128, 10.8852982 56.4129413, 10.8850032 56.4130681, 10.8849465 56.413089, 10.8848928 56.4131063, 10.8848444 56.4131195, 10.8847911 56.4131305, 10.8847359 56.4131399, 10.8846811 56.4131474, 10.8846339 56.4131514, 10.8845805 56.4131529, 10.8845284 56.4131518, 10.8838934 56.4130957, 10.8832451 56.4130262, 10.8830252 56.4129979, 10.8828459 56.4129725)",,,,,
616945311,Åbyen,residential,50,False,True,329.61800000000005,"LINESTRING (10.8773641 56.41157, 10.8774596 56.4116784, 10.8782061 56.4119454, 10.8790301 56.4122111, 10.8794569 56.4123328, 10.8797368 56.4124126, 10.879873 56.4124458, 10.8802561 56.4125391, 10.8808694 56.4126754, 10.8810978 56.4127238, 10.8812274 56.4127496, 10.8818119 56.412849, 10.8818505 56.4128539, 10.881891 56.412856, 10.8819346 56.4128559, 10.8820905 56.4128476)",,,,,
