osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,est_width,junction
414705737,True,,,Καλλιρόης Πάρρεν-Σιγανού,secondary,,False,69.633,"LINESTRING (24.4766805 35.3693171, 24.4767427 35.3694041, 24.4768684 35.3696528, 24.4768651 35.3697145, 24.4768293 35.3697605, 24.4767639 35.3698074, 24.4766794 35.3698145)",,roundabout
414873119,False,,,,tertiary,,True,10.266,"LINESTRING (24.4724493 35.3631993, 24.4723361 35.3631982)",,
662119093,False,,,Κουρμούλη,tertiary,,False,51.663,"LINESTRING (24.4724493 35.3631993, 24.4724833 35.3632713, 24.4725256 35.3633402, 24.4725759 35.3634055, 24.4726338 35.3634664, 24.4726987 35.3635225, 24.4727719 35.3635744)",,
414873118,True,,,Χατζημιχάλη Γιάνναρη,tertiary,,False,51.201,"LINESTRING (24.4727375 35.3638293, 24.4721832 35.363917)",,
34344475,False,,,Κριάρη,tertiary,50,False,11.761,"LINESTRING (24.4708254 35.3648072, 24.4708949 35.3647179)",,
34344475,False,,,Κριάρη,tertiary,50,True,137.787,"LINESTRING (24.4708254 35.3648072, 24.4707456 35.3649046, 24.4707057 35.3649602, 24.4706814 35.3650004, 24.4706478 35.3650633, 24.470623 35.3651111, 24.4705976 35.3651671, 24.4705666 35.3652354, 24.4705401 35.3652974, 24.4705 35.3653958, 24.4704631 35.3654817, 24.4704149 35.3656041, 24.4702796 35.3659581)",,
34344388,True,,,Τιμολέοντος Βάσου,residential,,False,67.795,"LINESTRING (24.4702796 35.3659581, 24.4705626 35.366039, 24.4709856 35.3661588)",,
34344475,False,,,Κριάρη,tertiary,50,False,137.787,"LINESTRING (24.4702796 35.3659581, 24.4704149 35.3656041, 24.4704631 35.3654817, 24.4705 35.3653958, 24.4705401 35.3652974, 24.4705666 35.3652354, 24.4705976 35.3651671, 24.470623 35.3651111, 24.4706478 35.3650633, 24.4706814 35.3650004, 24.4707057 35.3649602, 24.4707456 35.3649046, 24.4708254 35.3648072)",,
983236743,False,,,Κριάρη,tertiary,50,True,74.455,"LINESTRING (24.4702796 35.3659581, 24.4702292 35.3660701, 24.4700029 35.3664439, 24.4699356 35.3665655)",,
39221198,True,,,,tertiary,,False,97.709,"LINESTRING (24.4699075 35.3693534, 24.4695164 35.3694006, 24.4694638 35.3694095, 24.4688431 35.3694901)",,
414866866,True,,,Ηρώων Πολυτεχνείου,tertiary,,False,98.82,"LINESTRING (24.4699075 35.3693534, 24.4700355 35.3693455, 24.4700867 35.3693468, 24.4701496 35.369357, 24.4701776 35.3693673, 24.4702068 35.3693839, 24.4702221 35.3694107, 24.4702347 35.3694409, 24.4702472 35.3694956, 24.470262 35.3695826, 24.4702828 35.3697245, 24.4703001 35.369867, 24.4703124 35.3700115)",,
39220842,True,,,Πρεβελάκη,residential,,False,85.7,"LINESTRING (24.4768512 35.3662561, 24.4765622 35.3655223)",,
743618661,True,2,ΕΟ90,Κουντουριώτη Παύλου,primary,50,False,99.494,"LINESTRING (24.4768512 35.3662561, 24.4761921 35.3664266, 24.475936 35.3664891, 24.4758026 35.3665193)",,
743618661,True,2,ΕΟ90,Κουντουριώτη Παύλου,primary,50,False,62.866,"LINESTRING (24.4758026 35.3665193, 24.4751336 35.3666677)",,
26718585,True,,,Γεωργίου Χατζηδάκη,residential,,False,50.562,"LINESTRING (24.4753997 35.3653176, 24.4755521 35.365755)",,
39220863,True,2,ΕΟ90,Θεμιστοκλή Μοάτσου,primary,50,False,44.527,"LINESTRING (24.4753997 35.3653176, 24.4757554 35.3652295, 24.4758692 35.3652003)",,
1057971904,True,,,Τεσσάρων Μαρτύρων,tertiary,50,False,52.30500000000001,"LINESTRING (24.4743556 35.3671225, 24.4745672 35.3670716, 24.4749094 35.3669909)",,
39220944,True,,,Τεσσάρων Μαρτύρων,tertiary,,False,33.163,"LINESTRING (24.4749094 35.3669909, 24.4749542 35.3666949)",,
233860332,True,,,Γερακάρη,tertiary,50,False,236.325,"LINESTRING (24.4749094 35.3669909, 24.474948 35.3669805, 24.4755508 35.366841, 24.47595 35.36674, 24.4761455 35.3667012, 24.4762805 35.3666744, 24.4763326 35.3666641, 24.4774291 35.3664508)",,
39220864,True,,,Ηλιακάκη,residential,,False,6.828,"LINESTRING (24.4723008 35.3672643, 24.4723017 35.3673257)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,False,63.239000000000004,"LINESTRING (24.4723008 35.3672643, 24.4723504 35.3672699, 24.4724153 35.3672759, 24.4724735 35.3672775, 24.4725175 35.3672768, 24.4725703 35.3672711, 24.4726168 35.3672608, 24.4729744 35.36716)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,True,130.993,"LINESTRING (24.4723008 35.3672643, 24.4722438 35.367252, 24.472182 35.3672368, 24.4721058 35.367216, 24.4720407 35.3671988, 24.4717362 35.3671097, 24.4709346 35.366882)",,
414873118,True,,,Χατζημιχάλη Γιάνναρη,tertiary,,False,37.224,"LINESTRING (24.473134 35.3637426, 24.4727375 35.3638293)",,
662119091,False,,,Δημητρακάκη,secondary,50,True,78.349,"LINESTRING (24.473134 35.3637426, 24.4734168 35.3644084)",,
662119093,False,,,Κουρμούλη,tertiary,,True,37.919000000000004,"LINESTRING (24.473134 35.3637426, 24.4730259 35.3637044, 24.4729382 35.363667, 24.4728528 35.3636209, 24.4727727 35.3635749, 24.4727719 35.3635744)",,
34344475,False,,,Κριάρη,tertiary,50,False,31.827,"LINESTRING (24.4714326 35.3639978, 24.4715995 35.363746)",,
34344475,False,,,Κριάρη,tertiary,50,True,93.748,"LINESTRING (24.4714326 35.3639978, 24.4708949 35.3647179)",,
238997799,True,,ΕΟ90,Ν. Καζαντζάκη,primary,50,False,15.699,"LINESTRING (24.4781003 35.3646849, 24.4782214 35.364584)",,
39220474,True,,,Δημοκρατίας,tertiary,,False,35.963,"LINESTRING (24.4773871 35.3661292, 24.4774291 35.3664508)",,
743618661,True,2,ΕΟ90,Κουντουριώτη Παύλου,primary,50,False,50.601,"LINESTRING (24.4773871 35.3661292, 24.4768512 35.3662561)",,
39220474,True,,,Δημοκρατίας,tertiary,,False,12.863,"LINESTRING (24.4771524 35.3649415, 24.4771844 35.3650542)",,
39220863,True,2,ΕΟ90,Θεμιστοκλή Μοάτσου,primary,50,False,90.672,"LINESTRING (24.4771524 35.3649415, 24.4780131 35.3647208, 24.4781003 35.3646849)",,
232805844,False,2,,Δημοκρατίας,residential,,False,118.076,"LINESTRING (24.4771524 35.3649415, 24.4774593 35.3643004, 24.4775254 35.3642077, 24.4776234 35.3641463, 24.4777127 35.3641165, 24.4778159 35.3640946)",,
39217756,True,1,,Αρκαδίου,tertiary,,False,222.448,"LINESTRING (24.4778154 35.367229, 24.4774472 35.3674755, 24.4773288 35.3675571, 24.4771947 35.3676496, 24.4768128 35.3679204, 24.476761 35.3679617, 24.4766273 35.3681101, 24.4765477 35.3682121, 24.4764005 35.3683963, 24.4762127 35.3686635, 24.4761909 35.3686968)",,
238583148,True,1,,Βάρδα Καλλέργη,tertiary,,False,59.156000000000006,"LINESTRING (24.4778154 35.367229, 24.477991 35.3674742, 24.4781308 35.3676945)",,
113555377,False,,,Στυλιανού Γαλερού,tertiary,,True,47.237,"LINESTRING (24.4759572 35.3633683, 24.4764741 35.363421)",,
24809447,True,1,,Κονδυλάκη,secondary,,False,48.579,"LINESTRING (24.4759572 35.3633683, 24.4759166 35.3634317, 24.4758558 35.3635253, 24.4757628 35.3637734)",,
39220786,True,,,Χατζημιχάλη Γιάνναρη,tertiary,,False,139.18,"LINESTRING (24.4757628 35.3637734, 24.4750829 35.3637913, 24.4742286 35.3638101)",,
375362576,False,1,,Κονδυλάκη,secondary,,False,57.244,"LINESTRING (24.4757628 35.3637734, 24.4757464 35.3640312, 24.4757381 35.3642242, 24.4757354 35.3642877)",,
375362575,True,1,,Κονδυλάκη,secondary,,False,89.277,"LINESTRING (24.4757341 35.3644091, 24.4757519 35.3647714, 24.4757912 35.3649773, 24.4758452 35.3651363, 24.4758572 35.3651683, 24.4758692 35.3652003)",,
375364029,False,,,Μαρκέλλου,residential,,True,7.5,"LINESTRING (24.4772392 35.3638904, 24.4772424 35.363823)",,
41265746,True,,,Σάθα,residential,,False,149.09300000000002,"LINESTRING (24.4772392 35.3638904, 24.4770739 35.3639396, 24.4766527 35.363894, 24.4764929 35.3639236, 24.4760654 35.364121, 24.4757354 35.3642877)",,
232805844,False,2,,Δημοκρατίας,residential,,True,118.076,"LINESTRING (24.4778159 35.3640946, 24.4777127 35.3641165, 24.4776234 35.3641463, 24.4775254 35.3642077, 24.4774593 35.3643004, 24.4771524 35.3649415)",,
1213084799,True,,,Σάθα,residential,,False,57.012,"LINESTRING (24.4778159 35.3640946, 24.4774452 35.3639621, 24.4772392 35.3638904)",,
39220864,True,,,Ηλιακάκη,residential,,False,83.432,"LINESTRING (24.4722783 35.3665142, 24.4723008 35.3672643)",,
39220863,True,2,ΕΟ90,Θεμιστοκλή Μοάτσου,primary,50,False,55.209,"LINESTRING (24.4748098 35.3654405, 24.4753997 35.3653176)",,
1057971902,True,2,ΕΟ90,Τεσσάρων Μαρτύρων,primary,50,False,49.132,"LINESTRING (24.4749542 35.3666949, 24.4744226 35.3667804)",,
39217756,True,1,,Αρκαδίου,tertiary,,False,141.208,"LINESTRING (24.4761909 35.3686968, 24.4761048 35.3688887, 24.4760129 35.369125, 24.4758537 35.3695036, 24.4758218 35.3696973, 24.4758077 35.3698796, 24.4758096 35.3699189)",,
102962263,True,,,Τσουδερών,residential,,False,129.74599999999998,"LINESTRING (24.4761909 35.3686968, 24.4761457 35.3686843, 24.4757825 35.3686213, 24.4756438 35.3685929, 24.4751267 35.368576, 24.4747757 35.3685885)",,
165392386,False,2,,Ελευθερίου Βενιζέλου,secondary,30,True,232.89500000000004,"LINESTRING (24.4781308 35.3676945, 24.4778757 35.3678263, 24.477602 35.3679797, 24.4772942 35.3682356, 24.4771788 35.3683437, 24.4771354 35.3683843, 24.4769672 35.3685727, 24.4769228 35.3686444, 24.4768125 35.3688225, 24.4766964 35.3691401, 24.4766805 35.3693171)",,
233860332,True,,,Γερακάρη,tertiary,50,False,126.606,"LINESTRING (24.4774291 35.3664508, 24.4777949 35.366387, 24.4779861 35.3663544, 24.4787878 35.3661894)",,
238583148,True,1,,Βάρδα Καλλέργη,tertiary,,False,98.294,"LINESTRING (24.4774291 35.3664508, 24.4774138 35.3665374, 24.4774119 35.3666242, 24.4774318 35.3667623, 24.4774666 35.366858, 24.477517 35.3669442, 24.477596 35.3670358, 24.4778154 35.367229)",,
231902539,False,,,Χαρίκλειας Δασκαλάκη,residential,,True,99.741,"LINESTRING (24.4742286 35.3638101, 24.4745441 35.3646694)",,
39220786,True,,,Χατζημιχάλη Γιάνναρη,tertiary,,False,99.65899999999999,"LINESTRING (24.4742286 35.3638101, 24.4736314 35.3637951, 24.473134 35.3637426)",,
34344388,True,,,Τιμολέοντος Βάσου,residential,,False,123.699,"LINESTRING (24.4709856 35.3661588, 24.4722783 35.3665142)",,
25156257,True,,,,residential,,False,80.94900000000001,"LINESTRING (24.4709856 35.3661588, 24.4709846 35.3662035, 24.4709722 35.3667842, 24.4709346 35.366882)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,True,52.453,"LINESTRING (24.4709346 35.366882, 24.4703961 35.3667097)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,False,130.993,"LINESTRING (24.4709346 35.366882, 24.4717362 35.3671097, 24.4720407 35.3671988, 24.4721058 35.367216, 24.472182 35.3672368, 24.4722438 35.367252, 24.4723008 35.3672643)",,
39220864,True,,,Ηλιακάκη,residential,,False,120.893,"LINESTRING (24.4722441 35.3654274, 24.4722429 35.365447, 24.4722783 35.3665142)",,
"[25156257, 414873125]",True,,,Κουμουνδούρου,residential,,False,171.91700000000003,"LINESTRING (24.4722441 35.3654274, 24.4718135 35.3654827, 24.4717228 35.3654943, 24.4715946 35.3655163, 24.4712858 35.3655666, 24.4711486 35.3655908, 24.4710901 35.3656047, 24.4710553 35.3656164, 24.4710352 35.3656282, 24.471021 35.3656436, 24.4710121 35.3656573, 24.4710077 35.3656858, 24.471002 35.3657269, 24.4709913 35.3658714, 24.4709867 35.3660106, 24.4709856 35.3661588)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,False,52.453,"LINESTRING (24.4703961 35.3667097, 24.4709346 35.366882)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,True,44.729,"LINESTRING (24.4703961 35.3667097, 24.4699356 35.3665655)",,
134273866,True,,,Δημακοπούλου,tertiary,50,False,73.346,"LINESTRING (24.472307 35.3676657, 24.4728938 35.3675166, 24.4730794 35.3674698)",,
39220947,True,,,Σήφη Βλαστού,residential,,False,39.584,"LINESTRING (24.4703286 35.3678018, 24.4698921 35.3678072)",,
238584249,True,,,44ου Συντάγματος,residential,,False,121.59,"LINESTRING (24.4703286 35.3678018, 24.4703961 35.3667097)",,
288887902,True,,,Παντελή Πρεβελάκη,tertiary,50,False,37.039,"LINESTRING (24.4698921 35.3678072, 24.4698904 35.3681403)",,
408547075,True,,,Σήφη Βλαστού,tertiary,50,False,109.225,"LINESTRING (24.4698921 35.3678072, 24.4698431 35.3678092, 24.4697902 35.3678141, 24.4696947 35.3678255, 24.4695217 35.3678523, 24.469336 35.3678883, 24.4692019 35.3679132, 24.4691599 35.3679215, 24.4687133 35.3680044)",,
39220948,True,,,Ψυλλάκη,tertiary,50,False,55.792,"LINESTRING (24.4698889 35.3684443, 24.47031 35.368427, 24.470404 35.368411, 24.4704996 35.3683948)",,
625649544,True,,,Παντελή Πρεβελάκη,tertiary,,False,101.101,"LINESTRING (24.4698889 35.3684443, 24.4699018 35.3690758, 24.4699075 35.3693534)",,
238584249,True,,,44ου Συντάγματος,residential,,False,29.194,"LINESTRING (24.4704996 35.3683948, 24.4705056 35.3681323)",,
"[544300952, 39220948]",True,,,"['Πατριάρχου Γρηγορίου', 'Ψυλλάκη']",tertiary,50,False,130.643,"LINESTRING (24.4704996 35.3683948, 24.4711338 35.3684265, 24.4711506 35.368395, 24.4711674 35.3682842, 24.4712255 35.3681482, 24.4713458 35.3680472, 24.4714689 35.3679579, 24.4715189 35.367904, 24.471525 35.3678805)",,
238584249,True,,,44ου Συντάγματος,residential,,False,40.102,"LINESTRING (24.4705056 35.3681323, 24.4703286 35.3678018)",,
414873122,True,,,Ι. Δημακοπούλου,residential,,False,55.79,"LINESTRING (24.4705056 35.3681323, 24.4698904 35.3681403)",,
625649543,True,,,Παντελή Πρεβελάκη,tertiary,50,False,33.804,"LINESTRING (24.4698904 35.3681403, 24.4698889 35.3684443)",,
414866866,True,,,Ηρώων Πολυτεχνείου,tertiary,,False,37.689,"LINESTRING (24.4703124 35.3700115, 24.4703171 35.3701075, 24.4703207 35.3701994, 24.470324 35.3703503)",,
503197649,False,,,Ηρώων Πολυτεχνείου,residential,,False,63.504999999999995,"LINESTRING (24.4703124 35.3700115, 24.4696705 35.369993, 24.4696149 35.3699793)",,
1192382525,False,,,Εμμανουήλ Κεφαλογιάννη,tertiary,30,True,4.91,"LINESTRING (24.4687133 35.3680044, 24.4687088 35.3679604)",,
1192382525,False,,,Εμμανουήλ Κεφαλογιάννη,tertiary,30,False,165.621,"LINESTRING (24.4687133 35.3680044, 24.468774 35.3687058, 24.4688431 35.3694901)",,
165392382,True,,,,residential,,False,39.89,"LINESTRING (24.471525 35.3678805, 24.4713818 35.3675413)",,
176916489,True,,,Ι. Δημακοπούλου,residential,,False,96.581,"LINESTRING (24.471525 35.3678805, 24.4705056 35.3681323)",,
134273866,True,,,Δημακοπούλου,tertiary,50,False,74.822,"LINESTRING (24.471525 35.3678805, 24.4722701 35.3676756, 24.472307 35.3676657)",,
41265741,True,,,Μιχαήλ Μαρούλη,residential,,False,85.232,"LINESTRING (24.4721877 35.3646835, 24.4721832 35.363917)",,
41265740,True,,,Τρανταλλίδη,residential,40,False,124.485,"LINESTRING (24.4721877 35.3646835, 24.4714835 35.3647673, 24.4709813 35.3648103, 24.4708876 35.364812, 24.4708254 35.3648072)",,
287273046,True,,,Τρανταλλίδη,residential,50,False,115.574,"LINESTRING (24.4734168 35.3644084, 24.4721877 35.3646835)",,
662119091,False,,,Δημητρακάκη,secondary,50,False,78.349,"LINESTRING (24.4734168 35.3644084, 24.473134 35.3637426)",,
943311107,False,,,Δημητρακάκη,secondary,50,True,54.577,"LINESTRING (24.4734168 35.3644084, 24.4736009 35.3648757)",,
414873118,True,,,Χατζημιχάλη Γιάνναρη,tertiary,,False,69.12100000000001,"LINESTRING (24.4721832 35.363917, 24.4716085 35.3640095, 24.4714326 35.3639978)",,
26718585,True,,,Γεωργίου Χατζηδάκη,residential,,False,87.969,"LINESTRING (24.4755521 35.365755, 24.4758026 35.3665193)",,
39220842,True,,,Πρεβελάκη,residential,,False,50.019,"LINESTRING (24.4765622 35.3655223, 24.4764158 35.3650886)",,
41265747,True,,,Πάρεν Σιγανού,residential,,False,95.177,"LINESTRING (24.4765622 35.3655223, 24.4755521 35.365755)",,
39220474,True,,,Δημοκρατίας,tertiary,,False,120.93900000000001,"LINESTRING (24.4771844 35.3650542, 24.4773355 35.3658504, 24.4773871 35.3661292)",,
"[176916484, 47186893]",True,,,"['Επιμ. Μαρούλη', 'Μαρούλη']",residential,,False,89.56,"LINESTRING (24.4771844 35.3650542, 24.4772615 35.3650785, 24.4773041 35.365102, 24.4773307 35.3651419, 24.4773633 35.3652317, 24.4774936 35.3652454, 24.4780417 35.3652965)",,
52009435,True,,,Ν. Καζαντζάκη,tertiary,,False,68.713,"LINESTRING (24.4780417 35.3652965, 24.478125 35.3648458, 24.4781003 35.3646849)",,
34344475,False,,,Κριάρη,tertiary,50,False,93.748,"LINESTRING (24.4708949 35.3647179, 24.4714326 35.3639978)",,
34344475,False,,,Κριάρη,tertiary,50,True,11.761,"LINESTRING (24.4708949 35.3647179, 24.4708254 35.3648072)",,
92905200,False,,,Ιεράς Μητροπόλεως,residential,,True,194.00399999999996,"LINESTRING (24.4708949 35.3647179, 24.4705224 35.3645319, 24.470484 35.36451, 24.4704589 35.3644933, 24.4704423 35.3644739, 24.4704284 35.3644501, 24.470399 35.3643984, 24.4702247 35.3640419, 24.4701938 35.3639773, 24.4701724 35.3639445, 24.4700859 35.3638736, 24.4700446 35.3638555, 24.4699988 35.363857, 24.4699214 35.3639091, 24.4698827 35.3639369, 24.4698505 35.3639325, 24.4698304 35.3638975, 24.469825 35.3638417, 24.4697982 35.3637575, 24.4697419 35.3636263, 24.4696923 35.3635924, 24.4696614 35.3635825)",,
231902539,False,,,Χαρίκλειας Δασκαλάκη,residential,,False,99.741,"LINESTRING (24.4745441 35.3646694, 24.4742286 35.3638101)",,
231902540,True,,,Χαρίκλειας Δασκαλάκη,residential,,False,89.063,"LINESTRING (24.4745441 35.3646694, 24.4748098 35.3654405)",,
239855643,True,,,Ζαμπελίου,residential,,False,111.721,"LINESTRING (24.4745441 35.3646694, 24.4757341 35.3644091)",,
92905210,False,,,Ζαμπελίου,residential,,False,67.427,"LINESTRING (24.4728827 35.3650328, 24.4736009 35.3648757)",,
92905200,False,,,Ιεράς Μητροπόλεως,residential,,False,214.795,"LINESTRING (24.4690167 35.3645317, 24.4691006 35.3646346, 24.4692108 35.3647532, 24.4692604 35.36481, 24.4693199 35.3648828, 24.469395 35.3649139, 24.4694671 35.3649086, 24.469521 35.3648582, 24.4695519 35.3647794, 24.4695859 35.3646506, 24.4696402 35.3644589, 24.4696762 35.3642737, 24.4696838 35.3641272, 24.4696788 35.364032, 24.4696684 35.3639001, 24.4696489 35.3637647, 24.4696417 35.3637142, 24.4696265 35.3636416, 24.4696306 35.3635967, 24.4696614 35.3635825)",,
799795982,False,,,,residential,,False,159.45199999999997,"LINESTRING (24.4690167 35.3645317, 24.4689189 35.3645547, 24.4685938 35.3645985, 24.4683677 35.3646406, 24.4683185 35.3646751, 24.4683005 35.3647279, 24.4683078 35.3648843, 24.4683534 35.3649303, 24.4684875 35.3649718, 24.4686457 35.364974, 24.4688131 35.3649664, 24.4688759 35.3649808, 24.4690281 35.3650309)",,
92905210,False,,,Ζαμπελίου,residential,,True,67.427,"LINESTRING (24.4736009 35.3648757, 24.4728827 35.3650328)",,
239855643,True,,,Ζαμπελίου,residential,,False,88.55,"LINESTRING (24.4736009 35.3648757, 24.4745441 35.3646694)",,
943311107,False,,,Δημητρακάκη,secondary,50,False,54.577,"LINESTRING (24.4736009 35.3648757, 24.4734168 35.3644084)",,
231896431,False,,,Δημητρακάκη,secondary,50,True,79.022,"LINESTRING (24.4736009 35.3648757, 24.4737899 35.3654405, 24.4738063 35.3654896, 24.4738303 35.3655613)",,
34344475,False,,,Κριάρη,tertiary,50,True,31.827,"LINESTRING (24.4715995 35.363746, 24.4714326 35.3639978)",,
34344475,False,,,Κριάρη,tertiary,50,False,54.056,"LINESTRING (24.4715995 35.363746, 24.4716977 35.3636133, 24.4717594 35.3635247, 24.4718744 35.3633155)",,
92905206,False,,,,residential,,True,13.405,"LINESTRING (24.4696614 35.3635825, 24.469646 35.3634626)",,
92905200,False,,,Ιεράς Μητροπόλεως,residential,,False,194.004,"LINESTRING (24.4696614 35.3635825, 24.4696923 35.3635924, 24.4697419 35.3636263, 24.4697982 35.3637575, 24.469825 35.3638417, 24.4698304 35.3638975, 24.4698505 35.3639325, 24.4698827 35.3639369, 24.4699214 35.3639091, 24.4699988 35.363857, 24.4700446 35.3638555, 24.4700859 35.3638736, 24.4701724 35.3639445, 24.4701938 35.3639773, 24.4702247 35.3640419, 24.470399 35.3643984, 24.4704284 35.3644501, 24.4704423 35.3644739, 24.4704589 35.3644933, 24.470484 35.36451, 24.4705224 35.3645319, 24.4708949 35.3647179)",,
92905200,False,,,Ιεράς Μητροπόλεως,residential,,True,214.795,"LINESTRING (24.4696614 35.3635825, 24.4696306 35.3635967, 24.4696265 35.3636416, 24.4696417 35.3637142, 24.4696489 35.3637647, 24.4696684 35.3639001, 24.4696788 35.364032, 24.4696838 35.3641272, 24.4696762 35.3642737, 24.4696402 35.3644589, 24.4695859 35.3646506, 24.4695519 35.3647794, 24.469521 35.3648582, 24.4694671 35.3649086, 24.469395 35.3649139, 24.4693199 35.3648828, 24.4692604 35.36481, 24.4692108 35.3647532, 24.4691006 35.3646346, 24.4690167 35.3645317)",,
1192382525,False,,,Εμμανουήλ Κεφαλογιάννη,tertiary,30,True,109.762,"LINESTRING (24.4688961 35.3704759, 24.4688963 35.3702562, 24.4688917 35.370158, 24.4688781 35.3699486, 24.4688615 35.3696722, 24.4688431 35.3694901)",,
39220947,True,,,Σήφη Βλαστού,residential,,False,48.181,"LINESTRING (24.4713818 35.3675413, 24.4708709 35.3676604)",,
39220864,True,,,Ηλιακάκη,residential,,False,37.809,"LINESTRING (24.4723017 35.3673257, 24.472307 35.3676657)",,
39220947,True,,,Σήφη Βλαστού,residential,,False,86.789,"LINESTRING (24.4723017 35.3673257, 24.4713818 35.3675413)",,
