osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,width
1156343850,,False,,,residential,,True,71.105,"LINESTRING (-85.3063821 35.0490993, -85.3063898 35.0492859, -85.3064055 35.0496693, -85.3064063 35.0496884, -85.3064069 35.0497026, -85.3064083 35.0497384)",Lookout Street,
394075886,,False,,,secondary,,True,101.90100000000001,"LINESTRING (-85.3067807 35.0484034, -85.3066737 35.0483635, -85.3066478 35.0483529, -85.3065924 35.0483076, -85.3065358 35.0482305, -85.3064974 35.0481408, -85.3064835 35.0480518, -85.3064727 35.0479625, -85.3064184 35.0478379, -85.3063881 35.0478028, -85.3063381 35.0477449, -85.3062196 35.0476714)",McCallie Avenue,
1156129119,,False,,,primary,,False,119.431,"LINESTRING (-85.3067807 35.0484034, -85.3068166 35.0483403, -85.3068873 35.0482161, -85.3070468 35.047936, -85.3072515 35.0475765, -85.307335 35.0474299)",Georgia Avenue,
1156343695,,False,,,primary,,True,60.139,"LINESTRING (-85.3067807 35.0484034, -85.306743 35.0484686, -85.3065834 35.0487448, -85.3064982 35.0488923)",Georgia Avenue,
1156343846,,True,,,residential,,False,58.687999999999995,"LINESTRING (-85.3067807 35.0484034, -85.3068825 35.0484324, -85.3073586 35.0484246, -85.3074193 35.0484236)",East 7th Street,
1156129119,,False,,,primary,,False,38.399,"LINESTRING (-85.307335 35.0474299, -85.3075132 35.0471169)",Georgia Avenue,
1156129119,,False,,,primary,,True,119.43099999999998,"LINESTRING (-85.307335 35.0474299, -85.3072515 35.0475765, -85.3070468 35.047936, -85.3068873 35.0482161, -85.3068166 35.0483403, -85.3067807 35.0484034)",Georgia Avenue,
1156129119,,False,,,primary,,True,38.399,"LINESTRING (-85.3075132 35.0471169, -85.307335 35.0474299)",Georgia Avenue,
19511210,,True,,,residential,,False,135.139,"LINESTRING (-85.3075132 35.0471169, -85.3074537 35.0470939, -85.3070162 35.046938, -85.3067948 35.046859, -85.3065824 35.0467833, -85.3065411 35.0467686, -85.3062127 35.0466453, -85.3061563 35.0466241)",East 8th Street,
"[1156343693, 1156343855]",,False,,,primary,,False,84.16900000000001,"LINESTRING (-85.3075132 35.0471169, -85.3077109 35.0467693, -85.3078704 35.0464888, -85.3079035 35.0464307)",Georgia Avenue,
1156343693,,False,,,primary,,False,18.556,"LINESTRING (-85.3079035 35.0464307, -85.3079895 35.0462794)",Georgia Avenue,
19502868,,False,2,,living_street,,False,135.738,"LINESTRING (-85.3079035 35.0464307, -85.3078418 35.0464069, -85.3065554 35.0459091)",Patten Parkway,
"[1156343693, 1156343855]",,False,,,primary,,True,84.16900000000001,"LINESTRING (-85.3079035 35.0464307, -85.3078704 35.0464888, -85.3077109 35.0467693, -85.3075132 35.0471169)",Georgia Avenue,
1156343693,,False,,,primary,,False,35.851,"LINESTRING (-85.3079895 35.0462794, -85.3081557 35.0459871)",Georgia Avenue,
1156343693,,False,,,primary,,True,18.556,"LINESTRING (-85.3079895 35.0462794, -85.3079035 35.0464307)",Georgia Avenue,
19502869,,False,2,,living_street,,False,135.853,"LINESTRING (-85.3079895 35.0462794, -85.3079233 35.0462548, -85.3066314 35.045773)",Patten Parkway,
51067080,,False,,,secondary,,False,129.544,"LINESTRING (-85.308281 35.0457669, -85.308317 35.0457027, -85.3088294 35.0447604, -85.3088606 35.0447029)",Georgia Avenue,
582913872,,False,4,,primary,25 mph,False,44.652,"LINESTRING (-85.308281 35.0457669, -85.308369 35.0458034, -85.3084258 35.0458188, -85.3085573 35.0458356, -85.3087562 35.0458382)",East Martin Luther King Boulevard,
861104700,,False,3,,primary,25 mph,True,136.308,"LINESTRING (-85.308281 35.0457669, -85.3082011 35.0457358, -85.3081542 35.0457175, -85.3076743 35.045542, -85.3073715 35.0454255, -85.3069782 35.0452741, -85.3069221 35.0452523)",East Martin Luther King Boulevard,
1156343693,,False,,,primary,,True,27.011,"LINESTRING (-85.308281 35.0457669, -85.3082332 35.045851, -85.3081557 35.0459871)",Georgia Avenue,
19498089,,False,,,residential,,False,68.513,"LINESTRING (-85.3088606 35.0447029, -85.3087941 35.0446792, -85.3083614 35.0445248, -85.3081707 35.0444567)",East 10th Street,
51067080,,False,,,secondary,,True,129.54399999999998,"LINESTRING (-85.3088606 35.0447029, -85.3088294 35.0447604, -85.308317 35.0457027, -85.308281 35.0457669)",Georgia Avenue,
1156343775,,False,,,residential,,True,51.942,"LINESTRING (-85.3088606 35.0447029, -85.3089171 35.0447256, -85.3091251 35.0448092, -85.3091518 35.0448199, -85.3092435 35.0448503, -85.3092623 35.0448498, -85.3093907 35.0448465)",East 10th Street,
1162292063,,True,,,residential,,False,12.134,"LINESTRING (-85.3104864 35.0483598, -85.3106194 35.0483525)",West 7th Street,
862077246,,True,2,,tertiary,30 mph,False,143.351,"LINESTRING (-85.3104864 35.0483598, -85.3104921 35.0484247, -85.31053 35.0495937, -85.3105293 35.0496484)",Broad Street,
19507201,,False,,,residential,,False,142.525,"LINESTRING (-85.3126462 35.048316, -85.3126447 35.0482704, -85.3126414 35.0481672, -85.3126358 35.0479957, -85.3126253 35.0476701, -85.3126239 35.0476036, -85.3126048 35.0470347)",Pine Street,
19507201,,False,,,residential,,True,142.961,"LINESTRING (-85.3126462 35.048316, -85.3126596 35.0489767, -85.3126704 35.0495066, -85.3126723 35.0496015)",Pine Street,
1157770316,,False,,,residential,,True,11.748,"LINESTRING (-85.3104463 35.0470772, -85.3105753 35.0470742)",West 8th Street,
19495756,,False,,,residential,,False,87.549,"LINESTRING (-85.3104463 35.0470772, -85.3103494 35.0470802, -85.3095892 35.0471094, -85.3094856 35.0471134)",West 8th Street,
1157770317,,True,2,,tertiary,30 mph,False,142.672,"LINESTRING (-85.3104463 35.0470772, -85.3104503 35.0471428, -85.3104874 35.0483097, -85.3104864 35.0483598)",Broad Street,
19507201,,False,,,residential,,False,60.605,"LINESTRING (-85.3126048 35.0470347, -85.3125906 35.0465178, -85.3125898 35.0464898)",Pine Street,
19507201,,False,,,residential,,True,142.525,"LINESTRING (-85.3126048 35.0470347, -85.3126239 35.0476036, -85.3126253 35.0476701, -85.3126358 35.0479957, -85.3126414 35.0481672, -85.3126447 35.0482704, -85.3126462 35.048316)",Pine Street,
1157770312,,False,,,residential,,False,89.384,"LINESTRING (-85.3126048 35.0470347, -85.3117088 35.0470523, -85.3116232 35.047054)",West 8th Street,
19509123,,False,,,residential,,True,39.747,"LINESTRING (-85.3083465 35.0441295, -85.3081707 35.0444567)",Columbia Street,
19509123,,False,,,residential,,False,57.742,"LINESTRING (-85.3083465 35.0441295, -85.3085811 35.0437143, -85.3086128 35.0436582)",Columbia Street,
19495813,,True,,,residential,,False,66.05,"LINESTRING (-85.3076907 35.0438754, -85.3082238 35.044082, -85.3083465 35.0441295)",Custom Street,
1156343774,,False,2,,tertiary,,False,57.89,"LINESTRING (-85.3076907 35.0438754, -85.3079183 35.0434677, -85.3079501 35.0434002)",Lindsay Street,
1157908312,,False,2,,tertiary,,True,39.403,"LINESTRING (-85.3076907 35.0438754, -85.3075379 35.044149, -85.3075108 35.0441977)",Lindsay Street,
19496827,,False,,,residential,,False,156.854,"LINESTRING (-85.3103572 35.0448253, -85.3104929 35.0448217, -85.311457 35.0447965, -85.311622 35.0447951, -85.311751 35.0448041, -85.3119715 35.0448712, -85.3120575 35.0449)",West 10th Street,
862426389,,False,,TN 8,primary,30 mph,True,98.764,"LINESTRING (-85.3103572 35.0448253, -85.3103558 35.0447516, -85.310342 35.0440075, -85.3103404 35.0439372)",Broad Street,
1158466952,,False,,,residential,,True,88.01800000000001,"LINESTRING (-85.3103572 35.0448253, -85.3102461 35.0448273, -85.3102275 35.0448276, -85.3095499 35.0448429, -85.3093907 35.0448465)",West 10th Street,
1158466953,,False,,TN 8,primary,30 mph,False,39.697,"LINESTRING (-85.3103572 35.0448253, -85.3103617 35.0448888, -85.3103824 35.0451817)",Broad Street,
19496827,,False,,,residential,,True,156.85399999999998,"LINESTRING (-85.3120575 35.0449, -85.3119715 35.0448712, -85.311751 35.0448041, -85.311622 35.0447951, -85.311457 35.0447965, -85.3104929 35.0448217, -85.3103572 35.0448253)",West 10th Street,
81250839,,False,,,secondary,,True,101.341,"LINESTRING (-85.3120575 35.0449, -85.3120211 35.0449645, -85.3116791 35.0456047, -85.3116282 35.04574)",Carter Street,
862426390,,False,,,secondary,,False,110.716,"LINESTRING (-85.3120575 35.0449, -85.3120839 35.0448521, -85.3121633 35.044708, -85.3123739 35.0443256, -85.3124699 35.0441511, -85.3125574 35.0439923)",Carter Street,
19510491,,True,,,residential,,False,96.181,"LINESTRING (-85.3074647 35.0497227, -85.307393 35.0497237, -85.3069758 35.0497297, -85.306902 35.0497307, -85.306496 35.0497365, -85.3064083 35.0497384)",East 6th Street,
78559722,,True,,,residential,,False,144.515,"LINESTRING (-85.3074647 35.0497227, -85.3074629 35.0496742, -85.3074474 35.0492502, -85.3074206 35.048517, -85.3074198 35.0484961, -85.3074193 35.0484236)",Walnut Street,
19510770,,True,,,residential,,False,96.21600000000001,"LINESTRING (-85.3074193 35.0484236, -85.3074981 35.048422, -85.3079354 35.048413, -85.3083744 35.048404, -85.3084759 35.0484015)",East 7th Street,
1156343847,,True,,,residential,,False,112.50500000000001,"LINESTRING (-85.3074193 35.0484236, -85.3074184 35.0483818, -85.3073987 35.0474968, -85.307335 35.0474299)",Walnut Street,
19497258,,False,,,residential,,True,90.45100000000001,"LINESTRING (-85.3103404 35.0439372, -85.3102281 35.0439369, -85.3101937 35.0439375, -85.3096518 35.0439463, -85.3095142 35.0439486, -85.3094685 35.0439493, -85.309347 35.0439513)",West 11th Street,
