osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry
"[1160605457, 1160605373]",Harrison Street,residential,False,False,365.328,,,,"LINESTRING (-98.7833836 38.3581637, -98.7834889 38.3582485, -98.7835801 38.3583789, -98.7836163 38.3585128, -98.7836605 38.3591873, -98.7837368 38.3595112, -98.7837056 38.3596698, -98.783656 38.3606096, -98.7836474 38.3608655, -98.7836412 38.3610516, -98.7836347 38.3612438, -98.78363 38.361385)"
12985512,8th Street,residential,False,False,115.268,,,,"LINESTRING (-98.775592 38.359077, -98.776914 38.359075)"
12985622,Adams Street,residential,False,False,112.976,,,,"LINESTRING (-98.775592 38.359077, -98.7756 38.360093)"
12985622,Adams Street,residential,False,True,103.411,,,,"LINESTRING (-98.775592 38.359077, -98.775592 38.358147)"
12985613,9th Street,residential,False,False,115.528,,,,"LINESTRING (-98.7756 38.360093, -98.776925 38.36009)"
12985622,Adams Street,residential,False,False,187.697,,,,"LINESTRING (-98.7756 38.360093, -98.775599 38.361781)"
12985622,Adams Street,residential,False,True,112.976,,,,"LINESTRING (-98.7756 38.360093, -98.775592 38.359077)"
12985622,Adams Street,residential,False,False,103.411,,,,"LINESTRING (-98.775592 38.358147, -98.775592 38.359077)"
12985622,Adams Street,residential,False,False,111.31,,,,"LINESTRING (-98.775637 38.365416, -98.775647 38.366417)"
12985622,Adams Street,residential,False,True,116.977,,,,"LINESTRING (-98.775637 38.365416, -98.775637 38.364364)"
12985659,Forest Avenue,residential,False,False,116.217,,,,"LINESTRING (-98.775637 38.365416, -98.77697 38.365418)"
12985659,Forest Avenue,residential,False,False,230.605,,,,"LINESTRING (-98.780945 38.365386, -98.78359 38.365377)"
12985659,Forest Avenue,residential,False,True,116.049,,,,"LINESTRING (-98.780945 38.365386, -98.779614 38.365397)"
12985721,Jackson Street,residential,False,False,112.196,,,,"LINESTRING (-98.780945 38.365386, -98.780942 38.366395)"
12985721,Jackson Street,residential,False,True,117.205,,,,"LINESTRING (-98.780945 38.365386, -98.780932 38.364332)"
12984991,Harrison Street,tertiary,False,False,158.618,,,,"LINESTRING (-98.7835562 38.3618026, -98.783576 38.363229)"
289494545,10th Street,trunk,False,True,115.368,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.7835562 38.3618026, -98.782233 38.361802)"
289494545,10th Street,trunk,False,False,47.241,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.7835562 38.3618026, -98.7839164 38.3618002, -98.784098 38.361799)"
1160605373,Harrison Street,residential,False,True,47.046,,,,"LINESTRING (-98.7835562 38.3618026, -98.783612 38.3616159, -98.78363 38.361385)"
