osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction
11141008,Northeast 146th Street,residential,False,False,399.87,"LINESTRING (-80.1752915 25.909851, -80.171297 25.910001)",,,,
856231491,Northeast 12th Avenue,tertiary,False,True,100.255,"LINESTRING (-80.1752915 25.909851, -80.1752545 25.90895)",2,,30 mph,
856231491,Northeast 12th Avenue,tertiary,False,False,100.255,"LINESTRING (-80.1752545 25.90895, -80.1752915 25.909851)",2,,30 mph,
856231491,Northeast 12th Avenue,tertiary,False,True,97.709,"LINESTRING (-80.1752545 25.90895, -80.1752075 25.9080723)",2,,30 mph,
856231495,Northeast 145th Street,residential,False,True,196.364,"LINESTRING (-80.1752545 25.90895, -80.177216 25.908875)",,,,
856231495,Northeast 145th Street,residential,False,False,401.233,"LINESTRING (-80.1752545 25.90895, -80.1713953 25.9091178, -80.1712476 25.9091242)",,,,
11125107,Northeast 144th Street,residential,False,False,401.362,"LINESTRING (-80.1752075 25.9080723, -80.1711979 25.9082173)",,,,
11125107,Northeast 144th Street,residential,False,True,401.115,"LINESTRING (-80.1752075 25.9080723, -80.179214 25.907914)",,,,
856231491,Northeast 12th Avenue,tertiary,False,False,97.709,"LINESTRING (-80.1752075 25.9080723, -80.1752545 25.90895)",2,,30 mph,
856231491,Northeast 12th Avenue,tertiary,False,True,99.546,"LINESTRING (-80.1752075 25.9080723, -80.1751511 25.9071785)",2,,30 mph,
192598292,Northeast 143rd Street,tertiary,False,False,200.935,"LINESTRING (-80.1751511 25.9071785, -80.1771582 25.9071012)",2,,,
192598292,Northeast 143rd Street,tertiary,False,True,325.851,"LINESTRING (-80.1751511 25.9071785, -80.171897 25.907319)",2,,,
856231491,Northeast 12th Avenue,tertiary,False,False,99.546,"LINESTRING (-80.1751511 25.9071785, -80.1752075 25.9080723)",2,,30 mph,
856231491,Northeast 12th Avenue,tertiary,False,True,100.874,"LINESTRING (-80.1751511 25.9071785, -80.175112 25.906272)",2,,30 mph,
192598292,Northeast 143rd Street,tertiary,False,False,325.851,"LINESTRING (-80.171897 25.907319, -80.1751511 25.9071785)",2,,,
11104303,,residential,False,False,128.001,"LINESTRING (-80.171897 25.907319, -80.17193 25.907127, -80.1721613 25.9069066, -80.1723547 25.9067222, -80.172483 25.9066, -80.172473 25.906368)",,,,
192598292,Northeast 143rd Street,tertiary,False,True,74.217,"LINESTRING (-80.171897 25.907319, -80.1716548 25.9073304, -80.1716445 25.9073309, -80.171156 25.907354)",2,,,
11147001,Northeast 11th Avenue,residential,False,True,37.198,"LINESTRING (-80.1769449 25.9019805, -80.17695 25.901646)",,,,
"[1024908840, 1024908838, 1080779294]",Northeast 11th Avenue,residential,False,False,64.777,"LINESTRING (-80.1769449 25.9019805, -80.176943 25.902104, -80.1769429 25.9021115, -80.1769424 25.9021446, -80.1769399 25.9023099, -80.176936 25.902563)",,,,
624377503,,secondary_link,True,False,25.775,"LINESTRING (-80.1773309 25.901579, -80.1772761 25.90152, -80.1772691 25.9015125, -80.1772396 25.9014582, -80.1772174 25.9013759)",,,,
1024908830,Northeast 137th Street,tertiary,True,False,38.919,"LINESTRING (-80.1773309 25.901579, -80.1771121 25.901605, -80.17695 25.901646)",1,,,
135310756,Northeast 137th Street,tertiary,False,True,41.563,"LINESTRING (-80.1765349 25.9016629, -80.1766953 25.9016567, -80.176791 25.901653, -80.17695 25.901646)",2,,,
567111556,,secondary_link,True,False,32.744,"LINESTRING (-80.1765349 25.9016629, -80.1765872 25.9017303, -80.1766469 25.9018274, -80.176645 25.9019287)",,,,
"[1024908834, 1024908835]",Northeast 137th Street,tertiary,False,False,166.037,"LINESTRING (-80.1765349 25.9016629, -80.1763444 25.9016703, -80.1761607 25.9016775, -80.1759836 25.9016843, -80.1757904 25.9016918, -80.1755987 25.9016993, -80.1754198 25.9017062, -80.1752432 25.9017131, -80.175057 25.9017203, -80.1748765 25.9017273)",2,,,
"[1024908826, 1024908827]",West Dixie Highway,secondary,False,False,40.217,"LINESTRING (-80.1772174 25.9013759, -80.1770795 25.9015152, -80.17695 25.901646)",4,FL 909,40 mph,
1049611137,West Dixie Highway,secondary,False,True,35.935,"LINESTRING (-80.1740506 25.904474, -80.1742964 25.9042383)",4,FL 909,40 mph,
856231490,Northeast 140th Street,residential,False,True,38.908,"LINESTRING (-80.1740506 25.904474, -80.1742279 25.9044832, -80.1744393 25.9044817)",,,,
"[935371936, 935371937]",West Dixie Highway,secondary,True,False,80.723,"LINESTRING (-80.1740506 25.904474, -80.173953 25.9045097, -80.1736912 25.9047511, -80.1735625 25.9048878, -80.173514 25.904994)",2,FL 909,40 mph,
1049611137,West Dixie Highway,secondary,False,False,35.935,"LINESTRING (-80.1742964 25.9042383, -80.1740506 25.904474)",4,FL 909,40 mph,
"[1049611136, 1049611137]",West Dixie Highway,secondary,False,True,65.324,"LINESTRING (-80.1742964 25.9042383, -80.1744587 25.9040756, -80.1746092 25.9039246, -80.1747325 25.903801)",4,FL 909,40 mph,
1049615933,Northeast 141st Street,residential,False,False,7.157,"LINESTRING (-80.1734372 25.9054307, -80.1733657 25.9054331)",,,,
1049615937,Northeast 141st Street,residential,False,True,28.786,"LINESTRING (-80.1734372 25.9054307, -80.1737248 25.9054212)",,,,
586203500,,residential,True,False,31.073999999999998,"LINESTRING (-80.1734372 25.9054307, -80.1733727 25.9053879, -80.1733372 25.9053512, -80.1733168 25.9053068, -80.1733123 25.9051962)",,,,
935371934,West Dixie Highway,secondary,False,True,30.208,"LINESTRING (-80.1733123 25.9051962, -80.173514 25.904994)",4,FL 909,40 mph,
"[1049615934, 1049615935]",West Dixie Highway,secondary,False,False,36.879000000000005,"LINESTRING (-80.1733123 25.9051962, -80.1731852 25.9053235, -80.173066 25.905443)",4,FL 909,40 mph,
1024908832,West Dixie Highway,secondary,False,True,40.935,"LINESTRING (-80.176665 25.9019102, -80.17695 25.901646)",4,FL 909,40 mph,
1024908837,West Dixie Highway,secondary,False,False,2.869,"LINESTRING (-80.176665 25.9019102, -80.176645 25.9019287)",4,FL 909,40 mph,
624377502,,secondary_link,True,False,29.188000000000002,"LINESTRING (-80.176665 25.9019102, -80.1767997 25.9019324, -80.1768816 25.9019565, -80.1769449 25.9019805)",,,,
135310755,Northeast 10th Avenue,tertiary,False,False,91.516,"LINESTRING (-80.1788977 25.9016654, -80.1789409 25.9024875)",2,,,
135310755,Northeast 10th Avenue,tertiary,False,True,17.811,"LINESTRING (-80.1788977 25.9016654, -80.1788893 25.9015054)",2,,,
1024908837,West Dixie Highway,secondary,False,True,2.869,"LINESTRING (-80.176645 25.9019287, -80.176665 25.9019102)",4,FL 909,40 mph,
1024908836,West Dixie Highway,secondary,False,False,93.93799999999999,"LINESTRING (-80.176645 25.9019287, -80.1763348 25.9022163, -80.1761539 25.902384, -80.175991 25.902535)",4,FL 909,40 mph,
1024908841,West Dixie Highway,secondary,False,False,1.876,"LINESTRING (-80.1752565 25.9032799, -80.1752439 25.9032924)",4,FL 909,40 mph,
1024908836,West Dixie Highway,secondary,False,True,110.71699999999998,"LINESTRING (-80.1752565 25.9032799, -80.175558 25.902971, -80.1757519 25.9027757, -80.1759681 25.902558, -80.175991 25.902535)",4,FL 909,40 mph,
1024908844,Northeast 139th Street,residential,False,True,16.548,"LINESTRING (-80.1754857 25.9035461, -80.175651 25.90354)",,,,
770025929,,secondary_link,True,False,38.565,"LINESTRING (-80.1754857 25.9035461, -80.1753406 25.9034402, -80.1753062 25.903399, -80.1752565 25.9032799)",,,,
"[1024908842, 1024908843]",Northeast 139th Street,residential,False,False,51.824000000000005,"LINESTRING (-80.1754857 25.9035461, -80.1753983 25.9035493, -80.174968 25.903565)",,,,
1049611146,West Dixie Highway,secondary,False,True,2.991,"LINESTRING (-80.1747325 25.903801, -80.1747525 25.903781)",4,FL 909,40 mph,
1049611135,,tertiary_link,True,False,28.101,"LINESTRING (-80.1747325 25.903801, -80.1748368 25.9038227, -80.174901 25.9038496, -80.1749806 25.9039085)",,,,
"[1049611136, 1049611137]",West Dixie Highway,secondary,False,False,65.324,"LINESTRING (-80.1747325 25.903801, -80.1746092 25.9039246, -80.1744587 25.9040756, -80.1742964 25.9042383)",4,FL 909,40 mph,
"[1049611138, 1049611140]",Northeast 12th Avenue,tertiary,False,False,61.913,"LINESTRING (-80.1749806 25.9039085, -80.1749862 25.9040605, -80.1749932 25.9042511, -80.175001 25.904465)",2,,,
"[856231489, 1049611139]",Northeast 12th Avenue,tertiary,False,True,38.217,"LINESTRING (-80.1749806 25.9039085, -80.1749796 25.9038818, -80.174968 25.903565)",2,,,
1024908841,West Dixie Highway,secondary,False,True,1.876,"LINESTRING (-80.1752439 25.9032924, -80.1752565 25.9032799)",4,FL 909,40 mph,
1049611143,West Dixie Highway,secondary,False,False,40.992,"LINESTRING (-80.1752439 25.9032924, -80.174968 25.903565)",4,FL 909,40 mph,
1049611142,,tertiary_link,True,False,29.607,"LINESTRING (-80.1752439 25.9032924, -80.175112 25.9032919, -80.1750407 25.9032854, -80.174951 25.9032653)",,,,
1049611144,Northeast 12th Avenue,tertiary,False,False,33.369,"LINESTRING (-80.174951 25.9032653, -80.174968 25.903565)",2,,,
11168866,Northeast 12th Avenue,tertiary,False,True,67.939,"LINESTRING (-80.174951 25.9032653, -80.1749425 25.9031159, -80.1749404 25.9030779, -80.1749311 25.9029151, -80.174921 25.9027367, -80.1749164 25.9026551)",2,,,
"[1049611141, 856231487]",Northeast 139th Street,residential,False,True,37.672,"LINESTRING (-80.1745917 25.9035793, -80.1747815 25.9035721, -80.174968 25.903565)",,,,
1049611145,,secondary_link,True,False,28.07,"LINESTRING (-80.1745917 25.9035793, -80.1746587 25.9036304, -80.1746957 25.903674, -80.1747525 25.903781)",,,,
