osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,bridge
16493484,South Main Street,primary,25 mph,False,True,107.463,"LINESTRING (-78.945351 34.970043, -78.945048 34.969109)",SR1596,yes,
16493484,South Main Street,primary,25 mph,False,False,106.87199999999999,"LINESTRING (-78.945351 34.970043, -78.945528 34.970587, -78.945536 34.9706143, -78.945642 34.970974)",SR1596,yes,
16513506,McRae Street,residential,,False,False,105.777,"LINESTRING (-78.945351 34.970043, -78.944439 34.970196, -78.944216 34.970242)",,,
174530921,South Main Street,primary,35 mph,False,False,93.228,"LINESTRING (-78.944798 34.968296, -78.945048 34.969109)",SR1596,yes,
174530921,South Main Street,primary,35 mph,False,True,203.22699999999998,"LINESTRING (-78.944798 34.968296, -78.944658 34.967835, -78.944233 34.966528)",SR1596,yes,
"[16514320, 16513302]","['Hamilton Street', 'Bynum Street']",residential,,False,True,405.122,"LINESTRING (-78.944233 34.966528, -78.9446336 34.9664453, -78.9452731 34.9663132, -78.9454189 34.9662831, -78.9457482 34.9672594, -78.946091 34.9682407, -78.9463185 34.9688189)",,,
174530921,South Main Street,primary,35 mph,False,False,203.22699999999998,"LINESTRING (-78.944233 34.966528, -78.944658 34.967835, -78.944798 34.968296)",SR1596,yes,
16496045,William M Bill Luther Street,residential,,False,True,55.114,"LINESTRING (-78.946725 34.9682213, -78.9467433 34.9683373, -78.946872 34.968701)",,,
16500535,Pinecrest Street,residential,,False,False,111.521,"LINESTRING (-78.941661 34.966986, -78.940478 34.967243)",,,
16500535,Pinecrest Street,residential,,False,True,140.185,"LINESTRING (-78.941661 34.966986, -78.94315 34.966669)",,,
16515898,Branch Street,residential,,False,True,127.534,"LINESTRING (-78.941661 34.966986, -78.9418663 34.9675834, -78.9418658 34.9677725, -78.9417909 34.9678748, -78.9415906 34.9680181)",,,
16504409,Trade Street,residential,,False,True,10.377,"LINESTRING (-78.94703 34.971485, -78.947108 34.971553)",,,
16502240,Ellison Street,residential,,False,False,85.119,"LINESTRING (-78.94703 34.971485, -78.94727 34.971307, -78.947394 34.971081, -78.947521 34.970851)",,,
16504416,Trade Street,residential,,False,False,116.904,"LINESTRING (-78.94703 34.971485, -78.946434 34.9719242, -78.946076 34.972188)",,,
16502240,Ellison Street,residential,,False,False,156.201,"LINESTRING (-78.947521 34.970851, -78.947548 34.970757, -78.947539 34.970656, -78.947141 34.969494)",,,
16502240,Ellison Street,residential,,False,True,85.119,"LINESTRING (-78.947521 34.970851, -78.947394 34.971081, -78.94727 34.971307, -78.94703 34.971485)",,,
16504842,West Patterson Street,residential,,False,True,169.65800000000002,"LINESTRING (-78.947521 34.970851, -78.94662 34.970986, -78.9464872 34.9710167, -78.9462421 34.9710711, -78.945707 34.971189)",,,
16504852,Railroad Street,residential,,False,False,66.835,"LINESTRING (-78.947141 34.969494, -78.947847 34.969331)",,,
16502240,Ellison Street,residential,,False,False,91.526,"LINESTRING (-78.947141 34.969494, -78.946922 34.96886, -78.946872 34.968701)",,,
16502240,Ellison Street,residential,,False,True,156.201,"LINESTRING (-78.947141 34.969494, -78.947539 34.970656, -78.947548 34.970757, -78.947521 34.970851)",,,
16504409,Trade Street,residential,,False,False,10.377,"LINESTRING (-78.947108 34.971553, -78.94703 34.971485)",,,
16504409,Trade Street,residential,,False,True,288.34999999999997,"LINESTRING (-78.947108 34.971553, -78.9472286 34.9716577, -78.9477069 34.972073, -78.9481215 34.972433, -78.948304 34.9725914, -78.948694 34.97293, -78.948836 34.97362)",,,
"[16518264, 16504902]","['Irvin Wayate Street', 'Pate Street']",residential,,False,False,143.814,"LINESTRING (-78.947108 34.971553, -78.94747 34.971324, -78.9477 34.971145, -78.947879 34.971022, -78.948053 34.970982, -78.948147 34.970983, -78.948233 34.970965, -78.948348 34.970923, -78.948415 34.970886)",,,
16504852,Railroad Street,residential,,False,True,66.835,"LINESTRING (-78.947847 34.969331, -78.947141 34.969494)",,,
16506704,Middle Street,residential,,False,False,90.921,"LINESTRING (-78.947847 34.969331, -78.947572 34.968545)",,,
"[16504852, 16489685]","['Railroad Street', 'Cross Street']",residential,,False,False,206.51,"LINESTRING (-78.947847 34.969331, -78.948465 34.969189, -78.948181 34.968409, -78.948052 34.968438, -78.947572 34.968545)",,,
"[16518264, 16504902]","['Irvin Wayate Street', 'Pate Street']",residential,,False,True,143.81400000000002,"LINESTRING (-78.948415 34.970886, -78.948348 34.970923, -78.948233 34.970965, -78.948147 34.970983, -78.948053 34.970982, -78.947879 34.971022, -78.9477 34.971145, -78.94747 34.971324, -78.947108 34.971553)",,,
16510893,Cameron Road,tertiary,,False,True,156.042,"LINESTRING (-78.941326 34.966389, -78.942984 34.966038)",,,
16519433,Lakeview Road,secondary,25 mph,False,False,275.497,"LINESTRING (-78.9439667 34.9725567, -78.9433671 34.9729407, -78.941396 34.973851)",,,
"[16519433, 999965852, 999965853, 999965854, 999965855]",Lakeview Road,secondary,25 mph,False,True,204.15699999999998,"LINESTRING (-78.9439667 34.9725567, -78.9440788 34.9724675, -78.944197 34.9723832, -78.944321 34.9723142, -78.9444527 34.9722665, -78.9446071 34.9722307, -78.9447282 34.9722178, -78.9448954 34.9722122, -78.9449557 34.9722129, -78.9451198 34.9722148, -78.945147 34.9722158, -78.9452459 34.9722195, -78.9455242 34.97223, -78.9455654 34.9722315, -78.946076 34.972188)",,,yes
16512184,Lake Forest Road,residential,,False,False,95.41199999999999,"LINESTRING (-78.941396 34.973851, -78.941449 34.973919, -78.941174 34.974663)",,,
16519433,Lakeview Road,secondary,25 mph,False,True,275.497,"LINESTRING (-78.941396 34.973851, -78.9433671 34.9729407, -78.9439667 34.9725567)",,,
16519517,Hillcrest Street,residential,,False,False,332.879,"LINESTRING (-78.941396 34.973851, -78.94133 34.973763, -78.940757 34.97265, -78.941691 34.971933, -78.942376 34.971639)",,,
16514879,Dewberry Street,residential,,False,True,100.08999999999999,"LINESTRING (-78.946259 34.969759, -78.9461826 34.9695114, -78.9459592 34.9688932)",,,
16519517,Hillcrest Street,residential,,False,True,332.879,"LINESTRING (-78.942376 34.971639, -78.941691 34.971933, -78.940757 34.97265, -78.94133 34.973763, -78.941396 34.973851)",,,
