osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,bridge
70725158,Pembroke Street,residential,False,True,47.925,,,,"LINESTRING (-3.4466309 51.7150035, -3.4473112 51.7149135)",,
70725155,Gloucester Street,residential,True,False,70.863,,,,"LINESTRING (-3.4449696 51.7151879, -3.4448742 51.7151645, -3.4442576 51.7148303, -3.4442333 51.7147659)",,
70725158,Pembroke Street,residential,False,True,64.759,,,,"LINESTRING (-3.4449696 51.7151879, -3.4450309 51.7151831, -3.4458913 51.7150741)",,
150788037,Gloucester Street,residential,False,False,95.996,,,,"LINESTRING (-3.4449696 51.7151879, -3.4450801 51.7152695, -3.4460271 51.7157475)",,
150788037,Gloucester Street,residential,False,True,41.079,,,,"LINESTRING (-3.4464731 51.7159927, -3.4460271 51.7157475)",,
"[24812532, 1082494166]","['Canon Street', 'Victoria Square']",primary,True,False,207.221,1,A4233,20 mph,"LINESTRING (-3.4468386 51.7135278, -3.446332 51.7136045, -3.4461323 51.7136376, -3.4458782 51.7136572, -3.445553 51.7136974, -3.4453588 51.713712, -3.4452212 51.7137055, -3.4451054 51.7136896, -3.4449645 51.7136606, -3.4448408 51.7136313, -3.4447699 51.7136161, -3.4447267 51.7136056, -3.4446876 51.713595, -3.4445903 51.713556, -3.4444975 51.7134987, -3.4442328 51.7132016)",,
70725149,Whitcombe Street,residential,False,False,51.371,,,,"LINESTRING (-3.4458913 51.7150741, -3.4457118 51.7146257)",,
70725149,Whitcombe Street,residential,False,True,69.583,,,,"LINESTRING (-3.4458913 51.7150741, -3.4461336 51.7156816)",,
70725158,Pembroke Street,residential,False,True,51.555,,,,"LINESTRING (-3.4458913 51.7150741, -3.4466309 51.7150035)",,
70725158,Pembroke Street,residential,False,False,64.759,,,,"LINESTRING (-3.4458913 51.7150741, -3.4450309 51.7151831, -3.4449696 51.7151879)",,
70725138,Dean Street,residential,True,False,150.68200000000002,,,20 mph,"LINESTRING (-3.4433653 51.7143307, -3.443565 51.714305, -3.445349 51.7141807, -3.4455354 51.7141659)",,
70732403,Duke Street,residential,True,False,219.031,,,,"LINESTRING (-3.4433653 51.7143307, -3.443129 51.7143367, -3.4429681 51.7143225, -3.4427883 51.714264, -3.4426429 51.7141179, -3.4425314 51.713893, -3.4423175 51.7135368, -3.4422332 51.7134101, -3.4421833 51.71332, -3.4418747 51.7127751)",,
70725137,Whitcombe Street,residential,False,True,29.475,,,,"LINESTRING (-3.4455354 51.7141659, -3.4454345 51.7139083)",,
70725149,Whitcombe Street,residential,False,True,52.552,,,,"LINESTRING (-3.4455354 51.7141659, -3.4457118 51.7146257)",,
70725138,Dean Street,residential,True,False,101.941,,,20 mph,"LINESTRING (-3.4455354 51.7141659, -3.4468091 51.713989, -3.4469796 51.7139664)",,
97317304,Cardiff Street,secondary,False,False,9.767,2,B4275,20 mph,"LINESTRING (-3.4410305 51.7110769, -3.4409507 51.7110043)",,
97317304,Cardiff Street,secondary,False,True,140.368,2,B4275,20 mph,"LINESTRING (-3.4410305 51.7110769, -3.4414769 51.7115485, -3.441572 51.7116169, -3.4422977 51.7120129, -3.4423294 51.7120302)",,
"[1082500267, 1263351756]",Duke Street,residential,False,True,144.325,,,,"LINESTRING (-3.4410305 51.7110769, -3.4409751 51.7111138, -3.4409635 51.7111324, -3.4409412 51.7111679, -3.4409608 51.7112253, -3.4409981 51.7112998, -3.4411592 51.7115723, -3.4415825 51.7122884)",,
70732405,Cross Street,residential,False,True,42.677,,,,"LINESTRING (-3.4428215 51.7123135, -3.4432378 51.7120293)",,
1082557731,Cardiff Street,secondary,False,False,46.28,2,B4275,20 mph,"LINESTRING (-3.4428215 51.7123135, -3.4423294 51.7120302)",,
"[26337098, 1082557731]",Cardiff Street,secondary,False,True,102.733,2,B4275,20 mph,"LINESTRING (-3.4428215 51.7123135, -3.4437235 51.7128478, -3.443772 51.7128766, -3.443856 51.712925, -3.4438975 51.712953)",,
130463557,Station Street,residential,True,False,83.096,,,,"LINESTRING (-3.4418747 51.7127751, -3.44231 51.7125851, -3.4428215 51.7123135)",,
1263351756,Duke Street,residential,False,False,57.742000000000004,,,,"LINESTRING (-3.4418747 51.7127751, -3.4417588 51.7125821, -3.4415825 51.7122884)",,
"[1082500267, 1263351756]",Duke Street,residential,False,False,144.32500000000002,,,,"LINESTRING (-3.4415825 51.7122884, -3.4411592 51.7115723, -3.4409981 51.7112998, -3.4409608 51.7112253, -3.4409412 51.7111679, -3.4409635 51.7111324, -3.4409751 51.7111138, -3.4410305 51.7110769)",,
1263351756,Duke Street,residential,False,True,57.742000000000004,,,,"LINESTRING (-3.4415825 51.7122884, -3.4417588 51.7125821, -3.4418747 51.7127751)",,
1082557731,Cardiff Street,secondary,False,True,46.28,2,B4275,20 mph,"LINESTRING (-3.4423294 51.7120302, -3.4428215 51.7123135)",,
70732404,Merchant Street,residential,True,False,60.446,,,,"LINESTRING (-3.4423294 51.7120302, -3.4421243 51.7121654, -3.4419618 51.7122118, -3.4415825 51.7122884)",,
97317304,Cardiff Street,secondary,False,False,140.368,2,B4275,20 mph,"LINESTRING (-3.4423294 51.7120302, -3.4422977 51.7120129, -3.441572 51.7116169, -3.4414769 51.7115485, -3.4410305 51.7110769)",,
80307875,Nith Street,residential,False,True,31.665,,,,"LINESTRING (-3.4426783 51.7112816, -3.4429855 51.7110698)",,
80307933,Dumfries Street,residential,False,False,142.175,,,,"LINESTRING (-3.4426783 51.7112816, -3.4411793 51.7104029)",,
80307933,Dumfries Street,residential,False,True,84.229,,,,"LINESTRING (-3.4426783 51.7112816, -3.4435724 51.7117982)",,
80307963,Depot Road,unclassified,False,False,131.53900000000002,,,,"LINESTRING (-3.4494297 51.71482, -3.4492911 51.7150816, -3.4490584 51.7154079, -3.448947 51.7155562, -3.4487847 51.7156811, -3.448506 51.7158284)",,
80307968,Brondeg Terrace,residential,False,True,74.067,,,,"LINESTRING (-3.4491604 51.7109934, -3.4501107 51.7113048)",,
80307874,Graig Street,residential,False,False,58.597,,,,"LINESTRING (-3.4491604 51.7109934, -3.4489415 51.7112259, -3.4487319 51.7114486)",,
80307874,Graig Street,residential,False,True,67.967,,,,"LINESTRING (-3.4491604 51.7109934, -3.449475 51.7106541, -3.4496518 51.7104634)",,
80307963,Depot Road,unclassified,False,True,26.32,,,,"LINESTRING (-3.4478432 51.7162558, -3.4480768 51.7160685)",,
80307958,,residential,False,False,38.077,,,,"LINESTRING (-3.4397921 51.7094982, -3.4396541 51.709319, -3.4396275 51.7092686, -3.4396561 51.7091795)",,
80307825,Highland Place,residential,False,False,134.273,,,,"LINESTRING (-3.4492605 51.7097029, -3.4506672 51.7101849, -3.4508383 51.7102037, -3.4510043 51.7101896)",,
"[990082978, 129848838]","['Monk Street', 'Craig Place']",primary,False,False,33.169,2,A4233,20 mph,"LINESTRING (-3.4492605 51.7097029, -3.4491537 51.7099192, -3.4491179 51.7099878)",,
80307842,Wayne Street,residential,False,False,77.056,,,,"LINESTRING (-3.4520433 51.7170813, -3.4510918 51.7174456)",,
80307842,Wayne Street,residential,False,True,34.572,,,,"LINESTRING (-3.4520433 51.7170813, -3.4524773 51.7169252)",,
80307849,Ann Street,residential,False,False,122.429,,,,"LINESTRING (-3.4520433 51.7170813, -3.4524057 51.7174652, -3.4514939 51.7177993)",,
80307940,Arnott's Place,residential,False,True,50.589,,,,"LINESTRING (-3.4512624 51.7096532, -3.4510207 51.7100828)",,
80307879,,unclassified,False,False,88.543,,,,"LINESTRING (-3.4508773 51.713054, -3.4508566 51.7132303, -3.4508041 51.7132909, -3.4507029 51.7133326, -3.4501885 51.7134897, -3.4500045 51.7135275)",,
80307948,Jenkin Street,residential,False,False,34.619,,,,"LINESTRING (-3.446763 51.7115341, -3.4464447 51.7112932)",,
80307948,Jenkin Street,residential,False,True,36.68,,,,"LINESTRING (-3.446763 51.7115341, -3.4471105 51.711784)",,
80307950,Price Street,residential,False,False,51.44,,,,"LINESTRING (-3.446763 51.7115341, -3.4462032 51.7118402)",,
80307884,,residential,False,False,62.403,,,,"LINESTRING (-3.4471804 51.7095833, -3.4468272 51.7097584, -3.4464732 51.7099339)",,
80307884,,residential,False,True,65.032,,,,"LINESTRING (-3.4471804 51.7095833, -3.4475387 51.7093814, -3.4478788 51.7091899)",,
"[80307900, 80307886]","['Herbert Street', 'Elizabeth Street']",residential,False,False,87.001,,,,"LINESTRING (-3.4471804 51.7095833, -3.4478617 51.7101071, -3.4477 51.7101517)",,
"[80307900, 80307861]","['Herbert Street', 'The Grove']",residential,False,"[False, True]",162.756,,,,"LINESTRING (-3.4471804 51.7095833, -3.4462668 51.7088983, -3.4459483 51.7090768, -3.4455785 51.709284)",,
80307956,Gadlys Terrace,residential,False,False,42.677,,,,"LINESTRING (-3.4497797 51.7145078, -3.4502013 51.7142266)",,
119507544,Dover Terrace,residential,False,False,9.915,,,,"LINESTRING (-3.4497797 51.7145078, -3.4496571 51.7144611)",,
80307956,Gadlys Terrace,residential,False,True,69.603,,,,"LINESTRING (-3.4497797 51.7145078, -3.4502571 51.7147358, -3.4504387 51.7147413, -3.4506319 51.7148136)",,
40931565,Abernant Road,residential,False,True,69.899,,,,"LINESTRING (-3.4385617 51.7168908, -3.439256 51.7164324)",,
80307861,The Grove,residential,False,False,26.221,,,,"LINESTRING (-3.4452772 51.7094596, -3.4450179 51.7096322)",,
80307861,The Grove,residential,False,True,28.5,,,,"LINESTRING (-3.4452772 51.7094596, -3.4455785 51.709284)",,
80307949,The Grove,residential,False,False,63.629,,,,"LINESTRING (-3.4452772 51.7094596, -3.4446493 51.70904)",,
80307814,Wind Street,residential,False,True,57.864,,,20 mph,"LINESTRING (-3.4417578 51.7100357, -3.4411849 51.7096552)",,
80307818,Bethuel Street,residential,False,True,25.368,,,,"LINESTRING (-3.4417578 51.7100357, -3.4415022 51.7101999)",,
80307814,Wind Street,residential,False,False,53.54600000000001,,,20 mph,"LINESTRING (-3.4417578 51.7100357, -3.4419979 51.7101906, -3.4423237 51.710365)",,
80307833,Oak Street,residential,False,True,100.47200000000001,,,,"LINESTRING (-3.4417578 51.7100357, -3.4426909 51.7094749, -3.4428045 51.7094066)",,
80307814,Wind Street,residential,False,False,57.864,,,20 mph,"LINESTRING (-3.4411849 51.7096552, -3.4417578 51.7100357)",,
80307814,Wind Street,residential,False,True,104.16799999999999,,,20 mph,"LINESTRING (-3.4411849 51.7096552, -3.4406169 51.7093263, -3.4404366 51.7092766, -3.4402832 51.709249, -3.4399115 51.7092087)",,
990082978,Monk Street,primary,False,False,22.72,2,A4233,20 mph,"LINESTRING (-3.4490977 51.7100329, -3.4489823 51.7102243)",,
990082978,Monk Street,primary,False,True,5.204,2,A4233,20 mph,"LINESTRING (-3.4490977 51.7100329, -3.4491179 51.7099878)",,
80307942,Ynys-Lwyd Street,residential,False,False,86.289,,,,"LINESTRING (-3.4490977 51.7100329, -3.4488237 51.7100531, -3.4487067 51.7100784, -3.4480578 51.710421)",,
839401135,,primary,True,False,7.865,,A4233,20 mph,"LINESTRING (-3.4457274 51.7125824, -3.445671 51.7126439)",,
990082977,Monk Street,primary,False,True,47.361,2,A4233,20 mph,"LINESTRING (-3.4457274 51.7125824, -3.4462209 51.7122859)",,
80307855,Morgan Street,residential,False,True,37.85,,,,"LINESTRING (-3.4509384 51.7145311, -3.4506319 51.7148136)",,
80307838,South Avenue,residential,False,True,61.034000000000006,,,,"LINESTRING (-3.4509384 51.7145311, -3.4506985 51.714432, -3.4502013 51.7142266)",,
"[80307956, 80307855]","['Gadlys Terrace', 'Morgan Street']",residential,False,"[False, True]",220.66000000000003,,,,"LINESTRING (-3.4509384 51.7145311, -3.4510103 51.7144731, -3.4513729 51.7137786, -3.4510909 51.7137153, -3.4506433 51.7136147, -3.4505146 51.7136416, -3.4502013 51.7142266)",,
80307833,Oak Street,residential,False,False,100.47200000000001,,,,"LINESTRING (-3.4428045 51.7094066, -3.4426909 51.7094749, -3.4417578 51.7100357)",,
80307836,,residential,False,True,48.42100000000001,,,,"LINESTRING (-3.4514939 51.7177993, -3.4514006 51.7177498, -3.4510918 51.7174456)",,
80307849,Ann Street,residential,False,True,122.429,,,,"LINESTRING (-3.4514939 51.7177993, -3.4524057 51.7174652, -3.4520433 51.7170813)",,
