osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,junction,name,bridge
98879698,False,A719,primary,30 mph,False,114.767,"LINESTRING (-4.3854449 55.5976646, -4.3872152 55.59741)",,,Brewland Street,
98879698,False,A719,primary,30 mph,True,23.484,"LINESTRING (-4.3854449 55.5976646, -4.3851807 55.597814)",,,Brewland Street,
83378428,False,,residential,,False,116.008,"LINESTRING (-4.3854449 55.5976646, -4.3848978 55.596919, -4.3848012 55.5968584, -4.3846832 55.5968463, -4.3845437 55.5968827)",,,Manse Gardens,
"[98879715, 352395931, 39980086, 39980087]",False,B7037,secondary,,True,382.611,"LINESTRING (-4.3745444 55.59604, -4.3754264 55.596489, -4.3756005 55.596587, -4.375928 55.5967713, -4.3760647 55.5968482, -4.3762502 55.5969665, -4.3771881 55.5975648, -4.3782892 55.5983677, -4.3785857 55.5986021)",,,"['Cessnock Road', 'Station Road']",
39980086,False,B7037,secondary,,True,59.086,"LINESTRING (-4.3785857 55.5986021, -4.3790023 55.5990785)",,,Station Road,
"[98879715, 352395931, 39980086, 39980087]",False,B7037,secondary,,False,382.611,"LINESTRING (-4.3785857 55.5986021, -4.3782892 55.5983677, -4.3771881 55.5975648, -4.3762502 55.5969665, -4.3760647 55.5968482, -4.375928 55.5967713, -4.3756005 55.596587, -4.3754264 55.596489, -4.3745444 55.59604)",,,"['Cessnock Road', 'Station Road']",
39980091,False,,residential,,False,90.93,"LINESTRING (-4.3785857 55.5986021, -4.3783157 55.59868, -4.3778489 55.5985133, -4.3774412 55.5982708)",,,Duke Street,
39980086,False,B7037,secondary,,False,59.086,"LINESTRING (-4.3790023 55.5990785, -4.3785857 55.5986021)",,,Station Road,
39980086,False,B7037,secondary,,True,71.927,"LINESTRING (-4.3790023 55.5990785, -4.3791781 55.5992738, -4.3795432 55.5994828, -4.3797533 55.5995452)",,,Station Road,
39980093,False,,residential,,True,187.137,"LINESTRING (-4.3790023 55.5990785, -4.3766727 55.5995675, -4.37622 55.5996787)",,,Bentinck Street,
39980088,False,,residential,,True,91.162,"LINESTRING (-4.3797667 55.5987254, -4.3797533 55.5995452)",,,Wallace Street,
39980089,False,,residential,,False,128.82,"LINESTRING (-4.3797667 55.5987254, -4.3800297 55.5984091, -4.3801658 55.5982453, -4.3806384 55.5976768)",,,Barr Street,
39980090,False,,residential,,False,108.472,"LINESTRING (-4.3797667 55.5987254, -4.3795495 55.5986542, -4.3794894 55.5985973, -4.3794975 55.5985094, -4.3796486 55.5983653, -4.3796745 55.5983124, -4.3796621 55.5982648, -4.3793939 55.5981375, -4.379308 55.5980768, -4.3792303 55.597951)",,,Barr Castle Gardens,
98879706,False,,residential,,False,185.01599999999996,"LINESTRING (-4.3810032 55.597307, -4.3810997 55.5975192, -4.3811534 55.5977495, -4.3811105 55.5979617, -4.3811105 55.5981132, -4.3811748 55.5982829, -4.3814857 55.5985756, -4.3815611 55.5986466, -4.3817757 55.5988649)",,,Glebe Road,
352395941,False,,residential,,True,179.91700000000003,"LINESTRING (-4.3810032 55.597307, -4.380853 55.5970221, -4.3807028 55.5967917, -4.3804667 55.5966462, -4.3802093 55.5965129, -4.379823 55.5963371, -4.3795333 55.5962219, -4.3792437 55.5961067)",,,Cemetery Road,
"[39980089, 470298914, 470298915]",False,,residential,,True,47.354,"LINESTRING (-4.3810032 55.597307, -4.3809646 55.5973801, -4.3808386 55.5974816, -4.3806384 55.5976768)",,,Barr Street,yes
"[39980091, 39980092]",False,,residential,,False,214.135,"LINESTRING (-4.3774412 55.5982708, -4.3763254 55.5985254, -4.3760465 55.5986224, -4.37622 55.5996787)",,,"['Blair Street', 'Duke Street']",
39980091,False,,residential,,True,90.93,"LINESTRING (-4.3774412 55.5982708, -4.3778489 55.5985133, -4.3783157 55.59868, -4.3785857 55.5986021)",,,Duke Street,
"[352395933, 352395927]",False,,residential,,True,233.623,"LINESTRING (-4.3774412 55.5982708, -4.3767331 55.5978647, -4.3765722 55.5977738, -4.37644 55.597753, -4.3763791 55.5977434, -4.3759499 55.5979374, -4.3757458 55.5980379, -4.3751989 55.5983072, -4.3746732 55.5985981)",,,Belvedere View,
"[39980091, 39980092]",False,,residential,,True,214.135,"LINESTRING (-4.37622 55.5996787, -4.3760465 55.5986224, -4.3763254 55.5985254, -4.3774412 55.5982708)",,,"['Duke Street', 'Blair Street']",
39980093,False,,residential,,False,187.137,"LINESTRING (-4.37622 55.5996787, -4.3766727 55.5995675, -4.3790023 55.5990785)",,,Bentinck Street,
83378503,False,,residential,,True,101.345,"LINESTRING (-4.37622 55.5996787, -4.3762981 55.6001326, -4.376357 55.6004904, -4.3764534 55.6005695)",,,Blair Street,
83378430,False,,residential,30 mph,False,97.621,"LINESTRING (-4.3872152 55.59741, -4.3867109 55.5965796)",,,Gateside Road,
98879698,False,A719,primary,30 mph,True,114.767,"LINESTRING (-4.3872152 55.59741, -4.3854449 55.5976646)",,,Brewland Street,
40060433,False,,residential,,False,260.899,"LINESTRING (-4.3872152 55.59741, -4.3872366 55.5975373, -4.3871303 55.5976695, -4.3856122 55.599557)",,,Orchard Street,
40060433,False,,residential,,True,164.998,"LINESTRING (-4.3838785 55.6017137, -4.3849648 55.6003627)",,,Orchard Street,
98888223,False,B7037,secondary,,False,30.431,"LINESTRING (-4.3838785 55.6017137, -4.383435 55.6016036)",,,,
5214200,False,B7037,secondary,,True,116.383,"LINESTRING (-4.3838785 55.6017137, -4.3848397 55.6019745, -4.3855486 55.6021668)",,,Titchfield Street,
"[83379224, 1157040818]",False,,residential,,"[False, True]",141.61900000000003,"LINESTRING (-4.3838785 55.6017137, -4.3833669 55.6023753, -4.3833255 55.6023965, -4.3832196 55.6023753, -4.3825598 55.6021116)",,,Gas Lane,
46178096,False,,unclassified,,False,35.205,"LINESTRING (-4.3767913 55.6032343, -4.376827 55.6030763, -4.3768519 55.6029196)",,,,
70590747,False,A71,primary,30 mph,True,101.45,"LINESTRING (-4.3767913 55.6032343, -4.3771808 55.6032525, -4.3775565 55.6032745, -4.3779452 55.6033032, -4.3783961 55.6033353)",2,,,
70590752,True,A719,primary,30 mph,False,45.907,"LINESTRING (-4.3796112 55.6039926, -4.3795606 55.6039162, -4.3795125 55.6038549, -4.3794563 55.6038096, -4.3792066 55.6036555)",,,,
70590819,True,,unclassified,,False,55.55000000000001,"LINESTRING (-4.3768322 55.6026392, -4.3768048 55.6026086, -4.3767974 55.6025666, -4.3768144 55.6025338, -4.3768516 55.6025045, -4.3769009 55.6024851, -4.3769749 55.6024756, -4.3770368 55.6024804, -4.3770791 55.6024922, -4.377116 55.6025104, -4.3771478 55.6025397, -4.3771609 55.6025772, -4.3771507 55.6026123, -4.3771219 55.6026418, -4.3770608 55.60267)",,roundabout,,
70590819,True,,unclassified,,False,15.959,"LINESTRING (-4.3770608 55.60267, -4.3770076 55.6026797, -4.3769438 55.6026791, -4.376888 55.6026673, -4.3768322 55.6026392)",,roundabout,,
205522055,True,,unclassified,,False,31.039,"LINESTRING (-4.3770608 55.60267, -4.3769642 55.6027406, -4.3768519 55.6029196)",,,,
5214196,True,,primary,30 mph,False,39.215,"LINESTRING (-4.380014 55.6032478, -4.3800751 55.603329, -4.3800934 55.6034165, -4.3800675 55.6035034, -4.3799995 55.6035828)",,roundabout,,
70590766,True,A71,primary,30 mph,False,54.422,"LINESTRING (-4.380014 55.6032478, -4.3802751 55.6033801, -4.3804666 55.603437, -4.38075 55.6034913)",,,,
5214196,True,,primary,30 mph,False,44.102,"LINESTRING (-4.3798644 55.6036615, -4.3797074 55.6037059, -4.3795337 55.6037201, -4.3793609 55.6037027, -4.3792066 55.6036555)",,roundabout,,
70590754,True,A719,primary,30 mph,False,40.495,"LINESTRING (-4.3798644 55.6036615, -4.3797584 55.6037472, -4.3797013 55.6038191, -4.3796492 55.6039152, -4.3796112 55.6039926)",,,,
5214196,True,,primary,30 mph,False,9.501,"LINESTRING (-4.3792066 55.6036555, -4.3791005 55.6035946)",,roundabout,,
5214196,True,,primary,30 mph,False,48.479,"LINESTRING (-4.3791005 55.6035946, -4.3790267 55.603518, -4.3789933 55.6034329, -4.3790031 55.6033459, -4.3790552 55.6032638, -4.3791456 55.6031931)",,roundabout,,
22987963,True,A71,primary,30 mph,False,53.833,"LINESTRING (-4.3791005 55.6035946, -4.3788305 55.6034419, -4.3786261 55.6033808, -4.3783961 55.6033353)",,,,
5214196,True,,primary,30 mph,False,10.076,"LINESTRING (-4.3791456 55.6031931, -4.3792724 55.6031376)",,roundabout,,
5214196,True,,primary,30 mph,False,44.784,"LINESTRING (-4.3792724 55.6031376, -4.3794399 55.6031031, -4.379618 55.6031006, -4.3797883 55.6031303, -4.3799329 55.6031892)",,roundabout,,
22987962,True,A719,primary_link,30 mph,False,54.599,"LINESTRING (-4.3792724 55.6031376, -4.3795808 55.6030113, -4.3797227 55.6029026, -4.3798461 55.6027803)",,,,
83378430,False,,residential,30 mph,False,59.334,"LINESTRING (-4.3867109 55.5965796, -4.3863676 55.5960825)",,,Gateside Road,
83378432,False,,residential,30 mph,True,180.24099999999999,"LINESTRING (-4.3867109 55.5965796, -4.385917 55.5967069, -4.3858204 55.5966947, -4.3857346 55.5966462, -4.3854557 55.5963007, -4.3854127 55.5962219, -4.3854986 55.5961734, -4.3863676 55.5960825)",,,Gateside Court,
83378430,False,,residential,30 mph,True,97.621,"LINESTRING (-4.3867109 55.5965796, -4.3872152 55.59741)",,,Gateside Road,
83378423,True,,residential,,False,18.011000000000003,"LINESTRING (-4.3874759 55.5993475, -4.3875344 55.5993524, -4.3875798 55.5993672, -4.3876094 55.5993866, -4.3876226 55.5994018, -4.3876317 55.5994327, -4.387624 55.5994574)",,roundabout,,
83378423,True,,residential,,False,17.291999999999998,"LINESTRING (-4.387624 55.5994574, -4.3875981 55.5994837, -4.3875492 55.5995055, -4.3874713 55.5995137, -4.3874101 55.5995027, -4.3873965 55.5994977)",,roundabout,,
83379228,False,,residential,,False,48.262,"LINESTRING (-4.3873965 55.5994977, -4.3870435 55.5998832)",,,Park Road,
83378423,True,,residential,,False,22.563999999999997,"LINESTRING (-4.3873965 55.5994977, -4.3873723 55.599485, -4.3873462 55.5994601, -4.3873374 55.5994386, -4.3873408 55.5994232, -4.3873452 55.599403, -4.3873576 55.599388, -4.3874049 55.5993605, -4.3874493 55.5993498, -4.3874759 55.5993475)",,roundabout,,
83378428,False,,residential,,True,116.00800000000001,"LINESTRING (-4.3845437 55.5968827, -4.3846832 55.5968463, -4.3848012 55.5968584, -4.3848978 55.596919, -4.3854449 55.5976646)",,,Manse Gardens,
83378430,False,,residential,30 mph,True,59.334,"LINESTRING (-4.3863676 55.5960825, -4.3867109 55.5965796)",,,Gateside Road,
83378432,False,,residential,30 mph,False,180.24099999999999,"LINESTRING (-4.3863676 55.5960825, -4.3854986 55.5961734, -4.3854127 55.5962219, -4.3854557 55.5963007, -4.3857346 55.5966462, -4.3858204 55.5966947, -4.385917 55.5967069, -4.3867109 55.5965796)",,,Gateside Court,
83378433,False,,residential,,False,97.967,"LINESTRING (-4.3817757 55.5988649, -4.3830846 55.598386)",,,John Knox Street,
98879706,False,,residential,,False,155.55800000000002,"LINESTRING (-4.3817757 55.5988649, -4.3821726 55.5992831, -4.3821995 55.5993189, -4.3823268 55.5995549, -4.3824656 55.5997684, -4.3825422 55.5998833, -4.3825858 55.5999206, -4.3826263 55.5999422, -4.3826885 55.5999661, -4.3829374 55.6000615)",,,Glebe Road,
98879706,False,,residential,,True,185.016,"LINESTRING (-4.3817757 55.5988649, -4.3815611 55.5986466, -4.3814857 55.5985756, -4.3811748 55.5982829, -4.3811105 55.5981132, -4.3811105 55.5979617, -4.3811534 55.5977495, -4.3810997 55.5975192, -4.3810032 55.597307)",,,Glebe Road,
83378433,False,,residential,,True,97.967,"LINESTRING (-4.3830846 55.598386, -4.3817757 55.5988649)",,,John Knox Street,
83378433,False,,residential,,False,34.104,"LINESTRING (-4.3830846 55.598386, -4.3831564 55.5983553, -4.3834982 55.5981875)",,,John Knox Street,
83378435,False,,residential,,False,50.471000000000004,"LINESTRING (-4.3830846 55.598386, -4.3831919 55.5985072, -4.3830328 55.5985629, -4.3829522 55.5986731, -4.3828181 55.5987277)",,,Wishart Place,
83378433,False,,residential,,True,34.104,"LINESTRING (-4.3834982 55.5981875, -4.3831564 55.5983553, -4.3830846 55.598386)",,,John Knox Street,
83378434,False,,residential,,False,43.977,"LINESTRING (-4.3834982 55.5981875, -4.3837413 55.598381, -4.3838081 55.598418, -4.383899 55.5984325, -4.3839906 55.5984276)",,,Andrew Lundie Place,
83378434,False,,residential,,True,76.851,"LINESTRING (-4.3834982 55.5981875, -4.3834494 55.5981435, -4.3833743 55.5980647, -4.3830739 55.5978404, -4.3830095 55.5977556, -4.3830524 55.5976828, -4.3831919 55.5976222)",,,Andrew Lundie Place,
83378434,False,,residential,,False,76.851,"LINESTRING (-4.3831919 55.5976222, -4.3830524 55.5976828, -4.3830095 55.5977556, -4.3830739 55.5978404, -4.3833743 55.5980647, -4.3834494 55.5981435, -4.3834982 55.5981875)",,,Andrew Lundie Place,
83378434,False,,residential,,True,14.189,"LINESTRING (-4.3841358 55.5983344, -4.3840748 55.5983957, -4.3839906 55.5984276)",,,Andrew Lundie Place,
83378437,False,,residential,,True,73.001,"LINESTRING (-4.383505 55.6008454, -4.3830073 55.600827, -4.3828785 55.6008079, -4.3828216 55.6007573, -4.3828126 55.6006755, -4.3828229 55.600518)",,,Chapel Lane,
40060433,False,,residential,,False,45.91,"LINESTRING (-4.3856122 55.599557, -4.3853103 55.599933)",,,Orchard Street,
40060433,False,,residential,,True,260.899,"LINESTRING (-4.3856122 55.599557, -4.3871303 55.5976695, -4.3872366 55.5975373, -4.3872152 55.59741)",,,Orchard Street,
83378438,False,,residential,,False,106.872,"LINESTRING (-4.3856122 55.599557, -4.3853913 55.5994831, -4.384254 55.59898)",,,New Road,
83378438,False,,residential,,True,106.872,"LINESTRING (-4.384254 55.59898, -4.3853913 55.5994831, -4.3856122 55.599557)",,,New Road,
98879698,False,A719,primary,30 mph,False,142.722,"LINESTRING (-4.384254 55.59898, -4.3845008 55.5986769, -4.3848334 55.5981556, -4.384936 55.5980461, -4.3849703 55.5980095, -4.3851231 55.5978465, -4.3851807 55.597814)",,,Brewland Street,
98879698,False,A719,primary,30 mph,True,146.27100000000002,"LINESTRING (-4.384254 55.59898, -4.3842015 55.5990203, -4.3841038 55.5990952, -4.3834923 55.5995316, -4.3833673 55.5996437, -4.3832921 55.5997189, -4.3829374 55.6000615)",,,Brewland Street,
83378440,False,,residential,,False,105.826,"LINESTRING (-4.3806384 55.5976768, -4.3791471 55.5972343)",,,Garden Street,
"[39980089, 470298914, 470298915]",False,,residential,,False,47.354,"LINESTRING (-4.3806384 55.5976768, -4.3808386 55.5974816, -4.3809646 55.5973801, -4.3810032 55.597307)",,,Barr Street,yes
39980089,False,,residential,,True,128.82,"LINESTRING (-4.3806384 55.5976768, -4.3801658 55.5982453, -4.3800297 55.5984091, -4.3797667 55.5987254)",,,Barr Street,
83378440,False,,residential,,True,105.826,"LINESTRING (-4.3791471 55.5972343, -4.3806384 55.5976768)",,,Garden Street,
"[83378440, 98879716]",False,,residential,,False,92.59700000000001,"LINESTRING (-4.3791471 55.5972343, -4.3783443 55.5970264, -4.3780742 55.5969433, -4.3779026 55.596816)",,,"['Garden Street', 'Carnalea Court']",
83378441,False,,residential,,False,63.77,"LINESTRING (-4.3791471 55.5972343, -4.3792222 55.5971009, -4.3793188 55.59701, -4.3795011 55.5969554, -4.3798552 55.5968887)",,,Richmond Place,
98879716,False,,residential,,False,25.311,"LINESTRING (-4.3779026 55.596816, -4.3776343 55.5966462)",,,Carnalea Court,
83378442,False,,residential,,False,83.767,"LINESTRING (-4.3779026 55.596816, -4.3780957 55.5967372, -4.3785677 55.5967311, -4.3786536 55.5967129, -4.3790398 55.5965068)",,,Carnalea Court,
"[83378440, 98879716]",False,,residential,,True,92.597,"LINESTRING (-4.3779026 55.596816, -4.3780742 55.5969433, -4.3783443 55.5970264, -4.3791471 55.5972343)",,,"['Garden Street', 'Carnalea Court']",
83378443,False,,residential,,False,54.23,"LINESTRING (-4.3776343 55.5966462, -4.3769048 55.5969069)",,,Carnalea Court,
98879716,False,,residential,,True,25.311,"LINESTRING (-4.3776343 55.5966462, -4.3779026 55.596816)",,,Carnalea Court,
98879716,False,,residential,,False,70.57300000000001,"LINESTRING (-4.3776343 55.5966462, -4.377527 55.5965493, -4.3775163 55.5964341, -4.3776343 55.5963553, -4.377806 55.5962886, -4.3781171 55.596234)",,,Carnalea Court,
98879716,False,,residential,,True,70.57300000000001,"LINESTRING (-4.3781171 55.596234, -4.377806 55.5962886, -4.3776343 55.5963553, -4.3775163 55.5964341, -4.377527 55.5965493, -4.3776343 55.5966462)",,,Carnalea Court,
83378441,False,,residential,,True,63.77,"LINESTRING (-4.3798552 55.5968887, -4.3795011 55.5969554, -4.3793188 55.59701, -4.3792222 55.5971009, -4.3791471 55.5972343)",,,Richmond Place,
83378442,False,,residential,,True,83.767,"LINESTRING (-4.3790398 55.5965068, -4.3786536 55.5967129, -4.3785677 55.5967311, -4.3780957 55.5967372, -4.3779026 55.596816)",,,Carnalea Court,
83378443,False,,residential,,False,32.468,"LINESTRING (-4.3769048 55.5969069, -4.3765614 55.5966887)",,,Carnalea Court,
83378443,False,,residential,,True,54.23,"LINESTRING (-4.3769048 55.5969069, -4.3776343 55.5966462)",,,Carnalea Court,
83378444,False,,residential,,False,26.251,"LINESTRING (-4.3769048 55.5969069, -4.3772159 55.5970645)",,,Carnalea Court,
83378443,False,,residential,,True,32.468,"LINESTRING (-4.3765614 55.5966887, -4.3769048 55.5969069)",,,Carnalea Court,
83378444,False,,residential,,True,26.251,"LINESTRING (-4.3772159 55.5970645, -4.3769048 55.5969069)",,,Carnalea Court,
352395941,False,,residential,,False,179.917,"LINESTRING (-4.3792437 55.5961067, -4.3795333 55.5962219, -4.379823 55.5963371, -4.3802093 55.5965129, -4.3804667 55.5966462, -4.3807028 55.5967917, -4.380853 55.5970221, -4.3810032 55.597307)",,,Cemetery Road,
98879698,False,A719,primary,30 mph,False,146.271,"LINESTRING (-4.3829374 55.6000615, -4.3832921 55.5997189, -4.3833673 55.5996437, -4.3834923 55.5995316, -4.3841038 55.5990952, -4.3842015 55.5990203, -4.384254 55.59898)",,,Brewland Street,
98879698,False,A719,primary,30 mph,True,31.310000000000002,"LINESTRING (-4.3829374 55.6000615, -4.3828147 55.6001623, -4.3827104 55.6002279, -4.3826188 55.6002766)",,,Brewland Street,
98879706,False,,residential,,True,155.558,"LINESTRING (-4.3829374 55.6000615, -4.3826885 55.5999661, -4.3826263 55.5999422, -4.3825858 55.5999206, -4.3825422 55.5998833, -4.3824656 55.5997684, -4.3823268 55.5995549, -4.3821995 55.5993189, -4.3821726 55.5992831, -4.3817757 55.5988649)",,,Glebe Road,
83378455,False,,residential,,False,25.517,"LINESTRING (-4.3735896 55.5989012, -4.3736754 55.5991255)",,,,
352395933,False,,residential,,True,36.489,"LINESTRING (-4.3735896 55.5989012, -4.3730209 55.5989679)",,,Belvedere View,
352395933,False,,residential,,False,78.384,"LINESTRING (-4.3735896 55.5989012, -4.3741367 55.5988164, -4.3743513 55.59878, -4.3745444 55.598683, -4.3746732 55.5985981)",,,Belvedere View,
83378455,False,,residential,,True,25.517,"LINESTRING (-4.3736754 55.5991255, -4.3735896 55.5989012)",,,,
83378467,False,,residential,,False,69.917,"LINESTRING (-4.3719373 55.5991073, -4.372463 55.5990225, -4.3730209 55.5989679)",,,Belvedere View,
352395933,False,,residential,,False,36.489,"LINESTRING (-4.3730209 55.5989679, -4.3735896 55.5989012)",,,Belvedere View,
83378467,False,,residential,,True,69.917,"LINESTRING (-4.3730209 55.5989679, -4.372463 55.5990225, -4.3719373 55.5991073)",,,Belvedere View,
352395932,False,,residential,,True,87.013,"LINESTRING (-4.3730209 55.5989679, -4.3730531 55.5991376, -4.3731068 55.5993255, -4.3731819 55.5995134, -4.3732892 55.5996286, -4.3734072 55.5997014)",,,Belvedere View,
83378471,False,,residential,,False,75.163,"LINESTRING (-4.3746732 55.5985981, -4.3742762 55.5983496, -4.3738247 55.598123)",,,Stirling Crescent,
"[352395933, 352395927]",False,,residential,,False,233.62300000000002,"LINESTRING (-4.3746732 55.5985981, -4.3751989 55.5983072, -4.3757458 55.5980379, -4.3759499 55.5979374, -4.3763791 55.5977434, -4.37644 55.597753, -4.3765722 55.5977738, -4.3767331 55.5978647, -4.3774412 55.5982708)",,,Belvedere View,
352395933,False,,residential,,True,78.384,"LINESTRING (-4.3746732 55.5985981, -4.3745444 55.598683, -4.3743513 55.59878, -4.3741367 55.5988164, -4.3735896 55.5989012)",,,Belvedere View,
83378472,False,,residential,,False,31.008,"LINESTRING (-4.3726025 55.601447, -4.3726132 55.6017258)",,,Castleview Avenue,
"[352395946, 83378495]",False,,residential,,True,190.554,"LINESTRING (-4.3726025 55.601447, -4.3740858 55.6014288, -4.3742654 55.6014167, -4.3744023 55.6013425, -4.3744264 55.6012288, -4.3744157 55.6006772)",,,Castleview Avenue,
83378472,False,,residential,,True,31.008,"LINESTRING (-4.3726132 55.6017258, -4.3726025 55.601447)",,,Castleview Avenue,
83378505,False,,tertiary,,True,3.537,"LINESTRING (-4.375876 55.6006998, -4.3759323 55.6006999)",,,Maxwood Road,
83378477,False,,residential,,False,224.26999999999998,"LINESTRING (-4.375876 55.6006998, -4.3758095 55.6004611, -4.3756924 55.6003014, -4.3755744 55.6001317, -4.3753705 55.5999862, -4.3751238 55.5998529, -4.3748448 55.599768, -4.3746839 55.5997074, -4.374641 55.5996589, -4.3742547 55.5996589, -4.3737827 55.5996892, -4.3734072 55.5997014)",,,Blair Crescent,
83378505,False,,tertiary,,False,91.774,"LINESTRING (-4.375876 55.6006998, -4.3753411 55.6006882, -4.3744157 55.6006772)",,,Maxwood Road,
83378477,False,,residential,,True,224.27,"LINESTRING (-4.3734072 55.5997014, -4.3737827 55.5996892, -4.3742547 55.5996589, -4.374641 55.5996589, -4.3746839 55.5997074, -4.3748448 55.599768, -4.3751238 55.5998529, -4.3753705 55.5999862, -4.3755744 55.6001317, -4.3756924 55.6003014, -4.3758095 55.6004611, -4.375876 55.6006998)",,,Blair Crescent,
83378479,False,,residential,,True,108.97399999999999,"LINESTRING (-4.3734072 55.5997014, -4.373468 55.6000604, -4.3735252 55.6003984, -4.3735681 55.6006772)",,,Sutherland Terrace,
352395932,False,,residential,,False,87.013,"LINESTRING (-4.3734072 55.5997014, -4.3732892 55.5996286, -4.3731819 55.5995134, -4.3731068 55.5993255, -4.3730531 55.5991376, -4.3730209 55.5989679)",,,Belvedere View,
352395943,False,,tertiary,,True,53.247,"LINESTRING (-4.3735681 55.6006772, -4.3744157 55.6006772)",,,Maxwood Road,
83378479,False,,residential,,False,108.974,"LINESTRING (-4.3735681 55.6006772, -4.3735252 55.6003984, -4.373468 55.6000604, -4.3734072 55.5997014)",,,Sutherland Terrace,
352395943,False,,tertiary,,False,53.247,"LINESTRING (-4.3744157 55.6006772, -4.3735681 55.6006772)",,,Maxwood Road,
"[352395946, 83378495]",False,,residential,,False,190.554,"LINESTRING (-4.3744157 55.6006772, -4.3744264 55.6012288, -4.3744023 55.6013425, -4.3742654 55.6014167, -4.3740858 55.6014288, -4.3726025 55.601447)",,,Castleview Avenue,
83378505,False,,tertiary,,True,91.774,"LINESTRING (-4.3744157 55.6006772, -4.3753411 55.6006882, -4.375876 55.6006998)",,,Maxwood Road,
83378497,False,,residential,,False,69.483,"LINESTRING (-4.3791204 55.6010306, -4.3790282 55.6004079)",,,,
83378514,False,,residential,,False,125.66399999999999,"LINESTRING (-4.3791204 55.6010306, -4.378662 55.6011154, -4.3785919 55.6011205, -4.3773297 55.6012129, -4.3771736 55.6012571)",,,Barrmill Road,
