osmid,oneway,lanes,ref,name,highway,maxspeed,area,junction,reversed,length,geometry,bridge,tunnel
631060503,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,62.143,"LINESTRING (-2.121784 52.5839207, -2.1215694 52.5839631, -2.1214122 52.5839812, -2.1211728 52.583987, -2.1208789 52.5839751)",,
631060503,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,16.658,"LINESTRING (-2.1208789 52.5839751, -2.1206532 52.5839148)",,
22812130,True,,,Church Lane,unclassified,,,,False,184.71200000000002,"LINESTRING (-2.1262015 52.5805549, -2.1264263 52.5805176, -2.1266211 52.580495, -2.1267834 52.580491, -2.1270334 52.5805018, -2.127319 52.5805219, -2.1282027 52.5805478, -2.1283085 52.580547, -2.1283936 52.5805364, -2.1285195 52.5805051, -2.1287317 52.5804319, -2.1288531 52.5803844)",,
"[438849968, 438849969, 438849972, 438849973]",True,"['2', '3', '4']",A4150,Ring Road St. John's,trunk,40 mph,,,False,311.358,"LINESTRING (-2.1262015 52.5805549, -2.1269037 52.5805778, -2.1275262 52.5805909, -2.1284325 52.5806304, -2.1286722 52.5806364, -2.1287417 52.5806381, -2.129077 52.5806327, -2.129417 52.5806066, -2.1297687 52.5805814, -2.130796 52.5805236)",,
7982205,True,2,A454,Horseley Fields,trunk,30 mph,,,False,101.20099999999998,"LINESTRING (-2.1213747 52.5862786, -2.1211364 52.5858776, -2.1210537 52.5857863, -2.1209436 52.5856934, -2.1208295 52.5856324, -2.1206975 52.5855796, -2.1205825 52.5855479)",,
"[438847746, 295111886]",True,"['2', '3']",A4150,Ring Road St. Davids,trunk,40 mph,,,False,260.81800000000004,"LINESTRING (-2.1213747 52.5862786, -2.1212535 52.585895, -2.1211612 52.5854918, -2.1211093 52.5849101, -2.1211327 52.5844492, -2.1211089 52.5843475, -2.1210896 52.5842699, -2.1210386 52.5841596, -2.1208789 52.5839751)",,
890840662,True,2,A4150,Penn Road Island,trunk,40 mph,,circular,False,12.734,"LINESTRING (-2.1317465 52.5804835, -2.1319198 52.5804385)",,
146803781,True,3,A4150,Penn Road Island,trunk,40 mph,,circular,False,20.098,"LINESTRING (-2.1328752 52.5805265, -2.132914 52.5807057)",,
7984147,True,2,A4150,Ring Road St Marks,trunk,40 mph,,,False,136.55700000000002,"LINESTRING (-2.132914 52.5807057, -2.1330273 52.5808346, -2.1331476 52.5809157, -2.1332613 52.5809946, -2.1333805 52.5810988, -2.1334716 52.5811976, -2.1335703 52.5813471, -2.1336639 52.5815584, -2.1337578 52.5817996)",,
645732302,True,3,A4150,Penn Road Island,trunk,40 mph,,circular,False,47.525999999999996,"LINESTRING (-2.132914 52.5807057, -2.1329116 52.5807914, -2.1328849 52.5808658, -2.1328472 52.5809029, -2.1328016 52.5809308, -2.1326729 52.580977, -2.1325281 52.5810032)",,
645732305,True,3,A4150,Penn Road Island,trunk,40 mph,,circular,False,16.356,"LINESTRING (-2.1325281 52.5810032, -2.1322965 52.581046)",,
"[775832920, 19422217]",True,,,School Street,unclassified,20 mph,,,False,103.371,"LINESTRING (-2.1322965 52.581046, -2.1321833 52.5811181, -2.1321467 52.5811831, -2.1321559 52.5812451, -2.1322338 52.5813883, -2.1323234 52.5815598, -2.1324684 52.5819174)",,
"[775832923, 775832919]",True,"['1', '3']",A4150,Penn Road Island,trunk,40 mph,,circular,False,40.772999999999996,"LINESTRING (-2.1322965 52.581046, -2.1321815 52.5810633, -2.1320872 52.5810663, -2.1320152 52.5810546, -2.1319383 52.5810455, -2.1318519 52.5810216, -2.1317468 52.5809629)",,
775826348,True,2,A4150,Ring Road St Marks,trunk,40 mph,,,False,165.238,"LINESTRING (-2.1339465 52.582327, -2.1341297 52.5827922, -2.1342925 52.5832329, -2.1344585 52.5837797)",,
645732298,True,2,A4150,Chapel Ash Island,trunk,40 mph,,circular,False,10.295,"LINESTRING (-2.1347054 52.5844833, -2.1347789 52.5844858, -2.1348527 52.5845025)",,
85580987,True,3,A4150,Chapel Ash Island,trunk,40 mph,,circular,False,12.256,"LINESTRING (-2.1343913 52.5852318, -2.1342887 52.585203, -2.1342266 52.5851856)",,
85551218,True,1,,Darlington Street,unclassified,20 mph,,,False,58.46900000000001,"LINESTRING (-2.1342266 52.5851856, -2.133883 52.5851246, -2.1337673 52.5851213, -2.1335219 52.5851539, -2.1333816 52.5851499)",,
85580978,True,3,A4150,Chapel Ash Island,trunk,40 mph,,circular,False,33.673,"LINESTRING (-2.1342266 52.5851856, -2.1341192 52.5851273, -2.1340543 52.5850429, -2.1340504 52.5849953, -2.1340733 52.5849221)",,
85580975,True,4,A4150,Chapel Ash Island,trunk,40 mph,,circular,False,33.509,"LINESTRING (-2.1340733 52.5849221, -2.1340979 52.5848915, -2.1343054 52.5846558)",,
7984148,True,2,A4150,Ring Road St Marks,trunk,40 mph,,,False,60.093,"LINESTRING (-2.1343054 52.5846558, -2.134337 52.5845377, -2.1343306 52.5844655, -2.1343086 52.5843839, -2.1342813 52.5843149, -2.1342055 52.5841256)",,
7985852,True,2,A4150,Chapel Ash Island,trunk,40 mph,,circular,False,34.809000000000005,"LINESTRING (-2.1343054 52.5846558, -2.1343925 52.5845686, -2.1345073 52.5845207, -2.1345935 52.5844993, -2.1347054 52.5844833)",,
7984151,True,3,A4150,Ring Road St. Andrews,trunk,40 mph,,,False,42.577,"LINESTRING (-2.1333387 52.587729, -2.1329441 52.5878027, -2.1327351 52.5878391)",,
85581305,True,1,,,trunk_link,40 mph,,,False,42.958,"LINESTRING (-2.1333387 52.587729, -2.1330583 52.5877238, -2.1328963 52.5877108, -2.1328007 52.5876934, -2.1327185 52.5876681)",,
25696204,True,3,A4150,Ring Road St. Peters,trunk,40 mph,,,False,10.302,"LINESTRING (-2.1327351 52.5878391, -2.1325906 52.5878687)",,
25696127,True,2,,Waterloo Road,tertiary,30 mph,,,False,122.212,"LINESTRING (-2.1327351 52.5878391, -2.132738 52.5879542, -2.1327392 52.5880029, -2.1327106 52.5882829, -2.1326779 52.5884461, -2.1326202 52.5886092, -2.1324845 52.588922)",,
23486739,True,2,,Stafford Street,trunk,40 mph,,,False,11.273,"LINESTRING (-2.126636 52.5890799, -2.1266634 52.5891799)",,
25696172,True,3,A4150,Ring Road Saint Peters,trunk,40 mph,,,False,29.72,"LINESTRING (-2.126636 52.5890799, -2.1267857 52.5890763, -2.1270756 52.5890694)",,
85550387,True,2,,,trunk_link,40 mph,,,False,65.325,"LINESTRING (-2.1256171 52.5890668, -2.1262998 52.5891526, -2.1264036 52.5891847, -2.1265379 52.5892297)",,
324026349,True,2,A4150,Ring Road St Patricks,trunk,40 mph,,,False,60.581,"LINESTRING (-2.1256171 52.5890668, -2.1262767 52.5890723, -2.1263306 52.5890717, -2.1265134 52.5890791)",,
153700206,True,4,A4150,Ring Road St Patricks,trunk,40 mph,,,False,11.495,"LINESTRING (-2.1234007 52.5883412, -2.1235133 52.5884187)",,
649691012,True,2,A4150,Ring Road St. Davids,trunk,40 mph,,,False,7.75,"LINESTRING (-2.1226406 52.5877486, -2.1226998 52.5878083)",,
25696174,True,2,A4150,Ring Road St. Andrews,trunk,40 mph,,,False,220.785,"LINESTRING (-2.1327032 52.5875683, -2.1329027 52.5875317, -2.1331854 52.5874577, -2.1334704 52.5873566, -2.1336652 52.5872886, -2.1340065 52.5871269, -2.1342906 52.5869308, -2.1345251 52.5866861, -2.1346419 52.5864648, -2.1347131 52.5861728)",,
85580973,True,2,,Waterloo Road,tertiary,40 mph,,,False,11.146,"LINESTRING (-2.1327032 52.5875683, -2.1327125 52.5876289, -2.1327185 52.5876681)",,
25696128,False,2,,Waterloo Road,tertiary,30 mph,,,False,28.088,"LINESTRING (-2.1324845 52.588922, -2.1323721 52.5891652)",,
85550730,True,2,,Waterloo Road,tertiary,30 mph,,,False,39.558,"LINESTRING (-2.1324845 52.588922, -2.1325017 52.5885664)",,
19366135,False,2,,Newhampton Road East,tertiary,30 mph,,,False,38.081999999999994,"LINESTRING (-2.1324845 52.588922, -2.1327161 52.589057, -2.1328727 52.5891697)",,
25696128,False,2,,Waterloo Road,tertiary,30 mph,,,True,28.088,"LINESTRING (-2.1323721 52.5891652, -2.1324845 52.588922)",,
295111883,True,3,A4150,Ring Road St Patricks,trunk,40 mph,,,False,13.837,"LINESTRING (-2.12316 52.5886995, -2.1230254 52.5886057)",,
25689327,True,1,A4124,Wednesfield Road,primary_link,30 mph,,,False,42.153,"LINESTRING (-2.1230254 52.5886057, -2.1229095 52.5885462, -2.1228036 52.5885101, -2.1227433 52.5885022, -2.1226658 52.5884965, -2.1225839 52.5885095, -2.1224676 52.5885396)",,
295111884,True,2,A4150,Ring Road St Patricks,trunk,40 mph,,,False,30.637999999999998,"LINESTRING (-2.1230254 52.5886057, -2.1228723 52.5884659, -2.1228359 52.5884353, -2.1227708 52.5883777)",,
34019939,True,3,A4150,Ring Road St. Davids,trunk,40 mph,,,False,32.515,"LINESTRING (-2.1225969 52.5882212, -2.1223467 52.5879714)",,
"[852018215, 7984136, 7984137, 854584202, 854584201, 856640076, 491066197]",True,2,,"['Garrick Street', 'Bilston Street']",unclassified,20 mph,,,False,265.54600000000005,"LINESTRING (-2.1257337 52.5829694, -2.1255721 52.5831024, -2.1254194 52.5832745, -2.1253995 52.5834296, -2.1253851 52.5835474, -2.1253701 52.5837341, -2.1253538 52.5839379, -2.1253406 52.5840512, -2.1253395 52.584096, -2.1251277 52.5841365, -2.1250851 52.5841424, -2.1249225 52.5841593, -2.1246797 52.5841577, -2.1243725 52.5841479, -2.1238907 52.5841068, -2.1236629 52.584096, -2.1235235 52.5840888, -2.1233777 52.5840855)",,
638785947,False,2,,Snow Hill,unclassified,20 mph,,,False,88.369,"LINESTRING (-2.1257337 52.5829694, -2.1258277 52.5829093, -2.1259042 52.5828334, -2.1259304 52.5828013, -2.1259571 52.5827549, -2.1259672 52.5827252, -2.1259788 52.582691, -2.1259289 52.5822194)",,
7984142,False,,,Snow Hill,unclassified,20 mph,,,True,109.38099999999999,"LINESTRING (-2.1259289 52.5822194, -2.1259148 52.5821215, -2.1258174 52.5814432, -2.1257737 52.5812404)",,
22779135,True,,,Temple Street,unclassified,20 mph,,,False,45.071999999999996,"LINESTRING (-2.1259289 52.5822194, -2.1263435 52.5822117, -2.1264969 52.5822088, -2.1265957 52.582207)",,
638785947,False,2,,Snow Hill,unclassified,20 mph,,,True,88.369,"LINESTRING (-2.1259289 52.5822194, -2.1259788 52.582691, -2.1259672 52.5827252, -2.1259571 52.5827549, -2.1259304 52.5828013, -2.1259042 52.5828334, -2.1258277 52.5829093, -2.1257337 52.5829694)",,
7984142,False,,,Snow Hill,unclassified,20 mph,,,False,109.38099999999999,"LINESTRING (-2.1257737 52.5812404, -2.1258174 52.5814432, -2.1259148 52.5821215, -2.1259289 52.5822194)",,
"[776351326, 438849974]",True,2,,Snow Hill,unclassified,"['20 mph', '40 mph']",,,False,53.419,"LINESTRING (-2.1257737 52.5812404, -2.1257018 52.5811416, -2.1255973 52.5809213, -2.1255821 52.5808797, -2.1255485 52.5807813)",,
34106032,True,2,A4150,Ring Road St. Georges,trunk,40 mph,,,False,18.298,"LINESTRING (-2.1255485 52.5807813, -2.1252785 52.5807941)",,
776351321,True,2,,Dudley Road,trunk,40 mph,,,False,9.766,"LINESTRING (-2.1255485 52.5807813, -2.1255275 52.5806944)",,
438849972,True,3,A4150,Ring Road St. John's,trunk,40 mph,,,False,5.616,"LINESTRING (-2.1255864 52.5805448, -2.1256695 52.5805457)",,
776351327,True,2,A4123,Dudley Road,trunk,40 mph,,,False,17.104,"LINESTRING (-2.1255864 52.5805448, -2.1255275 52.5806944)",,
23135886,True,2,A4123,Birmingham New Road,trunk,40 mph,,,False,25.621,"LINESTRING (-2.1255864 52.5805448, -2.125551 52.5804572, -2.1255277 52.5803177)",,
22757678,False,,,Summer Row,unclassified,20 mph,,,True,63.599999999999994,"LINESTRING (-2.1292623 52.5821884, -2.1292048 52.582531, -2.1291821 52.5826762, -2.1291698 52.5827576)",,
534429536,False,,,Temple Street,unclassified,20 mph,,,False,97.976,"LINESTRING (-2.1292623 52.5821884, -2.1293127 52.5821873, -2.1294869 52.5821837, -2.1295246 52.5821834, -2.1301907 52.5821762, -2.1303435 52.5821734, -2.1304706 52.582171, -2.1305888 52.5821641, -2.1307088 52.5821486)",,
22757678,False,,,Summer Row,unclassified,20 mph,,,False,33.760000000000005,"LINESTRING (-2.1290948 52.5830558, -2.1291224 52.5830205, -2.1291358 52.5829666, -2.1291698 52.5827576)",,
38791083,False,,,Cleveland Street,unclassified,20 mph,,,False,31.412999999999997,"LINESTRING (-2.1290948 52.5830558, -2.129052 52.5830874, -2.1289639 52.5831107, -2.1288405 52.5831176, -2.1286663 52.5830967)",,
7984310,False,2,,Broad Street,unclassified,20 mph,,,False,29.037,"LINESTRING (-2.1235563 52.5879743, -2.1238529 52.5877853)",,
7984419,True,2,,Broad Street,unclassified,20 mph,,,False,44.63,"LINESTRING (-2.1235563 52.5879743, -2.1234655 52.5880386, -2.1234087 52.588108, -2.1233867 52.5881489, -2.1233654 52.5881984, -2.1233711 52.5882635, -2.1234007 52.5883412)",,
85550391,True,2,,Stafford Street,unclassified,20 mph,,,False,12.554,"LINESTRING (-2.126463 52.5886986, -2.1265454 52.5887998)",,
"[85550577, 491066194]",False,2,,Stafford Street,unclassified,20 mph,,,True,80.898,"LINESTRING (-2.126463 52.5886986, -2.1264073 52.5885349, -2.126348 52.5883061, -2.1262592 52.5879818)",,
"[7984152, 491066193, 883057339]",False,2,,Stafford Street,unclassified,20 mph,,,False,92.30399999999999,"LINESTRING (-2.125967 52.5871759, -2.1260532 52.5872742, -2.1260935 52.5873828, -2.1261826 52.5877049, -2.1262315 52.5878815, -2.1262592 52.5879818)",,
38791087,False,2,,Wulfruna Street,unclassified,20 mph,,,True,158.512,"LINESTRING (-2.125967 52.5871759, -2.1264584 52.5870943, -2.1267317 52.587097, -2.1269798 52.5871178, -2.1273766 52.5871525, -2.1275666 52.5872209, -2.1282044 52.5872874, -2.1282435 52.5873)",,
85548593,False,2,,Broad Street,unclassified,20 mph,,,True,59.946,"LINESTRING (-2.125967 52.5871759, -2.1257188 52.5872342, -2.1251488 52.5873843)",,
868384401,True,,,Princes Square,unclassified,,,,False,50.942,"LINESTRING (-2.125967 52.5871759, -2.1258944 52.5871426, -2.1258263 52.5871077, -2.1257093 52.5869031, -2.1257033 52.586771)",,
22779029,True,2,,Cleveland Street,unclassified,20 mph,,,False,50.410000000000004,"LINESTRING (-2.1306055 52.5833197, -2.1299525 52.5832391, -2.1298743 52.5832295)",,
35406700,False,3,,Victoria Street,unclassified,20 mph,,,False,94.041,"LINESTRING (-2.1306055 52.5833197, -2.130486 52.5834579, -2.1300956 52.5839091, -2.1300556 52.5839555, -2.1299527 52.5840666)",,
22758209,True,2,,Pitt Street,unclassified,20 mph,,,False,76.071,"LINESTRING (-2.132377 52.5823034, -2.1322273 52.5823217, -2.1314477 52.5823808, -2.1312607 52.5823896)",,
149160141,False,,,Church Street,unclassified,20 mph,,,True,159.627,"LINESTRING (-2.1316365 52.5813555, -2.1315298 52.5813259, -2.131329 52.5813068, -2.1311493 52.5812984, -2.1308204 52.5812831, -2.1307796 52.5812812, -2.1307255 52.581279, -2.1304891 52.5812696, -2.1301491 52.5812542, -2.1300106 52.5812497, -2.1292914 52.5812265)",,
"[775832921, 775832918]",True,"['2', '3']",,Worcester Street,unclassified,20 mph,,,False,44.942,"LINESTRING (-2.1316365 52.5813555, -2.1317029 52.5812541, -2.131741 52.5811532, -2.1317477 52.5811087, -2.1317507 52.5810859, -2.13176 52.5810049, -2.1317468 52.5809629)",,
7985844,True,,,St John's Square,unclassified,20 mph,,,False,106.45400000000001,"LINESTRING (-2.1292914 52.5812265, -2.1292673 52.5814919, -2.1292626 52.5815592, -2.1290288 52.5815533, -2.1282365 52.5815295)",,
149160141,False,,,Church Street,unclassified,20 mph,,,False,159.627,"LINESTRING (-2.1292914 52.5812265, -2.1300106 52.5812497, -2.1301491 52.5812542, -2.1304891 52.5812696, -2.1307255 52.581279, -2.1307796 52.5812812, -2.1308204 52.5812831, -2.1311493 52.5812984, -2.131329 52.5813068, -2.1315298 52.5813259, -2.1316365 52.5813555)",,
7985844,True,,,St John's Square,unclassified,20 mph,,,False,206.188,"LINESTRING (-2.1272945 52.5811535, -2.1273143 52.5808949, -2.1273203 52.5808409, -2.1282836 52.580874, -2.1284332 52.580878, -2.1293286 52.5809082, -2.1292914 52.5812265)",,
7985846,False,,,George Street,unclassified,20 mph,,,True,86.874,"LINESTRING (-2.1272945 52.5811535, -2.1267631 52.5811315, -2.1260109 52.5811088)",,
852047642,False,2,,School Street,unclassified,20 mph,,,True,63.675,"LINESTRING (-2.1321323 52.5834802, -2.1319177 52.5840378)",,
22757916,True,3,,Salop Street,unclassified,20 mph,,,False,104.69099999999999,"LINESTRING (-2.1321323 52.5834802, -2.1315503 52.5834152, -2.1307743 52.5833368, -2.1306055 52.5833197)",,
85580977,False,2,,Salop Street,unclassified,20 mph,,,True,49.521,"LINESTRING (-2.1321323 52.5834802, -2.132375 52.5835148, -2.1326047 52.5835559, -2.1328344 52.5836063)",,
7984145,False,2,,School Street,unclassified,20 mph,,,False,38.851,"LINESTRING (-2.1317798 52.584377, -2.1319177 52.5840378)",,
645715020,False,2,,School Street,unclassified,20 mph,,,False,109.315,"LINESTRING (-2.1317798 52.584377, -2.1317345 52.5845426, -2.1317272 52.5846532, -2.1317322 52.5847731, -2.1317933 52.5849392, -2.1318018 52.5849619, -2.1319109 52.5852531, -2.1319413 52.5853437)",,
35406700,False,3,,Victoria Street,unclassified,20 mph,,,False,5.768,"LINESTRING (-2.1299527 52.5840666, -2.1299242 52.5841155)",,
22779198,True,2,,Bell Street,unclassified,20 mph,,,False,27.035,"LINESTRING (-2.1299527 52.5840666, -2.1297873 52.5840242, -2.1295808 52.583977)",,
35406700,False,3,,Victoria Street,unclassified,20 mph,,,True,94.041,"LINESTRING (-2.1299527 52.5840666, -2.1300556 52.5839555, -2.1300956 52.5839091, -2.130486 52.5834579, -2.1306055 52.5833197)",,
8128770,False,2,,Chubb Street,unclassified,20 mph,,,False,53.171,"LINESTRING (-2.1234723 52.5870616, -2.1227394 52.5872359)",,
"[1242995331, 22779053]",False,2,,Fryer Street,unclassified,20 mph,,,False,84.66299999999998,"LINESTRING (-2.1234723 52.5870616, -2.1236767 52.5873768, -2.1236851 52.5873956, -2.123797 52.5876245, -2.123817 52.587682, -2.1238529 52.5877853)",,
22779053,False,2,,Fryer Street,unclassified,20 mph,,,True,51.43900000000001,"LINESTRING (-2.1234723 52.5870616, -2.1234442 52.587017, -2.1233663 52.5868957, -2.1232876 52.5867846, -2.1231746 52.586636)",,
8128770,False,2,,Chubb Street,unclassified,20 mph,,,True,53.171,"LINESTRING (-2.1227394 52.5872359, -2.1234723 52.5870616)",,
109182580,False,2,,Railway Street,unclassified,,,,False,25.695,"LINESTRING (-2.1227394 52.5872359, -2.1228379 52.5870127)",,
109182580,False,2,,Railway Street,unclassified,,,,True,19.741,"LINESTRING (-2.1227394 52.5872359, -2.1226914 52.5873399, -2.1226633 52.5874073)",,
149573865,False,,,Church Lane,unclassified,,,,False,77.892,"LINESTRING (-2.1288531 52.5803844, -2.1289989 52.5803499, -2.1291563 52.5803305, -2.1293241 52.5803192, -2.1294808 52.5803155, -2.1298097 52.5803059, -2.1299897 52.5802956)",,
7985846,False,,,George Street,unclassified,20 mph,,,False,86.874,"LINESTRING (-2.1260109 52.5811088, -2.1267631 52.5811315, -2.1272945 52.5811535)",,
7984310,False,2,,Broad Street,unclassified,20 mph,,,True,29.037,"LINESTRING (-2.1238529 52.5877853, -2.1235563 52.5879743)",,
85548593,False,2,,Broad Street,unclassified,20 mph,,,False,36.663,"LINESTRING (-2.1238529 52.5877853, -2.1239838 52.5877428, -2.1243303 52.5876285)",,
"[1242995331, 22779053]",False,2,,Fryer Street,unclassified,20 mph,,,True,84.66299999999998,"LINESTRING (-2.1238529 52.5877853, -2.123817 52.587682, -2.123797 52.5876245, -2.1236851 52.5873956, -2.1236767 52.5873768, -2.1234723 52.5870616)",,
149573865,False,,,Church Lane,unclassified,,,,True,77.892,"LINESTRING (-2.1299897 52.5802956, -2.1298097 52.5803059, -2.1294808 52.5803155, -2.1293241 52.5803192, -2.1291563 52.5803305, -2.1289989 52.5803499, -2.1288531 52.5803844)",,
25371174,False,2,,Thornley Street,unclassified,20 mph,,,False,92.676,"LINESTRING (-2.1251488 52.5873843, -2.1255279 52.5881853)",,
85548593,False,2,,Broad Street,unclassified,20 mph,,,False,59.946,"LINESTRING (-2.1251488 52.5873843, -2.1257188 52.5872342, -2.125967 52.5871759)",,
85548593,False,2,,Broad Street,unclassified,20 mph,,,True,61.613,"LINESTRING (-2.1251488 52.5873843, -2.1247385 52.587501, -2.1243303 52.5876285)",,
19373424,False,2,,Whitmore Street,unclassified,20 mph,,,False,54.339,"LINESTRING (-2.1262592 52.5879818, -2.1255279 52.5881853)",,
"[85550577, 491066194]",False,2,,Stafford Street,unclassified,20 mph,,,False,80.898,"LINESTRING (-2.1262592 52.5879818, -2.126348 52.5883061, -2.1264073 52.5885349, -2.126463 52.5886986)",,
"[7984152, 491066193, 883057339]",False,2,,Stafford Street,unclassified,20 mph,,,True,92.304,"LINESTRING (-2.1262592 52.5879818, -2.1262315 52.5878815, -2.1261826 52.5877049, -2.1260935 52.5873828, -2.1260532 52.5872742, -2.125967 52.5871759)",,
15132985,True,1,,St. Peter's Square,unclassified,20 mph,,roundabout,False,112.02199999999999,"LINESTRING (-2.1282435 52.5873, -2.1283913 52.587315, -2.1284771 52.5873314, -2.1285971 52.5873739, -2.1286105 52.5873808, -2.1286883 52.5874231, -2.1287267 52.5874553, -2.128744 52.5875018, -2.1287392 52.587559, -2.1287002 52.5875951, -2.1286716 52.5876151, -2.1285908 52.5876342, -2.1285417 52.5876375, -2.128468 52.5876208, -2.1284034 52.5875893, -2.128355 52.5875445, -2.1283245 52.5874951, -2.1283094 52.5874331, -2.12829 52.5873875, -2.1282435 52.5873)",,
38791087,False,2,,Wulfruna Street,unclassified,20 mph,,,False,158.512,"LINESTRING (-2.1282435 52.5873, -2.1282044 52.5872874, -2.1275666 52.5872209, -2.1273766 52.5871525, -2.1269798 52.5871178, -2.1267317 52.587097, -2.1264584 52.5870943, -2.125967 52.5871759)",,
19373424,False,2,,Whitmore Street,unclassified,20 mph,,,True,54.339,"LINESTRING (-2.1255279 52.5881853, -2.1262592 52.5879818)",,
25371174,False,2,,Thornley Street,unclassified,20 mph,,,True,92.676,"LINESTRING (-2.1255279 52.5881853, -2.1251488 52.5873843)",,
"[19373424, 19373426]",False,2,,"['Whitmore Street', 'Westbury Street']",unclassified,20 mph,,,False,75.37100000000001,"LINESTRING (-2.1255279 52.5881853, -2.1252907 52.5882571, -2.1251633 52.5882943, -2.1249282 52.5883631, -2.1248897 52.5883659, -2.1248491 52.588352, -2.1247132 52.5881475)",,
"[1251752305, 148994807]",False,2,,"[""Little's Lane"", 'Thornley Street']",unclassified,20 mph,,,False,103.079,"LINESTRING (-2.1255279 52.5881853, -2.1258347 52.5888837, -2.1258545 52.5889018, -2.1258651 52.5889115, -2.1259221 52.5889286, -2.1259911 52.5889246, -2.1261258 52.588887)",,
7984738,True,,,Worcester Street,unclassified,20 mph,,,False,17.058999999999997,"LINESTRING (-2.1310384 52.5823977, -2.1309886 52.5823756, -2.1309541 52.5823357, -2.1309458 52.582296, -2.1309601 52.5822664)",,
19422216,True,2,,Worcester Street,unclassified,20 mph,,,False,113.567,"LINESTRING (-2.1310384 52.5823977, -2.1309437 52.5824022, -2.1308946 52.5824122, -2.1308607 52.5824282, -2.1308262 52.5825117, -2.1307738 52.5826901, -2.1307079 52.5829773, -2.1306505 52.5832271, -2.1306055 52.5833197)",,
19373954,True,1,,Pipers Row,unclassified,20 mph,,,False,16.347,"LINESTRING (-2.1233777 52.5840855, -2.1231675 52.5841583)",,
72710827,True,2,,Bilston Street,unclassified,20 mph,,,False,13.905,"LINESTRING (-2.1233777 52.5840855, -2.1231721 52.5840798)",,
19205886,True,2,,Broad Street,unclassified,20 mph,,,False,45.312,"LINESTRING (-2.1229291 52.5880018, -2.1230561 52.5880418, -2.1231478 52.5880547, -2.1232281 52.5880526, -2.1233665 52.5880261, -2.1235563 52.5879743)",,
641675310,True,2,A4150,Ring Road St. Davids,trunk,40 mph,,,False,49.417,"LINESTRING (-2.1229291 52.5880018, -2.1231154 52.5881454, -2.1231618 52.5881808, -2.1234007 52.5883412)",,
638584299,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,47.359,"LINESTRING (-2.1206532 52.5839148, -2.120478 52.5837971, -2.1204194 52.583709, -2.120402 52.58366, -2.1203845 52.5835384)",,
