osmid,highway,oneway,reversed,length,bridge,geometry,ref,name
494975812,tertiary,False,False,58.695,,"LINESTRING (31.9565769 41.2190068, 31.9566306 41.2190007, 31.9570503 41.2189528, 31.9572732 41.218956)",,
727330977,residential,False,False,290.09799999999996,,"LINESTRING (31.9565769 41.2190068, 31.9569942 41.2185311, 31.9572249 41.2183052, 31.9573885 41.2181639, 31.9574931 41.2180146, 31.9575468 41.2178815, 31.9576058 41.2177806, 31.9577587 41.2176474, 31.9580188 41.2174477, 31.9584346 41.2172318, 31.958749 41.2170267)",,
727330978,residential,False,False,124.826,,"LINESTRING (31.9591154 41.2180761, 31.9594109 41.2181256, 31.9597342 41.2182184, 31.9598829 41.218279, 31.9599903 41.2183365, 31.9602021 41.2184676, 31.9603918 41.2186104)",,
727330979,residential,False,True,193.004,,"LINESTRING (31.956726 41.2179703, 31.9568628 41.2177826, 31.9571391 41.2175365, 31.9581296 41.2165964)",,
494975816,tertiary,False,False,52.819,,"LINESTRING (31.9581296 41.2165964, 31.9580556 41.2165563, 31.957937 41.2164803, 31.9576992 41.2163475, 31.957618 41.2163736)",,
494975816,tertiary,False,True,70.656,,"LINESTRING (31.9581296 41.2165964, 31.9584281 41.2168303, 31.958749 41.2170267)",,
727330979,residential,False,False,193.004,,"LINESTRING (31.9581296 41.2165964, 31.9571391 41.2175365, 31.9568628 41.2177826, 31.956726 41.2179703)",,
727330980,residential,False,True,119.411,,"LINESTRING (31.957618 41.2163736, 31.9567528 41.2172278)",,
494975816,tertiary,False,False,202.798,,"LINESTRING (31.957618 41.2163736, 31.9574902 41.216306, 31.9568158 41.2161571, 31.955764 41.2159709, 31.9552852 41.2159132)",,
494975816,tertiary,False,True,52.819,,"LINESTRING (31.957618 41.2163736, 31.9576992 41.2163475, 31.957937 41.2164803, 31.9580556 41.2165563, 31.9581296 41.2165964)",,
727330980,residential,False,False,119.411,,"LINESTRING (31.9567528 41.2172278, 31.957618 41.2163736)",,
727330981,residential,False,True,85.601,,"LINESTRING (31.9545753 41.219488, 31.9540304 41.2191626, 31.9537534 41.2190309)",,
727330982,residential,False,False,69.695,,"LINESTRING (31.9545753 41.219488, 31.9547224 41.2193543, 31.9549209 41.2191102, 31.955055 41.218977)",,
727330982,residential,False,True,33.451,,"LINESTRING (31.9545753 41.219488, 31.9545293 41.2195298, 31.954328 41.2197244)",,
727330985,residential,False,True,32.152,,"LINESTRING (31.9537534 41.2190309, 31.9535996 41.2192959)",,
727330981,residential,False,False,85.601,,"LINESTRING (31.9537534 41.2190309, 31.9540304 41.2191626, 31.9545753 41.219488)",,
727330985,residential,False,False,46.779,,"LINESTRING (31.9537534 41.2190309, 31.9538158 41.2188983, 31.95395 41.2186371)",,
727330982,residential,False,False,28.947,,"LINESTRING (31.955055 41.218977, 31.9553849 41.2188983)",,
727330982,residential,False,True,69.69500000000001,,"LINESTRING (31.955055 41.218977, 31.9549209 41.2191102, 31.9547224 41.2193543, 31.9545753 41.219488)",,
727330988,residential,False,True,101.309,,"LINESTRING (31.955055 41.218977, 31.9548672 41.2188539, 31.9546902 41.2188035, 31.9543549 41.2187369, 31.95395 41.2186371)",,
727330986,residential,False,False,44.328,,"LINESTRING (31.954328 41.2197244, 31.954776 41.2199374)",,
727330982,residential,False,False,33.451,,"LINESTRING (31.954328 41.2197244, 31.9545293 41.2195298, 31.9545753 41.219488)",,
727330986,residential,False,True,77.364,,"LINESTRING (31.954328 41.2197244, 31.9542879 41.2197054, 31.9535996 41.2192959)",,
494975822,unclassified,False,False,51.846000000000004,,"LINESTRING (31.955613 41.2187042, 31.9554271 41.2185514, 31.9552423 41.2183327)",,
494975822,unclassified,False,True,28.918,,"LINESTRING (31.955613 41.2187042, 31.9557327 41.2188027, 31.9558688 41.2188772)",,
