osmid,oneway,highway,maxspeed,reversed,length,ref,name,geometry,bridge,lanes,junction
27570910,False,unclassified,40,False,113.53899999999999,,Västra hamnen,"LINESTRING (13.1593428 58.5040441, 13.1601558 58.5047934, 13.1601945 58.5048291, 13.1602873 58.5049375)",,,
43261561,True,living_street,5,False,40.104,,Nya Stadens torg,"LINESTRING (13.1593428 58.5040441, 13.1590553 58.5041171, 13.1587289 58.5042089)",,,
27588066,True,residential,40,False,36.367,,Källaregatan,"LINESTRING (13.1566159 58.50481, 13.1560557 58.504956)",,,
1142106343,True,residential,40,False,123.155,,Särnmarksgatan,"LINESTRING (13.1566159 58.50481, 13.1575506 58.5058041)",,,
27570903,False,residential,40,True,137.723,,Särnmarksgatan,"LINESTRING (13.1566159 58.50481, 13.1560725 58.5042266, 13.1555552 58.5037024)",,,
27570905,False,residential,40,False,94.405,,Källaregatan,"LINESTRING (13.1529837 58.5059092, 13.1527524 58.5059846, 13.1525713 58.5060385, 13.1522535 58.5061254, 13.1515602 58.5063182)",,,
"[27588072, 843319785]",False,residential,40,False,152.107,,"['Silversköldsgatan', 'Sevillagatan']","LINESTRING (13.1529837 58.5059092, 13.1523438 58.5052379, 13.1522943 58.5051841, 13.1517971 58.5046899)",,,
27588072,False,residential,40,True,133.627,,Sevillagatan,"LINESTRING (13.1529837 58.5059092, 13.1534216 58.5064204, 13.1537521 58.5067932, 13.1537756 58.5068197, 13.153848 58.5069052, 13.1539807 58.5069882)",,,
39653135,False,tertiary,40,False,50.829,O 2558,Esplanaden,"LINESTRING (13.1497471 58.5026705, 13.1505156 58.502452)",,2,
39653135,False,tertiary,40,True,35.625,O 2558,Esplanaden,"LINESTRING (13.1497471 58.5026705, 13.1491958 58.5028108)",,2,
27570902,False,residential,40,False,109.16799999999999,,Silversköldsgatan,"LINESTRING (13.1497471 58.5026705, 13.1500216 58.5029237, 13.1500542 58.5029537, 13.1506731 58.5035248)",,,
39043353,False,tertiary,40,False,20.795,O 2558,Esplanaden,"LINESTRING (13.1505156 58.502452, 13.1508374 58.5023701)",,2,
39653135,False,tertiary,40,True,50.829,O 2558,Esplanaden,"LINESTRING (13.1505156 58.502452, 13.1497471 58.5026705)",,2,
26423200,False,residential,40,False,111.31,,Västergatan,"LINESTRING (13.1505156 58.502452, 13.1496365 58.5017745, 13.1495385 58.5016793, 13.1494709 58.5016138)",,,
26423200,False,residential,40,True,111.31,,Västergatan,"LINESTRING (13.1494709 58.5016138, 13.1495385 58.5016793, 13.1496365 58.5017745, 13.1505156 58.502452)",,,
36002776,False,residential,40,True,96.67699999999999,,Rådagatan,"LINESTRING (13.1494709 58.5016138, 13.1506245 58.5015629, 13.1507099 58.5015523, 13.1508413 58.5015271, 13.1510931 58.5014648)",,,
26431082,False,residential,40,True,69.946,,Karlagatan,"LINESTRING (13.1636842 58.5029963, 13.1647612 58.5027151)",,,
32451005,False,residential,40,False,68.43,,Östergatan,"LINESTRING (13.1636842 58.5029963, 13.1641975 58.5035502)",,,
26431082,False,residential,40,False,71.28,,Karlagatan,"LINESTRING (13.1636842 58.5029963, 13.1626293 58.5032687, 13.1625842 58.5032803)",,,
32451005,False,residential,40,True,70.677,,Östergatan,"LINESTRING (13.1636842 58.5029963, 13.16321 58.5024763, 13.1631609 58.5024225)",,,
32451005,False,residential,40,True,68.43,,Östergatan,"LINESTRING (13.1641975 58.5035502, 13.1636842 58.5029963)",,,
838662890,False,residential,40,False,70.497,,Kinnegatan,"LINESTRING (13.1641975 58.5035502, 13.1652853 58.5032692)",,,
838662890,False,residential,40,True,71.504,,Kinnegatan,"LINESTRING (13.1641975 58.5035502, 13.1631418 58.5038266, 13.1630969 58.5038381)",,,
838662890,False,residential,40,True,70.497,,Kinnegatan,"LINESTRING (13.1652853 58.5032692, 13.1641975 58.5035502)",,,
885327426,False,residential,40,True,20.181,,Hagagatan,"LINESTRING (13.1652853 58.5032692, 13.1651283 58.5031073)",,,
885327427,False,residential,40,False,70.86,,Hagagatan,"LINESTRING (13.1652853 58.5032692, 13.1653878 58.5033887, 13.1655109 58.5035357, 13.1656315 58.5036776, 13.1656795 58.5037479, 13.1657134 58.5038625)",,,
27588072,False,residential,40,False,133.627,,Sevillagatan,"LINESTRING (13.1539807 58.5069882, 13.153848 58.5069052, 13.1537756 58.5068197, 13.1537521 58.5067932, 13.1534216 58.5064204, 13.1529837 58.5059092)",,,
250773266,False,secondary,40,False,109.95599999999999,O 2559,Kållandsgatan,"LINESTRING (13.1539807 58.5069882, 13.1543308 58.5068505, 13.1548616 58.5066489, 13.1555293 58.5064202)",,,
250773266,False,secondary,40,True,88.863,O 2559,Kållandsgatan,"LINESTRING (13.1539807 58.5069882, 13.1537059 58.5071041, 13.1534851 58.5072076, 13.1532517 58.5073239, 13.1530361 58.5074443, 13.1528662 58.5075342)",,,
250773266,False,secondary,40,True,38.337,O 2559,Kållandsgatan,"LINESTRING (13.1575506 58.5058041, 13.1569771 58.5059747)",,,
250773266,False,secondary,40,False,73.58999999999999,O 2559,Kållandsgatan,"LINESTRING (13.1575506 58.5058041, 13.1576404 58.5057745, 13.1581301 58.5056311, 13.1584675 58.5055341, 13.1586584 58.5054834)",,,
27570905,False,residential,40,True,152.514,,Källaregatan,"LINESTRING (13.149254 58.5069738, 13.1515602 58.5063182)",,,
27570902,False,residential,40,True,71.572,,Silversköldsgatan,"LINESTRING (13.1517971 58.5046899, 13.151248 58.5041137)",,,
27588061,True,residential,40,False,63.817,,Grevhusgatan,"LINESTRING (13.1517971 58.5046899, 13.1527748 58.5044282)",,,
"[27588072, 843319785]",False,residential,40,True,152.107,,"['Silversköldsgatan', 'Sevillagatan']","LINESTRING (13.1517971 58.5046899, 13.1522943 58.5051841, 13.1523438 58.5052379, 13.1529837 58.5059092)",,,
27588066,True,residential,40,False,38.010000000000005,,Källaregatan,"LINESTRING (13.1571809 58.5046376, 13.1571129 58.5046584, 13.1566159 58.50481)",,,
"[885327413, 885327414]",True,residential,5,False,134.151,,,"LINESTRING (13.1571809 58.5046376, 13.1571598 58.5045822, 13.156982 58.5043778, 13.156683 58.5040732, 13.1564525 58.5038204, 13.1561926 58.5035494)",,,
38107604,True,residential,40,False,71.76,,Målaregatan,"LINESTRING (13.1538321 58.5041586, 13.1532739 58.5035829)",,,
27588061,True,residential,40,False,77.267,,Grevhusgatan,"LINESTRING (13.1538321 58.5041586, 13.1544538 58.5039928, 13.1550145 58.5038404)",,,
27588066,True,residential,40,False,36.539,,Källaregatan,"LINESTRING (13.1549291 58.5052479, 13.1543638 58.505392)",,,
1142106345,False,residential,40,False,73.452,,Målaregatan,"LINESTRING (13.1549291 58.5052479, 13.1543507 58.5046605)",,,
38325934,False,residential,40,True,115.73000000000002,,Målaregatan,"LINESTRING (13.1549291 58.5052479, 13.1551985 58.5055285, 13.1554692 58.5057941, 13.1555647 58.5058991, 13.1556828 58.5060151, 13.1558347 58.5061748)",,,
1142106345,False,residential,40,True,73.452,,Målaregatan,"LINESTRING (13.1543507 58.5046605, 13.1549291 58.5052479)",,,
38107604,True,residential,40,False,63.422,,Målaregatan,"LINESTRING (13.1543507 58.5046605, 13.1541853 58.5044989, 13.1538321 58.5041586)",,,
41959186,False,residential,40,False,73.099,,Repslagaregatan,"LINESTRING (13.1543638 58.505392, 13.1537875 58.5048076)",,,
27588066,True,residential,40,False,35.071,,Källaregatan,"LINESTRING (13.1543638 58.505392, 13.1541348 58.5054533, 13.1538223 58.5055314)",,,
885327425,False,residential,40,False,55.938,,Kinnegatan,"LINESTRING (13.1620658 58.5041061, 13.1620966 58.5040985, 13.1629275 58.5038816)",,,
27570908,False,residential,40,False,69.997,,Skaragatan,"LINESTRING (13.1631609 58.5024225, 13.1642449 58.5021477)",,,
27570908,False,residential,40,True,72.063,,Skaragatan,"LINESTRING (13.1631609 58.5024225, 13.1620475 58.5027082)",,,
32451005,False,residential,40,False,70.677,,Östergatan,"LINESTRING (13.1631609 58.5024225, 13.16321 58.5024763, 13.1636842 58.5029963)",,,
4526536,False,tertiary,40,True,81.909,O 2602,Östra hamnen,"LINESTRING (13.1596753 58.5019688, 13.1595814 58.5018634, 13.1591749 58.5014229, 13.1590693 58.5013037)",,,
"[885327419, 885327420]",False,tertiary,40,False,67.592,O 2602,Östra hamnen,"LINESTRING (13.1596753 58.5019688, 13.1600986 58.50243, 13.1601784 58.5025169)",,,
885327423,True,residential,40,False,75.688,,Norra Kyrkogatan,"LINESTRING (13.1608399 58.5016637, 13.1596753 58.5019688)",,,
32450994,True,residential,40,False,74.708,,Norra Kyrkogatan,"LINESTRING (13.1621873 58.5013285, 13.1610246 58.5016155)",,,
32451007,False,residential,40,False,16.808,,Östergatan,"LINESTRING (13.1621873 58.5013285, 13.1623124 58.5014648)",,,
32451007,False,residential,40,True,82.357,,Östergatan,"LINESTRING (13.1621873 58.5013285, 13.1618601 58.500899, 13.1616638 58.5006402)",,,
32451007,False,residential,40,False,48.419,,Östergatan,"LINESTRING (13.1623124 58.5014648, 13.1626648 58.5018594)",,,
32451007,False,residential,40,True,16.808,,Östergatan,"LINESTRING (13.1623124 58.5014648, 13.1621873 58.5013285)",,,
32451006,False,residential,40,False,70.618,,Norra Kyrkogatan,"LINESTRING (13.1623124 58.5014648, 13.1627718 58.5013491, 13.1634046 58.5011861)",,,
41959182,False,residential,40,False,47.823,,Hagagatan,"LINESTRING (13.1634046 58.5011861, 13.1637684 58.5015719)",,,
32451006,False,residential,40,True,70.618,,Norra Kyrkogatan,"LINESTRING (13.1634046 58.5011861, 13.1627718 58.5013491, 13.1623124 58.5014648)",,,
41959182,False,residential,40,True,87.177,,Hagagatan,"LINESTRING (13.1634046 58.5011861, 13.1634035 58.5010894, 13.1634058 58.5010026, 13.1634081 58.500915, 13.1634083 58.5008243, 13.1634241 58.5004022)",,,
32450995,False,residential,40,False,74.457,,Lidbecksgatan,"LINESTRING (13.1601784 58.5025169, 13.1613127 58.5022052)",,,
885327420,False,tertiary,40,False,38.461,O 2602,Östra hamnen,"LINESTRING (13.1601784 58.5025169, 13.1604646 58.5028288)",,,
"[885327419, 885327420]",False,tertiary,40,True,67.592,O 2602,Östra hamnen,"LINESTRING (13.1601784 58.5025169, 13.1600986 58.50243, 13.1596753 58.5019688)",,,
32450995,False,residential,40,True,113.105,,Lidbecksgatan,"LINESTRING (13.1655133 58.5011208, 13.1637684 58.5015719)",,,
38533654,False,residential,40,True,68.798,,Zettervallsgatan,"LINESTRING (13.1655133 58.5011208, 13.1659903 58.5016871)",,,
38533654,False,residential,40,False,101.637,,Zettervallsgatan,"LINESTRING (13.1655133 58.5011208, 13.1651911 58.5007078, 13.164859 58.5002731)",,,
32451013,False,residential,40,True,84.593,,Södra Kyrkogatan,"LINESTRING (13.164859 58.5002731, 13.1634241 58.5004022)",,,
38533654,False,residential,40,True,101.637,,Zettervallsgatan,"LINESTRING (13.164859 58.5002731, 13.1651911 58.5007078, 13.1655133 58.5011208)",,,
885327420,False,tertiary,40,True,38.461,O 2602,Östra hamnen,"LINESTRING (13.1604646 58.5028288, 13.1601784 58.5025169)",,,
885327420,False,tertiary,40,False,28.16,O 2602,Östra hamnen,"LINESTRING (13.1604646 58.5028288, 13.1606288 58.5030055, 13.1606764 58.5030566)",,,
32450997,True,residential,40,False,67.319,,Järnvägsgatan,"LINESTRING (13.1629275 58.5038816, 13.1624112 58.5033396)",,,
"[885327425, 838662890]",False,residential,40,False,10.966000000000001,,Kinnegatan,"LINESTRING (13.1629275 58.5038816, 13.1629974 58.5038633, 13.1630969 58.5038381)",,,
885327425,False,residential,40,True,55.938,,Kinnegatan,"LINESTRING (13.1629275 58.5038816, 13.1620966 58.5040985, 13.1620658 58.5041061)",,,
32450995,False,residential,40,True,74.457,,Lidbecksgatan,"LINESTRING (13.1613127 58.5022052, 13.1601784 58.5025169)",,,
32451002,True,residential,40,False,66.181,,Nikolaigatan,"LINESTRING (13.1613127 58.5022052, 13.1608399 58.5016637)",,,
32450995,False,residential,40,False,13.73,,Lidbecksgatan,"LINESTRING (13.1613127 58.5022052, 13.1614183 58.5021779, 13.1615237 58.5021496)",,,
32451001,True,unclassified,40,False,30.314,,Gamla Stadens Torg,"LINESTRING (13.1618465 58.5027589, 13.161613 58.5025151)",,,
27570908,False,residential,40,False,12.966999999999999,,Skaragatan,"LINESTRING (13.1618465 58.5027589, 13.161946 58.5027339, 13.1620475 58.5027082)",,,
27570908,False,residential,40,True,75.608,,Skaragatan,"LINESTRING (13.1618465 58.5027589, 13.160912 58.5029967, 13.1606764 58.5030566)",,,
32450998,True,residential,40,False,66.09,,Nikolaigatan,"LINESTRING (13.1610246 58.5016155, 13.1615237 58.5021496)",,,
"[32450994, 885327423]",True,residential,40,False,11.995000000000001,,Norra Kyrkogatan,"LINESTRING (13.1610246 58.5016155, 13.1609048 58.5016469, 13.1608399 58.5016637)",,,
838662890,False,residential,40,False,71.504,,Kinnegatan,"LINESTRING (13.1630969 58.5038381, 13.1631418 58.5038266, 13.1641975 58.5035502)",,,
"[885327425, 838662890]",False,residential,40,True,10.966000000000001,,Kinnegatan,"LINESTRING (13.1630969 58.5038381, 13.1629974 58.5038633, 13.1629275 58.5038816)",,,
27570908,False,residential,40,False,72.063,,Skaragatan,"LINESTRING (13.1620475 58.5027082, 13.1631609 58.5024225)",,,
32451000,True,residential,40,False,70.845,,Järnvägsgatan,"LINESTRING (13.1620475 58.5027082, 13.1625842 58.5032803)",,,
27570908,False,residential,40,True,12.966999999999999,,Skaragatan,"LINESTRING (13.1620475 58.5027082, 13.161946 58.5027339, 13.1618465 58.5027589)",,,
32450998,True,residential,40,False,39.182,,Nikolaigatan,"LINESTRING (13.1615237 58.5021496, 13.1618335 58.5024626)",,,
32450995,False,residential,40,False,73.72999999999999,,Lidbecksgatan,"LINESTRING (13.1615237 58.5021496, 13.1621025 58.5020021, 13.1626648 58.5018594)",,,
32450995,False,residential,40,True,13.73,,Lidbecksgatan,"LINESTRING (13.1615237 58.5021496, 13.1614183 58.5021779, 13.1613127 58.5022052)",,,
32451003,True,unclassified,40,False,30.006,,Gamla Stadens Torg,"LINESTRING (13.1618335 58.5024626, 13.1620475 58.5027082)",,,
32450996,True,unclassified,40,False,14.086,,Gamla Stadens Torg,"LINESTRING (13.1618335 58.5024626, 13.1617079 58.5024901, 13.161613 58.5025151)",,,
32450995,False,residential,40,False,71.643,,Lidbecksgatan,"LINESTRING (13.1626648 58.5018594, 13.1637684 58.5015719)",,,
32451007,False,residential,40,True,48.419,,Östergatan,"LINESTRING (13.1626648 58.5018594, 13.1623124 58.5014648)",,,
32450995,False,residential,40,True,73.72999999999999,,Lidbecksgatan,"LINESTRING (13.1626648 58.5018594, 13.1621025 58.5020021, 13.1615237 58.5021496)",,,
4526549,False,secondary,40,False,94.286,44.05,Wennerbergsvägen,"LINESTRING (13.1612143 58.4999785, 13.1620692 58.4998214, 13.162654 58.4996877, 13.1627257 58.4996713)",,,
4526549,False,secondary,40,True,83.737,44.05,Wennerbergsvägen,"LINESTRING (13.1612143 58.4999785, 13.1605474 58.5000939, 13.159846 58.5002151)",,,
32451007,False,residential,40,False,78.078,,Östergatan,"LINESTRING (13.1612143 58.4999785, 13.1612442 58.5000272, 13.1616638 58.5006402)",,,
32451007,False,residential,40,False,82.357,,Östergatan,"LINESTRING (13.1616638 58.5006402, 13.1618601 58.500899, 13.1621873 58.5013285)",,,
32451007,False,residential,40,True,78.078,,Östergatan,"LINESTRING (13.1616638 58.5006402, 13.1612442 58.5000272, 13.1612143 58.4999785)",,,
32451013,False,residential,40,False,105.63999999999999,,Södra Kyrkogatan,"LINESTRING (13.1616638 58.5006402, 13.1621342 58.5005784, 13.1634241 58.5004022)",,,
4526536,False,tertiary,40,False,81.90899999999999,O 2602,Östra hamnen,"LINESTRING (13.1590693 58.5013037, 13.1591749 58.5014229, 13.1595814 58.5018634, 13.1596753 58.5019688)",,,
4526536,False,tertiary,40,True,100.204,O 2602,Östra hamnen,"LINESTRING (13.1590693 58.5013037, 13.1584533 58.5006237, 13.158422 58.5005891, 13.1583746 58.500533, 13.1583304 58.5004895)",,,
32451008,True,residential,40,False,167.82500000000002,,Södra Kyrkogatan,"LINESTRING (13.1590693 58.5013037, 13.1600835 58.5010395, 13.1611056 58.5007837, 13.1616638 58.5006402)",,,
32451013,False,residential,40,False,84.593,,Södra Kyrkogatan,"LINESTRING (13.1634241 58.5004022, 13.164859 58.5002731)",,,
32451013,False,residential,40,True,105.63999999999999,,Södra Kyrkogatan,"LINESTRING (13.1634241 58.5004022, 13.1621342 58.5005784, 13.1616638 58.5006402)",,,
41959182,False,residential,40,False,87.177,,Hagagatan,"LINESTRING (13.1634241 58.5004022, 13.1634083 58.5008243, 13.1634081 58.500915, 13.1634058 58.5010026, 13.1634035 58.5010894, 13.1634046 58.5011861)",,,
41959182,False,residential,40,True,68.493,,Hagagatan,"LINESTRING (13.1634241 58.5004022, 13.1634262 58.5003499, 13.163508 58.4999007, 13.1635456 58.49979)",,,
27570908,False,residential,40,True,113.601,,Skaragatan,"LINESTRING (13.1659903 58.5016871, 13.1642449 58.5021477)",,,
38533654,False,residential,40,False,68.798,,Zettervallsgatan,"LINESTRING (13.1659903 58.5016871, 13.1655133 58.5011208)",,,
41959182,False,residential,40,False,68.493,,Hagagatan,"LINESTRING (13.1635456 58.49979, 13.163508 58.4999007, 13.1634262 58.5003499, 13.1634241 58.5004022)",,,
27570908,False,residential,40,False,113.601,,Skaragatan,"LINESTRING (13.1642449 58.5021477, 13.1659903 58.5016871)",,,
27570908,False,residential,40,True,69.997,,Skaragatan,"LINESTRING (13.1642449 58.5021477, 13.1631609 58.5024225)",,,
41959182,False,residential,40,True,69.754,,Hagagatan,"LINESTRING (13.1642449 58.5021477, 13.1637684 58.5015719)",,,
1142106342,True,residential,40,False,69.85900000000001,,Hagagatan,"LINESTRING (13.1642449 58.5021477, 13.1642855 58.5021923, 13.1647612 58.5027151)",,,
32450995,False,residential,40,False,113.105,,Lidbecksgatan,"LINESTRING (13.1637684 58.5015719, 13.1655133 58.5011208)",,,
32450995,False,residential,40,True,71.643,,Lidbecksgatan,"LINESTRING (13.1637684 58.5015719, 13.1626648 58.5018594)",,,
41959182,False,residential,40,False,69.754,,Hagagatan,"LINESTRING (13.1637684 58.5015719, 13.1642449 58.5021477)",,,
41959182,False,residential,40,True,47.823,,Hagagatan,"LINESTRING (13.1637684 58.5015719, 13.1634046 58.5011861)",,,
32471841,True,secondary,40,False,16.015,O 2559,Östra hamnen,"LINESTRING (13.1618309 58.5043212, 13.1618816 58.5043098, 13.1619355 58.5043038, 13.1619906 58.5043033, 13.1620449 58.5043084, 13.1620963 58.5043188)",,,roundabout
42557110,False,tertiary,40,True,81.541,O 2602,Östra hamnen,"LINESTRING (13.1618309 58.5043212, 13.1617847 58.504265, 13.1616944 58.5041551, 13.1612358 58.5036572)",,,
32471841,True,secondary,40,False,23.387,O 2559,Östra hamnen,"LINESTRING (13.1620562 58.5045951, 13.1619565 58.5046023, 13.1618583 58.504591, 13.1617736 58.5045626, 13.1617129 58.5045206)",,,roundabout
"[42557297, 1227781178, 1227781179, 32471846]",False,unclassified,40,False,82.37299999999999,,Östra hamnen,"LINESTRING (13.1620562 58.5045951, 13.1620775 58.5046533, 13.1620991 58.5047359, 13.1621147 58.5048077, 13.1621217 58.5048587, 13.1621418 58.5049335, 13.1621889 58.5050466, 13.162226 58.50511, 13.1622724 58.5051672, 13.162393 58.5053089)",,,
"[4526528, 42557106, 55880163, 4526527]",False,secondary,40,True,94.935,O 2559,"['Kållandsgatan', 'Rörstrandsgatan', 'Rörstrandsbron']","LINESTRING (13.1617129 58.5045206, 13.161633 58.5045426, 13.1614433 58.5045948, 13.1608942 58.5047504, 13.1605499 58.5048536, 13.1604423 58.5048858, 13.1602873 58.5049375)",yes,,
32471841,True,secondary,40,False,25.573999999999998,O 2559,Östra hamnen,"LINESTRING (13.1617129 58.5045206, 13.1616855 58.5044768, 13.1616848 58.5044308, 13.1617108 58.5043869, 13.1617611 58.5043491, 13.1618309 58.5043212)",,,roundabout
38325312,False,residential,40,True,37.363,,Götgatan,"LINESTRING (13.1550483 58.5024112, 13.1544685 58.5025566)",,,
38325313,True,residential,40,False,113.92599999999999,,Mellbygatan,"LINESTRING (13.1550483 58.5024112, 13.1543045 58.5016221, 13.1542621 58.5015772, 13.1541821 58.501492)",,,
1144770766,True,residential,40,False,69.94200000000001,,Götgatan,"LINESTRING (13.1550483 58.5024112, 13.1551074 58.502395, 13.1556054 58.5022653, 13.1561221 58.5021268)",,,
35819122,False,unclassified,40,False,73.076,,Älvgatan,"LINESTRING (13.1572307 58.5018367, 13.1577729 58.5024297)",,,
1144770765,False,residential,40,True,37.772,,Götgatan,"LINESTRING (13.1572307 58.5018367, 13.1566584 58.5019979)",,,
35819122,False,unclassified,40,True,113.106,,Älvgatan,"LINESTRING (13.1572307 58.5018367, 13.156517 58.5010256, 13.1564175 58.5009125)",,,
45420743,False,unclassified,40,False,80.19,,Fiskaregatan,"LINESTRING (13.1555293 58.5064202, 13.1558571 58.5067638, 13.1559353 58.5068538, 13.1559931 58.5069164, 13.1561251 58.5070706)",,,
