osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,ref,access
389642676,True,2,Jalan Kingsway,secondary,False,218.344,"LINESTRING (113.9873842 4.3923626, 113.9878798 4.3934572, 113.9881794 4.3941589)",,,
349942357,True,2,Jalan Padang,secondary,False,75.108,"LINESTRING (113.9864413 4.3891638, 113.9863327 4.3891652, 113.986288 4.3891699, 113.9861834 4.3892461, 113.9861586 4.3892929, 113.9861392 4.389364, 113.9861465 4.3895008, 113.9861364 4.38963)",,,
684565788,True,1,,secondary_link,False,21.94,"LINESTRING (113.9907529 4.3964398, 113.9906732 4.3966204)",,,
978359525,True,2,Jalan Brooke,secondary,False,25.97,"LINESTRING (113.9907529 4.3964398, 113.9908174 4.3964847, 113.9909354 4.3965858)",,,
"[1190147067, 1190147068]",True,2,Jalan Merbau,tertiary,False,234.03799999999998,"LINESTRING (113.9906732 4.3966204, 113.9903747 4.3966807, 113.9896532 4.3968382, 113.9887405 4.3970788, 113.9886194 4.3971042)",,,
189796944,True,2,,secondary,False,10.315,"LINESTRING (113.9885712 4.3900902, 113.9884846 4.3901241)",roundabout,,
346478339,True,,,secondary,False,41.865,"LINESTRING (113.9843751 4.3970829, 113.984391 4.3971273, 113.9844198 4.3971647, 113.9844587 4.3971915, 113.9845039 4.3972051, 113.984551 4.3972042, 113.9845956 4.3971889, 113.9846334 4.3971608, 113.9846607 4.3971225)",roundabout,,
346478339,True,,,secondary,False,12.622,"LINESTRING (113.9846663 4.3969996, 113.9846482 4.3969664, 113.9846224 4.3969386, 113.9845905 4.3969181)",roundabout,,
816729959,True,,,tertiary,False,16.94,"LINESTRING (113.9845905 4.3969181, 113.98461 4.396767)",,,
346478339,True,,,secondary,False,12.107,"LINESTRING (113.9845905 4.3969181, 113.984556 4.3969064, 113.9845197 4.3969032, 113.9844838 4.3969087)",roundabout,,
396952742,True,,Jalan Marina Utama,secondary,False,36.146,"LINESTRING (113.9846607 4.3971225, 113.9849741 4.3970329)",,,
346478339,True,,,secondary,False,14.044,"LINESTRING (113.9846607 4.3971225, 113.9846742 4.3970826, 113.9846761 4.3970406, 113.9846663 4.3969996)",roundabout,,
346478340,True,,Jalan Marina Utama,secondary,False,21.045,"LINESTRING (113.9844234 4.3969416, 113.9842359 4.3969121)",,,
346478339,True,,,secondary,False,17.272,"LINESTRING (113.9844234 4.3969416, 113.9843911 4.3969821, 113.9843743 4.3970312, 113.9843751 4.3970829)",roundabout,,
360673167,False,,Jalan Rice Mill,unclassified,False,57.059000000000005,"LINESTRING (113.9902556 4.3967674, 113.9904501 4.3971879, 113.9904711 4.3972334)",,,
"[1190147066, 769876142]",True,,Jalan Merbau,tertiary,False,82.231,"LINESTRING (113.9902556 4.3967674, 113.9906358 4.3966947, 113.9908197 4.3966676, 113.9909871 4.3966469)",,,
360673167,False,,Jalan Rice Mill,unclassified,True,57.059000000000005,"LINESTRING (113.9904711 4.3972334, 113.9904501 4.3971879, 113.9902556 4.3967674)",,,
1240351916,True,,Jalan Bendahara,tertiary,False,15.955,"LINESTRING (113.9869574 4.3965504, 113.9869866 4.3966909)",,,
815416624,True,,,secondary_link,False,23.5,"LINESTRING (113.9869574 4.3965504, 113.9869061 4.396636, 113.9868832 4.3966647, 113.9868316 4.3967192)",,,
396952742,True,,Jalan Marina Utama,secondary,False,12.008,"LINESTRING (113.9852729 4.3970179, 113.9853812 4.3970191)",,,
"[1232324403, 397896612]",True,,Jalan Marina Utama,secondary,False,100.69,"LINESTRING (113.9858892 4.3969986, 113.9860256 4.3969803, 113.9865677 4.3968353, 113.9867741 4.3968007)",,,
507340435,True,,,unclassified,False,13.315999999999999,"LINESTRING (113.9853812 4.3970191, 113.9854235 4.3969773, 113.9854692 4.3969377)",,,
1232324403,True,,Jalan Marina Utama,secondary,False,56.370000000000005,"LINESTRING (113.9853812 4.3970191, 113.9856838 4.3970092, 113.9858892 4.3969986)",,,
1240351912,True,,,secondary,False,17.47,"LINESTRING (113.9869866 4.3966909, 113.9868316 4.3967192)",,,
1240351913,True,,Jalan Bendahara,tertiary,False,7.92,"LINESTRING (113.9869866 4.3966909, 113.9870013 4.3967606)",,,
1240351914,True,,,secondary,False,8.718,"LINESTRING (113.9870013 4.3967606, 113.9870786 4.3967462)",,,
1240351915,True,,Jalan Bendahara,tertiary,False,15.269,"LINESTRING (113.9870013 4.3967606, 113.98703 4.3968949)",,,
262798533,False,,Jalan Nahkoda Gampar,tertiary,True,11.385,"LINESTRING (113.9884188 4.3946219, 113.9884807 4.3945402)",,,
1232831688,True,2,Jalan Brooke,secondary,False,17.937,"LINESTRING (113.9884188 4.3946219, 113.9885388 4.3947301)",,,
1232831689,False,,Jalan Nahkoda Gampar,tertiary,False,24.297,"LINESTRING (113.9884188 4.3946219, 113.9882794 4.3947905)",,,
1240897454,True,2,Jalan Melayu,secondary,False,166.887,"LINESTRING (113.9861364 4.38963, 113.9863081 4.3899797, 113.9863785 4.3901176, 113.9867377 4.3908208, 113.9867561 4.3908596, 113.9867706 4.3908919, 113.98681 4.3909721)",,,
507340436,True,,Jalan Marina Utama,secondary,False,40.708,"LINESTRING (113.9854692 4.3969377, 113.9853631 4.3969335, 113.9851863 4.3969475, 113.9851029 4.3969538)",,,
1232324401,False,,,unclassified,True,36.791,"LINESTRING (113.9854692 4.3969377, 113.9855137 4.396858, 113.9855598 4.3966228)",,,
745520018,False,,Jalan Bendahara,primary,True,12.014,"LINESTRING (113.9856199 4.391884, 113.9856283 4.3918301, 113.9856381 4.3917775)",,,
"[816379762, 1261348037]",True,,Jalan Bendahara,primary,False,129.97299999999998,"LINESTRING (113.9856199 4.391884, 113.9856468 4.3919542, 113.9857782 4.3922713, 113.9859931 4.3927523, 113.9860147 4.3927957, 113.9860366 4.3928368, 113.9861064 4.3929455)",,,
816379763,True,,Jalan Kubu,primary,False,36.014,"LINESTRING (113.9841269 4.3887884, 113.9839756 4.3885018)",,,
507343754,True,,,primary_link,False,47.744,"LINESTRING (113.9841269 4.3887884, 113.9841123 4.3886832, 113.9841218 4.3885936, 113.9841451 4.3885246, 113.9841756 4.3884508, 113.984219 4.388383)",,,
