osmid,highway,oneway,reversed,length,ref,junction,geometry,name
558690090,residential,False,True,96.933,,,"LINESTRING (9.7786486 7.8673264, 9.7788483 7.8664774)",
185860469,unclassified,False,False,85.118,,,"LINESTRING (9.7778191 7.8675329, 9.7784957 7.8679027)",
185860469,unclassified,False,True,118.862,,,"LINESTRING (9.7778191 7.8675329, 9.7768884 7.8669919)",
185860474,unclassified,False,False,67.129,,,"LINESTRING (9.7778191 7.8675329, 9.7779136 7.8669365)",
185860474,unclassified,False,True,103.831,,,"LINESTRING (9.7778191 7.8675329, 9.7776705 7.868455)",
181916657,unclassified,False,False,58.293,,,"LINESTRING (9.7749818 7.8675688, 9.7746674 7.8679905)",
181916657,unclassified,False,True,57.549,,,"LINESTRING (9.7749818 7.8675688, 9.7752988 7.8671574)",
185860481,unclassified,False,False,128.992,,,"LINESTRING (9.7749818 7.8675688, 9.7760938 7.8679326)",
185860481,unclassified,False,True,39.559,,,"LINESTRING (9.7749818 7.8675688, 9.7746367 7.8674703)",
185860469,unclassified,False,False,92.245,,,"LINESTRING (9.7784957 7.8679027, 9.7792101 7.8683356)",
185860469,unclassified,False,True,85.118,,,"LINESTRING (9.7784957 7.8679027, 9.7778191 7.8675329)",
558690090,residential,False,True,66.258,,,"LINESTRING (9.7784957 7.8679027, 9.7786486 7.8673264)",
181916653,tertiary,False,False,32.943,,,"LINESTRING (9.7793084 7.8679917, 9.7793802 7.8677041)",
181916653,tertiary,False,True,39.743,,,"LINESTRING (9.7793084 7.8679917, 9.7792101 7.8683356)",
185860479,residential,False,False,97.405,,,"LINESTRING (9.7793084 7.8679917, 9.7801611 7.8682238)",
185860481,unclassified,False,False,117.075,,,"LINESTRING (9.7766577 7.8681356, 9.7776705 7.868455)",
185860481,unclassified,False,True,66.087,,,"LINESTRING (9.7766577 7.8681356, 9.7760938 7.8679326)",
558733009,residential,False,False,129.688,,,"LINESTRING (9.7766577 7.8681356, 9.7768884 7.8669919)",
558733010,residential,False,True,83.125,,,"LINESTRING (9.7766577 7.8681356, 9.7765007 7.8688668)",
185860479,residential,False,False,58.409,,,"LINESTRING (9.7801611 7.8682238, 9.7806708 7.8683687)",
185860479,residential,False,True,97.405,,,"LINESTRING (9.7801611 7.8682238, 9.7793084 7.8679917)",
185860490,residential,False,False,170.313,,,"LINESTRING (9.7801611 7.8682238, 9.7805679 7.8667461)",
185860490,residential,False,True,66.912,,,"LINESTRING (9.7801611 7.8682238, 9.7800022 7.8688046)",
181916653,tertiary,False,False,39.743,,,"LINESTRING (9.7792101 7.8683356, 9.7793084 7.8679917)",
181916653,tertiary,False,True,69.596,,,"LINESTRING (9.7792101 7.8683356, 9.7789914 7.8689228)",
185860469,unclassified,False,False,101.646,,,"LINESTRING (9.7792101 7.8683356, 9.7800022 7.8688046)",
185860469,unclassified,False,True,92.245,,,"LINESTRING (9.7792101 7.8683356, 9.7784957 7.8679027)",
185860479,residential,False,False,60.588,,,"LINESTRING (9.7806708 7.8683687, 9.7811787 7.8685779)",
185860479,residential,False,True,58.409,,,"LINESTRING (9.7806708 7.8683687, 9.7801611 7.8682238)",
476347718,residential,False,False,170.035,,,"LINESTRING (9.7806708 7.8683687, 9.7811343 7.8669101)",
185860474,unclassified,False,False,103.831,,,"LINESTRING (9.7776705 7.868455, 9.7778191 7.8675329)",
185860474,unclassified,False,True,130.178,,,"LINESTRING (9.7776705 7.868455, 9.7774856 7.8696113)",
185860481,unclassified,False,True,117.075,,,"LINESTRING (9.7776705 7.868455, 9.7766577 7.8681356)",
185860481,unclassified,False,False,154.526,,,"LINESTRING (9.7776705 7.868455, 9.7779484 7.8685461, 9.7783165 7.8686776, 9.7789914 7.8689228)",
185860479,residential,False,True,60.588,,,"LINESTRING (9.7811787 7.8685779, 9.7806708 7.8683687)",
185860483,unclassified,False,False,81.684,,,"LINESTRING (9.7811787 7.8685779, 9.7809379 7.8692727)",
185860483,unclassified,False,True,4.135,,,"LINESTRING (9.7811787 7.8685779, 9.7811962 7.868545)",
185860469,unclassified,False,False,115.463,,,"LINESTRING (9.7800022 7.8688046, 9.7809379 7.8692727)",
185860469,unclassified,False,True,101.646,,,"LINESTRING (9.7800022 7.8688046, 9.7792101 7.8683356)",
185860490,residential,False,False,66.912,,,"LINESTRING (9.7800022 7.8688046, 9.7801611 7.8682238)",
185860490,residential,False,True,94.494,,,"LINESTRING (9.7800022 7.8688046, 9.7797932 7.8696288)",
185860469,unclassified,False,True,115.463,,,"LINESTRING (9.7809379 7.8692727, 9.7800022 7.8688046)",
185860483,unclassified,False,False,73.164,,,"LINESTRING (9.7809379 7.8692727, 9.7807517 7.8699043)",
185860483,unclassified,False,True,81.684,,,"LINESTRING (9.7809379 7.8692727, 9.7811787 7.8685779)",
185860484,residential,False,False,41.216,,,"LINESTRING (9.773868 7.869394, 9.7742418 7.8694109)",
558733000,residential,False,True,56.529,,,"LINESTRING (9.773868 7.869394, 9.7733562 7.8693563)",
181916657,unclassified,False,False,58.458,,,"LINESTRING (9.773868 7.869394, 9.7738254 7.8695849, 9.7738087 7.8699147)",
181916657,unclassified,False,True,69.04599999999999,,,"LINESTRING (9.773868 7.869394, 9.7739325 7.8691846, 9.7740057 7.8689503, 9.7740714 7.8688077)",
185860473,residential,False,True,74.234,,,"LINESTRING (9.7763613 7.8695157, 9.7762211 7.8701687)",
558732998,residential,False,False,124.295,,,"LINESTRING (9.7763613 7.8695157, 9.7774856 7.8696113)",
558732999,residential,False,True,82.791,,,"LINESTRING (9.7763613 7.8695157, 9.7756106 7.8694786)",
558733010,residential,False,False,73.77,,,"LINESTRING (9.7763613 7.8695157, 9.7765007 7.8688668)",
185860474,unclassified,False,False,130.178,,,"LINESTRING (9.7774856 7.8696113, 9.7776705 7.868455)",
185860474,unclassified,False,True,76.053,,,"LINESTRING (9.7774856 7.8696113, 9.7773742 7.8702863)",
558732997,residential,False,False,140.05,,,"LINESTRING (9.7774856 7.8696113, 9.7787565 7.869649)",
558732998,residential,False,True,124.295,,,"LINESTRING (9.7774856 7.8696113, 9.7763613 7.8695157)",
