osmid,oneway,highway,reversed,length,lanes,name,maxspeed,geometry,ref,tunnel
"[25263560, 512145163, 512145164, 25263636]",False,residential,"[False, True]",449.119,,"['Стаханаўская вуліца', 'вуліца Герцэна']",,"LINESTRING (28.5124393 54.2262996, 28.510641 54.2256225, 28.5093998 54.2259042, 28.5088982 54.226018, 28.5087022 54.2260625, 28.5086357 54.2260776, 28.508518 54.2261043, 28.5086387 54.2263145, 28.5079708 54.2274867)",,yes
688998018,False,residential,True,218.478,,вуліца Працоўны Хімік,,"LINESTRING (28.5124393 54.2262996, 28.5114231 54.227654, 28.5112338 54.2281271)",,
25263567,True,secondary,False,73.143,2,вуліца Арджанікідзэ,,"LINESTRING (28.5120183 54.2284275, 28.5109526 54.2282163)",,
25263564,False,residential,False,128.457,,вуліца 1-га Ліпеня,,"LINESTRING (28.5156676 54.2261184, 28.5150322 54.2272123)",,
25263635,False,residential,True,181.567,,вуліца Блюхера,,"LINESTRING (28.5156676 54.2261184, 28.512986 54.2256615)",,
25263564,False,residential,True,278.56600000000003,,вуліца 1-га Ліпеня,,"LINESTRING (28.5156676 54.2261184, 28.5158791 54.2256866, 28.515798 54.2254427, 28.5148871 54.2240651, 28.5147322 54.2238308, 28.5146832 54.2237567)",,
25263564,False,residential,True,128.457,,вуліца 1-га Ліпеня,,"LINESTRING (28.5150322 54.2272123, 28.5156676 54.2261184)",,
512145163,False,residential,True,196.741,,Стаханаўская вуліца,,"LINESTRING (28.5150322 54.2272123, 28.5124393 54.2262996)",,
25263588,False,residential,False,229.845,,Стаханаўская вуліца,,"LINESTRING (28.5042601 54.2244246, 28.5049107 54.2246826, 28.5054383 54.2248768, 28.5060227 54.2250918, 28.5061997 54.2251595, 28.5070451 54.2254797, 28.5072271 54.2255486)",,
25263633,False,residential,False,155.345,,Шкляная вуліца,,"LINESTRING (28.5056554 54.2196388, 28.5062474 54.2204886, 28.5065561 54.2209328)",,
"[25263633, 419476182]",False,residential,False,493.81,,Шкляная вуліца,,"LINESTRING (28.5065561 54.2209328, 28.5076349 54.2222666, 28.5080983 54.2228394, 28.5091062 54.2237292, 28.5092026 54.223823, 28.5092878 54.2240232, 28.5093676 54.2242892, 28.5094045 54.2244423, 28.5094123 54.2245424, 28.5094093 54.2246267, 28.5095369 54.2248547, 28.50959 54.2249496)",,
25263633,False,residential,True,155.345,,Шкляная вуліца,,"LINESTRING (28.5065561 54.2209328, 28.5062474 54.2204886, 28.5056554 54.2196388)",,
25263635,False,residential,False,181.567,,вуліца Блюхера,,"LINESTRING (28.512986 54.2256615, 28.5156676 54.2261184)",,
"[25263696, 907634952, 319012395]",True,secondary,False,449.61899999999997,2,вуліца Чапаева,40,"LINESTRING (28.5113369 54.2236905, 28.5112156 54.2235406, 28.510755 54.2228027, 28.5096434 54.2211776, 28.5096146 54.2211355, 28.5088408 54.2200043, 28.5087911 54.2199316)",,
61163461,True,secondary,False,22.567999999999998,2,вуліца Чапаева,,"LINESTRING (28.5113369 54.2236905, 28.5115053 54.2236507, 28.5116588 54.2236145)",,
319012397,True,secondary,False,110.15899999999999,2,вуліца Чапаева,40,"LINESTRING (28.5116588 54.2236145, 28.5118315 54.223582, 28.5120021 54.2235842, 28.5121662 54.2236205, 28.5123127 54.223717, 28.5125918 54.2241218, 28.512659 54.2242318)",,
167481455,False,primary,True,15.727,,праспект Рэвалюцыі,,"LINESTRING (28.5052445 54.2269953, 28.5050922 54.2271052)",Р67,
167481454,True,secondary,False,185.448,2,вуліца Арджанікідзэ,,"LINESTRING (28.5052445 54.2269953, 28.5054324 54.2270274, 28.5079708 54.2274867)",,
167483060,False,primary,False,206.13700000000003,4,праспект Рэвалюцыі,,"LINESTRING (28.5052445 54.2269953, 28.5061169 54.2263758, 28.506807 54.2258616, 28.5072271 54.2255486)",Р67,
167481455,False,primary,False,15.727,,праспект Рэвалюцыі,,"LINESTRING (28.5050922 54.2271052, 28.5052445 54.2269953)",Р67,
25263584,True,residential,False,20.792,,,,"LINESTRING (28.5092614 54.2197062, 28.5092115 54.2197525, 28.5090909 54.2198644)",,
167206793,True,residential,False,21.651,,,,"LINESTRING (28.5086262 54.2197074, 28.5089323 54.2196307)",,
296931178,True,secondary,False,27.957,2,вуліца Чапаева,40,"LINESTRING (28.5089323 54.2196307, 28.5090909 54.2198644)",,
167206792,True,residential,False,22.984,,,,"LINESTRING (28.5089323 54.2196307, 28.5091547 54.2196817, 28.5092614 54.2197062)",,
319012393,False,primary,False,141.799,4,праспект Рэвалюцыі,,"LINESTRING (28.512659 54.2242318, 28.5130113 54.2241459, 28.5142305 54.2238621, 28.5146832 54.2237567)",Р67,
319012394,False,primary,True,93.88699999999999,4,праспект Рэвалюцыі,60,"LINESTRING (28.512659 54.2242318, 28.5125828 54.2242502, 28.5114823 54.2245034, 28.5113146 54.2245403)",Р67,
688998018,False,residential,False,218.478,,вуліца Працоўны Хімік,,"LINESTRING (28.5112338 54.2281271, 28.5114231 54.227654, 28.5124393 54.2262996)",,
970116763,False,primary,False,43.768,4,праспект Рэвалюцыі,60,"LINESTRING (28.5102134 54.2248009, 28.50959 54.2249496)",Р67,
167187745,False,primary,True,77.227,4,праспект Рэвалюцыі,60,"LINESTRING (28.5102134 54.2248009, 28.5110262 54.2246069, 28.5113146 54.2245403)",Р67,
970116762,False,unclassified,False,13.777999999999999,,,,"LINESTRING (28.5102134 54.2248009, 28.5101381 54.2246966, 28.51013 54.224687)",,
970116762,False,unclassified,True,13.777999999999999,,,,"LINESTRING (28.51013 54.224687, 28.5101381 54.2246966, 28.5102134 54.2248009)",,
