osmid,oneway,ref,highway,maxspeed,junction,reversed,length,geometry,name,bridge,lanes
"[7416984, 57395553, 7416982]",False,,residential,60,,True,713.669,"LINESTRING (4.5451713 52.2570996, 4.5450906 52.2570807, 4.5450333 52.2570418, 4.5449026 52.2569249, 4.5448721 52.2568789, 4.5448668 52.2568287, 4.544924 52.2567814, 4.545423 52.2565399, 4.5454648 52.2564706, 4.5454381 52.2563708, 4.5447027 52.2556963, 4.5432055 52.2543812, 4.5431556 52.2543285, 4.5426396 52.2536988, 4.5423261 52.2531713, 4.5422 52.2529, 4.5419 52.2522, 4.5416845 52.2516814, 4.5416564 52.2516139, 4.5417231 52.251526)",Achterweg-Zuid,yes,1
166293225,False,,residential,60,,True,58.495000000000005,"LINESTRING (4.5451713 52.2570996, 4.545241 52.2570923, 4.5452972 52.2570743, 4.5455717 52.256883, 4.5458306 52.2567794)",Spekkelaan,,1
166293227,True,N208,primary,60,,False,186.06099999999998,"LINESTRING (4.5472557 52.2582593, 4.5470303 52.2580906, 4.5469199 52.257992, 4.5467429 52.2578174, 4.5465151 52.257575, 4.546316 52.257311, 4.5462165 52.2571404, 4.54617 52.2570226, 4.5461346 52.2568669, 4.546125 52.2567667)",Westelijke Randweg,,1
647881356,True,N208,primary,50,roundabout,False,9.518,"LINESTRING (4.5451767 52.2503256, 4.5451968 52.2502846, 4.5452363 52.2502493)",,,
"[442449725, 224625829]",True,,residential,,,False,50.04899999999999,"LINESTRING (4.5451953 52.2504033, 4.5450717 52.2504183, 4.5449646 52.2504275, 4.5447203 52.2504484, 4.5445899 52.2504514, 4.5444661 52.2504543)",Professor van Slogterenweg,,
647881356,True,N208,primary,50,roundabout,False,8.821,"LINESTRING (4.5451953 52.2504033, 4.5451769 52.2503653, 4.5451767 52.2503256)",,,
647881356,True,N208,primary,50,roundabout,False,19.298000000000002,"LINESTRING (4.5454278 52.2504841, 4.5453338 52.2504783, 4.5452516 52.2504498, 4.5451953 52.2504033)",,,
7417037,True,N208,primary,50,,False,230.83100000000002,"LINESTRING (4.5455513 52.2504514, 4.5456313 52.2505699, 4.5459292 52.2509552, 4.5464721 52.2516573, 4.5466169 52.2518563, 4.5469702 52.2523366)",Heereweg,,
533227085,True,N208,primary,50,roundabout,False,9.262,"LINESTRING (4.5455513 52.2504514, 4.5454936 52.2504734, 4.5454278 52.2504841)",,,
51039016,True,,residential,,,False,31.429000000000002,"LINESTRING (4.542132 52.2514283, 4.542064 52.2514677, 4.5420025 52.2514965, 4.5419301 52.2515168, 4.541863 52.2515277, 4.5417952 52.2515335, 4.5417231 52.251526)",Professor van Slogterenweg,,
57395532,False,,residential,,,False,193.573,"LINESTRING (4.542132 52.2514283, 4.5428765 52.2510852, 4.5428954 52.2510764, 4.5439756 52.250572, 4.5442649 52.2504858, 4.5444661 52.2504543)",Professor van Slogterenweg,,
51039011,False,,residential,,,True,12.714,"LINESTRING (4.5417231 52.251526, 4.5418258 52.2514305)",Achterweg-Zuid,,
51974136,True,,residential,,,False,205.936,"LINESTRING (4.5417231 52.251526, 4.5416594 52.2515029, 4.5416085 52.2514607, 4.5415895 52.2514248, 4.5415764 52.2513857, 4.5415034 52.2511734, 4.5414472 52.251004, 4.5413698 52.2508342, 4.5412661 52.2506731, 4.5411314 52.2505144, 4.5406461 52.2500001, 4.5405117 52.2498576)",Achterweg-Zuid,,
"[7416984, 57395553, 7416982]",False,,residential,60,,False,713.6690000000001,"LINESTRING (4.5417231 52.251526, 4.5416564 52.2516139, 4.5416845 52.2516814, 4.5419 52.2522, 4.5422 52.2529, 4.5423261 52.2531713, 4.5426396 52.2536988, 4.5431556 52.2543285, 4.5432055 52.2543812, 4.5447027 52.2556963, 4.5454381 52.2563708, 4.5454648 52.2564706, 4.545423 52.2565399, 4.544924 52.2567814, 4.5448668 52.2568287, 4.5448721 52.2568789, 4.5449026 52.2569249, 4.5450333 52.2570418, 4.5450906 52.2570807, 4.5451713 52.2570996)",Achterweg-Zuid,yes,1
51039022,True,,residential,,,False,203.79800000000003,"LINESTRING (4.5405117 52.2498576, 4.5407391 52.2499378, 4.540848 52.2499762, 4.5409831 52.2500922, 4.5411156 52.2502303, 4.5413279 52.2504442, 4.5414942 52.2506979, 4.5415611 52.2508691, 4.5416604 52.2511511, 4.5416728 52.2511839, 4.5417424 52.2513661, 4.5417735 52.2514025, 4.5418258 52.2514305)",Achterweg-Zuid,,
51039011,False,,residential,,,False,12.714,"LINESTRING (4.5418258 52.2514305, 4.5417231 52.251526)",Achterweg-Zuid,,
51974139,True,,residential,,,False,21.361,"LINESTRING (4.5418258 52.2514305, 4.541864 52.2514408, 4.5419042 52.2514463, 4.5419829 52.2514469, 4.542132 52.2514283)",Professor van Slogterenweg,,
224625830,True,,residential,,,False,59.686,"LINESTRING (4.5464433 52.2501254, 4.5461399 52.2501893, 4.5459261 52.250245, 4.5458203 52.2502727, 4.5456286 52.2503229)",Vennestraat,,
57395532,False,,residential,,,True,193.573,"LINESTRING (4.5444661 52.2504543, 4.5442649 52.2504858, 4.5439756 52.250572, 4.5428954 52.2510764, 4.5428765 52.2510852, 4.542132 52.2514283)",Professor van Slogterenweg,,
"[224625828, 442449724]",True,,residential,,,False,50.44799999999999,"LINESTRING (4.5444661 52.2504543, 4.5446135 52.2504267, 4.544919 52.2503709, 4.5449409 52.2503671, 4.5451767 52.2503256)",Professor van Slogterenweg,,
1108022355,True,,residential,60,,False,10.651,"LINESTRING (4.546264 52.2567178, 4.5461171 52.2566848)",Spekkelaan,,1
1257221230,True,,residential,60,,False,10.912,"LINESTRING (4.546264 52.2567178, 4.546125 52.2567667)",Spekkelaan,,1
166293226,True,N208,primary,60,,False,186.903,"LINESTRING (4.546264 52.2567178, 4.5462632 52.2568608, 4.5463303 52.2571085, 4.5464623 52.2573522, 4.5466159 52.2575601, 4.5470183 52.2579732, 4.5471079 52.2580782, 4.5472557 52.2582593)",Westelijke Randweg,,1
28334877,True,N208,primary,50,roundabout,False,15.969,"LINESTRING (4.5453697 52.2502066, 4.5454284 52.250206, 4.5454853 52.2502145, 4.5455369 52.2502316, 4.5455796 52.2502562)",,,
533227090,True,N208,primary,50,roundabout,False,10.421,"LINESTRING (4.5452363 52.2502493, 4.5452751 52.250229, 4.5453204 52.2502146, 4.5453697 52.2502066)",,,
28334877,True,N208,primary,50,roundabout,False,15.836000000000002,"LINESTRING (4.5456286 52.2503229, 4.5456277 52.2503704, 4.5456009 52.2504149, 4.5455513 52.2504514)",,,
166293227,True,N208,primary,60,,False,9.123,"LINESTRING (4.546125 52.2567667, 4.5461171 52.2566848)",Westelijke Randweg,,1
1257221230,True,,residential,60,,False,20.593,"LINESTRING (4.546125 52.2567667, 4.5459204 52.2567943, 4.5458306 52.2567794)",Spekkelaan,,1
