osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge
26619350,,Lark Street,residential,50,False,True,103.55999999999999,"LINESTRING (175.792846 -39.6768918, 175.7928744 -39.6769829, 175.7929034 -39.6770796, 175.7929158 -39.6771811, 175.7929165 -39.6773739, 175.7929133 -39.6775578, 175.7928981 -39.6777556, 175.7928993 -39.6778172)",,
26619349,,Pukeko Street,residential,50,False,True,83.50399999999999,"LINESTRING (175.7930528 -39.6762082, 175.7931037 -39.6762482, 175.7934926 -39.6762549, 175.7940049 -39.6762867)",,
26619350,,Lark Street,residential,50,False,True,78.252,"LINESTRING (175.7930528 -39.6762082, 175.7930144 -39.6763385, 175.7928629 -39.6767652, 175.7928457 -39.6768392, 175.792846 -39.6768918)",,
27634150,,Swan Street,residential,50,False,False,474.048,"LINESTRING (175.7930528 -39.6762082, 175.7931388 -39.6758292, 175.7931637 -39.6757573, 175.7932046 -39.6756976, 175.7932612 -39.6756342, 175.7933268 -39.6755818, 175.7933879 -39.6755517, 175.7934418 -39.6755391, 175.7935033 -39.6755392, 175.793576 -39.6755566, 175.7936471 -39.675589, 175.7938002 -39.6756898, 175.7939754 -39.6758332, 175.7940589 -39.6758913, 175.7941413 -39.6759384, 175.7942388 -39.6759813, 175.7943772 -39.6760294, 175.7945348 -39.6760736, 175.7946807 -39.676094, 175.7947953 -39.6761, 175.7949556 -39.676117, 175.7952012 -39.6761861, 175.7954315 -39.6762355, 175.795692 -39.6762601, 175.7958584 -39.676263, 175.7960227 -39.6762519, 175.7961379 -39.6762468, 175.7962354 -39.6762634, 175.796298 -39.6762917, 175.7963522 -39.6763336, 175.7963771 -39.6763873, 175.7963878 -39.6764419, 175.7963803 -39.6765018, 175.7963065 -39.6766648, 175.7961414 -39.6769752, 175.7960793 -39.6771115, 175.7960772 -39.6771698, 175.7960969 -39.6772205, 175.7961671 -39.6772822)",,
26619387,,Korimako Place,residential,,False,False,133.108,"LINESTRING (175.7932963 -39.6806916, 175.7934097 -39.6806652, 175.7935109 -39.6806368, 175.7935862 -39.6805988, 175.7936473 -39.6805458, 175.7936801 -39.6804802, 175.7937024 -39.6803901, 175.7936959 -39.6796693)",,
26132200,,Kiwi Road,residential,50,False,True,421.3819999999999,"LINESTRING (175.7936959 -39.6796693, 175.7938332 -39.6797024, 175.793968 -39.6797338, 175.7940446 -39.679734, 175.794112 -39.679721, 175.7941576 -39.6796997, 175.7941955 -39.679668, 175.7942156 -39.6796264, 175.7942374 -39.6795351, 175.794228 -39.6794584, 175.794194 -39.6793914, 175.7941544 -39.6792943, 175.7941417 -39.6792308, 175.7941495 -39.6791619, 175.7941758 -39.6791061, 175.7942249 -39.6790631, 175.7943118 -39.6790306, 175.7944117 -39.6790186, 175.7945203 -39.679017, 175.7950075 -39.6790384, 175.7951163 -39.679035, 175.7952187 -39.6790142, 175.7953052 -39.6789813, 175.7953948 -39.678938, 175.7954767 -39.6788847, 175.795542 -39.6788283, 175.7956364 -39.6787094, 175.7958253 -39.6784451, 175.7959061 -39.6783215, 175.7959468 -39.6782185, 175.7959646 -39.6781299, 175.7959678 -39.6779009, 175.7959874 -39.6777933, 175.7960179 -39.6776782, 175.7961159 -39.6774791, 175.7961671 -39.6772822)",,
26619387,,Korimako Place,residential,,False,True,133.108,"LINESTRING (175.7936959 -39.6796693, 175.7937024 -39.6803901, 175.7936801 -39.6804802, 175.7936473 -39.6805458, 175.7935862 -39.6805988, 175.7935109 -39.6806368, 175.7934097 -39.6806652, 175.7932963 -39.6806916)",,
661058980,,Hautapu Street,secondary,50,False,True,6.097,"LINESTRING (175.8008854 -39.6729901, 175.8008636 -39.6730423)",,
25845380,,Eagle Road,residential,50,False,False,128.168,"LINESTRING (175.7968816 -39.6808063, 175.7968374 -39.6807173, 175.7967961 -39.6806438, 175.7966105 -39.6803571, 175.7965712 -39.6802644, 175.7965435 -39.6801457, 175.7965174 -39.6797073)",,
25845380,,Eagle Road,residential,50,False,True,30.051,"LINESTRING (175.7968816 -39.6808063, 175.7969977 -39.6808703, 175.7971826 -39.6809442)",,
370526073,,Eagle Road,residential,50,False,False,32.77,"LINESTRING (175.7968816 -39.6808063, 175.7968937 -39.6809049, 175.7968762 -39.680989, 175.7968366 -39.6810952)",,
"[25845427, 25843518, 25845303]",,"['Kaka Road', 'Robin Street']",residential,50,False,False,163.858,"LINESTRING (175.7971826 -39.6809442, 175.7972171 -39.6809337, 175.7975063 -39.6808221, 175.7976302 -39.6807717, 175.7977239 -39.6806754, 175.7977733 -39.6805989, 175.7977814 -39.6805066, 175.7977767 -39.6803765, 175.7977186 -39.6797182)",,yes
25843518,,Kaka Road,residential,50,False,True,34.089999999999996,"LINESTRING (175.7971826 -39.6809442, 175.7969425 -39.68104, 175.7968366 -39.6810952)",,
25845380,,Eagle Road,residential,50,False,False,30.051,"LINESTRING (175.7971826 -39.6809442, 175.7969977 -39.6808703, 175.7968816 -39.6808063)",,
25843518,,Kaka Road,residential,50,False,False,34.089999999999996,"LINESTRING (175.7968366 -39.6810952, 175.7969425 -39.68104, 175.7971826 -39.6809442)",,
370526073,,Eagle Road,residential,50,False,True,32.769999999999996,"LINESTRING (175.7968366 -39.6810952, 175.7968762 -39.680989, 175.7968937 -39.6809049, 175.7968816 -39.6808063)",,
661058980,,Hautapu Street,secondary,50,False,False,6.097,"LINESTRING (175.8008636 -39.6730423, 175.8008854 -39.6729901)",,
661058980,,Hautapu Street,secondary,50,False,True,207.998,"LINESTRING (175.8008636 -39.6730423, 175.8007752 -39.673172, 175.8006887 -39.6732535, 175.8006028 -39.6733374, 175.8005216 -39.6733921, 175.8003893 -39.6734518, 175.8000486 -39.6735841, 175.7998635 -39.6736754, 175.7997677 -39.6737295, 175.799698 -39.6737742, 175.7995969 -39.673868, 175.7995334 -39.6739279, 175.7994758 -39.6740099, 175.7993898 -39.6741691, 175.7992832 -39.6743753)",,
