osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed
138524189,Pratt Avenue,residential,False,True,174.77599999999995,"LINESTRING (175.225493 -40.4628668, 175.2255443 -40.4628508, 175.2256274 -40.4628495, 175.2257141 -40.4628589, 175.225984 -40.4629225, 175.2265818 -40.4630736, 175.2269048 -40.4631784, 175.2270313 -40.4632132, 175.2272024 -40.4632451, 175.2273363 -40.4632559, 175.2274366 -40.4632508, 175.2274669 -40.4632514)",,
138524158,Carthew Terrace,residential,False,False,211.976,"LINESTRING (175.2275234 -40.4631374, 175.2274953 -40.4631133, 175.2270503 -40.4626233, 175.2266549 -40.4618026, 175.2263988 -40.4614482)",,
138524210,,residential,True,False,17.116,"LINESTRING (175.2275234 -40.4631374, 175.2275602 -40.4631246, 175.2276004 -40.4631208, 175.2276402 -40.4631262, 175.2276762 -40.4631403, 175.227705 -40.4631619)",roundabout,
138524207,Thomas Place,residential,False,False,86.182,"LINESTRING (175.227705 -40.4631619, 175.2277327 -40.4631425, 175.2279089 -40.4630185, 175.2279662 -40.4629395, 175.228192 -40.4624982)",,
138524210,,residential,True,False,17.814,"LINESTRING (175.227705 -40.4631619, 175.2277247 -40.4631902, 175.2277319 -40.4632218, 175.2277261 -40.4632535, 175.2277076 -40.4632823, 175.2276784 -40.4633054)",roundabout,
138524189,Pratt Avenue,residential,False,False,174.776,"LINESTRING (175.2274669 -40.4632514, 175.2274366 -40.4632508, 175.2273363 -40.4632559, 175.2272024 -40.4632451, 175.2270313 -40.4632132, 175.2269048 -40.4631784, 175.2265818 -40.4630736, 175.225984 -40.4629225, 175.2257141 -40.4628589, 175.2256274 -40.4628495, 175.2255443 -40.4628508, 175.225493 -40.4628668)",,
138524210,,residential,True,False,14.443000000000001,"LINESTRING (175.2274669 -40.4632514, 175.227462 -40.4632191, 175.2274705 -40.4631873, 175.2274917 -40.4631591, 175.2275234 -40.4631374)",roundabout,
138524210,,residential,True,False,22.114,"LINESTRING (175.2276784 -40.4633054, 175.2276399 -40.4633209, 175.2275969 -40.4633263, 175.2275539 -40.4633209, 175.2275154 -40.4633054, 175.2274853 -40.4632814, 175.2274669 -40.4632514)",roundabout,
138524157,Carter Crescent,residential,False,False,114.89000000000001,"LINESTRING (175.2258771 -40.4641423, 175.225883 -40.4641762, 175.226011 -40.4648373, 175.2260298 -40.4651678)",,
138524187,Nash Parade,residential,False,True,146.076,"LINESTRING (175.2258771 -40.4641423, 175.2258697 -40.4641028, 175.2258514 -40.4640056, 175.2257572 -40.4634944, 175.2257044 -40.4633377, 175.2256464 -40.4632023, 175.225493 -40.4628668)",,
138524197,Seabury Avenue,residential,False,True,271.211,"LINESTRING (175.2258771 -40.4641423, 175.2254135 -40.4641301, 175.2251709 -40.4641272, 175.2249314 -40.4641346, 175.2247655 -40.4641451, 175.2246012 -40.4641571, 175.2243707 -40.4641816, 175.2240377 -40.46423, 175.223648 -40.4642805, 175.2227041 -40.4644181)",,
83598176,Holben Parade,residential,False,True,7.308,"LINESTRING (175.2227041 -40.4644181, 175.2226178 -40.4644152)",,
138524176,Holben Parade,residential,False,False,32.054,"LINESTRING (175.2227041 -40.4644181, 175.2227021 -40.4645364, 175.2227715 -40.4646211, 175.2228279 -40.4646766)",,
138524197,Seabury Avenue,residential,False,False,271.211,"LINESTRING (175.2227041 -40.4644181, 175.223648 -40.4642805, 175.2240377 -40.46423, 175.2243707 -40.4641816, 175.2246012 -40.4641571, 175.2247655 -40.4641451, 175.2249314 -40.4641346, 175.2251709 -40.4641272, 175.2254135 -40.4641301, 175.2258771 -40.4641423)",,
