osmid,name,highway,oneway,reversed,length,geometry,access,bridge
1097976788,,tertiary,False,False,26.525,"LINESTRING (-12.5403227 8.6870039, -12.5405585 8.6870546)",,
186547007,,residential,False,False,51.722,"LINESTRING (-12.5403227 8.6870039, -12.5404592 8.6865879, -12.5404674 8.6865613)",,
"[1097976788, 186516013]",,tertiary,False,True,28.414,"LINESTRING (-12.5403227 8.6870039, -12.5402317 8.6869849, -12.5400698 8.686951)",,
186547007,,residential,False,True,39.734,"LINESTRING (-12.5406549 8.685921, -12.5405589 8.6862655)",,
186547007,,residential,False,False,63.736999999999995,"LINESTRING (-12.5406549 8.685921, -12.540734 8.6856545, -12.5408358 8.6853767)",,
800489526,,residential,False,False,50.32,"LINESTRING (-12.5406549 8.685921, -12.5406213 8.6858329, -12.5406012 8.6858064, -12.5405717 8.6857852, -12.5402834 8.685736)",,
186546998,,residential,False,False,20.499000000000002,"LINESTRING (-12.5427469 8.6864779, -12.5425955 8.6864831, -12.5425605 8.6864831)",,
186546998,,residential,False,True,124.99199999999999,"LINESTRING (-12.5427469 8.6864779, -12.5429321 8.6864407, -12.5430568 8.6864168, -12.5433036 8.6863824, -12.5434805 8.6863208, -12.5436818 8.6862631, -12.5438564 8.6862698)",,
186547004,,residential,False,True,143.089,"LINESTRING (-12.5427469 8.6864779, -12.5428544 8.6866687, -12.5428785 8.6867562, -12.5428946 8.6868676, -12.5428912 8.6869736, -12.5428845 8.6870571, -12.5428779 8.6871413, -12.5428811 8.6872959, -12.5428811 8.6873509, -12.5428717 8.687388, -12.5428475 8.6874145, -12.5428201 8.6874298, -12.54279 8.6874336, -12.5425413 8.6874195)",,
186547000,,residential,False,True,66.761,"LINESTRING (-12.5396786 8.6886971, -12.5395928 8.6885725, -12.5395364 8.6884253, -12.5395137 8.688241, -12.5395141 8.6881344)",,
800846592,,residential,False,False,26.448999999999998,"LINESTRING (-12.5396786 8.6886971, -12.5397845 8.6886116, -12.5398522 8.6885337)",,
381379746,Haul Road,unclassified,False,True,107.4,"LINESTRING (-12.5446091 8.6867498, -12.5441331 8.6859063)",no,
"[284776385, 284776389]",Lunsar-Makeni Highway,primary,False,False,55.501999999999995,"LINESTRING (-12.5446091 8.6867498, -12.5445674 8.6867771, -12.544526 8.6868074, -12.5441744 8.6870029)",,yes
"[284776386, 284776389]",Lunsar-Makeni Highway,primary,False,True,12.897,"LINESTRING (-12.5446091 8.6867498, -12.5446975 8.6866995, -12.5447107 8.6866918)",,yes
381379746,Haul Road,unclassified,False,False,317.563,"LINESTRING (-12.5446091 8.6867498, -12.545204 8.6877675, -12.5461274 8.6891785)",no,
797131192,,unclassified,False,True,160.021,"LINESTRING (-12.5448283 8.6826587, -12.5447653 8.6826697, -12.5446504 8.6826623, -12.5446003 8.682626, -12.5444988 8.682612, -12.5444153 8.6825889, -12.5443509 8.6825902, -12.5442987 8.6826088, -12.5442745 8.6826419, -12.5442436 8.6826896, -12.5441991 8.682724, -12.544056 8.682718, -12.543975 8.6827298, -12.5439039 8.6827518, -12.5438399 8.6828061, -12.543781 8.6828567, -12.5436989 8.6828947, -12.5436696 8.6829203, -12.5436425 8.6829654, -12.5435982 8.6830601)",,
186547007,,residential,False,True,22.539,"LINESTRING (-12.5411214 8.6845923, -12.5410399 8.6847783)",,
186547007,,residential,False,False,86.625,"LINESTRING (-12.5411214 8.6845923, -12.5412973 8.6841266, -12.5413966 8.6838623)",,
381379771,,residential,False,True,50.93599999999999,"LINESTRING (-12.5411214 8.6845923, -12.541253 8.684608, -12.5413495 8.6846398, -12.5415615 8.6847257)",,
381379771,,residential,False,False,50.936,"LINESTRING (-12.5415615 8.6847257, -12.5413495 8.6846398, -12.541253 8.684608, -12.5411214 8.6845923)",,
381379771,,residential,False,True,85.64099999999999,"LINESTRING (-12.5415615 8.6847257, -12.54164 8.6847082, -12.5417475 8.6846714, -12.5419715 8.6841373)",,
800489624,,residential,False,False,67.982,"LINESTRING (-12.5415615 8.6847257, -12.5416835 8.6847803, -12.5417291 8.6847697, -12.5417881 8.6847671, -12.5421461 8.684889)",,
186516006,,residential,False,False,29.403,"LINESTRING (-12.5394925 8.6852297, -12.5395587 8.6849735)",,
186516006,,residential,False,True,28.87,"LINESTRING (-12.5394925 8.6852297, -12.5394344 8.6854829)",,
381379758,,residential,False,True,55.098,"LINESTRING (-12.5394925 8.6852297, -12.5397322 8.6852191, -12.539991 8.6852549)",,
186547007,,residential,False,False,70.219,"LINESTRING (-12.5408358 8.6853767, -12.5410399 8.6847783)",,
186547007,,residential,False,True,63.736999999999995,"LINESTRING (-12.5408358 8.6853767, -12.540734 8.6856545, -12.5406549 8.685921)",,
381379758,,residential,False,False,32.875,"LINESTRING (-12.5408358 8.6853767, -12.5406106 8.6853212, -12.540544 8.6853141)",,
186544558,,residential,False,True,52.209,"LINESTRING (-12.5396987 8.691405, -12.539683 8.6913408, -12.5396406 8.691155, -12.5396034 8.6910344, -12.5395757 8.6909519)",,
800826537,,residential,False,True,27.856,"LINESTRING (-12.5396987 8.691405, -12.5397563 8.6913903, -12.5398341 8.6913612, -12.5399227 8.6912955)",,
186544558,,residential,False,False,52.208999999999996,"LINESTRING (-12.5395757 8.6909519, -12.5396034 8.6910344, -12.5396406 8.691155, -12.539683 8.6913408, -12.5396987 8.691405)",,
186544558,,residential,False,True,28.67,"LINESTRING (-12.5395757 8.6909519, -12.5395382 8.6908606, -12.5395105 8.6907993, -12.5394838 8.690711)",,
800826538,,residential,False,False,54.07,"LINESTRING (-12.5395757 8.6909519, -12.5396933 8.6910549, -12.539881 8.6912432, -12.5399227 8.6912955)",,
284776385,Lunsar-Makeni Highway,primary,False,False,26.059,"LINESTRING (-12.542994 8.6876774, -12.5427815 8.6877813)",,
284776385,Lunsar-Makeni Highway,primary,False,True,149.866,"LINESTRING (-12.542994 8.6876774, -12.5441744 8.6870029)",,
284777544,,unclassified,False,True,73.739,"LINESTRING (-12.542994 8.6876774, -12.5430903 8.6878242, -12.5431937 8.6878976, -12.5434015 8.6879971, -12.5435254 8.6880517)",,
186546994,,unclassified,False,False,176.738,"LINESTRING (-12.540913 8.6914887, -12.5408614 8.6913936, -12.5406608 8.6910786, -12.5405339 8.6907662, -12.540445 8.69046, -12.5403237 8.6902455, -12.5402209 8.6900636)",,
"[784915604, 784916158]",,unclassified,False,"[False, True]",493.02700000000004,"LINESTRING (-12.540913 8.6914887, -12.5411111 8.6914013, -12.5413525 8.6913085, -12.5415483 8.6912422, -12.5417266 8.6911786, -12.5420136 8.6911031, -12.542137 8.6910884, -12.542247 8.6910699, -12.5423892 8.6910221, -12.5425179 8.690932, -12.5425608 8.6908684, -12.5425581 8.69081, -12.5425313 8.6907544, -12.5424911 8.6906828, -12.5424562 8.6905979, -12.5424401 8.6904972, -12.5424535 8.6903779, -12.542483 8.6902744, -12.5425018 8.6902121, -12.5425002 8.690176, -12.542346 8.6897663, -12.5421837 8.6893037, -12.5419839 8.6887721, -12.5418793 8.6885361, -12.5417582 8.688391)",,
284777544,,unclassified,False,False,354.788,"LINESTRING (-12.5469897 8.6906094, -12.5466591 8.6903476, -12.5462499 8.6900355, -12.5459349 8.6898075, -12.5455391 8.6894866, -12.5451154 8.6891486, -12.5448337 8.6889086, -12.5444542 8.6886368)",,
786972894,,unclassified,False,False,35.375,"LINESTRING (-12.5469897 8.6906094, -12.5470908 8.6906174, -12.5471954 8.6906148, -12.5473062 8.6905816)",,
381379746,Haul Road,unclassified,False,True,77.488,"LINESTRING (-12.5473062 8.6905816, -12.5470944 8.6904016, -12.5469942 8.6903059, -12.5468963 8.6901998, -12.5468076 8.6900914)",no,
786972894,,unclassified,False,True,35.375,"LINESTRING (-12.5473062 8.6905816, -12.5471954 8.6906148, -12.5470908 8.6906174, -12.5469897 8.6906094)",,
381379746,Haul Road,unclassified,False,False,14.12,"LINESTRING (-12.5440707 8.6857953, -12.5441331 8.6859063)",no,
381379746,Haul Road,unclassified,False,True,59.448,"LINESTRING (-12.5440707 8.6857953, -12.5438085 8.6853277)",no,
787260371,,residential,False,True,58.119,"LINESTRING (-12.5440707 8.6857953, -12.5440425 8.6858991, -12.5439352 8.6860901, -12.5438668 8.6862267, -12.5438564 8.6862698)",,
788656449,,unclassified,False,False,143.938,"LINESTRING (-12.5468312 8.6844269, -12.5464705 8.6844727, -12.5462057 8.6845231, -12.5459674 8.6845967, -12.5459012 8.6846517, -12.5457644 8.6846636, -12.5455808 8.6847485)",,
797125335,,residential,False,False,41.959,"LINESTRING (-12.5468312 8.6844269, -12.5468332 8.6842129, -12.5468226 8.6840499)",,
797125335,,residential,False,True,92.42999999999999,"LINESTRING (-12.5468312 8.6844269, -12.546844 8.6845868, -12.5468642 8.6847644, -12.5468802 8.6849739, -12.5468896 8.6850733, -12.5469071 8.6851528, -12.5468941 8.6852528)",,
797030331,,residential,False,False,64.313,"LINESTRING (-12.5478177 8.6867901, -12.5477023 8.6868418, -12.5474958 8.6869035, -12.5474033 8.6869246, -12.5473215 8.6869366, -12.5472565 8.6869386)",,
797030331,,residential,False,True,92.05999999999999,"LINESTRING (-12.5478177 8.6867901, -12.5477828 8.6867198, -12.5477681 8.6866642, -12.5477573 8.6866111, -12.5477788 8.6865011, -12.547815 8.686285, -12.5478029 8.6861962, -12.5477882 8.6861577, -12.5476863 8.6860132)",,
800123979,,residential,False,True,67.682,"LINESTRING (-12.5478177 8.6867901, -12.5478512 8.6868484, -12.5480336 8.6871872, -12.5480403 8.6872243, -12.5480336 8.6872554, -12.5480135 8.6872899, -12.5479753 8.6873204)",,
797030336,,residential,False,True,71.456,"LINESTRING (-12.5479903 8.683602, -12.5478861 8.6836693, -12.5477882 8.6837171, -12.5476071 8.6837661, -12.5475428 8.6837873, -12.547477 8.6838364, -12.5474175 8.6838869)",,
797030340,,residential,False,False,123.26199999999997,"LINESTRING (-12.5479903 8.683602, -12.5479598 8.6835885, -12.547866 8.6835116, -12.5478029 8.6834214, -12.5477412 8.683212, -12.5477238 8.6831603, -12.5477023 8.6831404, -12.5476581 8.6831311, -12.547591 8.683143, -12.5475508 8.6831404, -12.547536 8.6831271, -12.5475173 8.6831033, -12.5474851 8.6828792, -12.5474663 8.6827652)",,
797030340,,residential,False,True,33.511,"LINESTRING (-12.5479903 8.683602, -12.5480524 8.6836296, -12.5481127 8.6836336, -12.5482602 8.6835911, -12.5482829 8.6835917)",,
797030336,,residential,False,False,71.456,"LINESTRING (-12.5474175 8.6838869, -12.547477 8.6838364, -12.5475428 8.6837873, -12.5476071 8.6837661, -12.5477882 8.6837171, -12.5478861 8.6836693, -12.5479903 8.683602)",,
797030337,,residential,False,False,113.727,"LINESTRING (-12.5474175 8.6838869, -12.5474046 8.6838443, -12.547347 8.6836123, -12.5472853 8.6834864, -12.5471981 8.6833817, -12.5470908 8.6832716, -12.5470372 8.6832425, -12.546797 8.6831625)",,
797030337,,residential,False,True,28.331,"LINESTRING (-12.5474175 8.6838869, -12.5474542 8.6840008, -12.5475026 8.6841273)",,
186545062,,residential,False,False,25.729,"LINESTRING (-12.546797 8.6831625, -12.5466083 8.6832994)",,
186545062,,residential,False,True,27.972,"LINESTRING (-12.546797 8.6831625, -12.5468669 8.6830813, -12.5469621 8.6829839, -12.5469709 8.6829801)",,
797030337,,residential,False,True,113.727,"LINESTRING (-12.546797 8.6831625, -12.5470372 8.6832425, -12.5470908 8.6832716, -12.5471981 8.6833817, -12.5472853 8.6834864, -12.547347 8.6836123, -12.5474046 8.6838443, -12.5474175 8.6838869)",,
797030340,,residential,False,False,33.511,"LINESTRING (-12.5482829 8.6835917, -12.5482602 8.6835911, -12.5481127 8.6836336, -12.5480524 8.6836296, -12.5479903 8.683602)",,
186545062,,residential,False,False,27.972,"LINESTRING (-12.5469709 8.6829801, -12.5469621 8.6829839, -12.5468669 8.6830813, -12.546797 8.6831625)",,
186545062,,residential,False,True,59.773999999999994,"LINESTRING (-12.5469709 8.6829801, -12.5471068 8.6829203, -12.5473067 8.6828593, -12.5474663 8.6827652)",,
186545062,,residential,False,False,5.834,"LINESTRING (-12.5475128 8.6827399, -12.5474663 8.6827652)",,
186545062,,residential,False,True,5.834,"LINESTRING (-12.5474663 8.6827652, -12.5475128 8.6827399)",,
186545062,,residential,False,False,59.774,"LINESTRING (-12.5474663 8.6827652, -12.5473067 8.6828593, -12.5471068 8.6829203, -12.5469709 8.6829801)",,
797030340,,residential,False,True,123.26199999999999,"LINESTRING (-12.5474663 8.6827652, -12.5474851 8.6828792, -12.5475173 8.6831033, -12.547536 8.6831271, -12.5475508 8.6831404, -12.547591 8.683143, -12.5476581 8.6831311, -12.5477023 8.6831404, -12.5477238 8.6831603, -12.5477412 8.683212, -12.5478029 8.6834214, -12.547866 8.6835116, -12.5479598 8.6835885, -12.5479903 8.683602)",,
797030331,,residential,False,True,64.313,"LINESTRING (-12.5472565 8.6869386, -12.5473215 8.6869366, -12.5474033 8.6869246, -12.5474958 8.6869035, -12.5477023 8.6868418, -12.5478177 8.6867901)",,
797030546,,residential,False,False,17.262,"LINESTRING (-12.5472565 8.6869386, -12.5471981 8.686871, -12.5471444 8.6868312)",,
800123992,,residential,False,False,80.546,"LINESTRING (-12.5472565 8.6869386, -12.5472953 8.6870069, -12.5473449 8.6871149, -12.5473845 8.6872627, -12.5473979 8.6874172, -12.5474066 8.6875219, -12.547418 8.6875603, -12.5474533 8.687626)",,
797030547,,residential,False,True,23.45,"LINESTRING (-12.5470079 8.6864581, -12.5469473 8.6862559)",,
"[797030545, 797125308]",,residential,False,"[False, True]",199.738,"LINESTRING (-12.5470079 8.6864581, -12.5469567 8.686509, -12.546899 8.6865409, -12.5468521 8.6865713, -12.5468011 8.6866191, -12.5467381 8.6867013, -12.5466751 8.6867556, -12.5465973 8.6867861, -12.5465007 8.6868007, -12.5463988 8.6868047, -12.5462526 8.6867822, -12.5461601 8.6867769, -12.5461232 8.6867676, -12.5461024 8.6867517, -12.5460984 8.6867318, -12.5461118 8.6866164, -12.5461105 8.6865727, -12.5460166 8.6863738, -12.5458467 8.6860473)",,
797030546,,residential,False,True,47.396,"LINESTRING (-12.5470079 8.6864581, -12.5470063 8.6865634, -12.5470063 8.6866138, -12.5470157 8.686688, -12.5470425 8.6867424, -12.5470895 8.6867941, -12.5471444 8.6868312)",,
797030547,,residential,False,False,44.14,"LINESTRING (-12.5470079 8.6864581, -12.5470653 8.6866337, -12.5471444 8.6868312)",,
