osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge,maxspeed
"[128323249, 128323258, 123883803]",Lewin Parkway,trunk,True,False,395.83900000000006,,"LINESTRING (-57.9421178 48.9552165, -57.9421466 48.9552888, -57.9422009 48.9553611, -57.9424135 48.955517, -57.9425706 48.9556091, -57.9427294 48.955686, -57.942866 48.9557364, -57.9430236 48.9557838, -57.9431612 48.9558154, -57.9432711 48.9558359, -57.9433838 48.9558505, -57.943479 48.9558565, -57.9436753 48.9558623, -57.9438807 48.9558511, -57.9441396 48.9558085, -57.9442567 48.9557804, -57.9443715 48.9557467, -57.9444885 48.9557061, -57.9445953 48.9556611, -57.9447325 48.9555959, -57.9448501 48.9555253, -57.944965 48.9554459, -57.9450704 48.9553647, -57.9452717 48.9552007, -57.945666 48.9548698, -57.9459311 48.9546499, -57.9462139 48.9544349)",450-1,yes,
128323271,,trunk_link,True,False,47.486000000000004,,"LINESTRING (-57.9433699 48.9554143, -57.9434949 48.9553654, -57.9436254 48.95533, -57.9436976 48.9553195, -57.9437698 48.9553167, -57.943879 48.9553319, -57.9439679 48.9553695)",,,
278118828,Main Street,primary,False,False,39.299,,"LINESTRING (-57.9433699 48.9554143, -57.9432928 48.9555143, -57.9431987 48.9556587, -57.9431462 48.9557356)",,,
479525327,Main Street,secondary,False,True,50.345000000000006,,"LINESTRING (-57.9433699 48.9554143, -57.9435496 48.9552302, -57.9436657 48.9551247, -57.9437585 48.9550405)",,,
128323276,,trunk_link,True,False,70.315,,"LINESTRING (-57.9439679 48.9553695, -57.9440181 48.9554301, -57.9440366 48.9555004, -57.9440131 48.9555885, -57.9439507 48.9556527, -57.9438639 48.9556984, -57.9437682 48.955731, -57.9434937 48.9557601)",,,
278118827,Main Street,primary,False,True,26.746,,"LINESTRING (-57.9431462 48.9557356, -57.9431176 48.9559754)",,,
128323269,,tertiary_link,True,False,44.601,,"LINESTRING (-57.9431462 48.9557356, -57.9430648 48.9557762, -57.9429209 48.9558318, -57.9427929 48.9558755, -57.9427072 48.9559, -57.9426066 48.9559171)",,,
278118828,Main Street,primary,False,True,39.299,,"LINESTRING (-57.9431462 48.9557356, -57.9431987 48.9556587, -57.9432928 48.9555143, -57.9433699 48.9554143)",,,
"[128323256, 128323257]",Lewin Parkway,trunk,True,False,120.525,,"LINESTRING (-57.9434937 48.9557601, -57.9432921 48.9557414, -57.9431599 48.9557174, -57.9430287 48.9556883, -57.9429105 48.9556528, -57.9428017 48.9556107, -57.9426677 48.9555564, -57.9424787 48.955449, -57.9423072 48.9553169, -57.9421178 48.9552165)",450-1,yes,
128323272,,trunk_link,False,True,68.658,,"LINESTRING (-57.944038 48.9560634, -57.943788 48.9560746, -57.94353 48.9560557, -57.9431176 48.9559754)",,,
364712325,,trunk_link,False,False,150.945,,"LINESTRING (-57.944038 48.9560634, -57.9446848 48.9558163, -57.9449365 48.9557095, -57.9451416 48.9556232, -57.9453652 48.9554981, -57.9457133 48.9552792)",,,
"[128323267, 128323277]",,trunk_link,True,False,151.046,1,"LINESTRING (-57.9426782 48.9562093, -57.9427488 48.9564955, -57.9427352 48.9566405, -57.9427092 48.9567672, -57.9426463 48.9568817, -57.9424709 48.9571014, -57.9423124 48.9573256, -57.9422647 48.9575012)",,yes,
