osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,width
512759245,2,SS342,Viale Trieste,primary,50,False,True,22.872,"LINESTRING (8.9735564 45.7811359, 8.9736637 45.7809443)",,,
81257508,,,Via Don Luigi Sturzo,residential,,False,False,12.915,"LINESTRING (8.9706932 45.7885803, 8.9707194 45.788695)",,,
81257504,,,Via Filippo Turati,residential,,False,False,139.058,"LINESTRING (8.9706932 45.7885803, 8.9709361 45.7885804, 8.9711544 45.7885944, 8.9714396 45.7886317, 8.9715599 45.7886519, 8.9718071 45.7886565, 8.9722816 45.7886456, 8.9724721 45.7886154)",,,
81257508,,,Via Don Luigi Sturzo,residential,,False,True,64.11099999999999,"LINESTRING (8.9706932 45.7885803, 8.9706804 45.7885241, 8.9706692 45.7883979, 8.9706804 45.7882037, 8.9707277 45.7880076)",,,
81257553,,,Via Marco Polo,residential,,False,False,187.32499999999996,"LINESTRING (8.9715988 45.7876169, 8.9717197 45.7875571, 8.971898 45.7875552, 8.972182 45.7875843, 8.9724298 45.7876329, 8.9726359 45.7877241, 8.9728754 45.7878232, 8.973023 45.7878562, 8.973229 45.7878853, 8.973332 45.7879474, 8.9734824 45.7880814, 8.9736161 45.7881863, 8.9736706 45.7882229)",,,
376260018,,,Via P. Tettamanti,tertiary,,False,False,78.275,"LINESTRING (8.9715988 45.7876169, 8.9714601 45.7875649, 8.9712037 45.7874987, 8.9706345 45.7874262)",,,
376260018,,,Via P. Tettamanti,tertiary,,False,True,195.486,"LINESTRING (8.9715988 45.7876169, 8.9717321 45.7876669, 8.9723341 45.7879759, 8.9727688 45.7882561, 8.9732336 45.7885694, 8.9734868 45.7887706)",,,
230230366,2,SS342,Via Vittorio Emanuele Secondo,primary,50,False,False,111.77199999999999,"LINESTRING (8.9725935 45.7827769, 8.9725133 45.7828593, 8.9724548 45.7828966, 8.972375 45.782929, 8.9719725 45.7830482, 8.9715236 45.7831723, 8.9713287 45.7832205)",,,
512759245,2,SS342,Viale Trieste,primary,50,False,True,178.42700000000002,"LINESTRING (8.9725935 45.7827769, 8.9727034 45.7826274, 8.9734666 45.781293)",,,
126101309,,,Viale Sandro e Piero Boselli,residential,,False,False,21.006,"LINESTRING (8.9725581 45.7861172, 8.9728185 45.7860651)",,,
126101309,,,Viale Sandro e Piero Boselli,residential,,False,True,31.131,"LINESTRING (8.9725581 45.7861172, 8.9721765 45.7862042)",,,
126100726,,,Via San Gerardo,residential,30,True,False,82.542,"LINESTRING (8.9715895 45.7839401, 8.9715749 45.7838883, 8.9714008 45.7834198, 8.9713287 45.7832205)",,,
