osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,name,bridge,junction
"[560313856, 692789920, 337142831]",False,Н8915,tertiary,60,False,218.06600000000003,"LINESTRING (27.8858741 52.9487438, 27.886286 52.9491573, 27.8864016 52.9492915, 27.8866007 52.9495314, 27.8867676 52.9496759, 27.8870152 52.9498216, 27.8872696 52.9499276, 27.8874981 52.9500217, 27.8877349 52.9501137, 27.8879621 52.9501797)",2,вуліца Леніна,yes,
560313856,False,Н8915,tertiary,60,True,78.621,"LINESTRING (27.8858741 52.9487438, 27.885689 52.9486417, 27.8854896 52.9485454, 27.8851872 52.9484489, 27.8848824 52.9483813)",2,,,
479112951,False,,residential,,True,278.491,"LINESTRING (27.8851902 52.9438548, 27.8864733 52.946237)",,Заводская вуліца,,
156137097,False,,residential,,True,168.08499999999998,"LINESTRING (27.8851902 52.9438548, 27.8829537 52.9442348, 27.8827758 52.944265)",,Сацыялістычная вуліца,,
217479225,False,Р57,primary,40,True,26.53,"LINESTRING (27.882671 52.948365, 27.88228 52.9484027)",2,,,
157407487,False,,residential,,True,164.688,"LINESTRING (27.882671 52.948365, 27.8828181 52.9487572, 27.8827996 52.9488312, 27.8827906 52.9488671, 27.8826623 52.9490499, 27.8826088 52.9491626, 27.8825941 52.9492712, 27.8826009 52.9492835, 27.8827471 52.9495506, 27.8828149 52.949696, 27.8828335 52.9497933)",,Надрэчная вуліца,,
1018794816,False,Р57,primary,40,False,55.897999999999996,"LINESTRING (27.882671 52.948365, 27.8831005 52.9483212, 27.8834916 52.9482745)",2,,,
157407473,False,,residential,,True,484.903,"LINESTRING (27.8828335 52.9497933, 27.8828563 52.9499685, 27.8827719 52.9501386, 27.8817432 52.9508121, 27.8811355 52.9508931, 27.8805543 52.951032, 27.8800058 52.951158, 27.8793053 52.9513344, 27.8769705 52.9519348)",,,,
157407487,False,,residential,,False,164.68800000000002,"LINESTRING (27.8828335 52.9497933, 27.8828149 52.949696, 27.8827471 52.9495506, 27.8826009 52.9492835, 27.8825941 52.9492712, 27.8826088 52.9491626, 27.8826623 52.9490499, 27.8827906 52.9488671, 27.8827996 52.9488312, 27.8828181 52.9487572, 27.882671 52.948365)",,Надрэчная вуліца,,
157407487,False,,residential,,True,442.04999999999995,"LINESTRING (27.8828335 52.9497933, 27.8826975 52.9498419, 27.8817539 52.9500057, 27.8796122 52.9502735, 27.8763868 52.9506004)",,Надрэчная вуліца,,
1103171995,False,,residential,,True,68.205,"LINESTRING (27.8879621 52.9501797, 27.8870816 52.9504876)",,Пралетарская вуліца,,
"[692789920, 560313856, 337142831]",False,Н8915,tertiary,60,True,218.06599999999997,"LINESTRING (27.8879621 52.9501797, 27.8877349 52.9501137, 27.8874981 52.9500217, 27.8872696 52.9499276, 27.8870152 52.9498216, 27.8867676 52.9496759, 27.8866007 52.9495314, 27.8864016 52.9492915, 27.886286 52.9491573, 27.8858741 52.9487438)",2,вуліца Леніна,yes,
157407487,False,,residential,,False,442.05,"LINESTRING (27.8763868 52.9506004, 27.8796122 52.9502735, 27.8817539 52.9500057, 27.8826975 52.9498419, 27.8828335 52.9497933)",,Надрэчная вуліца,,
217479225,False,Р57,primary,40,True,153.97699999999998,"LINESTRING (27.8763868 52.9506004, 27.8766654 52.9511084, 27.8769103 52.9516134, 27.8769507 52.9517809, 27.8769705 52.9519348)",2,,,
157407473,False,,residential,,False,484.90299999999996,"LINESTRING (27.8769705 52.9519348, 27.8793053 52.9513344, 27.8800058 52.951158, 27.8805543 52.951032, 27.8811355 52.9508931, 27.8817432 52.9508121, 27.8827719 52.9501386, 27.8828563 52.9499685, 27.8828335 52.9497933)",,,,
217479225,False,Р57,primary,40,False,153.97699999999998,"LINESTRING (27.8769705 52.9519348, 27.8769507 52.9517809, 27.8769103 52.9516134, 27.8766654 52.9511084, 27.8763868 52.9506004)",2,,,
157424706,False,,unclassified,,True,71.384,"LINESTRING (27.8837378 52.9461042, 27.8835692 52.9461402, 27.8827337 52.9463188)",,вуліца Дзяржынскага,,
560662726,False,Р57,primary,,False,214.43099999999998,"LINESTRING (27.8837378 52.9461042, 27.8832415 52.9451668, 27.8830039 52.9447188, 27.8827758 52.944265)",2,вуліца Куйбышава,,
560662726,False,Р57,primary,,True,179.37,"LINESTRING (27.8837378 52.9461042, 27.8840894 52.9467434, 27.8844283 52.9474138, 27.8845313 52.9476445)",2,вуліца Куйбышава,,
157424706,False,,unclassified,,True,103.967,"LINESTRING (27.8827337 52.9463188, 27.8812488 52.9465902)",,вуліца Дзяржынскага,,
157424706,False,,unclassified,,False,71.384,"LINESTRING (27.8827337 52.9463188, 27.8835692 52.9461402, 27.8837378 52.9461042)",,вуліца Дзяржынскага,,
479112951,False,,residential,,False,278.491,"LINESTRING (27.8864733 52.946237, 27.8851902 52.9438548)",,Заводская вуліца,,
217479195,False,,unclassified,,False,283.041,"LINESTRING (27.8864733 52.946237, 27.8858252 52.9464229, 27.8867841 52.9484553)",,,,
"[156137094, 479112951]",False,,residential,,True,293.914,"LINESTRING (27.8864733 52.946237, 27.8875707 52.948264, 27.8867841 52.9484553)",,"['Заводскі завулак', 'Заводская вуліца']",,
"[156137094, 479112951]",False,,residential,,False,293.914,"LINESTRING (27.8867841 52.9484553, 27.8875707 52.948264, 27.8864733 52.946237)",,"['Заводскі завулак', 'Заводская вуліца']",,
217479195,False,,unclassified,,True,283.041,"LINESTRING (27.8867841 52.9484553, 27.8858252 52.9464229, 27.8864733 52.946237)",,,,
156137094,False,,residential,,True,69.113,"LINESTRING (27.8867841 52.9484553, 27.8860394 52.948669, 27.8858741 52.9487438)",,Заводскі завулак,,
217479225,False,Р57,primary,40,False,394.351,"LINESTRING (27.8764783 52.9489924, 27.8772811 52.9489453, 27.8779986 52.9488709, 27.88228 52.9484027)",2,,,
217479196,False,,unclassified,,False,93.175,"LINESTRING (27.8870816 52.9504876, 27.8878197 52.9511978)",,,,
1103171995,False,,residential,,False,68.205,"LINESTRING (27.8870816 52.9504876, 27.8879621 52.9501797)",,Пралетарская вуліца,,
217479196,False,,unclassified,,True,93.175,"LINESTRING (27.8878197 52.9511978, 27.8870816 52.9504876)",,,,
436570912,False,,unclassified,,False,306.147,"LINESTRING (27.8878197 52.9511978, 27.8888685 52.952139, 27.8901092 52.9519032, 27.8898621 52.9515251, 27.8898461 52.951463, 27.8904152 52.9513333)",,,,
692789926,True,Р57,primary,,False,23.225,"LINESTRING (27.8846517 52.9479692, 27.8847146 52.9481746)",,,,roundabout
238979541,True,Р57,primary,60,False,27.376,"LINESTRING (27.8842911 52.9479372, 27.8843857 52.9479179, 27.8844643 52.947909, 27.8845748 52.9479155, 27.8846517 52.9479692)",,,,roundabout
692789922,True,Р57,primary,60,False,36.701,"LINESTRING (27.8842911 52.9479372, 27.8844236 52.9478291, 27.8845313 52.9476445)",2,,,
238979542,True,Р57,primary,60,False,19.104,"LINESTRING (27.8847146 52.9481746, 27.8846918 52.9482542, 27.8846188 52.9483339)",1,,,roundabout
560313853,True,Н8915,tertiary,60,False,25.973,"LINESTRING (27.8847146 52.9481746, 27.8847793 52.9482996, 27.8848824 52.9483813)",1,,,
560662725,True,Р57,primary,60,False,32.906,"LINESTRING (27.8839204 52.9481304, 27.88401 52.9480779, 27.8841985 52.9479753, 27.8842911 52.9479372)",2,,,roundabout
692789924,True,Р57,primary,60,False,35.109,"LINESTRING (27.8840155 52.9482814, 27.8834916 52.9482745)",1,,,
238979540,True,Р57,primary,60,False,19.689,"LINESTRING (27.8840155 52.9482814, 27.8839459 52.9482516, 27.8839184 52.948212, 27.8839083 52.9481716, 27.8839204 52.9481304)",1,,,roundabout
156137104,True,Р57,primary,60,False,40.856,"LINESTRING (27.8846188 52.9483339, 27.8843099 52.9483019, 27.8840155 52.9482814)",1,,,roundabout
157424706,False,,unclassified,,False,103.967,"LINESTRING (27.8812488 52.9465902, 27.8827337 52.9463188)",,вуліца Дзяржынскага,,
436570913,False,,unclassified,,False,213.055,"LINESTRING (27.8812488 52.9465902, 27.88228 52.9484027)",,,,
217479225,False,Р57,primary,40,False,26.53,"LINESTRING (27.88228 52.9484027, 27.882671 52.948365)",2,,,
436570913,False,,unclassified,,True,213.055,"LINESTRING (27.88228 52.9484027, 27.8812488 52.9465902)",,,,
217479225,False,Р57,primary,40,True,394.35100000000006,"LINESTRING (27.88228 52.9484027, 27.8779986 52.9488709, 27.8772811 52.9489453, 27.8764783 52.9489924)",2,,,
436570912,False,,unclassified,,True,306.14700000000005,"LINESTRING (27.8904152 52.9513333, 27.8898461 52.951463, 27.8898621 52.9515251, 27.8901092 52.9519032, 27.8888685 52.952139, 27.8878197 52.9511978)",,,,
