osmid,oneway,ref,highway,reversed,length,name,geometry,lanes
312712339,True,404,primary,False,105.882,,"LINESTRING (99.6761482 7.3763702, 99.6765672 7.3758416, 99.6767011 7.3756829, 99.6767477 7.3756265)",
312712569,False,,residential,False,72.14,,"LINESTRING (99.678679 7.3765592, 99.6790625 7.3760336)",
312712569,False,,residential,True,76.516,,"LINESTRING (99.678679 7.3765592, 99.678255 7.3771039)",
507368117,False,,residential,True,146.101,,"LINESTRING (99.678679 7.3765592, 99.6776159 7.3757751)",
312712510,False,,residential,False,80.246,,"LINESTRING (99.6767492 7.3768246, 99.6772248 7.3762784)",
808550553,False,,secondary,False,64.757,ถนนวรคีรี,"LINESTRING (99.6767492 7.3768246, 99.6772096 7.3771861)",
808550553,False,,secondary,True,83.339,ถนนวรคีรี,"LINESTRING (99.6767492 7.3768246, 99.6761482 7.3763702)",
312712547,False,,residential,False,176.221,,"LINESTRING (99.6776459 7.3789674, 99.6790307 7.3797583)",
312712546,False,,residential,False,103.796,,"LINESTRING (99.6776459 7.3789674, 99.6775305 7.3791424, 99.6772096 7.3797931)",
312712546,False,,residential,True,125.63999999999999,,"LINESTRING (99.6776459 7.3789674, 99.6778513 7.3786561, 99.6783402 7.3780736)",
312712484,False,,residential,True,80.021,,"LINESTRING (99.6765708 7.3794517, 99.6772096 7.3797931)",
312712555,False,,residential,False,57.147,,"LINESTRING (99.6765708 7.3794517, 99.6768592 7.3790247)",
312712555,False,,residential,True,15.205,,"LINESTRING (99.6765708 7.3794517, 99.6764936 7.379565)",
320478939,False,ตง.2023,tertiary,False,99.886,,"LINESTRING (99.6765732 7.3808331, 99.6761152 7.3800581)",
"[312712484, 507368183]",False,,residential,"[False, True]",351.563,,"LINESTRING (99.6765732 7.3808331, 99.6770567 7.3807571, 99.6776312 7.3806462, 99.677826 7.3806085, 99.677929 7.3805787, 99.6780335 7.3805363, 99.6781349 7.3804216, 99.6781871 7.380274, 99.6782061 7.3801389, 99.6782061 7.3800714, 99.6781697 7.3800076, 99.677986 7.3798059, 99.6779139 7.3797742, 99.6778118 7.3797729, 99.6776724 7.3798216, 99.6774538 7.3799017, 99.6772096 7.3797931)",
312712574,False,,tertiary,True,23.596,,"LINESTRING (99.6772774 7.3747054, 99.677434 7.37485)",2
312712339,True,404,primary,False,56.96,,"LINESTRING (99.6772774 7.3747054, 99.6772825 7.3744891, 99.6772368 7.3741967)",
312712515,False,,residential,False,56.298,,"LINESTRING (99.6768815 7.377574, 99.6772096 7.3771861)",
312712515,False,,residential,True,46.077,,"LINESTRING (99.6768815 7.377574, 99.6766214 7.3778983)",
507368178,False,,residential,False,139.298,,"LINESTRING (99.6768815 7.377574, 99.6762723 7.3771275, 99.676244 7.3771178, 99.6762234 7.3771167, 99.6761907 7.3771275, 99.6759347 7.3774585)",
312712547,False,,residential,True,176.221,,"LINESTRING (99.6790307 7.3797583, 99.6776459 7.3789674)",
312712547,False,,residential,False,122.15799999999999,,"LINESTRING (99.6790307 7.3797583, 99.6795999 7.3797609, 99.6798415 7.3797967, 99.680121 7.379888)",
965921212,False,,residential,False,85.698,,"LINESTRING (99.6790307 7.3797583, 99.6787915 7.3802466, 99.6787955 7.3803064, 99.6788451 7.3803796, 99.6789175 7.3804142)",
312712515,False,,residential,True,56.298,,"LINESTRING (99.6772096 7.3771861, 99.6768815 7.377574)",
808550553,False,,secondary,False,61.859,ถนนวรคีรี,"LINESTRING (99.6772096 7.3771861, 99.6776495 7.3775313)",
808550553,False,,secondary,True,64.757,ถนนวรคีรี,"LINESTRING (99.6772096 7.3771861, 99.6767492 7.3768246)",
808550553,False,,secondary,False,167.133,ถนนวรคีรี,"LINESTRING (99.6783402 7.3780736, 99.6795038 7.3790367)",
808550553,False,,secondary,True,73.204,ถนนวรคีรี,"LINESTRING (99.6783402 7.3780736, 99.6778197 7.377665)",
312712546,False,,residential,False,125.63999999999999,,"LINESTRING (99.6783402 7.3780736, 99.6778513 7.3786561, 99.6776459 7.3789674)",
311932118,True,404,primary,False,37.571,,"LINESTRING (99.674208 7.3785133, 99.6739847 7.3787685)",
320478939,False,ตง.2023,tertiary,True,13.017,,"LINESTRING (99.674208 7.3785133, 99.6742937 7.3785938)",
312712484,False,,residential,False,80.021,,"LINESTRING (99.6772096 7.3797931, 99.6765708 7.3794517)",
"[312712484, 507368183]",False,,residential,"[False, True]",351.56300000000005,,"LINESTRING (99.6772096 7.3797931, 99.6774538 7.3799017, 99.6776724 7.3798216, 99.6778118 7.3797729, 99.6779139 7.3797742, 99.677986 7.3798059, 99.6781697 7.3800076, 99.6782061 7.3800714, 99.6782061 7.3801389, 99.6781871 7.380274, 99.6781349 7.3804216, 99.6780335 7.3805363, 99.677929 7.3805787, 99.677826 7.3806085, 99.6776312 7.3806462, 99.6770567 7.3807571, 99.6765732 7.3808331)",
312712546,False,,residential,True,103.796,,"LINESTRING (99.6772096 7.3797931, 99.6775305 7.3791424, 99.6776459 7.3789674)",
312712569,False,,residential,False,78.721,,"LINESTRING (99.6778197 7.377665, 99.678255 7.3771039)",
808550553,False,,secondary,False,73.204,ถนนวรคีรี,"LINESTRING (99.6778197 7.377665, 99.6783402 7.3780736)",
808550553,False,,secondary,True,23.943,ถนนวรคีรี,"LINESTRING (99.6778197 7.377665, 99.6776495 7.3775313)",
808550553,False,,secondary,False,23.943,ถนนวรคีรี,"LINESTRING (99.6776495 7.3775313, 99.6778197 7.377665)",
808550553,False,,secondary,True,61.859,ถนนวรคีรี,"LINESTRING (99.6776495 7.3775313, 99.6772096 7.3771861)",
312712555,False,,residential,True,187.928,,"LINESTRING (99.6776495 7.3775313, 99.6772992 7.3781441, 99.676983 7.3788469, 99.6768592 7.3790247)",
808550553,False,,secondary,True,80.435,ถนนวรคีรี,"LINESTRING (99.6807832 7.3800215, 99.6804279 7.3797439, 99.6802102 7.3795739)",
