osmid,highway,oneway,reversed,length,geometry,junction,name
40843787,residential,False,True,23.02,"LINESTRING (103.5016463 16.4330018, 103.5016707 16.4332075)",,
546444752,tertiary,True,False,125.155,"LINESTRING (103.5016463 16.4330018, 103.5015289 16.4318819)",,
546194990,unclassified,False,True,134.139,"LINESTRING (103.5016463 16.4330018, 103.5022177 16.4328813, 103.5028697 16.4327226)",,
546192884,unclassified,True,False,49.189,"LINESTRING (103.5015289 16.4318819, 103.5015261 16.4318582, 103.5015022 16.431658, 103.5014756 16.4314425)",,
546444752,tertiary,True,False,26.119000000000003,"LINESTRING (103.5015289 16.4318819, 103.5014938 16.4318232, 103.5014687 16.4318122, 103.5014389 16.4318057, 103.5013912 16.4318142, 103.5013331 16.4318475)",,
242700822,residential,False,False,28.297,"LINESTRING (103.5100385 16.4361029, 103.5097738 16.4361203)",,
242700822,residential,False,True,53.793,"LINESTRING (103.5100385 16.4361029, 103.5105417 16.4360698)",,
559910564,residential,False,False,83.067,"LINESTRING (103.5100385 16.4361029, 103.5099994 16.4353568)",,
559910564,residential,False,True,83.067,"LINESTRING (103.5099994 16.4353568, 103.5100385 16.4361029)",,
546198329,residential,False,True,42.43,"LINESTRING (103.5088214 16.4358027, 103.508891 16.4361784)",,
559910590,residential,False,False,50.466,"LINESTRING (103.5088214 16.4358027, 103.5083493 16.4358335)",,
546198329,residential,False,False,89.07799999999999,"LINESTRING (103.5088214 16.4358027, 103.5087614 16.4354618, 103.5086878 16.4350438, 103.5086823 16.4350128)",,
559910590,residential,False,False,20.033,"LINESTRING (103.5083493 16.4358335, 103.5081619 16.4358458)",,
559910590,residential,False,True,50.466,"LINESTRING (103.5083493 16.4358335, 103.5088214 16.4358027)",,
561054497,residential,False,True,83.99600000000001,"LINESTRING (103.5083493 16.4358335, 103.5083061 16.4355743, 103.5083008 16.435502, 103.5082492 16.4350845)",,
559910590,residential,False,False,24.479,"LINESTRING (103.5081619 16.4358458, 103.5079329 16.4358607)",,
559910590,residential,False,True,20.033,"LINESTRING (103.5081619 16.4358458, 103.5083493 16.4358335)",,
559910628,residential,False,True,42.226,"LINESTRING (103.5081619 16.4358458, 103.5081976 16.436224)",,
242701109,residential,False,False,42.426,"LINESTRING (103.5075526 16.435884, 103.5075791 16.4362647)",,
242701109,residential,False,True,19.605,"LINESTRING (103.5075526 16.435884, 103.5075249 16.4357097)",,
559910590,residential,False,True,40.642,"LINESTRING (103.5075526 16.435884, 103.5079329 16.4358607)",,
242700822,residential,False,False,66.119,"LINESTRING (103.5081976 16.436224, 103.5075791 16.4362647)",,
242700822,residential,False,True,74.126,"LINESTRING (103.5081976 16.436224, 103.508891 16.4361784)",,
559910628,residential,False,False,42.226,"LINESTRING (103.5081976 16.436224, 103.5081619 16.4358458)",,
559910629,residential,False,False,68.797,"LINESTRING (103.5042381 16.4358775, 103.5048586 16.4357084)",,
242290777,residential,False,False,161.891,"LINESTRING (103.5048586 16.4357084, 103.5043371 16.4343411)",,
242290777,residential,False,True,85.1,"LINESTRING (103.5048586 16.4357084, 103.5051382 16.4364252)",,
559910629,residential,False,True,68.797,"LINESTRING (103.5048586 16.4357084, 103.5042381 16.4358775)",,
559910687,residential,False,False,93.698,"LINESTRING (103.5095656 16.4352894, 103.5096253 16.4361301)",,
242700822,residential,False,False,78.498,"LINESTRING (103.5096253 16.4361301, 103.508891 16.4361784)",,
242700822,residential,False,True,15.875,"LINESTRING (103.5096253 16.4361301, 103.5097738 16.4361203)",,
559910687,residential,False,True,93.698,"LINESTRING (103.5096253 16.4361301, 103.5095656 16.4352894)",,
559910724,residential,False,False,110.553,"LINESTRING (103.5042534 16.43558, 103.5042043 16.435647, 103.504119 16.4357463, 103.5039431 16.4358206, 103.5035706 16.4359014, 103.5033342 16.4359551)",,
242290755,residential,False,False,120.657,"LINESTRING (103.5033342 16.4359551, 103.5032006 16.4348776)",,
242290755,residential,False,True,65.49,"LINESTRING (103.5033342 16.4359551, 103.5034161 16.4365388)",,
559910724,residential,False,True,110.553,"LINESTRING (103.5033342 16.4359551, 103.5035706 16.4359014, 103.5039431 16.4358206, 103.504119 16.4357463, 103.5042043 16.435647, 103.5042534 16.43558)",,
546198329,residential,False,False,46.268,"LINESTRING (103.5085314 16.4341263, 103.5084556 16.4337166)",,
546198329,residential,False,True,58.776,"LINESTRING (103.5085314 16.4341263, 103.5086207 16.4346479)",,
561054495,residential,False,False,88.091,"LINESTRING (103.5085314 16.4341263, 103.5086775 16.4340989, 103.5087658 16.4340824, 103.509342 16.4339742)",,
561054495,residential,False,False,55.321,"LINESTRING (103.509342 16.4339742, 103.5092571 16.4334834)",,
561054450,residential,False,True,33.873999999999995,"LINESTRING (103.509342 16.4339742, 103.5094061 16.433991, 103.509654 16.4339523)",,
561054495,residential,False,True,88.091,"LINESTRING (103.509342 16.4339742, 103.5087658 16.4340824, 103.5086775 16.4340989, 103.5085314 16.4341263)",,
559910590,residential,False,False,40.642,"LINESTRING (103.5079329 16.4358607, 103.5075526 16.435884)",,
559910590,residential,False,True,24.479,"LINESTRING (103.5079329 16.4358607, 103.5081619 16.4358458)",,
561054334,residential,False,False,79.349,"LINESTRING (103.5079329 16.4358607, 103.507826 16.4351545)",,
561054334,residential,False,True,79.349,"LINESTRING (103.507826 16.4351545, 103.5079329 16.4358607)",,
561054474,residential,False,False,41.728,"LINESTRING (103.507826 16.4351545, 103.5074407 16.4352197)",,
561054474,residential,False,True,22.209,"LINESTRING (103.507826 16.4351545, 103.5080312 16.4351205)",,
561054337,residential,False,False,31.7,"LINESTRING (103.5065819 16.4350801, 103.5068746 16.4350305)",,
561054335,residential,False,False,47.331999999999994,"LINESTRING (103.5065819 16.4350801, 103.5065289 16.4348091, 103.5065169 16.4346596)",,
561054335,residential,False,True,350.756,"LINESTRING (103.5065819 16.4350801, 103.5065999 16.4352776, 103.5065774 16.435327, 103.506546 16.4353494, 103.5051003 16.4356407, 103.505035 16.4356157, 103.5050002 16.4355745, 103.5049693 16.435451, 103.5048097 16.4347178, 103.504724 16.434274)",,
561054335,residential,False,False,44.132,"LINESTRING (103.5065011 16.4343729, 103.5064266 16.4339825)",,
561054335,residential,False,True,31.924,"LINESTRING (103.5065011 16.4343729, 103.5065169 16.4346596)",,
561054405,residential,False,False,85.135,"LINESTRING (103.5065011 16.4343729, 103.5072849 16.4342279)",,
546188313,secondary,True,False,85.713,"LINESTRING (103.5064266 16.4339825, 103.5072168 16.433842)",,ถนนกาฬสินธุ์
561054335,residential,False,True,44.132,"LINESTRING (103.5064266 16.4339825, 103.5065011 16.4343729)",,
561054337,residential,False,False,56.498,"LINESTRING (103.5068746 16.4350305, 103.5073958 16.4349396)",,
561054337,residential,False,True,31.7,"LINESTRING (103.5068746 16.4350305, 103.5065819 16.4350801)",,
561054509,residential,False,False,142.47,"LINESTRING (103.5068746 16.4350305, 103.5069542 16.4354789, 103.5070097 16.4357988, 103.5075249 16.4357097)",,
242701109,residential,False,False,31.512,"LINESTRING (103.5073958 16.4349396, 103.5074407 16.4352197)",,
242701109,residential,False,True,11.718,"LINESTRING (103.5073958 16.4349396, 103.5073794 16.4348354)",,
561054337,residential,False,True,56.498,"LINESTRING (103.5073958 16.4349396, 103.5068746 16.4350305)",,
561054366,residential,False,True,124.193,"LINESTRING (103.5098197 16.4355737, 103.5097451 16.4344591)",,
561054371,residential,False,False,41.71,"LINESTRING (103.5035873 16.4348216, 103.5032006 16.4348776)",,
242290755,residential,False,False,32.805,"LINESTRING (103.5032006 16.4348776, 103.5031629 16.4345848)",,
242290755,residential,False,True,120.657,"LINESTRING (103.5032006 16.4348776, 103.5033342 16.4359551)",,
561054371,residential,False,True,41.71,"LINESTRING (103.5032006 16.4348776, 103.5035873 16.4348216)",,
242701109,residential,False,False,29.522,"LINESTRING (103.5072849 16.4342279, 103.5073284 16.4344901)",,
561054405,residential,False,True,85.135,"LINESTRING (103.5072849 16.4342279, 103.5065011 16.4343729)",,
242701109,residential,False,True,43.522,"LINESTRING (103.5072849 16.4342279, 103.507239 16.433959, 103.5072168 16.433842)",,
242724121,residential,False,False,29.976,"LINESTRING (103.508074 16.431485, 103.5080277 16.4312191)",,
242724121,residential,False,True,51.229,"LINESTRING (103.508074 16.431485, 103.5081545 16.4319392)",,
561054408,residential,False,False,123.352,"LINESTRING (103.508074 16.431485, 103.5069431 16.4317174)",,
561054411,residential,False,True,39.048,"LINESTRING (103.5039511 16.4316938, 103.5036002 16.431794)",,
242724344,residential,False,False,58.648,"LINESTRING (103.509654 16.4339523, 103.5095704 16.433431)",,
242724344,residential,False,True,57.185,"LINESTRING (103.509654 16.4339523, 103.5097451 16.4344591)",,
561054450,residential,False,False,33.873999999999995,"LINESTRING (103.509654 16.4339523, 103.5094061 16.433991, 103.509342 16.4339742)",,
