osmid,lanes,highway,oneway,reversed,length,geometry
"[373888424, 219169557, 373888438]",2,secondary,False,True,452.29999999999995,"LINESTRING (26.1507855 -24.3809747, 26.1507386 -24.3810566, 26.1507024 -24.381147, 26.1506675 -24.3812471, 26.1505474 -24.3817325, 26.1504677 -24.3820228, 26.1504429 -24.3820973, 26.1504167 -24.3821645, 26.1503825 -24.3822279, 26.1503376 -24.3822903, 26.1502813 -24.3823465, 26.1501043 -24.3825028, 26.150056 -24.3825529, 26.1500312 -24.3825902, 26.1500023 -24.382636, 26.1499809 -24.3827178, 26.1499648 -24.3827984, 26.1498453 -24.3832577, 26.1497609 -24.3835106, 26.1497059 -24.3837158, 26.1496764 -24.3838416, 26.149663 -24.3839442, 26.1496523 -24.384048, 26.1496416 -24.3842056, 26.1496354 -24.3843981, 26.1496295 -24.3844755, 26.1496161 -24.3845476, 26.1495879 -24.384638, 26.1494961 -24.3847907)"
312561460,,residential,False,True,76.157,"LINESTRING (26.1496254 -24.3809785, 26.1499097 -24.3809736, 26.1502194 -24.3809504, 26.1503737 -24.3809247)"
651137298,,residential,False,False,15.423,"LINESTRING (26.1452658 -24.3809378, 26.1451605 -24.3808376)"
312561469,,residential,False,True,29.104,"LINESTRING (26.1452658 -24.3809378, 26.1452697 -24.3810343, 26.1452456 -24.381198)"
"[399289512, 650878563]",,residential,False,False,95.792,"LINESTRING (26.1452658 -24.3809378, 26.1454917 -24.3809097, 26.1456601 -24.3808566, 26.1458264 -24.3807815, 26.1459217 -24.3807417, 26.1459142 -24.3806502, 26.1458706 -24.3805457, 26.1458564 -24.3805262)"
651137298,,residential,False,True,15.423,"LINESTRING (26.1451605 -24.3808376, 26.1452658 -24.3809378)"
399289539,,residential,False,False,31.424,"LINESTRING (26.1451605 -24.3808376, 26.1449317 -24.3808159, 26.1448525 -24.3808276)"
651137298,,residential,False,False,37.369,"LINESTRING (26.1451605 -24.3808376, 26.1449097 -24.3807484, 26.1448174 -24.380714)"
312561469,,residential,False,False,29.104,"LINESTRING (26.1452456 -24.381198, 26.1452697 -24.3810343, 26.1452658 -24.3809378)"
312561469,,residential,False,True,272.303,"LINESTRING (26.1452456 -24.381198, 26.1452416 -24.3813691, 26.1453931 -24.3815974, 26.1455622 -24.3818539, 26.1458317 -24.382224, 26.1461777 -24.3827505, 26.1462799 -24.3828936, 26.1464687 -24.3831267, 26.146605 -24.3832754)"
399289541,,residential,False,True,58.539,"LINESTRING (26.1452456 -24.381198, 26.1450503 -24.3810878, 26.1449654 -24.3809943, 26.1448525 -24.3808276)"
219169562,,secondary,False,True,13.24,"LINESTRING (26.1464132 -24.3869025, 26.1463927 -24.3870201)"
219169562,,secondary,False,False,114.24000000000001,"LINESTRING (26.1464132 -24.3869025, 26.1464752 -24.3863309, 26.1465128 -24.3858792)"
