osmid,highway,oneway,reversed,length,bridge,geometry,lanes,ref,maxspeed
52170416,primary,False,True,73.985,,"LINESTRING (46.8266292 -16.9496994, 46.8267243 -16.949881, 46.8267909 -16.9500155, 46.8268552 -16.9501335, 46.8269535 -16.9502874)",2,N 4,80
52170428,residential,False,True,100.57300000000001,,"LINESTRING (46.8266292 -16.9496994, 46.826866 -16.9495498, 46.8270618 -16.949419, 46.8272187 -16.9493151, 46.8274146 -16.949196)",2,,50
52170430,residential,False,False,105.894,,"LINESTRING (46.8290231 -16.9502686, 46.8294024 -16.9511491)",2,,50
52170426,residential,False,True,85.411,,"LINESTRING (46.8290231 -16.9502686, 46.829245 -16.9502365, 46.8294776 -16.9502255, 46.8298193 -16.9501754)",2,,50
52170430,residential,False,True,72.595,,"LINESTRING (46.8290231 -16.9502686, 46.8289829 -16.9501707, 46.828934 -16.9500469, 46.8288528 -16.949875, 46.8287761 -16.9496605)",2,,50
52170435,residential,False,False,71.088,,"LINESTRING (46.8290231 -16.9502686, 46.8288715 -16.9502954, 46.8287301 -16.9503013, 46.8285732 -16.9502797, 46.8283614 -16.9502496)",2,,50
52170435,residential,False,False,82.385,,"LINESTRING (46.8283614 -16.9502496, 46.8281105 -16.9496211, 46.8280981 -16.949554)",2,,50
52170435,residential,False,True,71.088,,"LINESTRING (46.8283614 -16.9502496, 46.8285732 -16.9502797, 46.8287301 -16.9503013, 46.8288715 -16.9502954, 46.8290231 -16.9502686)",2,,50
52170436,residential,False,False,47.247,,"LINESTRING (46.8283614 -16.9502496, 46.8282459 -16.9502939, 46.8281335 -16.9503416, 46.8280522 -16.9503885, 46.8279597 -16.9504293)",2,,50
52170430,residential,False,False,72.595,,"LINESTRING (46.8287761 -16.9496605, 46.8288528 -16.949875, 46.828934 -16.9500469, 46.8289829 -16.9501707, 46.8290231 -16.9502686)",2,,50
52170431,residential,False,False,73.293,,"LINESTRING (46.8287761 -16.9496605, 46.8286924 -16.9496608, 46.8286102 -16.9496549, 46.8284894 -16.949635, 46.8280981 -16.949554)",2,,50
52170431,residential,False,True,101.798,,"LINESTRING (46.8287761 -16.9496605, 46.8288111 -16.949655, 46.828971 -16.9496303, 46.8291308 -16.9495979, 46.8292482 -16.9495796, 46.8297201 -16.949511)",2,,50
52170431,residential,False,True,73.293,,"LINESTRING (46.8280981 -16.949554, 46.8284894 -16.949635, 46.8286102 -16.9496549, 46.8286924 -16.9496608, 46.8287761 -16.9496605)",2,,50
52170434,residential,False,False,57.539,,"LINESTRING (46.8280981 -16.949554, 46.8280471 -16.949463, 46.8279623 -16.9492753, 46.8278953 -16.9490756)",2,,50
52170435,residential,False,True,82.385,,"LINESTRING (46.8280981 -16.949554, 46.8281105 -16.9496211, 46.8283614 -16.9502496)",2,,50
52170428,residential,False,False,53.006,,"LINESTRING (46.8278953 -16.9490756, 46.8278088 -16.9490893, 46.8276612 -16.9491162, 46.8275405 -16.9491521, 46.8274146 -16.949196)",2,,50
52170434,residential,False,False,130.791,,"LINESTRING (46.8278953 -16.9490756, 46.8278237 -16.9489168, 46.8277515 -16.948806, 46.8276753 -16.9487061, 46.8276252 -16.9486166, 46.8276089 -16.9485776, 46.8275933 -16.9484964, 46.8276063 -16.9483632, 46.8276371 -16.9482811, 46.8276706 -16.9482195, 46.827731 -16.9481258, 46.8277873 -16.9480803, 46.827825 -16.9480429)",2,,50
52170434,residential,False,True,57.539,,"LINESTRING (46.8278953 -16.9490756, 46.8279623 -16.9492753, 46.8280471 -16.949463, 46.8280981 -16.949554)",2,,50
52170416,primary,False,False,121.281,,"LINESTRING (46.8267859 -16.9477506, 46.8268378 -16.9477269, 46.8269159 -16.947705, 46.8270014 -16.9476903, 46.8270694 -16.947689, 46.8270888 -16.9476907, 46.8271141 -16.9476929, 46.8271874 -16.9477165, 46.8273642 -16.9478045, 46.8275379 -16.9478808, 46.8276203 -16.9479199, 46.8277075 -16.9479693, 46.827825 -16.9480429)",2,N 4,80
52170416,primary,False,True,170.51,,"LINESTRING (46.8267859 -16.9477506, 46.8266701 -16.9478372, 46.8266008 -16.9479108, 46.8265186 -16.9480347, 46.8264252 -16.9481815, 46.8263778 -16.94829, 46.8263556 -16.9483832, 46.8263375 -16.9485691, 46.8263455 -16.9487665, 46.8263462 -16.9489895, 46.8263552 -16.949144)",2,N 4,80
52170427,residential,False,True,174.084,,"LINESTRING (46.8267859 -16.9477506, 46.8269987 -16.9482323, 46.8270604 -16.9483709, 46.8271208 -16.9485056, 46.8272339 -16.9487724, 46.8274146 -16.949196)",2,,50
52170416,primary,False,False,86.765,,"LINESTRING (46.827825 -16.9480429, 46.8279281 -16.9480751, 46.8280347 -16.9480951, 46.828134 -16.9481, 46.8282653 -16.9480911, 46.8283432 -16.948072, 46.8283975 -16.948045, 46.8284323 -16.9480205, 46.8284904 -16.9479675, 46.8285449 -16.9478845)",2,N 4,80
52170416,primary,False,True,121.28099999999999,,"LINESTRING (46.827825 -16.9480429, 46.8277075 -16.9479693, 46.8276203 -16.9479199, 46.8275379 -16.9478808, 46.8273642 -16.9478045, 46.8271874 -16.9477165, 46.8271141 -16.9476929, 46.8270888 -16.9476907, 46.8270694 -16.947689, 46.8270014 -16.9476903, 46.8269159 -16.947705, 46.8268378 -16.9477269, 46.8267859 -16.9477506)",2,N 4,80
52170434,residential,False,True,130.791,,"LINESTRING (46.827825 -16.9480429, 46.8277873 -16.9480803, 46.827731 -16.9481258, 46.8276706 -16.9482195, 46.8276371 -16.9482811, 46.8276063 -16.9483632, 46.8275933 -16.9484964, 46.8276089 -16.9485776, 46.8276252 -16.9486166, 46.8276753 -16.9487061, 46.8277515 -16.948806, 46.8278237 -16.9489168, 46.8278953 -16.9490756)",2,,50
52170416,primary,False,True,86.765,,"LINESTRING (46.8285449 -16.9478845, 46.8284904 -16.9479675, 46.8284323 -16.9480205, 46.8283975 -16.948045, 46.8283432 -16.948072, 46.8282653 -16.9480911, 46.828134 -16.9481, 46.8280347 -16.9480951, 46.8279281 -16.9480751, 46.827825 -16.9480429)",2,N 4,80
52170433,primary,True,False,106.826,,"LINESTRING (46.8285449 -16.9478845, 46.8287889 -16.9477057, 46.8289457 -16.9475977, 46.8291282 -16.9474924, 46.8293789 -16.9473518)",1,N 4,80
52170430,residential,False,True,105.894,,"LINESTRING (46.8294024 -16.9511491, 46.8290231 -16.9502686)",2,,50
52170430,residential,False,False,64.792,,"LINESTRING (46.8294024 -16.9511491, 46.829912 -16.951103, 46.8300045 -16.9510742)",2,,50
364569322,residential,False,False,229.91300000000004,,"LINESTRING (46.8294024 -16.9511491, 46.8292271 -16.9511702, 46.8290214 -16.9511775, 46.8288656 -16.9511995, 46.8287386 -16.9512235, 46.8286164 -16.9512423, 46.8284908 -16.9513011, 46.8283979 -16.9513584, 46.8283392 -16.9514024, 46.8282732 -16.9514665, 46.8281935 -16.9515576, 46.8281411 -16.9516297, 46.8281032 -16.9516816, 46.828067 -16.9517507, 46.8280453 -16.9518033, 46.8280353 -16.9518581, 46.8280374 -16.9519224, 46.8280338 -16.9519493, 46.8280149 -16.9519779, 46.8279942 -16.9519902, 46.8279711 -16.9519952, 46.8279076 -16.9519912, 46.8278567 -16.9519622, 46.8277923 -16.9519013, 46.8277413 -16.9518466)",2,,50
52170430,residential,False,True,64.792,,"LINESTRING (46.8300045 -16.9510742, 46.829912 -16.951103, 46.8294024 -16.9511491)",2,,50
1215344119,residential,False,True,102.022,,"LINESTRING (46.8300045 -16.9510742, 46.829993 -16.9510347, 46.8299605 -16.9509233, 46.8298968 -16.9506667, 46.8298519 -16.9504357, 46.8298193 -16.9501754)",2,,50
52170426,residential,False,False,85.411,,"LINESTRING (46.8298193 -16.9501754, 46.8294776 -16.9502255, 46.829245 -16.9502365, 46.8290231 -16.9502686)",2,,50
1215344119,residential,False,False,102.022,,"LINESTRING (46.8298193 -16.9501754, 46.8298519 -16.9504357, 46.8298968 -16.9506667, 46.8299605 -16.9509233, 46.829993 -16.9510347, 46.8300045 -16.9510742)",2,,50
1215344119,residential,False,True,74.647,,"LINESTRING (46.8298193 -16.9501754, 46.8297791 -16.9498521, 46.8297201 -16.949511)",2,,50
1215344119,residential,False,True,47.145,,"LINESTRING (46.8297201 -16.949511, 46.8296752 -16.9490892)",2,,50
52170431,residential,False,False,101.798,,"LINESTRING (46.8297201 -16.949511, 46.8292482 -16.9495796, 46.8291308 -16.9495979, 46.828971 -16.9496303, 46.8288111 -16.949655, 46.8287761 -16.9496605)",2,,50
1215344119,residential,False,False,74.647,,"LINESTRING (46.8297201 -16.949511, 46.8297791 -16.9498521, 46.8298193 -16.9501754)",2,,50
1215344119,residential,False,False,47.145,,"LINESTRING (46.8296752 -16.9490892, 46.8297201 -16.949511)",2,,50
1215344119,residential,False,True,195.93,,"LINESTRING (46.8296752 -16.9490892, 46.8295116 -16.9483312, 46.829483 -16.9480657, 46.8294167 -16.947691, 46.8293789 -16.9473518)",2,,50
52170432,primary,True,False,142.62599999999998,,"LINESTRING (46.8293789 -16.9473518, 46.8292904 -16.9473209, 46.8291332 -16.9472832, 46.829064 -16.9472728, 46.8289541 -16.9472683, 46.8288293 -16.9472676, 46.8287537 -16.9472781, 46.8287247 -16.9472881, 46.8286852 -16.9473144, 46.8286409 -16.9473638, 46.8286148 -16.947419, 46.8285899 -16.9475043, 46.8285779 -16.9476429, 46.8285699 -16.9477506, 46.8285449 -16.9478845)",1,N 4,80
1215344119,residential,False,False,195.93,,"LINESTRING (46.8293789 -16.9473518, 46.8294167 -16.947691, 46.829483 -16.9480657, 46.8295116 -16.9483312, 46.8296752 -16.9490892)",2,,50
52170416,primary,False,False,132.304,,"LINESTRING (46.8277413 -16.9518466, 46.8277712 -16.9517929, 46.8277826 -16.9517468, 46.827801 -16.9516241, 46.8278031 -16.9515188, 46.8277815 -16.9514081, 46.8277196 -16.9512976, 46.8276107 -16.9511558, 46.8274704 -16.9509734, 46.8273386 -16.950803)",2,N 4,80
364569322,residential,False,True,229.913,,"LINESTRING (46.8277413 -16.9518466, 46.8277923 -16.9519013, 46.8278567 -16.9519622, 46.8279076 -16.9519912, 46.8279711 -16.9519952, 46.8279942 -16.9519902, 46.8280149 -16.9519779, 46.8280338 -16.9519493, 46.8280374 -16.9519224, 46.8280353 -16.9518581, 46.8280453 -16.9518033, 46.828067 -16.9517507, 46.8281032 -16.9516816, 46.8281411 -16.9516297, 46.8281935 -16.9515576, 46.8282732 -16.9514665, 46.8283392 -16.9514024, 46.8283979 -16.9513584, 46.8284908 -16.9513011, 46.8286164 -16.9512423, 46.8287386 -16.9512235, 46.8288656 -16.9511995, 46.8290214 -16.9511775, 46.8292271 -16.9511702, 46.8294024 -16.9511491)",2,,50
52170427,residential,False,False,148.899,,"LINESTRING (46.8279597 -16.9504293, 46.8276942 -16.9498092, 46.8274146 -16.949196)",2,,50
52170436,residential,False,False,78.087,,"LINESTRING (46.8279597 -16.9504293, 46.8278907 -16.9504785, 46.8278011 -16.9505356, 46.8273386 -16.950803)",2,,50
52170436,residential,False,True,47.247,,"LINESTRING (46.8279597 -16.9504293, 46.8280522 -16.9503885, 46.8281335 -16.9503416, 46.8282459 -16.9502939, 46.8283614 -16.9502496)",2,,50
52170440,residential,False,True,67.55,,"LINESTRING (46.8240282 -16.9541513, 46.8241412 -16.9535535)",,,
1216590357,unclassified,False,True,30.511,,"LINESTRING (46.8240282 -16.9541513, 46.8237627 -16.9540474)",,,
1216872573,residential,False,True,83.886,,"LINESTRING (46.8237277 -16.9491545, 46.8240021 -16.9491418, 46.8244324 -16.9491665, 46.8245149 -16.9491739)",,,
52170440,residential,False,False,67.55,,"LINESTRING (46.8241412 -16.9535535, 46.8240282 -16.9541513)",,,
52170440,residential,False,True,364.292,,"LINESTRING (46.8241412 -16.9535535, 46.8242401 -16.9530302, 46.8243983 -16.9524606, 46.824511 -16.9519526, 46.8245271 -16.9517986, 46.8245365 -16.9517088, 46.8245298 -16.9516011, 46.8245096 -16.9514792, 46.8244855 -16.9513817, 46.8244677 -16.9512918, 46.824448 -16.9511483, 46.8244796 -16.9503259)",,,
802187395,unclassified,False,True,69.59,,"LINESTRING (46.8241412 -16.9535535, 46.8240577 -16.9536331, 46.8239826 -16.9536844, 46.8239357 -16.9537242, 46.8238834 -16.9537896, 46.8237627 -16.9540474)",,,
1216590357,unclassified,False,False,30.511,,"LINESTRING (46.8237627 -16.9540474, 46.8240282 -16.9541513)",,,
802187395,unclassified,False,False,69.59,,"LINESTRING (46.8237627 -16.9540474, 46.8238834 -16.9537896, 46.8239357 -16.9537242, 46.8239826 -16.9536844, 46.8240577 -16.9536331, 46.8241412 -16.9535535)",,,
