osmid,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,name,junction,bridge
167932600,residential,False,False,101.53399999999999,,,,"LINESTRING (-3.0069957 35.1578112, -3.0069481 35.1573468, -3.0069431 35.1572856, -3.0069117 35.1569007)",,,
311225225,residential,False,True,139.732,,,,"LINESTRING (-3.0069957 35.1578112, -3.0061582 35.1578807, -3.0054668 35.1579404)",,,
167932587,residential,True,False,30.26,,,,"LINESTRING (-3.0063457 35.1535742, -3.0061966 35.1533309)",,,
167932602,residential,False,True,71.438,,,,"LINESTRING (-3.0063457 35.1535742, -3.0056422 35.1538604)",,,
167932602,residential,False,False,119.331,,,,"LINESTRING (-3.0063457 35.1535742, -3.0068187 35.1533817, -3.0071213 35.1532592, -3.0075263 35.1531054)",,,
167932599,residential,False,True,63.102,,,,"LINESTRING (-3.0068951 35.1565582, -3.0062044 35.1566144)",,,
167932600,residential,False,True,38.114,,,,"LINESTRING (-3.0068951 35.1565582, -3.0069117 35.1569007)",,,
167932600,residential,False,False,70.916,,,,"LINESTRING (-3.0068951 35.1565582, -3.0068783 35.1560584, -3.0068783 35.1559992, -3.006869 35.1559641, -3.0068487 35.1559248)",,,
167932602,residential,False,True,119.33099999999999,,,,"LINESTRING (-3.0075263 35.1531054, -3.0071213 35.1532592, -3.0068187 35.1533817, -3.0063457 35.1535742)",,,
311226041,secondary,False,False,34.791,2,RR610,40,"LINESTRING (-3.0075263 35.1531054, -3.007675 35.1532043, -3.0078235 35.1533025)",,,
311226041,secondary,False,True,44.414,2,RR610,40,"LINESTRING (-3.0075263 35.1531054, -3.007274 35.1529279, -3.0071563 35.1528446)",,,
167932604,residential,False,True,37.428,,,,"LINESTRING (-3.0039629 35.1548344, -3.0043332 35.1546873)",,,
311224822,residential,True,False,28.977,,,,"LINESTRING (-3.0039629 35.1548344, -3.0038293 35.1545978)",,,
586433705,residential,False,False,27.379,,,,"LINESTRING (-3.0017218 35.1582458, -3.0017373 35.1579999)",,,
585778743,residential,False,False,281.89,,,,"LINESTRING (-3.0017218 35.1582458, -3.0023173 35.1582009, -3.0026539 35.1581526, -3.0028483 35.1581088, -3.0031125 35.1580638, -3.0035377 35.158043, -3.0047983 35.1579728)",,,
585778744,residential,False,True,213.709,,,,"LINESTRING (-3.0017218 35.1582458, -3.0012658 35.1582579, -3.0010459 35.1582634, -3.000956 35.1582776, -3.0008554 35.1583061, -3.0007321 35.1583533, -3.0005296 35.1584476, -3.0004531 35.1584904, -3.0003606 35.1585331, -3.0002131 35.1586033, -2.9995539 35.1588741)",,,
167932592,living_street,False,False,38.1,,,,"LINESTRING (-3.0036786 35.1543568, -3.0040537 35.154204)",,,
311224822,residential,True,False,40.004,,,,"LINESTRING (-3.0036786 35.1543568, -3.0034962 35.1540294)",,,
167932588,residential,False,False,90.48700000000001,,,,"LINESTRING (-3.005604 35.1587177, -3.0057666 35.1586724, -3.0058993 35.1586471, -3.0060308 35.1586208, -3.0061474 35.1586055, -3.0062453 35.1585956, -3.0064157 35.158589, -3.0065803 35.158587)",,,
585778738,residential,False,False,72.501,,,,"LINESTRING (-3.005604 35.1587177, -3.0058739 35.1591065, -3.0060028 35.1592823)",,,
"[585778738, 586433710]",residential,False,True,90.395,,,,"LINESTRING (-3.005604 35.1587177, -3.0054622 35.1584971, -3.0054352 35.1583957, -3.0054228 35.1583221, -3.0054174 35.1582258, -3.0054214 35.1581589, -3.0054349 35.158043, -3.0054668 35.1579404)",,,
167932589,residential,False,True,78.876,,,,"LINESTRING (-3.0037466 35.1527211, -3.0029725 35.1530414)",,,
167932589,residential,False,False,65.081,,,,"LINESTRING (-3.0037466 35.1527211, -3.0043457 35.1524874, -3.0043953 35.1524745)",,,
585778730,residential,True,False,120.83800000000001,,,,"LINESTRING (-3.0037466 35.1527211, -3.0039328 35.1530287, -3.0041624 35.1534044, -3.0043275 35.1536984)",,,
586433686,residential,False,False,49.294,,,,"LINESTRING (-3.0025426 35.1565562, -3.0028242 35.1564926, -3.0030669 35.1564433)",,,
586433686,residential,False,True,64.40599999999999,,,,"LINESTRING (-3.0025426 35.1565562, -3.0022354 35.156611, -3.002108 35.1566264, -3.0019994 35.1566363, -3.0018438 35.156645)",,,
586433707,residential,False,True,100.42,,,,"LINESTRING (-3.0025426 35.1565562, -3.0026472 35.157008, -3.0028093 35.157431)",,,
167932603,residential,False,False,40.437,,,,"LINESTRING (-3.0030669 35.1564433, -3.0034933 35.1563398)",,,
586433709,residential,False,True,90.043,,,,"LINESTRING (-3.0030669 35.1564433, -3.0033162 35.157227)",,,
586433686,residential,False,True,49.294,,,,"LINESTRING (-3.0030669 35.1564433, -3.0028242 35.1564926, -3.0025426 35.1565562)",,,
167932592,living_street,False,True,48.68,,,,"LINESTRING (-3.006676 35.1531359, -3.0061966 35.1533309)",,,
167932600,residential,False,True,70.916,,,,"LINESTRING (-3.0068487 35.1559248, -3.006869 35.1559641, -3.0068783 35.1559992, -3.0068783 35.1560584, -3.0068951 35.1565582)",,,
311224819,residential,False,False,22.95,,,,"LINESTRING (-3.0068487 35.1559248, -3.00681 35.1559049, -3.0067536 35.1558896, -3.0067107 35.1558786, -3.0066101 35.1558632)",,,
728040277,residential,False,True,7.681,,,,"LINESTRING (-3.0068487 35.1559248, -3.0068814 35.1559033, -3.0069103 35.1558778)",,,
167932588,residential,False,True,47.053,,,,"LINESTRING (-3.0075447 35.1585999, -3.0070299 35.1585561)",,,
311224822,residential,True,False,37.527,,,,"LINESTRING (-3.0041396 35.1551394, -3.0039629 35.1548344)",,,
167932604,residential,False,False,47.535,,,,"LINESTRING (-3.0048035 35.1545005, -3.0043332 35.1546873)",,,
167932604,residential,False,True,60.062,,,,"LINESTRING (-3.0048035 35.1545005, -3.0053977 35.1542644)",,,
311224824,residential,False,False,29.763,,,,"LINESTRING (-3.0048035 35.1545005, -3.0046603 35.1542598)",,,
"[311224824, 585778734]",residential,False,True,26.233999999999998,,,,"LINESTRING (-3.0048035 35.1545005, -3.0048971 35.1546575, -3.0049216 35.1547154)",,,
167932586,residential,False,True,182.57600000000002,,,,"LINESTRING (-3.0016963 35.1546977, -3.0018777 35.1553882, -3.0018945 35.1555118, -3.0018982 35.1556026, -3.0018827 35.1559784, -3.0018693 35.1563227)",,,
585778732,residential,False,False,113.542,,,,"LINESTRING (-3.0016963 35.1546977, -3.0016346 35.1545299, -3.0015381 35.1542098, -3.0014442 35.153997, -3.001298 35.1537328)",,,
586433724,secondary,False,False,43.821,4,RR610,60,"LINESTRING (-3.0016963 35.1546977, -3.0018088 35.1546745, -3.0019257 35.1546407, -3.0021524 35.1545715)",Boulevard Mohammed V شارع محمد الخامس,,
586433724,secondary,False,True,144.455,4,RR610,60,"LINESTRING (-3.0016963 35.1546977, -3.0015765 35.1547127, -3.0005832 35.1548457, -3.0001286 35.1549093)",Boulevard Mohammed V شارع محمد الخامس,,
167932602,residential,False,False,37.153,,,,"LINESTRING (-3.0038293 35.1545978, -3.0041952 35.154449)",,,
311224822,residential,True,False,30.097,,,,"LINESTRING (-3.0038293 35.1545978, -3.0036786 35.1543568)",,,
311225226,residential,False,False,21.4,,,,"LINESTRING (-3.0026421 35.1523827, -3.0027348 35.1525596)",,,
585778731,residential,False,True,14.448,,,,"LINESTRING (-3.0026421 35.1523827, -3.0024847 35.1524006)",,,
311224841,residential,False,False,74.151,,,,"LINESTRING (-3.0026421 35.1523827, -3.0027846 35.152309, -3.0028728 35.1522643, -3.002959 35.1522322, -3.0030502 35.1522004, -3.0033728 35.1520908)",,,
585778731,residential,False,False,19.058,,,,"LINESTRING (-3.001113 35.1525479, -3.0013201 35.1525214)",,,
317719500,residential,False,False,17.487000000000002,,,,"LINESTRING (-3.001113 35.1525479, -3.001096 35.1524708, -3.0010771 35.1523934)",,,
588936727,residential,False,True,139.531,,,,"LINESTRING (-3.001113 35.1525479, -3.0008447 35.1526352, -3.0005966 35.1527284, -3.0002305 35.1528863, -2.9997329 35.1530946)",,,
728051261,residential,False,True,61.580999999999996,,,,"LINESTRING (-3.001113 35.1525479, -3.0011351 35.152684, -3.0012082 35.1530671, -3.0012122 35.1530957)",,,
167932589,residential,False,False,78.876,,,,"LINESTRING (-3.0029725 35.1530414, -3.0037466 35.1527211)",,,
167932589,residential,False,True,57.081,,,,"LINESTRING (-3.0029725 35.1530414, -3.0024123 35.1532732)",,,
311225226,residential,False,True,31.868,,,,"LINESTRING (-3.0029725 35.1530414, -3.0028414 35.1527756)",,,
167932592,living_street,False,False,18.046,,,,"LINESTRING (-3.0053223 35.1536893, -3.0054989 35.1536152)",,,
167932592,living_street,False,True,11.829,,,,"LINESTRING (-3.0053223 35.1536893, -3.0052048 35.153735)",,,
311224838,living_street,False,False,37.838,,,,"LINESTRING (-3.0053223 35.1536893, -3.0051573 35.1533769)",,,
311224838,living_street,False,False,35.94,,,,"LINESTRING (-3.0051573 35.1533769, -3.004992 35.1530833)",,,
311224838,living_street,False,True,37.838,,,,"LINESTRING (-3.0051573 35.1533769, -3.0053223 35.1536893)",,,
311225229,secondary,False,False,86.878,4,RR610,60,"LINESTRING (-3.0051573 35.1533769, -3.005717 35.1531516, -3.0060121 35.1530277)",Boulevard Mohammed V شارع محمد الخامس,,
311225229,secondary,False,True,83.486,4,RR610,60,"LINESTRING (-3.0051573 35.1533769, -3.0047138 35.1535453, -3.0045059 35.1536277, -3.0043275 35.1536984)",Boulevard Mohammed V شارع محمد الخامس,,
167932602,residential,False,False,29.335,,,,"LINESTRING (-3.0053533 35.1539779, -3.0056422 35.1538604)",,,
167932602,residential,False,True,70.37,,,,"LINESTRING (-3.0053533 35.1539779, -3.0046603 35.1542598)",,,
