osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction
529402204,,residential,30,False,False,53.071,"LINESTRING (51.5321235 32.545605, 51.5323383 32.5457822, 51.532476 32.5459737)",
1088914724,مطهری,secondary,50,True,False,51.903,"LINESTRING (51.5317913 32.5453824, 51.531434 32.545739)",
529241557,,residential,30,False,True,39.92,"LINESTRING (51.5317913 32.5453824, 51.5319651 32.5454795, 51.5321235 32.545605)",
529241556,بوستان,residential,30,False,False,20.745,"LINESTRING (51.5336805 32.5451414, 51.5338121 32.5452914)",
460915267,,residential,30,False,False,144.285,"LINESTRING (51.5336805 32.5451414, 51.5335172 32.5453487, 51.5334317 32.5453754, 51.5333177 32.5454768, 51.5330309 32.5457217, 51.532833 32.5458907, 51.5326665 32.5460983)",
529241556,بوستان,residential,30,False,True,48.461,"LINESTRING (51.5336805 32.5451414, 51.5336442 32.5451, 51.5335237 32.5450176, 51.5334616 32.5449751, 51.5332566 32.544906)",
460915267,,residential,30,False,True,12.165,"LINESTRING (51.5324592 32.5462993, 51.5325491 32.5462204)",
460915267,,residential,30,False,False,12.165,"LINESTRING (51.5325491 32.5462204, 51.5324592 32.5462993)",
460915268,,residential,30,False,False,55.41,"LINESTRING (51.5325491 32.5462204, 51.5330251 32.5465159)",
460915267,,residential,30,False,True,17.541,"LINESTRING (51.5325491 32.5462204, 51.5326145 32.5461631, 51.5326665 32.5460983)",
529241556,بوستان,residential,30,False,False,15.502,"LINESTRING (51.5340144 32.5454, 51.5341724 32.5454412)",
460915269,,residential,30,False,False,88.69,"LINESTRING (51.5340144 32.5454, 51.533891 32.5455302, 51.5337548 32.5456851, 51.5335933 32.545832, 51.5334856 32.5459521, 51.5333863 32.5459769)",
529241556,بوستان,residential,30,False,True,22.697000000000003,"LINESTRING (51.5340144 32.5454, 51.5339651 32.5453871, 51.5338121 32.5452914)",
529241556,بوستان,residential,30,False,False,69.093,"LINESTRING (51.5343775 32.5455333, 51.5349242 32.5459501)",
460915270,,residential,30,False,False,169.92000000000002,"LINESTRING (51.5343775 32.5455333, 51.5342331 32.5456451, 51.5339639 32.5458453, 51.533815 32.5459628, 51.5338023 32.5461177, 51.5336471 32.5463687, 51.5335521 32.546617, 51.5334226 32.5467714)",
529241556,بوستان,residential,30,False,True,21.882,"LINESTRING (51.5343775 32.5455333, 51.534355 32.5455161, 51.5341724 32.5454412)",
