osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,ref,lanes,bridge
447885463,بلوار بسیج,primary,,True,False,156.26600000000002,"LINESTRING (45.7219131 36.7692982, 45.721894 36.7688862, 45.7218733 36.7682731, 45.7218573 36.7678936)",,,,
447885464,,primary,,True,False,38.057,"LINESTRING (45.7222885 36.7676286, 45.7219057 36.7674766)",,,,
452541656,,primary_link,,True,False,30.034,"LINESTRING (45.7222885 36.7676286, 45.7221827 36.7676134, 45.722107 36.7676208, 45.7220509 36.7676362, 45.7219767 36.7676826)",,,,
301652515,,secondary,,True,False,64.547,"LINESTRING (45.7169612 36.7669754, 45.7169008 36.7670796, 45.7168405 36.7671666, 45.7167721 36.7672375, 45.7166782 36.7673235, 45.7166329 36.76737, 45.7166047 36.7673973, 45.7165474 36.7674472)",,,,
459204956,شهید مامند گلابی,secondary,,False,False,72.916,"LINESTRING (45.7169612 36.7669754, 45.7172323 36.7668682, 45.7174506 36.7667652, 45.7176835 36.7666675)",,,,
301655569,جمهوری اسلامی,tertiary,,True,False,68.964,"LINESTRING (45.7217585 36.7643754, 45.7217581 36.7642138, 45.7217454 36.7637553)",40,,,
798536451,,residential,,False,False,80.94599999999998,"LINESTRING (45.7217585 36.7643754, 45.7214682 36.7643648, 45.7213196 36.7643878, 45.7212148 36.7644203, 45.7211557 36.7644866, 45.7211408 36.7645612, 45.7210891 36.7646054, 45.7210113 36.764628)",,,,
430473860,صلاح الدین ایوبی غربی,tertiary,,False,False,96.287,"LINESTRING (45.7162901 36.7625058, 45.7173375 36.7622919)",,,,
301655561,طالقانی غربی,residential,,True,False,67.995,"LINESTRING (45.7189132 36.7651285, 45.7181505 36.7651039)",,,,
616037701,قاضی,residential,,True,False,191.847,"LINESTRING (45.7189132 36.7651285, 45.7188916 36.7650469, 45.718831 36.7647131, 45.7188924 36.7645754, 45.7190091 36.7644573, 45.7190828 36.7643147, 45.7191319 36.7641229, 45.719095 36.7639605, 45.7191012 36.7636802, 45.7193353 36.7635809)",30,,,
424472178,نماز,primary,roundabout,True,False,24.183,"LINESTRING (45.7236585 36.7672558, 45.7236426 36.7672214, 45.7236429 36.7671847, 45.7236595 36.7671505, 45.7236902 36.7671233, 45.7237309 36.7671065, 45.7237731 36.7671023)",,,,
424472179,,primary,,True,False,28.444,"LINESTRING (45.7236585 36.7672558, 45.723588 36.7672382, 45.7234997 36.7672195, 45.7233476 36.7671995)",,,,
301652507,میدان مادر,primary,roundabout,True,False,5.122,"LINESTRING (45.7163425 36.7673798, 45.7163999 36.7673771)",,11,,
422598719,,tertiary,,True,False,91.696,"LINESTRING (45.7204025 36.7659713, 45.7204542 36.7651477)",90,,4,
"[1244506674, 452541651, 424472181]","['خیابان شهیدان علی پنجه', 'پل حکمت']",primary,,True,False,73.546,"LINESTRING (45.7233476 36.7671995, 45.7233128 36.7672367, 45.722914 36.7676936, 45.7228813 36.7677447)",,,,yes
452541648,صلاح الدین ایوبی غریی,tertiary,,True,False,15.544,"LINESTRING (45.7182451 36.7621066, 45.718076 36.7621411)",30,,,
422821018,ماورانی,residential,,False,True,54.229000000000006,"LINESTRING (45.7182451 36.7621066, 45.7182268 36.7620385, 45.7182176 36.7619712, 45.7182372 36.7619172, 45.7182482 36.7618424, 45.7182921 36.7617589, 45.718409 36.7616714)",30,,,
301652507,میدان مادر,primary,roundabout,True,False,15.74,"LINESTRING (45.7163999 36.7673771, 45.7164559 36.7673878, 45.7165073 36.7674119, 45.7165474 36.7674472)",,11,,
452778223,,secondary,,True,False,68.28200000000001,"LINESTRING (45.7163999 36.7673771, 45.7164427 36.7673074, 45.7165065 36.7672408, 45.7165696 36.7671935, 45.7166661 36.7671237, 45.7169612 36.7669754)",,,,
617784534,نظامی,residential,,False,True,48.941,"LINESTRING (45.7241657 36.7633293, 45.7247104 36.7632718)",,,,
625447068,,primary,,True,False,27.346,"LINESTRING (45.7228813 36.7677447, 45.7227575 36.7677745, 45.7225801 36.7677832)",,,,
726949637,,residential,,False,False,35.285,"LINESTRING (45.719809 36.7621024, 45.7194445 36.7622266)",,,,
422821007,,residential,,False,False,50.99,"LINESTRING (45.719809 36.7621024, 45.7198145 36.7621137, 45.7199376 36.7623396, 45.7199591 36.7624285, 45.7198747 36.7625145)",30,,,
422821007,,residential,,False,True,33.197,"LINESTRING (45.719809 36.7621024, 45.7197247 36.7619295, 45.71968 36.7618224)",30,,,
726949637,,residential,,False,True,35.285,"LINESTRING (45.7194445 36.7622266, 45.719809 36.7621024)",,,,
1242592053,,tertiary,,False,False,53.381,"LINESTRING (45.7218384 36.7658838, 45.7217967 36.7654049)",,,,
1242592053,,tertiary,,False,True,11.633,"LINESTRING (45.7218384 36.7658838, 45.7218407 36.7659884)",,,,
747919139,,residential,,False,True,77.479,"LINESTRING (45.7218384 36.7658838, 45.721942 36.7658839, 45.7220386 36.7658893, 45.722166 36.7658936, 45.7222411 36.7659, 45.7222724 36.7659005, 45.7222988 36.7658936, 45.7226001 36.7656741)",30,,,
747919138,,residential,,False,True,44.237,"LINESTRING (45.7221833 36.7654614, 45.7223229 36.7655165, 45.7223926 36.7655487, 45.7224652 36.7655844, 45.7225013 36.7656099, 45.7226001 36.7656741)",30,,,
427100351,,residential,,False,True,75.839,"LINESTRING (45.7228553 36.7658789, 45.7222636 36.7663693)",30,,,
747919138,,residential,,False,True,56.552,"LINESTRING (45.7228553 36.7658789, 45.7232806 36.7662565)",30,,,
747919138,,residential,,False,False,32.198,"LINESTRING (45.7228553 36.7658789, 45.7226983 36.7657603, 45.7226001 36.7656741)",30,,,
400134277,کوی سوم,residential,,False,True,35.04,"LINESTRING (45.7270579 36.7639312, 45.7266876 36.7640375)",30,,,
