osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction
522104022,False,,residential,,True,122.907,"LINESTRING (46.2453921 34.282791, 46.2450925 34.2824182, 46.2450396 34.2823523, 46.2449183 34.2822013, 46.2448764 34.2819294, 46.2448278 34.2818127)",
540961178,False,,residential,,False,30.822,"LINESTRING (46.2453921 34.282791, 46.2455391 34.2828103, 46.245723 34.282784)",
522104015,False,,residential,,True,226.33599999999998,"LINESTRING (46.2440313 34.2851155, 46.2430003 34.2853441, 46.2417378 34.2852834, 46.2416073 34.2852963)",
522101923,False,,tertiary,,False,154.69,"LINESTRING (46.2385138 34.2785619, 46.238865 34.2787227, 46.2398574 34.2790033, 46.2400889 34.2789801)",
137329167,True,بلوار ولیعصر,secondary,50,False,50.02,"LINESTRING (46.2395547 34.2784287, 46.2399367 34.2787492)",
137329167,True,بلوار ولیعصر,secondary,50,False,32.896,"LINESTRING (46.2402252 34.2789914, 46.2404764 34.2792022)",
540953879,False,افضلی,residential,,False,62.997,"LINESTRING (46.2402252 34.2789914, 46.2407506 34.2786274)",
540953879,False,افضلی,residential,,True,62.997,"LINESTRING (46.2407506 34.2786274, 46.2402252 34.2789914)",
540953880,False,نجفی,residential,,False,56.352,"LINESTRING (46.2404764 34.2792022, 46.2409505 34.2788807)",
137329167,True,بلوار ولیعصر,secondary,50,False,217.228,"LINESTRING (46.2404764 34.2792022, 46.241319 34.2799111, 46.2417407 34.2802685, 46.2419453 34.2804402, 46.2421525 34.2805781)",
540953880,False,نجفی,residential,,True,56.352,"LINESTRING (46.2409505 34.2788807, 46.2404764 34.2792022)",
137329167,True,بلوار ولیعصر,secondary,50,False,37.788,"LINESTRING (46.2399367 34.2787492, 46.2402252 34.2789914)",
522101914,False,,residential,,False,18.036,"LINESTRING (46.2443117 34.278986, 46.2443107 34.2791482)",
540957028,False,,residential,,True,266.694,"LINESTRING (46.2443117 34.278986, 46.2441221 34.2791109, 46.243891 34.2792439, 46.2433507 34.2796414, 46.242703 34.2800804, 46.242423 34.2803045, 46.2421525 34.2805781)",
540959700,False,,residential,,False,26.483,"LINESTRING (46.2402032 34.2854745, 46.2403082 34.2856963)",
540959716,False,دلنواز,tertiary,,False,58.41,"LINESTRING (46.2402032 34.2854745, 46.2407333 34.2851845)",
540959716,False,دلنواز,tertiary,,True,95.624,"LINESTRING (46.2402032 34.2854745, 46.2400486 34.2855591, 46.2397837 34.2861887, 46.2397693 34.2862271)",
540959700,False,,residential,,False,85.827,"LINESTRING (46.2403082 34.2856963, 46.2412325 34.2855843)",
540959700,False,,residential,,True,26.483,"LINESTRING (46.2403082 34.2856963, 46.2402032 34.2854745)",
540959702,False,,residential,,False,121.836,"LINESTRING (46.2403082 34.2856963, 46.2402627 34.2857436, 46.2402852 34.2859816, 46.2412317 34.2858302)",
540959700,False,,residential,,True,85.827,"LINESTRING (46.2412325 34.2855843, 46.2403082 34.2856963)",
540959702,False,,residential,,True,27.343,"LINESTRING (46.2412325 34.2855843, 46.2412317 34.2858302)",
540959700,False,,residential,,False,29.899,"LINESTRING (46.2412325 34.2855843, 46.2414297 34.2856047, 46.2415499 34.2856378)",
540959700,False,,residential,,True,96.892,"LINESTRING (46.2427749 34.285576, 46.2417239 34.2856481)",
540959702,False,,residential,,False,27.343,"LINESTRING (46.2412317 34.2858302, 46.2412325 34.2855843)",
540959702,False,,residential,,True,121.836,"LINESTRING (46.2412317 34.2858302, 46.2402852 34.2859816, 46.2402627 34.2857436, 46.2403082 34.2856963)",
