osmid,highway,oneway,reversed,length,name,geometry
665347848,unclassified,False,True,15.901,Calle Vásquez Colmenares,"LINESTRING (-96.2389433 16.7756173, -96.2390909 16.7756392)"
665347848,unclassified,False,False,198.93,Calle Vásquez Colmenares,"LINESTRING (-96.2389433 16.7756173, -96.2387484 16.7755884, -96.2385875 16.7756385, -96.2384614 16.7757438, -96.2383984 16.7760057, -96.2383615 16.7760866, -96.2382106 16.776215, -96.2380739 16.7765026, -96.2379786 16.7766362, -96.2379102 16.7767851, -96.237915 16.7768722)"
938655986,residential,False,False,105.03099999999999,,"LINESTRING (-96.2389433 16.7756173, -96.2387746 16.7758503, -96.2387732 16.7759043, -96.2388276 16.7760275, -96.2388128 16.7762574, -96.2387484 16.7764924)"
665347855,unclassified,False,False,94.001,Calle Chilpancingo,"LINESTRING (-96.2340271 16.778202, -96.2342036 16.7785923, -96.2342638 16.7787651, -96.2343563 16.7789859)"
665347855,unclassified,False,True,71.179,Calle Chilpancingo,"LINESTRING (-96.2340271 16.778202, -96.234066 16.7781815, -96.2344663 16.778082, -96.2345072 16.7780223, -96.2344891 16.7778932)"
938688749,residential,False,False,58.993,,"LINESTRING (-96.2340271 16.778202, -96.2338018 16.7783176, -96.2337361 16.778306, -96.2337153 16.7782425, -96.2338024 16.7781115)"
665347888,residential,False,False,5.871,Calle Independencia,"LINESTRING (-96.2385057 16.7754478, -96.2385431 16.7754866)"
665347888,residential,False,True,104.151,Calle Independencia,"LINESTRING (-96.2385057 16.7754478, -96.2382066 16.7753367, -96.2380041 16.7753354, -96.2376447 16.7756025)"
938688743,residential,False,True,47.313,,"LINESTRING (-96.2385057 16.7754478, -96.2385439 16.7753329, -96.2385379 16.7753014, -96.2383327 16.775112)"
938688743,residential,False,False,47.313,,"LINESTRING (-96.2383327 16.775112, -96.2385379 16.7753014, -96.2385439 16.7753329, -96.2385057 16.7754478)"
665347882,unclassified,False,False,22.904,,"LINESTRING (-96.2390434 16.7748127, -96.2390609 16.7746074)"
"[665347882, 665208947]",unclassified,False,True,85.795,Calle Independencia,"LINESTRING (-96.2390434 16.7748127, -96.2390395 16.7748578, -96.2390341 16.7750286, -96.2390557 16.7752251, -96.2392567 16.7755268)"
938688744,residential,False,True,72.084,,"LINESTRING (-96.2390434 16.7748127, -96.2392165 16.7746754, -96.2394096 16.7742838)"
938688744,residential,False,False,72.084,,"LINESTRING (-96.2394096 16.7742838, -96.2392165 16.7746754, -96.2390434 16.7748127)"
938688745,residential,False,False,79.51299999999999,,"LINESTRING (-96.2347855 16.780876, -96.2352052 16.7810044, -96.2352817 16.7810442, -96.2354008 16.7812204)"
938692119,residential,False,True,33.308,Calle Morelos,"LINESTRING (-96.2356544 16.7778752, -96.2359599 16.7778106)"
665347845,unclassified,False,True,305.186,Calle Los Pinos,"LINESTRING (-96.2354008 16.7812204, -96.2353954 16.7810805, -96.2353434 16.7804702, -96.2352347 16.7802455, -96.2350926 16.7800902, -96.2350966 16.7799746, -96.2351423 16.7798489, -96.2352312 16.7797953, -96.2354702 16.7797049, -96.2360214 16.7797198, -96.2361386 16.7797178, -96.2363402 16.7796268, -96.2363561 16.7795835, -96.2363434 16.7795419)"
938688745,residential,False,True,79.513,,"LINESTRING (-96.2354008 16.7812204, -96.2352817 16.7810442, -96.2352052 16.7810044, -96.2347855 16.780876)"
938688748,residential,False,True,108.78200000000001,,"LINESTRING (-96.2354008 16.7812204, -96.2357819 16.7812419, -96.2364122 16.7813485)"
938688749,residential,False,True,58.993,,"LINESTRING (-96.2338024 16.7781115, -96.2337153 16.7782425, -96.2337361 16.778306, -96.2338018 16.7783176, -96.2340271 16.778202)"
665347860,unclassified,False,False,7.257,Calle Independencia,"LINESTRING (-96.2370811 16.7772773, -96.2370203 16.7773068)"
665347860,unclassified,False,True,89.72399999999999,Calle Independencia,"LINESTRING (-96.2370811 16.7772773, -96.2372718 16.777044, -96.237296 16.7767594, -96.2374006 16.7765578)"
938688751,residential,False,True,140.154,,"LINESTRING (-96.2370811 16.7772773, -96.237127 16.7772987, -96.2371834 16.777291, -96.2373604 16.7771498, -96.2374717 16.7770249, -96.2374985 16.7770185, -96.2375217 16.7770284, -96.237521 16.7771154, -96.2375461 16.7771299, -96.2375803 16.777126, -96.2376179 16.7770567, -96.2376507 16.7770522, -96.2377466 16.7771202, -96.237809 16.7771318, -96.2378586 16.7770926, -96.237915 16.7768722)"
665347848,unclassified,False,False,48.377,Calle Vásquez Colmenares,"LINESTRING (-96.237915 16.7768722, -96.2379196 16.7769546, -96.2380417 16.7772872)"
665347848,unclassified,False,True,198.93,Calle Vásquez Colmenares,"LINESTRING (-96.237915 16.7768722, -96.2379102 16.7767851, -96.2379786 16.7766362, -96.2380739 16.7765026, -96.2382106 16.776215, -96.2383615 16.7760866, -96.2383984 16.7760057, -96.2384614 16.7757438, -96.2385875 16.7756385, -96.2387484 16.7755884, -96.2389433 16.7756173)"
938688751,residential,False,False,140.154,,"LINESTRING (-96.237915 16.7768722, -96.2378586 16.7770926, -96.237809 16.7771318, -96.2377466 16.7771202, -96.2376507 16.7770522, -96.2376179 16.7770567, -96.2375803 16.777126, -96.2375461 16.7771299, -96.237521 16.7771154, -96.2375217 16.7770284, -96.2374985 16.7770185, -96.2374717 16.7770249, -96.2373604 16.7771498, -96.2371834 16.777291, -96.237127 16.7772987, -96.2370811 16.7772773)"
665347871,residential,False,False,10.113,Calle Hidalgo,"LINESTRING (-96.2360285 16.7783328, -96.2361031 16.7782765)"
665347871,residential,False,True,3.608,Calle Hidalgo,"LINESTRING (-96.2360285 16.7783328, -96.2360019 16.7783529)"
938688752,residential,False,False,163.583,,"LINESTRING (-96.2360285 16.7783328, -96.2361024 16.7784877, -96.2363143 16.7786887, -96.2363318 16.7788036, -96.2362593 16.7790488, -96.2361749 16.7791836, -96.2361427 16.7793185, -96.236199 16.7795136, -96.2362513 16.7795432, -96.2363434 16.7795419)"
938688753,residential,False,False,124.952,,"LINESTRING (-96.2366617 16.7752828, -96.2368172 16.7755268, -96.2368441 16.7755743, -96.236832 16.7758234, -96.2368374 16.7759158, -96.2369245 16.7763498)"
665347861,residential,False,False,6.889,Calle Morelos,"LINESTRING (-96.2359599 16.7778106, -96.2359113 16.7778515)"
938692119,residential,False,False,33.308,Calle Morelos,"LINESTRING (-96.2359599 16.7778106, -96.2356544 16.7778752)"
665347861,residential,False,True,32.245,Calle Morelos,"LINESTRING (-96.2359599 16.7778106, -96.2360119 16.7777401, -96.2360153 16.7776955, -96.2359771 16.7776498, -96.2358808 16.77761)"
665347845,unclassified,False,False,305.18600000000004,Calle Los Pinos,"LINESTRING (-96.2363434 16.7795419, -96.2363561 16.7795835, -96.2363402 16.7796268, -96.2361386 16.7797178, -96.2360214 16.7797198, -96.2354702 16.7797049, -96.2352312 16.7797953, -96.2351423 16.7798489, -96.2350966 16.7799746, -96.2350926 16.7800902, -96.2352347 16.7802455, -96.2353434 16.7804702, -96.2353954 16.7810805, -96.2354008 16.7812204)"
"[665347848, 665347845]",unclassified,False,True,194.944,"['Calle Vásquez Colmenares', 'Calle Los Pinos']","LINESTRING (-96.2363434 16.7795419, -96.2363184 16.7794603, -96.2363127 16.7793856, -96.2364138 16.7791736, -96.2365892 16.7789536, -96.2369613 16.7786726, -96.2370478 16.7785111, -96.2371086 16.7782786, -96.2372621 16.7781307)"
938688752,residential,False,True,163.583,,"LINESTRING (-96.2363434 16.7795419, -96.2362513 16.7795432, -96.236199 16.7795136, -96.2361427 16.7793185, -96.2361749 16.7791836, -96.2362593 16.7790488, -96.2363318 16.7788036, -96.2363143 16.7786887, -96.2361024 16.7784877, -96.2360285 16.7783328)"
