osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed
142780303,False,,Belgrano,residential,False,65.18,"LINESTRING (-64.9691664 -25.7998538, -64.9697663 -25.799626)",40
327694543,False,,Domingo F. Sarmiento,residential,False,62.321,"LINESTRING (-64.9690069 -25.7981183, -64.9692626 -25.7986293)",
327694543,False,,Domingo F. Sarmiento,residential,False,63.658,"LINESTRING (-64.9695052 -25.799104, -64.9697663 -25.799626)",
327694543,False,,Domingo F. Sarmiento,residential,True,58.104,"LINESTRING (-64.9695052 -25.799104, -64.9692626 -25.7986293)",
131014735,False,2,Figueroa Alcorta,residential,True,107.292,"LINESTRING (-64.9777468 -25.7951989, -64.9787086 -25.7947733)",
203405566,False,,,residential,False,45.84,"LINESTRING (-64.9777468 -25.7951989, -64.9775774 -25.7948159)",
799015857,True,2,Figueroa Alcorta,residential,False,130.173,"LINESTRING (-64.9777468 -25.7951989, -64.9765638 -25.7956847)",
203405566,False,,,residential,True,55.039,"LINESTRING (-64.9777468 -25.7951989, -64.9779164 -25.7954717, -64.9780281 -25.7956238)",
203405566,False,,,residential,True,16.213,"LINESTRING (-64.9785781 -25.7962299, -64.9786158 -25.7963717)",
203405566,False,,,residential,False,87.507,"LINESTRING (-64.9785781 -25.7962299, -64.9785248 -25.7961256, -64.9780281 -25.7956238)",
203405566,False,,,residential,False,30.185,"LINESTRING (-64.9786055 -25.796643, -64.9786158 -25.7963717)",
203405532,False,,,residential,False,32.583999999999996,"LINESTRING (-64.9786055 -25.796643, -64.9788734 -25.7965382, -64.9789065 -25.7965344)",
203405566,False,,,residential,True,161.35700000000003,"LINESTRING (-64.9786055 -25.796643, -64.9784055 -25.7969402, -64.978253 -25.7972646, -64.9782132 -25.7973384, -64.9781348 -25.7974053, -64.9779941 -25.7974804, -64.9777579 -25.7975792, -64.9775641 -25.7976552)",
250641552,False,2,Mitre,residential,False,84.919,"LINESTRING (-64.9735719 -25.7956837, -64.9743459 -25.7953713)",
250641552,False,2,Mitre,residential,True,13.876,"LINESTRING (-64.9735719 -25.7956837, -64.9734454 -25.7957347)",
114332380,True,,San Martín,secondary,False,123.125,"LINESTRING (-64.9732464 -25.7958152, -64.9737359 -25.796831)",
131016293,False,2,Mitre,residential,True,26.634,"LINESTRING (-64.9732464 -25.7958152, -64.9730036 -25.7959131)",
250641552,False,2,Mitre,residential,False,21.841,"LINESTRING (-64.9732464 -25.7958152, -64.9734454 -25.7957347)",
250641556,True,,,secondary,False,28.018,"LINESTRING (-64.9732464 -25.7958152, -64.9732026 -25.7958298, -64.973156 -25.7958311, -64.9731114 -25.7958191, -64.9730732 -25.7957949, -64.9730456 -25.7957611, -64.9730313 -25.7957211)",
131016293,False,2,Mitre,residential,False,26.634,"LINESTRING (-64.9730036 -25.7959131, -64.9732464 -25.7958152)",
131016293,False,2,Mitre,residential,True,93.669,"LINESTRING (-64.9730036 -25.7959131, -64.9721499 -25.7962578)",
250641551,True,,,residential,False,21.852999999999998,"LINESTRING (-64.9730036 -25.7959131, -64.973028 -25.7958418, -64.9730387 -25.7957911, -64.9730313 -25.7957211)",
250642094,True,,,residential,False,120.525,"LINESTRING (-64.9730036 -25.7959131, -64.9726283 -25.7951101, -64.9725221 -25.7949201)",
131016115,False,2,Coronel Casanovas,residential,True,20.974,"LINESTRING (-64.9727131 -25.7948426, -64.9725221 -25.7949201)",
250641554,True,2,Avenida Los Españoles,secondary,False,101.607,"LINESTRING (-64.9727131 -25.7948426, -64.9730736 -25.795395, -64.9731514 -25.7954941, -64.9732693 -25.7956025)",
250691906,True,2,Avenida Los Españoles,secondary,False,102.801,"LINESTRING (-64.9730313 -25.7957211, -64.9729824 -25.7955496, -64.9729395 -25.7954289, -64.9727131 -25.7948426)",
424719672,True,,,secondary,False,35.134,"LINESTRING (-64.9730313 -25.7957211, -64.9730325 -25.795676, -64.9730506 -25.7956339, -64.9730836 -25.7955999, -64.9731275 -25.7955781, -64.973177 -25.7955709, -64.9732262 -25.7955794, -64.9732693 -25.7956025)",
250641555,True,,,residential,False,15.571,"LINESTRING (-64.9732693 -25.7956025, -64.9733552 -25.7956534, -64.9734063 -25.795665)",
424719671,True,,,secondary,False,27.711,"LINESTRING (-64.9732693 -25.7956025, -64.9732991 -25.7956342, -64.9733163 -25.7956727, -64.9733192 -25.7957142, -64.9733075 -25.7957544, -64.9732824 -25.7957892, -64.9732464 -25.7958152)",
250642526,True,,,residential,False,8.683,"LINESTRING (-64.9734063 -25.795665, -64.9734454 -25.7957347)",
250641555,True,,,residential,False,16.742,"LINESTRING (-64.9734063 -25.795665, -64.973441 -25.7956728, -64.9735719 -25.7956837)",
250641552,False,2,Mitre,residential,False,13.876,"LINESTRING (-64.9734454 -25.7957347, -64.9735719 -25.7956837)",
250641552,False,2,Mitre,residential,True,21.841,"LINESTRING (-64.9734454 -25.7957347, -64.9732464 -25.7958152)",
203405566,False,,,residential,False,40.092,"LINESTRING (-64.9774351 -25.7945005, -64.9772948 -25.7941628)",
203405566,False,,,residential,True,37.854,"LINESTRING (-64.9774351 -25.7945005, -64.9775774 -25.7948159)",
250655124,False,,,residential,True,92.529,"LINESTRING (-64.9774351 -25.7945005, -64.9765883 -25.7948339)",
203405566,False,,,residential,True,40.092,"LINESTRING (-64.9772948 -25.7941628, -64.9774351 -25.7945005)",
250655454,False,,,residential,False,92.926,"LINESTRING (-64.9772948 -25.7941628, -64.9765194 -25.7944625, -64.9764419 -25.7944925)",
250655130,False,,,residential,False,90.53399999999999,"LINESTRING (-64.9771688 -25.795858, -64.97726 -25.7958605, -64.9773297 -25.7958508, -64.9776703 -25.7957421, -64.9780281 -25.7956238)",
250655127,False,,,residential,False,38.462,"LINESTRING (-64.9767243 -25.7951574, -64.9765883 -25.7948339)",
250655127,False,,,residential,True,93.469,"LINESTRING (-64.9767243 -25.7951574, -64.9775774 -25.7948159)",
"[131016741, 250655126]",False,,Paraná,residential,False,71.189,"LINESTRING (-64.9767243 -25.7951574, -64.9765921 -25.7952495, -64.976525 -25.7953123, -64.9764607 -25.7954234, -64.9765638 -25.7956847)",
203405566,False,,,residential,False,55.039,"LINESTRING (-64.9780281 -25.7956238, -64.9779164 -25.7954717, -64.9777468 -25.7951989)",
203405566,False,,,residential,True,87.507,"LINESTRING (-64.9780281 -25.7956238, -64.9785248 -25.7961256, -64.9785781 -25.7962299)",
250655130,False,,,residential,True,90.534,"LINESTRING (-64.9780281 -25.7956238, -64.9776703 -25.7957421, -64.9773297 -25.7958508, -64.97726 -25.7958605, -64.9771688 -25.795858)",
203405566,False,,,residential,False,37.854,"LINESTRING (-64.9775774 -25.7948159, -64.9774351 -25.7945005)",
203405566,False,,,residential,True,45.84,"LINESTRING (-64.9775774 -25.7948159, -64.9777468 -25.7951989)",
250655127,False,,,residential,False,93.469,"LINESTRING (-64.9775774 -25.7948159, -64.9767243 -25.7951574)",
250655127,False,,,residential,True,40.693,"LINESTRING (-64.9764419 -25.7944925, -64.9765883 -25.7948339)",
250655454,False,,,residential,False,135.29,"LINESTRING (-64.9764419 -25.7944925, -64.9763668 -25.7945588, -64.9762622 -25.7946965, -64.9758519 -25.7953172, -64.9757994 -25.7953702, -64.9756346 -25.7954348)",
250655454,False,,,residential,True,92.926,"LINESTRING (-64.9764419 -25.7944925, -64.9765194 -25.7944625, -64.9772948 -25.7941628)",
250655124,False,,,residential,False,92.529,"LINESTRING (-64.9765883 -25.7948339, -64.9774351 -25.7945005)",
250655127,False,,,residential,False,40.693,"LINESTRING (-64.9765883 -25.7948339, -64.9764419 -25.7944925)",
250655127,False,,,residential,True,38.462,"LINESTRING (-64.9765883 -25.7948339, -64.9767243 -25.7951574)",
250655453,False,,,residential,True,62.063,"LINESTRING (-64.9743439 -25.7941229, -64.974598 -25.794632)",
131015590,False,2,9 de Julio,residential,False,58.269,"LINESTRING (-64.9740943 -25.7948296, -64.9738526 -25.7943529)",
131015590,False,2,9 de Julio,residential,True,65.289,"LINESTRING (-64.9740943 -25.7948296, -64.9743459 -25.7953713)",
250655452,False,2,,residential,False,55.007,"LINESTRING (-64.9740943 -25.7948296, -64.974598 -25.794632)",
250655452,False,2,,residential,False,33.821,"LINESTRING (-64.974598 -25.794632, -64.9749077 -25.7945105)",
250655452,False,2,,residential,True,55.007,"LINESTRING (-64.974598 -25.794632, -64.9740943 -25.7948296)",
250655453,False,,,residential,False,62.063,"LINESTRING (-64.974598 -25.794632, -64.9743439 -25.7941229)",
250655452,False,2,,residential,True,33.821,"LINESTRING (-64.9749077 -25.7945105, -64.974598 -25.794632)",
131015590,False,2,9 de Julio,residential,True,27.948,"LINESTRING (-64.9737418 -25.7941222, -64.9738526 -25.7943529)",
250655731,False,,,residential,False,50.439,"LINESTRING (-64.9733922 -25.7945371, -64.9738526 -25.7943529)",
131015590,False,2,9 de Julio,residential,False,27.948,"LINESTRING (-64.9738526 -25.7943529, -64.9737418 -25.7941222)",
131015590,False,2,9 de Julio,residential,True,58.269,"LINESTRING (-64.9738526 -25.7943529, -64.9740943 -25.7948296)",
250655731,False,,,residential,True,50.439,"LINESTRING (-64.9738526 -25.7943529, -64.9733922 -25.7945371)",
203405566,False,,,residential,False,16.213,"LINESTRING (-64.9786158 -25.7963717, -64.9785781 -25.7962299)",
203405566,False,,,residential,True,30.185,"LINESTRING (-64.9786158 -25.7963717, -64.9786055 -25.796643)",
250659885,False,,,residential,False,34.893,"LINESTRING (-64.9786158 -25.7963717, -64.9786681 -25.7964256, -64.9787325 -25.7964666, -64.978813 -25.7965052, -64.9789065 -25.7965344)",
203405532,False,,,residential,True,32.583999999999996,"LINESTRING (-64.9789065 -25.7965344, -64.9788734 -25.7965382, -64.9786055 -25.796643)",
250659885,False,,,residential,True,34.893,"LINESTRING (-64.9789065 -25.7965344, -64.978813 -25.7965052, -64.9787325 -25.7964666, -64.9786681 -25.7964256, -64.9786158 -25.7963717)",
131014738,True,2,20 de Febrero,residential,False,62.391,"LINESTRING (-64.972146 -25.8016779, -64.9718918 -25.8011656)",
1257754013,False,,,residential,False,92.768,"LINESTRING (-64.972146 -25.8016779, -64.9714022 -25.8021755)",
1257754013,False,,,residential,True,92.768,"LINESTRING (-64.9714022 -25.8021755, -64.972146 -25.8016779)",
350673352,False,,,residential,False,73.56700000000001,"LINESTRING (-64.9714022 -25.8021755, -64.9714181 -25.802208, -64.9714212 -25.8022435, -64.971411 -25.8022779, -64.9713886 -25.8023073, -64.9713568 -25.8023284, -64.9713189 -25.8023387, -64.9712794 -25.8023372, -64.9712427 -25.8023239, -64.971213 -25.8023005, -64.9711936 -25.8022694, -64.9711867 -25.802236, -64.971192 -25.8022024, -64.9712088 -25.802172, -64.9712354 -25.802148, -64.9712692 -25.8021328, -64.9713065 -25.802128, -64.9713436 -25.8021341, -64.9713766 -25.8021505, -64.9714022 -25.8021755)",
350673352,False,,,residential,True,73.567,"LINESTRING (-64.9714022 -25.8021755, -64.9713766 -25.8021505, -64.9713436 -25.8021341, -64.9713065 -25.802128, -64.9712692 -25.8021328, -64.9712354 -25.802148, -64.9712088 -25.802172, -64.971192 -25.8022024, -64.9711867 -25.802236, -64.9711936 -25.8022694, -64.971213 -25.8023005, -64.9712427 -25.8023239, -64.9712794 -25.8023372, -64.9713189 -25.8023387, -64.9713568 -25.8023284, -64.9713886 -25.8023073, -64.971411 -25.8022779, -64.9714212 -25.8022435, -64.9714181 -25.802208, -64.9714022 -25.8021755)",
