osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry
467508140,False,804 - Esteban Echeverría,residential,,False,110.628,,"LINESTRING (-58.5817558 -34.5785333, -58.5826235 -34.5778409)"
467508140,False,804 - Esteban Echeverría,residential,,True,108.599,,"LINESTRING (-58.5817558 -34.5785333, -58.580904 -34.579213)"
543480377,False,825 - Betharram,residential,,True,109.828,,"LINESTRING (-58.5817558 -34.5785333, -58.5809269 -34.5778193)"
28924529,False,825 - Betharram,residential,,False,109.256,,"LINESTRING (-58.5842398 -34.5806867, -58.5850507 -34.5814076)"
28924529,False,825 - Betharram,residential,,True,110.955,,"LINESTRING (-58.5842398 -34.5806867, -58.5834049 -34.5799634)"
1262792801,True,812 - Santos Vega,residential,,False,110.557,,"LINESTRING (-58.5842398 -34.5806867, -58.5833556 -34.5813639)"
28838718,False,814 - Hilario Ascasubi,residential,,True,109.751,,"LINESTRING (-58.5859124 -34.5807214, -58.5850507 -34.5814076)"
28924568,False,827 - Suipacha,residential,,False,108.229,,"LINESTRING (-58.5859124 -34.5807214, -58.5851074 -34.5800086)"
28838554,False,808 - Martín Miguens,residential,,False,108.364,,"LINESTRING (-58.5834239 -34.5785622, -58.5825683 -34.5792356)"
28838554,False,808 - Martín Miguens,residential,,True,107.921,,"LINESTRING (-58.5834239 -34.5785622, -58.584275 -34.5778907)"
28924568,False,827 - Suipacha,residential,,False,108.64,,"LINESTRING (-58.5834239 -34.5785622, -58.5826235 -34.5778409)"
28924568,False,827 - Suipacha,residential,,True,111.883,,"LINESTRING (-58.5834239 -34.5785622, -58.5842708 -34.5792876)"
28838554,False,808 - Martín Miguens,residential,,True,73.159,,"LINESTRING (-58.5755506 -34.5847772, -58.5761235 -34.5843185)"
28923550,True,803 - Guido y Spano,residential,40,False,110.881,,"LINESTRING (-58.5755506 -34.5847772, -58.5763822 -34.5855022)"
28838554,False,808 - Martín Miguens,residential,,False,75.204,,"LINESTRING (-58.5773069 -34.5833822, -58.5767176 -34.5838534)"
28838554,False,808 - Martín Miguens,residential,,True,74.056,,"LINESTRING (-58.5773069 -34.5833822, -58.5778927 -34.5829229)"
28923569,True,809 - Bazzini,residential,40,False,108.918,,"LINESTRING (-58.5773069 -34.5833822, -58.5764919 -34.5826686)"
28838554,False,808 - Martín Miguens,residential,,False,75.051,,"LINESTRING (-58.5767176 -34.5838534, -58.5761235 -34.5843185)"
