osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width
121176061,True,,Vera,residential,40,False,130.15,"LINESTRING (-58.4393527 -34.5972534, -58.4385967 -34.5980505, -58.4384745 -34.5981739)",
228564279,True,2,Acevedo,residential,40,False,116.146,"LINESTRING (-58.4393527 -34.5972534, -58.4384702 -34.5966972, -58.4383452 -34.5966184)",
46934500,True,,Juan Ramírez de Velasco,residential,40,False,130.0,"LINESTRING (-58.4383452 -34.5966184, -58.4392103 -34.5956912)",
228564279,True,2,Acevedo,residential,40,False,124.175,"LINESTRING (-58.4383452 -34.5966184, -58.4372771 -34.5959299)",
121176025,True,,Aguirre,residential,40,False,127.618,"LINESTRING (-58.4372771 -34.5959299, -58.4381134 -34.5950116)",
228564279,True,2,Acevedo,residential,40,False,125.729,"LINESTRING (-58.4372771 -34.5959299, -58.4363001 -34.5952993, -58.4361963 -34.5952321)",
228564279,True,2,Acevedo,residential,40,False,125.212,"LINESTRING (-58.4361963 -34.5952321, -58.4351164 -34.5945409)",
261661747,True,1,Loyola,residential,30,False,129.75400000000002,"LINESTRING (-58.4361963 -34.5952321, -58.4354975 -34.5959872, -58.4353369 -34.5961601)",
121176044,True,1,Castillo,residential,40,False,129.61,"LINESTRING (-58.4342561 -34.5954667, -58.4351164 -34.5945409)",
533676036,True,1,Malabia,residential,40,False,125.429,"LINESTRING (-58.4342561 -34.5954667, -58.4351662 -34.5960538, -58.4353369 -34.5961601)",
261661747,True,1,Loyola,residential,30,False,132.09,"LINESTRING (-58.4353369 -34.5961601, -58.4344432 -34.5970928)",
533676036,True,1,Malabia,residential,40,False,124.875,"LINESTRING (-58.4353369 -34.5961601, -58.4364178 -34.5968453)",
121176025,True,,Aguirre,residential,40,False,128.636,"LINESTRING (-58.4364178 -34.5968453, -58.4372771 -34.5959299)",
317468724,True,,Malabia,residential,40,False,124.754,"LINESTRING (-58.4364178 -34.5968453, -58.4373693 -34.5974584, -58.4374911 -34.5975368)",
46934500,True,,Juan Ramírez de Velasco,residential,40,False,128.61,"LINESTRING (-58.4374911 -34.5975368, -58.4383452 -34.5966184)",
46934502,True,,Malabia,residential,40,False,114.546,"LINESTRING (-58.4374911 -34.5975368, -58.4384745 -34.5981739)",
121176061,True,,Vera,residential,40,False,131.995,"LINESTRING (-58.4384745 -34.5981739, -58.4375885 -34.5991105)",
46934502,True,,Malabia,residential,40,False,147.09,"LINESTRING (-58.4384745 -34.5981739, -58.4394564 -34.5987923, -58.4395857 -34.5988751, -58.4397475 -34.5989812)",
47413212,True,,Julián Álvarez,residential,30,False,122.737,"LINESTRING (-58.4351561 -34.6000274, -58.4362123 -34.6007075)",
47413213,True,,Juan Ramírez de Velasco,residential,40,False,118.298,"LINESTRING (-58.4351561 -34.6000274, -58.435775 -34.599363, -58.4358384 -34.5992924, -58.4359465 -34.5991858)",
47413211,True,,Aguirre,residential,40,False,98.794,"LINESTRING (-58.4348683 -34.5985028, -58.4353125 -34.5980153, -58.4355162 -34.5977922)",
23734350,True,2,Aráoz,residential,40,False,124.527,"LINESTRING (-58.4359465 -34.5991858, -58.4348683 -34.5985028)",
47413213,True,,Juan Ramírez de Velasco,residential,40,False,98.93,"LINESTRING (-58.4359465 -34.5991858, -58.436364 -34.5987371, -58.4365976 -34.5984757)",
20185208,True,2,Luis Viale,tertiary,40,False,74.797,"LINESTRING (-58.4433266 -34.601856, -58.4439755 -34.6022649)",
75881398,True,2,Avenida Warnes,secondary,60,False,83.604,"LINESTRING (-58.4433266 -34.601856, -58.443241 -34.6019076, -58.4428459 -34.6020868, -58.4426701 -34.6021657, -58.4425363 -34.6022317)",
20185209,True,,Acevedo,residential,40,False,118.07300000000001,"LINESTRING (-58.444691 -34.6013651, -58.4446405 -34.6012937, -58.444533 -34.6012082, -58.4439256 -34.6007127, -58.4437942 -34.6006055)",
93250280,True,2,Avenida Warnes,secondary,60,False,136.52100000000002,"LINESTRING (-58.444691 -34.6013651, -58.4445488 -34.601414, -58.4434147 -34.6018041, -58.4433266 -34.601856)",
20185208,True,2,Luis Viale,tertiary,40,False,114.50500000000001,"LINESTRING (-58.4439755 -34.6022649, -58.4448047 -34.6028108, -58.4449596 -34.6029003)",
721802455,True,,Acoyte,residential,40,False,114.606,"LINESTRING (-58.4439755 -34.6022649, -58.4446712 -34.6015324, -58.4447467 -34.6014529)",
46936312,True,3,Coronel Apolinario Figueroa,tertiary,40,False,115.603,"LINESTRING (-58.4443611 -34.6034997, -58.4433832 -34.6028417)",
17491073,True,,Hidalgo,residential,40,False,86.272,"LINESTRING (-58.4449596 -34.6029003, -58.4443611 -34.6034997)",
128824048,False,,Avenida Warnes,secondary,60,True,24.804,"LINESTRING (-58.4411971 -34.6027643, -58.4414391 -34.6026639)",
20185209,True,,Acevedo,residential,40,False,129.526,"LINESTRING (-58.4437942 -34.6006055, -58.4429512 -34.5999262, -58.4427848 -34.5997891)",
47263563,True,,Murillo,residential,40,False,129.525,"LINESTRING (-58.4437942 -34.6006055, -58.4445455 -34.5999291, -58.4445725 -34.5999048, -58.4446522 -34.5998332, -58.4447492 -34.5997459)",
47263563,True,,Murillo,residential,40,False,130.961,"LINESTRING (-58.4428346 -34.601479, -58.4435054 -34.6008582, -58.4436567 -34.6007255, -58.4437942 -34.6006055)",
47263565,True,2,Malabia,tertiary,40,False,61.593999999999994,"LINESTRING (-58.4428346 -34.601479, -58.4430726 -34.6016764, -58.4431738 -34.6017549, -58.4433266 -34.601856)",
47105628,True,,Avenida Raúl Scalabrini Ortiz,secondary,60,False,25.143,"LINESTRING (-58.4425363 -34.6022317, -58.4423241 -34.6020881)",
75881398,True,2,Avenida Warnes,secondary,60,False,33.181,"LINESTRING (-58.4425363 -34.6022317, -58.4424319 -34.60228, -58.4421995 -34.6023378)",
128824059,True,,Padilla,residential,30,False,129.106,"LINESTRING (-58.4446863 -34.5980612, -58.4437447 -34.5989257)",
533680273,True,2,Serrano,residential,20,False,129.443,"LINESTRING (-58.4446863 -34.5980612, -58.4446083 -34.5979984, -58.4436807 -34.5972427)",
396614274,True,,Gurruchaga,residential,30,False,129.503,"LINESTRING (-58.4437447 -34.5989257, -58.4447492 -34.5997459)",
128824059,True,,Padilla,residential,30,False,130.149,"LINESTRING (-58.4437447 -34.5989257, -58.4428804 -34.5997087, -58.4428679 -34.59972, -58.4427848 -34.5997891)",
128824059,True,,Padilla,residential,30,False,131.193,"LINESTRING (-58.4427848 -34.5997891, -58.4418202 -34.6006618)",
533676047,True,,Acevedo,residential,20,False,129.923,"LINESTRING (-58.4427848 -34.5997891, -58.4417783 -34.5989652)",
128824059,True,,Padilla,residential,30,False,97.113,"LINESTRING (-58.4418202 -34.6006618, -58.4411155 -34.6013147)",
