osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,junction,width
281815502,Славянска,tertiary,True,False,27.864,2,81017,"LINESTRING (23.2167354 42.8102234, 23.2169368 42.8104258)",,
750110535,,secondary,True,False,17.262999999999998,,,"LINESTRING (23.2167354 42.8102234, 23.2167423 42.8102497, 23.2167425 42.8102764, 23.2167356 42.8103033, 23.2167218 42.8103287, 23.2166836 42.8103665)",roundabout,
281815501,Славянска,tertiary,True,False,28.878999999999998,2,,"LINESTRING (23.2163852 42.8103415, 23.2162828 42.8102757, 23.2160911 42.8101997)",,
281815506,,secondary,True,False,23.523000000000003,,,"LINESTRING (23.2163852 42.8103415, 23.2163685 42.8103183, 23.2163579 42.8102932, 23.2163537 42.8102676, 23.2163559 42.8102419, 23.2163643 42.810217, 23.2163786 42.8101935, 23.2164206 42.8101558, 23.2164274 42.8101503)",roundabout,
678390999,Александър Стамболийски,residential,False,False,27.902,,,"LINESTRING (23.2210545 42.8168594, 23.2207593 42.8169862)",,
530790564,Шейново,residential,False,True,78.635,,,"LINESTRING (23.2210545 42.8168594, 23.2206034 42.816324, 23.2205643 42.8162517)",,
401684733,Георги Бенковски,residential,False,True,66.179,,,"LINESTRING (23.2205643 42.8162517, 23.2212685 42.8159561)",,
504237035,,residential,False,True,58.108,,,"LINESTRING (23.2205643 42.8162517, 23.2204696 42.8160983, 23.2203109 42.8159292, 23.2202404 42.8158731, 23.2202031 42.815845, 23.2201658 42.8158259)",,
530790564,Шейново,residential,False,False,78.635,,,"LINESTRING (23.2205643 42.8162517, 23.2206034 42.816324, 23.2210545 42.8168594)",,
401684733,Георги Бенковски,residential,False,False,66.179,,,"LINESTRING (23.2212685 42.8159561, 23.2205643 42.8162517)",,
281815509,Славянска,tertiary,False,False,7.707,2,81017,"LINESTRING (23.2187656 42.8117149, 23.2188335 42.8117631)",,
25577336,Рила,residential,False,True,68.898,,,"LINESTRING (23.2187656 42.8117149, 23.2191912 42.8115289, 23.2194749 42.8113795)",,
281815509,Славянска,tertiary,False,True,206.888,2,81017,"LINESTRING (23.2187656 42.8117149, 23.2173932 42.8107417, 23.2169368 42.8104258)",,
25577155,Люляк,residential,False,True,135.704,,,"LINESTRING (23.215284 42.816489, 23.2167882 42.8170105)",,
25577155,Люляк,residential,False,False,96.59,,,"LINESTRING (23.215284 42.816489, 23.2152354 42.8164722, 23.2142176 42.8161113)",,
205033409,Вишна,residential,False,False,85.787,,,"LINESTRING (23.215284 42.816489, 23.2151322 42.8166766, 23.2151866 42.8172285)",,
205033409,Вишна,residential,False,True,116.559,,,"LINESTRING (23.215284 42.816489, 23.215336 42.8164247, 23.2161729 42.8156692)",,
700430526,бул. Ломско шосе,secondary,True,False,23.962,2,81,"LINESTRING (23.2154002 42.8131214, 23.2153477 42.8132061, 23.2152616 42.813311)",,
750110532,,secondary,True,False,9.881,2,81,"LINESTRING (23.2154002 42.8131214, 23.2153702 42.8131246, 23.2153402 42.8131217, 23.2153124 42.8131129, 23.215289 42.8130988)",roundabout,
700430525,бул. Ломско шосе,secondary,True,False,22.878,2,81,"LINESTRING (23.2153357 42.8129673, 23.2153871 42.8128986, 23.2154838 42.8127928)",,
750110533,,secondary,True,False,11.305000000000001,2,81,"LINESTRING (23.2153357 42.8129673, 23.2153699 42.8129634, 23.2154041 42.8129675, 23.2154348 42.8129792, 23.2154591 42.8129974)",roundabout,
750110532,,secondary,True,False,2.092,2,81,"LINESTRING (23.2154611 42.8130884, 23.2154446 42.8131028)",roundabout,
750110533,,secondary,True,False,1.488,2,81,"LINESTRING (23.2154684 42.8130089, 23.2154749 42.8130214)",roundabout,
750110533,,secondary,True,False,1.487,2,81,"LINESTRING (23.2154591 42.8129974, 23.2154684 42.8130089)",roundabout,
750110533,,secondary,True,False,3.155,2,81,"LINESTRING (23.2153016 42.8129807, 23.2153357 42.8129673)",roundabout,
726185790,,residential,True,False,114.747,,,"LINESTRING (23.2153016 42.8129807, 23.2153216 42.8128832, 23.2156996 42.811992)",,
