osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry
207772068,False,,Dere Sokak,residential,,True,98.222,"LINESTRING (27.5021233 40.98142, 27.5021812 40.9812092, 27.502206 40.9809423, 27.5022346 40.9805424)"
173935479,False,,Şeref Paşa Sokak,residential,,False,51.597,"LINESTRING (27.505973 40.9780129, 27.5064661 40.9782899)"
942824315,False,,Kubilay Sokak,residential,,True,17.641,"LINESTRING (27.505973 40.9780129, 27.5059209 40.9778592)"
575847649,False,,Kubilay Sokak,residential,,False,82.159,"LINESTRING (27.505973 40.9780129, 27.5058869 40.9781901, 27.505878 40.978277, 27.5058856 40.9783583, 27.505867 40.9784878, 27.5057759 40.9787294)"
173935762,True,,Meşe Sokak,tertiary,,False,8.202,"LINESTRING (27.4996263 40.9798589, 27.4997221 40.9798734)"
173935852,False,,Dilek Sokak,residential,,True,32.183,"LINESTRING (27.4996263 40.9798589, 27.4997103 40.9795765)"
207772083,False,,Şehit Osman Caddesi,tertiary,,True,55.783,"LINESTRING (27.5012942 40.9801947, 27.5013964 40.979699)"
968551096,False,,Ali Paşa Sokak,residential,,False,27.652,"LINESTRING (27.5012942 40.9801947, 27.5016198 40.9802324)"
207772083,False,,Şehit Osman Caddesi,tertiary,,False,24.357,"LINESTRING (27.5012942 40.9801947, 27.5012794 40.9802911, 27.5012795 40.9804131)"
207772068,False,,Dere Sokak,residential,,False,26.193,"LINESTRING (27.5023049 40.9803129, 27.5022346 40.9805424)"
968551097,False,,Dere Sokak,residential,,True,24.187,"LINESTRING (27.5023049 40.9803129, 27.5024185 40.980113)"
207772102,False,,Ali Paşa Sokak,residential,,False,97.785,"LINESTRING (27.5023049 40.9803129, 27.502699 40.9803722, 27.5034297 40.9805381)"
173935841,False,,Ferah Sokak,residential,,False,38.923,"LINESTRING (27.5043447 40.9755364, 27.5047768 40.9756633)"
173935841,False,,Ferah Sokak,residential,,True,25.586,"LINESTRING (27.5043447 40.9755364, 27.5040664 40.9754426)"
173935850,False,,Zarif Sokak,residential,,False,32.853,"LINESTRING (27.5043447 40.9755364, 27.5042336 40.9758197)"
173935850,False,,Zarif Sokak,residential,,True,55.572,"LINESTRING (27.5043447 40.9755364, 27.5045883 40.9750717)"
173935669,True,,Lise Caddesi,residential,,False,53.415,"LINESTRING (27.5056034 40.9759327, 27.5058466 40.9754888)"
173935823,False,,Ferah Sokak,residential,,True,55.908,"LINESTRING (27.5056034 40.9759327, 27.5062288 40.9761055)"
450315360,False,,Ferah Sokak,residential,,True,39.859,"LINESTRING (27.5056034 40.9759327, 27.5051646 40.9757958)"
445921186,True,,Yaşar Erkan Sokak,residential,,False,12.912,"LINESTRING (27.5058708 40.9727475, 27.5058043 40.9728522)"
173935420,True,,Köprübaşı Caddesi,residential,,False,123.53499999999998,"LINESTRING (27.503509 40.9775227, 27.5032783 40.9777657, 27.5031688 40.9779145, 27.5031061 40.9780412, 27.5030555 40.978151, 27.5029888 40.9783109, 27.5029496 40.9784121, 27.502908 40.978525)"
173935539,False,,Emeti Hasan Çeşme Sk.,residential,,False,12.864,"LINESTRING (27.5087346 40.9811373, 27.5087285 40.9810217)"
173935539,False,,Emeti Hasan Çeşme Sk.,residential,,True,49.695,"LINESTRING (27.5087346 40.9811373, 27.5086279 40.9815769)"
207772075,False,,Menekşe Sokak,residential,,False,39.393,"LINESTRING (27.5087346 40.9811373, 27.5091232 40.9813359)"
207772075,False,,Menekşe Sokak,residential,,True,91.667,"LINESTRING (27.5087346 40.9811373, 27.5083318 40.9809437, 27.5080287 40.980804, 27.5077871 40.9807328)"
216463735,False,,Sevcan Sokak,residential,,True,46.593,"LINESTRING (27.500609 40.9805228, 27.5000628 40.9804483)"
614448726,False,,Günaydın Sokak,residential,,False,40.387,"LINESTRING (27.500609 40.9805228, 27.5006053 40.980886)"
614448726,False,,Günaydın Sokak,residential,,True,53.189,"LINESTRING (27.500609 40.9805228, 27.5007102 40.9800506)"
173935454,False,,Balkan Sokak,residential,,False,33.843,"LINESTRING (27.5000483 40.9762271, 27.4998906 40.9765072)"
206702938,False,2,Hükümet Caddesi,secondary,30,True,18.328,"LINESTRING (27.5000483 40.9762271, 27.4998424 40.9761723)"
206702938,False,2,Hükümet Caddesi,secondary,30,False,50.97,"LINESTRING (27.5000483 40.9762271, 27.5001415 40.9762509, 27.5006215 40.9763782)"
173935485,False,,Demet Sokak,residential,,False,38.204,"LINESTRING (27.5005065 40.9796545, 27.5004206 40.9799919)"
173935485,False,,Demet Sokak,residential,,True,30.081,"LINESTRING (27.5005065 40.9796545, 27.5005327 40.9793847)"
173935638,False,,Ardıç Sokak,residential,,True,67.398,"LINESTRING (27.5005065 40.9796545, 27.4997103 40.9795765)"
173935649,False,,Fevzi Çakmak Sokak,residential,,False,30.489,"LINESTRING (27.4980835 40.9796924, 27.4980366 40.9799643)"
173935762,True,,Meşe Sokak,tertiary,,False,48.545,"LINESTRING (27.4980835 40.9796924, 27.498659 40.9797352)"
966716524,False,,Kanarya Sokak,residential,,True,33.452,"LINESTRING (27.4980835 40.9796924, 27.4981686 40.9793985)"
614448726,False,,Günaydın Sokak,residential,,False,53.189,"LINESTRING (27.5007102 40.9800506, 27.500609 40.9805228)"
173935482,False,,Hercai sokak,residential,,True,52.34100000000001,"LINESTRING (27.5007102 40.9800506, 27.5007589 40.9797519, 27.5007883 40.9795836)"
173935762,True,,Meşe Sokak,tertiary,,False,51.578,"LINESTRING (27.5007102 40.9800506, 27.5009336 40.9801081, 27.5012942 40.9801947)"
173935485,False,,Demet Sokak,residential,,False,39.6,"LINESTRING (27.5008591 40.9782706, 27.5007385 40.9786149)"
173935772,False,,Sedir Sokak,residential,,False,84.146,"LINESTRING (27.5008591 40.9782706, 27.4998666 40.9781647)"
173935772,False,,Sedir Sokak,residential,,True,29.932,"LINESTRING (27.5008591 40.9782706, 27.5012074 40.9783282)"
173935485,False,,Demet Sokak,residential,,True,25.212,"LINESTRING (27.5008591 40.9782706, 27.5008948 40.9781262, 27.5009082 40.978047)"
216844892,False,,Sercan Sokak,residential,,False,46.158,"LINESTRING (27.4996072 40.9813016, 27.4996105 40.9808865)"
216844892,False,,Sercan Sokak,residential,,True,3.792,"LINESTRING (27.4996072 40.9813016, 27.4996078 40.9813357)"
614304958,False,,Venüs Sokak,residential,,True,90.27600000000001,"LINESTRING (27.4996072 40.9813016, 27.4999865 40.9813007, 27.5000412 40.9813465, 27.5000719 40.9813783, 27.5006334 40.9814013)"
173935562,False,,Gülbahçe Sokak,residential,,False,40.861,"LINESTRING (27.5048154 40.9746055, 27.505274 40.9747286)"
173935562,False,,Gülbahçe Sokak,residential,,True,30.887,"LINESTRING (27.5048154 40.9746055, 27.5044714 40.974507)"
173935850,False,,Zarif Sokak,residential,,False,55.234,"LINESTRING (27.5048154 40.9746055, 27.5045883 40.9750717)"
173935850,False,,Zarif Sokak,residential,,True,118.788,"LINESTRING (27.5048154 40.9746055, 27.5051016 40.9741045, 27.5053768 40.9736249)"
173935772,False,,Sedir Sokak,residential,,False,70.9,"LINESTRING (27.4998666 40.9781647, 27.4990271 40.9780949)"
173935772,False,,Sedir Sokak,residential,,True,84.146,"LINESTRING (27.4998666 40.9781647, 27.5008591 40.9782706)"
173935852,False,,Dilek Sokak,residential,,False,40.247,"LINESTRING (27.4998666 40.9781647, 27.4998144 40.9785245)"
173935852,False,,Dilek Sokak,residential,,True,20.493,"LINESTRING (27.4998666 40.9781647, 27.4998863 40.977981)"
162878152,True,,Çınarlı Caddesi,tertiary,,False,10.215,"LINESTRING (27.4985174 40.9779484, 27.4984062 40.9779857)"
966716524,False,,Kanarya Sokak,residential,,False,55.496,"LINESTRING (27.4985174 40.9779484, 27.4984041 40.9784401)"
173935486,False,,Bademlik Sokak,residential,,True,16.21,"LINESTRING (27.5095208 40.9811601, 27.5095548 40.9810166)"
173935598,False,,Acı Çeşme Bayırı Sokak,residential,,True,38.524,"LINESTRING (27.5095208 40.9811601, 27.5095766 40.9813382, 27.5096747 40.9814839)"
207772081,False,,Sanatçılar Caddesi,residential,,False,39.29,"LINESTRING (27.5095208 40.9811601, 27.5093406 40.9812711, 27.509199 40.9813242, 27.5091232 40.9813359)"
