osmid,ref,highway,oneway,reversed,length,geometry
1213504543,,residential,False,True,29.393,"LINESTRING (74.9934483 13.2169058, 74.9934671 13.2166421)"
1213506992,,residential,False,False,70.10300000000001,"LINESTRING (74.9910716 13.2160483, 74.9912004 13.2159857, 74.9913721 13.2159857, 74.9916242 13.2160274, 74.9916995 13.2160389)"
1213506993,,residential,False,False,70.435,"LINESTRING (74.9910716 13.2160483, 74.9910824 13.2163094, 74.9910502 13.2166802)"
155770362,,secondary,False,False,198.225,"LINESTRING (74.9990862 13.2131822, 74.9990194 13.2132039, 74.9980184 13.2138348, 74.9975521 13.214151)"
1213506258,,residential,False,False,243.27900000000002,"LINESTRING (74.9980885 13.2101342, 74.9980778 13.2104502, 74.9979866 13.2107217, 74.9981314 13.2112491, 74.9982012 13.211317, 74.998287 13.2113692, 74.9984426 13.2116408, 74.9987322 13.2117348, 74.99892 13.2118862)"
1213506262,,residential,False,False,155.098,"LINESTRING (74.9980885 13.2101342, 74.9980295 13.2101316, 74.9976862 13.2101159, 74.9973375 13.2101786, 74.9966919 13.2103718)"
1213506258,,residential,False,True,243.279,"LINESTRING (74.99892 13.2118862, 74.9987322 13.2117348, 74.9984426 13.2116408, 74.998287 13.2113692, 74.9982012 13.211317, 74.9981314 13.2112491, 74.9979866 13.2107217, 74.9980778 13.2104502, 74.9980885 13.2101342)"
150289499,SH1,primary,False,False,201.96800000000002,"LINESTRING (74.9966919 13.2103718, 74.9968415 13.210551, 74.997056 13.211021, 74.9972061 13.2120821)"
1213506262,,residential,False,True,155.098,"LINESTRING (74.9966919 13.2103718, 74.9973375 13.2101786, 74.9976862 13.2101159, 74.9980295 13.2101316, 74.9980885 13.2101342)"
1213506993,,residential,False,True,70.435,"LINESTRING (74.9910502 13.2166802, 74.9910824 13.2163094, 74.9910716 13.2160483)"
182670412,,residential,False,False,481.56100000000004,"LINESTRING (74.9928314 13.2126413, 74.9936789 13.2126337, 74.99421 13.2126337, 74.995071 13.2125371, 74.9956396 13.2124666, 74.996219 13.2123152, 74.9963932 13.212294, 74.9965488 13.2122862, 74.9966614 13.2122783, 74.9967794 13.2122522, 74.996927 13.2121634, 74.9972061 13.2120821)"
182670412,,residential,False,True,119.78899999999999,"LINESTRING (74.9928314 13.2126413, 74.9925014 13.2126442, 74.9917295 13.2125614)"
"[1213510387, 173960637]",,"['unclassified', 'residential']",False,"[False, True]",200.21,"LINESTRING (74.9928314 13.2126413, 74.9927188 13.2134426, 74.9925632 13.2137959, 74.9924023 13.2140623, 74.9922783 13.2143351)"
1213510388,,residential,False,False,167.15500000000003,"LINESTRING (74.9912115 13.2115059, 74.9916622 13.2115007, 74.9917212 13.2119551, 74.9917319 13.2124043, 74.9917295 13.2125614)"
