osmid,highway,oneway,reversed,length,geometry,ref,bridge,name
1270774712,unclassified,False,False,21.873,"LINESTRING (77.4673616 22.4474618, 77.4674745 22.4475129, 77.4675554 22.4475428)",,,
1270774712,unclassified,False,True,195.28900000000002,"LINESTRING (77.4673616 22.4474618, 77.4672975 22.4474327, 77.4671595 22.4473166, 77.4670745 22.4472447, 77.4668763 22.447207, 77.4666109 22.447207, 77.4659862 22.4473297, 77.4655838 22.4474428)",,,
"[1270774720, 1270774721]",residential,False,False,154.608,"LINESTRING (77.4673616 22.4474618, 77.4672733 22.4477161, 77.4672317 22.4482643, 77.4671316 22.4486487, 77.4673165 22.4487)",,,
1270774721,residential,False,False,131.175,"LINESTRING (77.4673165 22.4487, 77.4674212 22.4483412, 77.4674644 22.4481191, 77.4675183 22.4477788, 77.4675554 22.4475428)",,,
"[1270774720, 1270774721]",residential,False,True,154.608,"LINESTRING (77.4673165 22.4487, 77.4671316 22.4486487, 77.4672317 22.4482643, 77.4672733 22.4477161, 77.4673616 22.4474618)",,,
"[1270774713, 1270774722]",residential,False,False,115.575,"LINESTRING (77.4673165 22.4487, 77.4672401 22.4489964, 77.4674037 22.4490568, 77.4676567 22.4491451, 77.4677788 22.4492171, 77.4678478 22.4492972, 77.4678585 22.4493823)",,,
"[1270774712, 1270774716]","['unclassified', 'residential']",False,False,325.35999999999996,"LINESTRING (77.4675554 22.4475428, 77.4677045 22.4475979, 77.468223 22.4476454, 77.4686088 22.4476633, 77.4687875 22.447714, 77.4688477 22.4477566, 77.4689591 22.4480117, 77.4690122 22.4483862, 77.4689928 22.4485285, 77.4690158 22.4489619, 77.4689574 22.4493577, 77.4689248 22.4494171)",,,
1270774712,unclassified,False,True,21.873,"LINESTRING (77.4675554 22.4475428, 77.4674745 22.4475129, 77.4673616 22.4474618)",,,
1270774721,residential,False,True,131.175,"LINESTRING (77.4675554 22.4475428, 77.4675183 22.4477788, 77.4674644 22.4481191, 77.4674212 22.4483412, 77.4673165 22.4487)",,,
933160776,secondary,False,False,7.071,"LINESTRING (77.4679356 22.4516648, 77.4680044 22.4516643)",,,
933160776,secondary,False,True,129.904,"LINESTRING (77.4679356 22.4516648, 77.4677449 22.4516662, 77.4673877 22.4516625, 77.4669928 22.4516827, 77.4666723 22.4516743)",,,
1270774727,unclassified,False,True,168.012,"LINESTRING (77.4679356 22.4516648, 77.467899 22.4519119, 77.4678543 22.452716, 77.4679059 22.4531699)",,,
