osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel
1068162098,residential,False,False,55.968,"LINESTRING (77.7925131 13.0704097, 77.7924715 13.069908)",,,,,
"[1068162097, 1068162098]",residential,False,"[False, True]",113.68799999999999,"LINESTRING (77.7925131 13.0704097, 77.7926396 13.0710233, 77.7927228 13.0714115)",,,,,
133644484,residential,False,False,42.994,"LINESTRING (77.7877415 13.0744446, 77.787825 13.0740666)",,,,,
133644484,residential,False,True,76.293,"LINESTRING (77.7877415 13.0744446, 77.7877376 13.074576, 77.7880863 13.0745787, 77.788307 13.0745762)",,,,,
133644016,residential,False,False,20.495,"LINESTRING (77.7900179 13.0763333, 77.78999 13.076151)",,,,,
661646393,residential,False,True,11.538,"LINESTRING (77.7935355 13.075947, 77.7934784 13.0760346)",,,,,
172886645,trunk,True,False,200.468,"LINESTRING (77.7935355 13.075947, 77.7945401 13.0765287, 77.7950068 13.076782, 77.795136 13.0768521)",2,NH75,Old Madras Road,,
771844527,residential,False,False,31.096,"LINESTRING (77.7945497 13.0724927, 77.7948343 13.0724559)",,,,,
771844527,residential,False,True,30.908,"LINESTRING (77.7945497 13.0724927, 77.7942657 13.0725198)",,,,,
1068160534,residential,False,False,68.567,"LINESTRING (77.7945497 13.0724927, 77.794482 13.0718796)",,,,,
45475802,tertiary,False,False,62.257,"LINESTRING (77.7965045 13.0722441, 77.7961573 13.0726903)",,,,,
771844527,residential,False,True,91.023,"LINESTRING (77.7965045 13.0722441, 77.7963618 13.0721706, 77.7962437 13.0721756, 77.7956977 13.0723)",,,,,
215202913,residential,False,False,30.163,"LINESTRING (77.7941941 13.071441, 77.7944723 13.0714288)",,,,,
215202913,residential,False,True,32.158,"LINESTRING (77.7941941 13.071441, 77.7938975 13.071454)",,,,,
771844528,residential,False,True,50.599,"LINESTRING (77.7941941 13.071441, 77.7942258 13.071895)",,,,,
215202830,residential,False,True,18.605,"LINESTRING (77.7931493 13.0719598, 77.793152 13.0721271)",,,,,
771844529,residential,False,False,51.276,"LINESTRING (77.7931493 13.0719598, 77.7936218 13.0719314)",,,,,
1229601923,residential,False,True,146.373,"LINESTRING (77.7931493 13.0719598, 77.7917995 13.0720235)",,,,,
215202830,residential,False,False,29.351,"LINESTRING (77.7931493 13.0719598, 77.7931549 13.0718548, 77.7931909 13.0716999)",,,,,
1232135752,residential,False,True,30.027,"LINESTRING (77.7955996 13.0717963, 77.7953236 13.0718216)",,,,,
"[771844530, 1068162093]",residential,False,False,46.402,"LINESTRING (77.7955996 13.0717963, 77.7955967 13.0714495, 77.7955846 13.07138)",,,,,
"[1068162089, 771844530]",residential,False,True,57.268,"LINESTRING (77.7955996 13.0717963, 77.7956984 13.0721998, 77.7956977 13.0723)",,,,,
1068160501,residential,False,False,50.615,"LINESTRING (77.7882992 13.0712331, 77.7878324 13.0712541)",,,,,
1068160500,residential,False,False,147.041,"LINESTRING (77.7882992 13.0712331, 77.7882884 13.0714997, 77.7881114 13.0718343, 77.7877412 13.0724098)",,,,,
1068160502,residential,False,False,36.39,"LINESTRING (77.7882992 13.0712331, 77.7885889 13.0712175, 77.7886318 13.0712018)",,,,,
1068160500,residential,False,True,147.041,"LINESTRING (77.7877412 13.0724098, 77.7881114 13.0718343, 77.7882884 13.0714997, 77.7882992 13.0712331)",,,,,
