osmid,ref,name,highway,oneway,reversed,length,geometry
650714580,,Privada Parrillas,residential,False,True,59.173,"LINESTRING (-92.9146304 17.911717, -92.914585 17.9111866)"
650714570,,,residential,False,False,24.2,"LINESTRING (-92.9165416 17.9141108, -92.9165649 17.9138943)"
35927530,,Prolongacion Juan XXIII,tertiary,False,True,26.985,"LINESTRING (-92.9140903 17.9137428, -92.9143368 17.9136805)"
650714574,,,residential,False,False,70.12,"LINESTRING (-92.9140903 17.9137428, -92.9139632 17.9143617)"
146950054,,Avenida Frutales,residential,False,True,13.004,"LINESTRING (-92.9141219 17.9119066, -92.9141338 17.912023)"
650714567,,Calle Barrio Guayaba,residential,False,False,39.595,"LINESTRING (-92.9141219 17.9119066, -92.914493 17.9118607)"
146950054,,Avenida Frutales,residential,False,False,30.102,"LINESTRING (-92.9141219 17.9119066, -92.9141168 17.9118046, -92.9141411 17.9116376)"
415345847,,Calle Frutales,residential,False,False,34.367,"LINESTRING (-92.9150344 17.9110954, -92.9153536 17.9110382)"
415345847,,Calle Frutales,residential,False,True,48.619,"LINESTRING (-92.9150344 17.9110954, -92.914585 17.9111866)"
650714568,,,residential,False,True,47.927,"LINESTRING (-92.9150344 17.9110954, -92.9152896 17.9107393)"
650714567,,Calle Barrio Guayaba,residential,False,True,39.595,"LINESTRING (-92.914493 17.9118607, -92.9141219 17.9119066)"
650714578,,,residential,False,False,23.22,"LINESTRING (-92.9164249 17.9159013, -92.916212 17.915952)"
146950058,,Calle 2,residential,False,False,4.086,"LINESTRING (-92.912643 17.9109992, -92.9126256 17.9109664)"
146950058,,Calle 2,residential,False,True,48.717,"LINESTRING (-92.912643 17.9109992, -92.9127881 17.911415)"
650715545,,Cerrada Chachacha,residential,False,True,145.895,"LINESTRING (-92.912643 17.9109992, -92.9139608 17.910613)"
146950054,,Avenida Frutales,residential,False,False,5.412,"LINESTRING (-92.914595 17.9097854, -92.9145896 17.909737)"
146950054,,Avenida Frutales,residential,False,True,31.811,"LINESTRING (-92.914595 17.9097854, -92.9146345 17.910069)"
650730665,,Cerrada Barrio Guayaba,residential,False,False,66.59,"LINESTRING (-92.914595 17.9097854, -92.9152106 17.9096609)"
650730679,,Segunda Cerrada de Marañón,residential,False,False,36.957,"LINESTRING (-92.9141493 17.9094629, -92.9138031 17.909507)"
650730679,,Segunda Cerrada de Marañón,residential,False,True,41.982,"LINESTRING (-92.9141493 17.9094629, -92.9145406 17.9094004)"
903623130,,Tercera Cerrada de Marañón,residential,False,True,36.132,"LINESTRING (-92.9141493 17.9094629, -92.9141902 17.9097855)"
650730655,,Calle Barrio Guayaba,residential,False,True,76.541,"LINESTRING (-92.9152589 17.9093188, -92.9145406 17.9094004)"
650730657,,Calle Pomarrosa,residential,False,True,25.806,"LINESTRING (-92.9152589 17.9093188, -92.915293 17.909089)"
650730654,,,residential,False,True,22.488,"LINESTRING (-92.9152589 17.9093188, -92.9152317 17.9093767, -92.9151786 17.909506)"
650730680,,Tercera Cerrada de Marañón,residential,False,False,42.602,"LINESTRING (-92.9141902 17.9097855, -92.9145896 17.909737)"
650730680,,Tercera Cerrada de Marañón,residential,False,True,37.136,"LINESTRING (-92.9141902 17.9097855, -92.9138453 17.9098474)"
903623130,,Tercera Cerrada de Marañón,residential,False,False,36.132,"LINESTRING (-92.9141902 17.9097855, -92.9141493 17.9094629)"
146950054,,Avenida Frutales,residential,False,False,18.299,"LINESTRING (-92.9145896 17.909737, -92.9145623 17.9095745)"
146950054,,Avenida Frutales,residential,False,True,5.412,"LINESTRING (-92.9145896 17.909737, -92.914595 17.9097854)"
650730680,,Tercera Cerrada de Marañón,residential,False,True,42.602,"LINESTRING (-92.9145896 17.909737, -92.9141902 17.9097855)"
650730673,,,residential,False,False,24.621,"LINESTRING (-92.9152867 17.9101843, -92.9152723 17.9099633)"
650730678,,Calle Barrio Guayaba,residential,False,False,18.433,"LINESTRING (-92.9152867 17.9101843, -92.915459 17.9101598)"
650730678,,Calle Barrio Guayaba,residential,False,True,65.325,"LINESTRING (-92.9152867 17.9101843, -92.9149857 17.9102271, -92.9146761 17.9102713)"
650730670,,Calle Caminero,residential,False,False,76.258,"LINESTRING (-92.9130986 17.9098987, -92.9123998 17.9100666)"
650730670,,Calle Caminero,residential,False,True,80.458,"LINESTRING (-92.9130986 17.9098987, -92.9138335 17.9097128)"
650730672,,Calle Motoconformadora,residential,False,False,44.134,"LINESTRING (-92.9130986 17.9098987, -92.9129915 17.9095151)"
