osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed
845459147,,Avenida Ferrocarril,residential,False,True,165.06199999999998,"LINESTRING (-98.1705776 19.3354381, -98.1711121 19.3352113, -98.1715887 19.3350957, -98.1720545 19.3349376)",40
"[903888243, 903888239]","['1', '2']",Avenida Miguel Hidalgo,secondary,True,False,16.042,"LINESTRING (-98.1705776 19.3354381, -98.1705102 19.3354, -98.1704468 19.3353634)",
32345882,,Calle 3 de Marzo,residential,False,False,44.264,"LINESTRING (-98.1696441 19.3359511, -98.1699873 19.3361826)",40
32345882,,Calle 3 de Marzo,residential,False,True,11.232,"LINESTRING (-98.1696441 19.3359511, -98.1696149 19.3359347, -98.1695567 19.335893)",40
"[140455137, 140455146, 845459147]",,"['Álvaro Obregón', 'Avenida Ferrocarril']",residential,False,False,231.73700000000002,"LINESTRING (-98.1696441 19.3359511, -98.1691561 19.3364124, -98.1690764 19.3365036, -98.1688355 19.3367794, -98.1685275 19.3371893, -98.1682451 19.3375571)",40
845459147,,Avenida Ferrocarril,residential,False,True,113.56700000000001,"LINESTRING (-98.1696441 19.3359511, -98.1700634 19.3356839, -98.1705776 19.3354381)",40
33349089,,Calle de la Cruz,residential,False,True,178.74999999999997,"LINESTRING (-98.165885 19.3377024, -98.1660016 19.3376425, -98.1662394 19.3374986, -98.1666534 19.3373966, -98.1669686 19.3373702, -98.167182 19.3373875, -98.1674674 19.3375436)",40
845479632,2,Avenida Emiliano Zapata Norte,secondary,False,True,265.165,"LINESTRING (-98.165885 19.3377024, -98.1660718 19.3375044, -98.1662843 19.3373833, -98.1672713 19.3369128, -98.1674216 19.3368149, -98.1675234 19.3366752, -98.1676635 19.3362858, -98.1677195 19.3362144)",
32345627,,Calle 5 de Mayo,residential,False,False,59.158,"LINESTRING (-98.1634825 19.3329691, -98.1636007 19.3329023, -98.1638497 19.3325761)",40
845484265,,Privada 5 de Mayo,residential,False,True,77.34200000000001,"LINESTRING (-98.1634825 19.3329691, -98.163518 19.3332795, -98.1635881 19.3336571)",40
"[845482690, 845480085]",,Calle 21 de Marzo,residential,False,True,511.686,"LINESTRING (-98.1635881 19.3336571, -98.1640462 19.3340227, -98.1640757 19.3340868, -98.1640485 19.3341835, -98.1639551 19.3342959, -98.163787 19.3344005, -98.1637633 19.334465, -98.163794 19.3345195, -98.1641015 19.3347488, -98.1643097 19.3347914, -98.1645284 19.3349092, -98.1646101 19.3349252, -98.1646818 19.3349173, -98.1647764 19.334883, -98.1648781 19.334851, -98.1649762 19.3348577, -98.1655662 19.3354649, -98.1659238 19.3356865, -98.1661712 19.3357809, -98.1666007 19.3357958, -98.1668852 19.3358457)",40
845484265,,Privada 5 de Mayo,residential,False,False,77.34200000000001,"LINESTRING (-98.1635881 19.3336571, -98.163518 19.3332795, -98.1634825 19.3329691)",40
"[32345913, 108140551]",,"['Calle Reytlan', 'Guadalupe']",residential,False,False,275.389,"LINESTRING (-98.1695808 19.3369363, -98.1700635 19.3370588, -98.1707075 19.3374952, -98.1713122 19.3377818, -98.1713936 19.3377911, -98.1714463 19.3377705, -98.171749 19.3373759)",40
32345603,,2 de Octubre,residential,False,False,74.106,"LINESTRING (-98.1715439 19.3349522, -98.1708775 19.335173)",40
32345603,,2 de Octubre,residential,False,True,85.899,"LINESTRING (-98.1715439 19.3349522, -98.1723182 19.3347013)",40
140455141,,Calle Unión,residential,False,True,187.327,"LINESTRING (-98.1715439 19.3349522, -98.1703046 19.3341239, -98.1700745 19.3339967)",40
32345603,,2 de Octubre,residential,False,True,74.106,"LINESTRING (-98.1708775 19.335173, -98.1715439 19.3349522)",40
845447024,,Calle La Cañada,residential,False,True,98.05199999999999,"LINESTRING (-98.1682642 19.3371114, -98.1681579 19.3371332, -98.1679884 19.3372016, -98.1678128 19.337283, -98.1675525 19.3374487, -98.1674674 19.3375436)",
33349089,,Calle de la Cruz,residential,False,False,178.75,"LINESTRING (-98.1674674 19.3375436, -98.167182 19.3373875, -98.1669686 19.3373702, -98.1666534 19.3373966, -98.1662394 19.3374986, -98.1660016 19.3376425, -98.165885 19.3377024)",40
845447024,,Calle La Cañada,residential,False,False,98.05199999999999,"LINESTRING (-98.1674674 19.3375436, -98.1675525 19.3374487, -98.1678128 19.337283, -98.1679884 19.3372016, -98.1681579 19.3371332, -98.1682642 19.3371114)",
845458522,,,residential,False,True,60.594,"LINESTRING (-98.1715917 19.3366104, -98.1713979 19.3368473, -98.17135 19.3369861, -98.1713088 19.3370779)",
32345882,,Calle 3 de Marzo,residential,False,False,56.844,"LINESTRING (-98.1713088 19.3370779, -98.171749 19.3373759)",40
32345882,,Calle 3 de Marzo,residential,False,True,80.516,"LINESTRING (-98.1713088 19.3370779, -98.1706865 19.3366542)",40
845458522,,,residential,False,False,60.594,"LINESTRING (-98.1713088 19.3370779, -98.17135 19.3369861, -98.1713979 19.3368473, -98.1715917 19.3366104)",
845458523,,,residential,False,False,18.995,"LINESTRING (-98.172387 19.3352053, -98.1725394 19.3352975)",
845458523,,,residential,False,True,45.86,"LINESTRING (-98.172387 19.3352053, -98.1720545 19.3349376)",
