osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width
"[1205158577, 532198758]",Schwanebecker Straße,residential,,False,True,139.704,,"LINESTRING (13.542846 52.6479425, 13.5429788 52.6477314, 13.5430796 52.6475713, 13.5431587 52.6474458, 13.5432449 52.6473086, 13.5432676 52.6472726, 13.5432931 52.647232, 13.5433772 52.6470985, 13.5435848 52.6467688)",
1205158579,Bozener Straße,residential,30,False,False,88.203,,"LINESTRING (13.542846 52.6479425, 13.5429434 52.6479663, 13.5429705 52.6479747, 13.543264 52.6480663, 13.54357 52.6481716, 13.5439424 52.648294, 13.544001 52.6483132)",5.5
1083955238,Schwanebecker Straße,residential,30,False,False,5.485,,"LINESTRING (13.5419281 52.6494626, 13.5418627 52.6494919)",
9659868,Neue Schwanebecker Straße,residential,,False,False,139.135,,"LINESTRING (13.5419281 52.6494626, 13.5419894 52.6495448, 13.542086 52.6496423, 13.5422252 52.6497827, 13.5424924 52.6500529, 13.5425978 52.6501776, 13.5426714 52.6502899, 13.542725 52.6503938, 13.5427525 52.6505047, 13.5427579 52.6505266, 13.5427698 52.6505904)",
"[1266681660, 532198758]",Schwanebecker Straße,residential,,False,True,180.46699999999998,,"LINESTRING (13.5419281 52.6494626, 13.5419298 52.6493932, 13.5421094 52.6491133, 13.5421938 52.6489819, 13.5422136 52.648951, 13.5423128 52.648796, 13.5423667 52.6487096, 13.5424941 52.6485055, 13.5425078 52.6484835, 13.5426835 52.6482025, 13.5426965 52.6481817, 13.542846 52.6479425)",
9659083,Birkholzer Straße,tertiary,50,False,True,50.87,2,"LINESTRING (13.5427698 52.6505904, 13.5428699 52.6505744, 13.5433909 52.650496, 13.5435013 52.6504793)",
9659868,Neue Schwanebecker Straße,residential,,False,True,139.13500000000002,,"LINESTRING (13.5427698 52.6505904, 13.5427579 52.6505266, 13.5427525 52.6505047, 13.542725 52.6503938, 13.5426714 52.6502899, 13.5425978 52.6501776, 13.5424924 52.6500529, 13.5422252 52.6497827, 13.542086 52.6496423, 13.5419894 52.6495448, 13.5419281 52.6494626)",
"[879161808, 439797004]",Birkholzer Straße,tertiary,50,False,False,145.38500000000002,"['2', '3']","LINESTRING (13.5427698 52.6505904, 13.5422618 52.650672, 13.5418325 52.65074, 13.5413325 52.6508205, 13.5408831 52.6509191, 13.5408582 52.6509246, 13.5408273 52.6509314, 13.540702 52.6509554)",
14122919,Oetztaler Straße,residential,30,False,False,131.36599999999999,,"LINESTRING (13.5351681 52.651324, 13.5351434 52.6512619, 13.5351864 52.6507472, 13.5351879 52.6507066, 13.5351959 52.650494, 13.5352038 52.6502855, 13.5352091 52.6501452)",
23756163,Straße der Jugend,residential,30,False,False,118.20700000000001,,"LINESTRING (13.5351681 52.651324, 13.5354257 52.6512883, 13.5361959 52.6511801, 13.5368758 52.6510857)",
14122954,Pitztaler Straße,residential,30,False,False,183.687,,"LINESTRING (13.5368758 52.6510857, 13.5368545 52.6510317, 13.536948 52.6494363)",
23756163,Straße der Jugend,residential,30,False,False,260.42699999999996,,"LINESTRING (13.5368758 52.6510857, 13.5380596 52.6509274, 13.5382258 52.6509072, 13.5386476 52.6509171, 13.5395099 52.6509344, 13.540028 52.6509529, 13.5403402 52.6509643, 13.5404719 52.6509593, 13.5405179 52.6509576, 13.540702 52.6509554)",
23756163,Straße der Jugend,residential,30,False,True,118.20700000000001,,"LINESTRING (13.5368758 52.6510857, 13.5361959 52.6511801, 13.5354257 52.6512883, 13.5351681 52.651324)",
14122919,Oetztaler Straße,residential,30,False,False,151.296,,"LINESTRING (13.5352091 52.6501452, 13.5352195 52.6499675, 13.5352228 52.6499112, 13.5352302 52.6497852, 13.5352363 52.6496819, 13.535246 52.6495161, 13.5352717 52.6490788, 13.5352736 52.6490457, 13.5352872 52.6487854)",
14122919,Oetztaler Straße,residential,30,False,True,131.366,,"LINESTRING (13.5352091 52.6501452, 13.5352038 52.6502855, 13.5351959 52.650494, 13.5351879 52.6507066, 13.5351864 52.6507472, 13.5351434 52.6512619, 13.5351681 52.651324)",
14123221,Meraner Straße,residential,30,False,True,119.432,,"LINESTRING (13.5338745 52.6435931, 13.5351455 52.6438188, 13.5355701 52.6439013)",
14122919,Oetztaler Straße,residential,30,False,False,181.19599999999997,,"LINESTRING (13.5353808 52.6473384, 13.5353963 52.6469702, 13.5354036 52.6467968, 13.5354122 52.6465911, 13.5354282 52.6462103, 13.5354335 52.6460837, 13.53544 52.6459297, 13.5354492 52.6457094)",
14122919,Oetztaler Straße,residential,30,False,True,161.024,,"LINESTRING (13.5353808 52.6473384, 13.5353606 52.6476551, 13.5353452 52.6478979, 13.535335 52.648059, 13.5353337 52.6480802, 13.5353217 52.6482686, 13.5353109 52.6484377, 13.5353 52.6486102, 13.5352872 52.6487854)",
14123399,Bozener Straße,residential,30,False,False,113.207,,"LINESTRING (13.5353808 52.6473384, 13.5358653 52.6473489, 13.5361568 52.6473552, 13.5362238 52.6473566, 13.5370578 52.6473741)",5.5
14122919,Oetztaler Straße,residential,30,False,False,201.21800000000002,,"LINESTRING (13.5354492 52.6457094, 13.5354745 52.6453589, 13.5355072 52.6449055, 13.5355133 52.6448209, 13.5355148 52.6447967, 13.5355356 52.6444596, 13.5355433 52.6443305, 13.5355701 52.6439013)",
14122919,Oetztaler Straße,residential,30,False,True,181.19600000000003,,"LINESTRING (13.5354492 52.6457094, 13.53544 52.6459297, 13.5354335 52.6460837, 13.5354282 52.6462103, 13.5354122 52.6465911, 13.5354036 52.6467968, 13.5353963 52.6469702, 13.5353808 52.6473384)",
15742319,Passeier Straße,residential,30,False,False,115.224,,"LINESTRING (13.5354492 52.6457094, 13.5365119 52.6457343, 13.5365858 52.645736, 13.5371558 52.6457494)",
14122919,Oetztaler Straße,residential,30,False,True,201.218,,"LINESTRING (13.5355701 52.6439013, 13.5355433 52.6443305, 13.5355356 52.6444596, 13.5355148 52.6447967, 13.5355133 52.6448209, 13.5355072 52.6449055, 13.5354745 52.6453589, 13.5354492 52.6457094)",
14123221,Meraner Straße,residential,30,False,False,119.432,,"LINESTRING (13.5355701 52.6439013, 13.5351455 52.6438188, 13.5338745 52.6435931)",
