osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
145799192,,Heitereweg,residential,30,False,False,23.684,"LINESTRING (7.9548158 48.0958015, 7.9550577 48.0956627)",,
145799193,,Heitereweg,residential,30,False,False,6.761,"LINESTRING (7.9548158 48.0958015, 7.9548164 48.0958623)",,
"[69436962, 976800894]",2,Adenauerstraße,residential,30,False,False,63.537,"LINESTRING (7.9575006 48.0948432, 7.9575279 48.0951817, 7.9575184 48.095271, 7.9574676 48.0953265, 7.9573671 48.0953659)",,
145816916,,Am Kastelberg,residential,30,False,False,123.69600000000001,"LINESTRING (7.9575006 48.0948432, 7.9576667 48.0948309, 7.9581798 48.0948201, 7.9588109 48.0948105, 7.959027 48.0948145, 7.9591625 48.0948307)",,
"[145819304, 30499890, 69436958]",2,Adenauerstraße,residential,30,False,True,53.199999999999996,"LINESTRING (7.9575006 48.0948432, 7.9574962 48.094809, 7.9574667 48.0944269, 7.9574662 48.0943654)",yes,
"[30408667, 976800893, 118029630]",2,Bahnhofplatz,residential,30,False,True,47.199,"LINESTRING (7.957899 48.0955953, 7.9577478 48.095549, 7.957674 48.0955162, 7.9575218 48.0954419, 7.9573671 48.0953659)",,
139189138,,Bahnhofplatz,residential,30,False,False,83.87899999999999,"LINESTRING (7.957899 48.0955953, 7.9581264 48.0956554, 7.9583446 48.0957173, 7.9589409 48.0958864)",,
145816917,,Bahnhofstraße,residential,30,False,False,126.697,"LINESTRING (7.957899 48.0955953, 7.9582389 48.0953979, 7.9585044 48.0952437, 7.9588094 48.0950667, 7.958924 48.0949949, 7.9591625 48.0948307)",,
30502535,,Friedhofstraße,residential,30,False,True,106.815,"LINESTRING (7.9648388 48.0941753, 7.9641876 48.0933188)",,
30502535,,Friedhofstraße,residential,30,False,False,95.53999999999999,"LINESTRING (7.9648388 48.0941753, 7.9651838 48.0945549, 7.9655832 48.094873)",,
107825715,,Bismarckstraße,residential,30,False,False,100.37700000000001,"LINESTRING (7.9648388 48.0941753, 7.9641338 48.0944876, 7.9637261 48.0946873)",,5.8
145817322,,Scheffelstraße,residential,30,False,True,114.01,"LINESTRING (7.9648388 48.0941753, 7.9657936 48.0938164, 7.9661712 48.0936662)",,
30502535,,Friedhofstraße,residential,30,False,False,106.815,"LINESTRING (7.9641876 48.0933188, 7.9648388 48.0941753)",,
145817321,,Giselastraße,residential,30,False,True,96.586,"LINESTRING (7.9641876 48.0933188, 7.9652526 48.0928203)",,
145813974,,Damenstraße,residential,30,False,False,113.77600000000001,"LINESTRING (7.9641876 48.0933188, 7.9641108 48.0933599, 7.9636167 48.0936247, 7.9632269 48.0938478, 7.9630018 48.0939664)",,
1017313551,,Friedhofstraße,residential,30,False,True,104.951,"LINESTRING (7.9641876 48.0933188, 7.9638953 48.0930833, 7.9637265 48.0929972, 7.9636691 48.0929706, 7.9631166 48.0927141)",,
30502555,,Kandelstraße,residential,30,False,False,78.432,"LINESTRING (7.9631166 48.0927141, 7.9633444 48.0925187, 7.9637612 48.0921554)",,
"[23034576, 41778175]",,Kirchstraße,residential,30,False,True,132.318,"LINESTRING (7.9631166 48.0927141, 7.9629637 48.0926935, 7.9627749 48.0927379, 7.9626614 48.0927207, 7.9625906 48.0926636, 7.9625338 48.0925873, 7.962169 48.0919151)",,
1017313551,,Friedhofstraße,residential,30,False,False,104.951,"LINESTRING (7.9631166 48.0927141, 7.9636691 48.0929706, 7.9637265 48.0929972, 7.9638953 48.0930833, 7.9641876 48.0933188)",,
24935414,,Propsteistraße,residential,30,False,False,104.53299999999999,"LINESTRING (7.9644244 48.0906295, 7.9642001 48.0907533, 7.9637581 48.0907402, 7.9633897 48.0906361, 7.9632165 48.0905867, 7.9631443 48.0905559)",,
24935414,,Propsteistraße,residential,30,False,True,75.736,"LINESTRING (7.9644244 48.0906295, 7.9646865 48.0906236, 7.9648259 48.0906354, 7.9651053 48.0907313, 7.9652591 48.0907866, 7.9653811 48.0908128)",,
"[35266258, 266289122, 266289123]",,Peter-Thumb-Straße,residential,30,False,True,63.123,"LINESTRING (7.9644244 48.0906295, 7.9644128 48.0904224, 7.964416 48.0903442, 7.9644359 48.0902661, 7.9645362 48.0900745)",yes,
34777206,,Schillerstraße,residential,30,False,True,72.474,"LINESTRING (7.9626366 48.0902958, 7.9624124 48.0903215, 7.9620367 48.0903397, 7.9618755 48.0903354, 7.9616654 48.0903297)",,
184469539,,Schwarzenbergstraße,residential,30,False,True,35.016,"LINESTRING (7.9626366 48.0902958, 7.9627062 48.0903946, 7.9628312 48.0905826)",,
"[25430329, 228597900, 228597901]",,Schwarzenbergstraße,residential,30,False,True,43.06,"LINESTRING (7.9626366 48.0902958, 7.9626252 48.0902672, 7.962608 48.090224, 7.9625591 48.0901009, 7.9624701 48.0899251)",yes,
32024059,,Schlößlestraße,residential,30,False,False,106.148,"LINESTRING (7.9666799 48.0921703, 7.9658847 48.0913771)",,
32024059,,Schlößlestraße,residential,30,False,True,117.969,"LINESTRING (7.9666799 48.0921703, 7.9675831 48.093043)",,
145817321,,Giselastraße,residential,30,False,False,66.158,"LINESTRING (7.9666799 48.0921703, 7.965938 48.0924996)",,
34502693,,Jahnstraße,residential,30,False,False,8.158,"LINESTRING (7.9544322 48.0909685, 7.9543723 48.09103)",,
34502693,,Jahnstraße,residential,30,False,True,55.79600000000001,"LINESTRING (7.9544322 48.0909685, 7.9547098 48.0906835, 7.9547573 48.0906348, 7.9548474 48.0905504)",,
145816937,2,Lange Straße,tertiary,30,False,False,43.199,"LINESTRING (7.9597559 48.0932108, 7.9600487 48.0933205, 7.9602455 48.093419)",,
145816937,2,Lange Straße,tertiary,30,False,True,19.267,"LINESTRING (7.9597559 48.0932108, 7.9596728 48.0931802, 7.9595281 48.0931279)",,
180804462,,Ringstraße,residential,10,False,True,86.82499999999999,"LINESTRING (7.9597559 48.0932108, 7.959391 48.0936981, 7.9593555 48.093737, 7.9592525 48.0938453, 7.9591992 48.0938962)",,
124878604,2,Lange Straße,tertiary,30,False,False,8.812,"LINESTRING (7.9615443 48.0946789, 7.9616002 48.0947488)",,
"[145816937, 124878603, 124878604, 976800891, 976800892]",2,Lange Straße,tertiary,"['50', '30']",False,True,170.293,"LINESTRING (7.9615443 48.0946789, 7.9614912 48.0946166, 7.9612219 48.094316, 7.9610994 48.0941954, 7.9609577 48.0940559, 7.9609194 48.0940182, 7.9608087 48.0939092, 7.9607662 48.0938719, 7.9605497 48.0936836, 7.9604459 48.0935933, 7.9602455 48.093419)",,
145813974,,Damenstraße,residential,30,False,True,134.19400000000002,"LINESTRING (7.9615443 48.0946789, 7.9619637 48.0944557, 7.9623391 48.0942833, 7.962932 48.0939995, 7.9630018 48.0939664)",,
124878604,2,Lange Straße,tertiary,30,False,False,6.321,"LINESTRING (7.9621238 48.0954666, 7.9621643 48.0955166)",,
