osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel
872929214,,Unterer Sand,residential,,False,False,72.952,"LINESTRING (13.1263778 48.9687887, 13.1263095 48.96878, 13.1261171 48.9687635, 13.1259701 48.968751, 13.1253859 48.9687921)",,,
390478668,3,Moizerlitzplatz,tertiary,50,False,False,45.952,"LINESTRING (13.1297946 48.9689858, 13.1292326 48.9687996)",,,
157328897,2,Bahnhofstraße,tertiary,50,False,True,67.013,"LINESTRING (13.1297946 48.9689858, 13.1302086 48.9691369, 13.1305711 48.9693056)",,,
157329384,,Schönauerweg,residential,,False,False,39.524,"LINESTRING (13.1297946 48.9689858, 13.129899 48.9688898, 13.1301727 48.9687345)",,,
157328833,,Am Sand,residential,,False,True,40.686,"LINESTRING (13.1263119 48.9692906, 13.1264282 48.969332, 13.1264779 48.9693881, 13.1265299 48.969513, 13.1265351 48.9695976)",,,
157329479,,Unterer Sand,residential,30,False,False,56.098,"LINESTRING (13.1263119 48.9692906, 13.1263334 48.9689737, 13.1263778 48.9687887)",,,
"[616912124, 616912131, 157328948, 616912123]",,"['Deggendorfer Straße', 'Am Sand']",residential,30,False,False,466.2699999999999,"LINESTRING (13.1263119 48.9692906, 13.1255174 48.9692977, 13.1254932 48.9693054, 13.1254747 48.9693232, 13.1254593 48.9693533, 13.1254352 48.9693752, 13.1253971 48.9693858, 13.1247009 48.969394, 13.1241044 48.9694549, 13.1240651 48.9694582, 13.1237551 48.9694529, 13.1231282 48.9694027, 13.1227149 48.9692781, 13.1221895 48.9690736, 13.1220874 48.9690339, 13.1213086 48.9687948, 13.1209756 48.9687545, 13.1206603 48.9686849, 13.1202756 48.9685999)",,,
157329313,,Kinoweg,residential,,False,False,99.446,"LINESTRING (13.1318854 48.9694594, 13.1320109 48.9695114, 13.1325838 48.9697512, 13.1330406 48.9699334)",,,
"[157328818, 157329319]",,"['Am Platzl', 'Kirchsteig']",residential,,False,False,70.019,"LINESTRING (13.1277263 48.9695471, 13.1279597 48.9697181, 13.1278204 48.9698135, 13.1276826 48.9698125, 13.1275559 48.9699693)",,,
157328825,,Am Platzl,tertiary,30,False,False,67.15400000000001,"LINESTRING (13.1277263 48.9695471, 13.1274033 48.9696333, 13.1272749 48.9696421, 13.1270044 48.9696167, 13.1268387 48.9696384)",,,
