osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
53809047,,,Trollingerweg,residential,30,False,False,93.83500000000001,"LINESTRING (9.0891494 49.037269, 9.0890934 49.0377951, 9.0890592 49.0381108)",,,
29358156,,,Burgstraße,residential,30,False,False,39.277,"LINESTRING (9.0906895 49.0426706, 9.0906203 49.0430209)",,,
"[168054496, 7956183]",2,,Burgstraße,secondary,30,False,True,94.741,"LINESTRING (9.0906895 49.0426706, 9.0906857 49.0426143, 9.090733 49.0420076, 9.0907488 49.0418197)",,,
25048226,,,Karlstraße,residential,30,False,False,84.17,"LINESTRING (9.0906895 49.0426706, 9.0900087 49.0426661, 9.0895349 49.0426585)",,,
36785470,2,,Karlstraße,secondary,30,False,False,212.76100000000002,"LINESTRING (9.0906895 49.0426706, 9.0907551 49.0427025, 9.0915328 49.0427888, 9.0918342 49.0428217, 9.0922376 49.0428736, 9.0927644 49.0429327, 9.0932917 49.0429912, 9.0933301 49.0429955, 9.0935516 49.0430161)",,,
168057315,2,,Burgstraße,secondary,30,False,True,4.428,"LINESTRING (9.0907488 49.0418197, 9.0907506 49.0417799)",,,
7956184,,K 1680,Cleebronner Straße,secondary,50,False,False,82.61699999999999,"LINESTRING (9.0907488 49.0418197, 9.090041 49.0418121, 9.0896156 49.0418045)",,,
"[168054496, 7956183]",2,,Burgstraße,secondary,30,False,False,94.741,"LINESTRING (9.0907488 49.0418197, 9.090733 49.0420076, 9.0906857 49.0426143, 9.0906895 49.0426706)",,,
7956184,,K 1680,Cleebronner Straße,secondary,50,False,False,69.999,"LINESTRING (9.0886044 49.0417533, 9.0876489 49.0416901)",,,
7956184,,K 1680,Cleebronner Straße,secondary,50,False,True,68.421,"LINESTRING (9.0886044 49.0417533, 9.0895403 49.0418008)",,,
37276944,,,Schillerstraße,residential,30,False,True,106.024,"LINESTRING (9.0886044 49.0417533, 9.0886708 49.0408008)",,,
11850209,,,Keplerstraße,residential,30,False,True,99.527,"LINESTRING (9.0866522 49.0416443, 9.086722 49.0407504)",,,
428177812,,K 1680,Cleebronner Straße,secondary,50,False,True,4.349,"LINESTRING (9.0866522 49.0416443, 9.0867117 49.0416472)",,,
666961791,,,Hauptstraße,living_street,,True,False,39.958,"LINESTRING (9.0939808 49.040088, 9.0938619 49.0404388)",,,
"[11850176, 964217070]",,,Hauptstraße,residential,20,False,True,71.64699999999999,"LINESTRING (9.0939808 49.040088, 9.0940275 49.0399468, 9.0940391 49.0398118, 9.0940476 49.0394472)",,,
37194850,,,Friedenstraße,residential,30,False,False,141.395,"LINESTRING (9.0878634 49.0395213, 9.0877218 49.0407895)",,,
145127657,,,Bachstraße,residential,30,False,False,77.763,"LINESTRING (9.0878634 49.0395213, 9.0868434 49.0393164)",,,
145127657,,,Bachstraße,residential,30,False,True,80.35,"LINESTRING (9.0878634 49.0395213, 9.0883553 49.0396929, 9.0888363 49.039861)",,,
27646467,2,L 1107,Karlstraße,secondary,30,False,True,109.018,"LINESTRING (9.0950443 49.0430775, 9.0944377 49.0430575, 9.0935516 49.0430161)",,,
30023302,2,L 2254,Lauffener Straße,secondary,50,False,False,72.67900000000002,"LINESTRING (9.0950443 49.0430775, 9.0950421 49.0431938, 9.0950489 49.0432887, 9.095065 49.043354, 9.0950897 49.0434143, 9.0951211 49.0434804, 9.0951652 49.0435409, 9.0952257 49.0435949, 9.0952883 49.0436448, 9.0953463 49.0436704)",,,
"[328417708, 168054500]",2,L 1107,Karlstraße,secondary,30,False,False,42.78,"LINESTRING (9.0950443 49.0430775, 9.0953303 49.0430777, 9.0955139 49.0430713, 9.0955666 49.0430617, 9.0956202 49.0430408)",,,
25048226,,,Karlstraße,residential,30,False,True,209.005,"LINESTRING (9.0866683 49.0426117, 9.0874975 49.0426252, 9.0875359 49.0426258, 9.0881266 49.0426355, 9.0885579 49.0426425, 9.0889862 49.0426495, 9.0895349 49.0426585)",,,
175730362,,,Keplerstraße,residential,30,False,False,125.985,"LINESTRING (9.0866683 49.0426117, 9.0866532 49.0432034, 9.0866294 49.0437444)",,,
"[428177816, 175730362]",,,Keplerstraße,residential,30,False,True,107.327,"LINESTRING (9.0866683 49.0426117, 9.0866993 49.0417163, 9.0867117 49.0416472)",,,
