osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,access,width
"[794447472, 794447473, 794447464]",False,1,,"['Schweizstraße', 'Bahnhofsweg']",residential,20,"[False, True]",260.96900000000005,"LINESTRING (6.8298888 50.1976855, 6.8301394 50.1977813, 6.8303384 50.1978584, 6.8305418 50.1979252, 6.830737 50.1979658, 6.8307944 50.1979727, 6.8308789 50.197977, 6.8309695 50.197971, 6.8311103 50.1979487, 6.8312397 50.1979169, 6.8314026 50.1978688, 6.8315334 50.1978375, 6.8316346 50.1978177, 6.831876 50.197777, 6.8321583 50.1977147, 6.8323293 50.1976778, 6.8325258 50.1976323, 6.83267 50.1975971, 6.832839 50.1975422, 6.8331192 50.1974469, 6.8332292 50.1974125, 6.8332679 50.1973991)",,,,
"[23471587, 86747933, 93033222]",True,,,"['Lindenstraße', 'Wirichstraße']",residential,30,False,161.76999999999998,"LINESTRING (6.8299602 50.195653, 6.8301436 50.1956056, 6.8302392 50.1955728, 6.8303019 50.1955428, 6.8304008 50.1954882, 6.8305027 50.1954118, 6.8305945 50.1953174, 6.8307054 50.1951766, 6.8307505 50.1951374, 6.8308179 50.1950992, 6.8312567 50.1949465, 6.831676 50.1947551)",,,,
39980022,False,,,Friedhofstraße,residential,30,False,115.479,"LINESTRING (6.8299602 50.195653, 6.829833 50.1955566, 6.829666 50.1954039, 6.8296169 50.195359, 6.829608 50.1953289, 6.8295895 50.1952953, 6.8296181 50.1952666, 6.8296508 50.1952247, 6.8297855 50.1950836, 6.8299651 50.1948849, 6.8300713 50.1947752)",,,,
39981426,False,2,,Lindenstraße,residential,20,False,75.57199999999999,"LINESTRING (6.8299602 50.195653, 6.8300795 50.1957376, 6.8301319 50.1957685, 6.8301883 50.1957844, 6.8302593 50.1957977, 6.8302887 50.1957991, 6.8303385 50.1958015, 6.8304136 50.1957964, 6.8305242 50.1957882, 6.8306141 50.1957865, 6.8307207 50.1957921, 6.8307911 50.1958002, 6.8308414 50.1958118, 6.8308937 50.195832, 6.8309141 50.1958438)",,,,
175656043,False,3,,Abt-Richard-Straße,residential,50,True,68.31599999999999,"LINESTRING (6.8299602 50.195653, 6.8297413 50.1957022, 6.829503 50.1958018, 6.8294039 50.1958466, 6.8293327 50.1958845, 6.8292552 50.1959313, 6.8292136 50.195957, 6.8291717 50.1959887)",,,,
86747931,True,1,,Leopoldstraße,residential,,False,28.535,"LINESTRING (6.8293309 50.1982508, 6.8293189 50.1983128, 6.8292721 50.1983569, 6.8292276 50.1983987, 6.8291259 50.1984612)",,,,
794447470,True,1,,Leopoldstraße,residential,,False,74.59,"LINESTRING (6.8293309 50.1982508, 6.8293547 50.1982258, 6.8295055 50.1980672, 6.8296032 50.1980021, 6.8298888 50.1976855)",,,,
"[275014493, 26583663]",False,2,,"['Gartenstraße', 'Leopoldstraße']",residential,,"[False, True]",247.08499999999998,"LINESTRING (6.8290963 50.1992362, 6.8290068 50.1992179, 6.8286011 50.1990981, 6.828509 50.1990833, 6.8284527 50.1990861, 6.8283856 50.1991023, 6.8283151 50.1991456, 6.8281075 50.1992957, 6.8276647 50.1995421, 6.8273441 50.1997087, 6.8272386 50.1997618, 6.8271764 50.1997942, 6.8268516 50.1999549, 6.8265268 50.2001274, 6.8263609 50.2002471)",,,,
"[794447468, 67654310]",False,2,,Gartenstraße,residential,,False,87.476,"LINESTRING (6.8290963 50.1992362, 6.8291398 50.1988222, 6.8291767 50.1986836, 6.8291905 50.1986069, 6.8291887 50.1985712, 6.8291661 50.1985082, 6.8291259 50.1984612)",,,,
26752197,False,2,,Borngasse,residential,30,True,70.837,"LINESTRING (6.8298214 50.1964664, 6.8297088 50.1963553, 6.8295566 50.1962347, 6.8294848 50.1961749, 6.8293274 50.1960745, 6.8292649 50.1960465, 6.8291717 50.1959887)",,,,
"[794447468, 67654310]",False,2,,Gartenstraße,residential,,True,87.476,"LINESTRING (6.8291259 50.1984612, 6.8291661 50.1985082, 6.8291887 50.1985712, 6.8291905 50.1986069, 6.8291767 50.1986836, 6.8291398 50.1988222, 6.8290963 50.1992362)",,,,
"[794447469, 26752199]",False,2,,Rosenbergstraße,residential,,False,89.971,"LINESTRING (6.8291259 50.1984612, 6.8289546 50.198367, 6.8288464 50.1982981, 6.8286217 50.1981538, 6.828444 50.1980327, 6.8282529 50.1978783)",,,,
794447471,True,1,,Leopoldstraße,residential,,False,27.847,"LINESTRING (6.8291259 50.1984612, 6.8291793 50.1983777, 6.8292223 50.1983373, 6.8292707 50.1982918, 6.8293309 50.1982508)",,,,
26752199,False,2,,Rosenbergstraße,residential,,True,89.327,"LINESTRING (6.8273104 50.1973638, 6.8274567 50.1974128, 6.8274963 50.1974223, 6.8277272 50.1975271, 6.8279457 50.1976357, 6.8282529 50.1978783)",,,,
36378932,False,,,Rosenbergstraße,residential,,True,64.497,"LINESTRING (6.8273104 50.1973638, 6.827149 50.1973205, 6.8270985 50.1973069, 6.8264748 50.1971395)",,,,
"[626275880, 187189161]",False,"['2', '3']",,Trierer Straße,residential,50,True,126.16000000000001,"LINESTRING (6.8273104 50.1973638, 6.8272483 50.1974699, 6.8272095 50.1975215, 6.8269538 50.1978508, 6.8268752 50.1979574, 6.8265653 50.1983306, 6.8265271 50.1983807)",,,,
"[23471586, 794447467, 794447466]",False,2,,Abt-Richard-Straße,residential,"['50', '30']",False,204.684,"LINESTRING (6.8273104 50.1973638, 6.8274391 50.1972205, 6.8274625 50.197192, 6.8276136 50.1970385, 6.8278257 50.1968524, 6.8280379 50.1966661, 6.8281426 50.1965942, 6.8288237 50.1961295, 6.8289457 50.1960642, 6.8289845 50.1960487, 6.8290383 50.1960273, 6.8291076 50.196006, 6.8291717 50.1959887)",,,,
934967560,True,1,,,primary,50,False,5.827999999999999,"LINESTRING (6.8355164 50.1961285, 6.8355246 50.1961542, 6.8355214 50.1961803)",roundabout,,,
27233242,True,1,,,primary,50,False,11.844000000000001,"LINESTRING (6.8355214 50.1961803, 6.835507 50.1962053, 6.8354823 50.1962267, 6.8354493 50.1962429, 6.8354106 50.1962527)",roundabout,,,
61934019,False,2,,Bahnhofstraße,residential,50,True,16.516000000000002,"LINESTRING (6.8355214 50.1961803, 6.8355809 50.196195, 6.8356427 50.1962097, 6.8356777 50.1962159, 6.8357089 50.1962183, 6.8357434 50.1962168)",,,,
591056766,True,1,B 257,,primary,50,False,55.128,"LINESTRING (6.8354106 50.1962527, 6.8353715 50.1962983, 6.8352498 50.1965162, 6.8351104 50.1967089)",,,,
688240521,True,1,,,primary,50,False,10.5,"LINESTRING (6.8354106 50.1962527, 6.8353616 50.1962548, 6.8353141 50.1962466, 6.8352734 50.1962289)",roundabout,,,
708001182,True,1,,,primary,50,False,9.287,"LINESTRING (6.8352734 50.1962289, 6.8352467 50.1962069, 6.835231 50.1961809, 6.8352278 50.1961532)",roundabout,,,
591056769,True,1,,Bahnhofstraße,residential,50,False,29.558999999999997,"LINESTRING (6.8352278 50.1961532, 6.8351148 50.1960794, 6.8350358 50.1960376, 6.8349109 50.1959829)",,,,
688736878,True,1,,,primary,50,False,12.131,"LINESTRING (6.8352278 50.1961532, 6.8352426 50.1961181, 6.8352769 50.1960891, 6.8353257 50.1960705)",roundabout,,,
934967559,True,1,,,primary,50,False,5.813000000000001,"LINESTRING (6.8353257 50.1960705, 6.8353657 50.1960651, 6.8354064 50.1960668)",roundabout,,,
591056768,True,1,B 257,Mehrener Straße,primary,50,False,60.794,"LINESTRING (6.8354064 50.1960668, 6.8354606 50.1960442, 6.83554 50.1959964, 6.8357327 50.1957752, 6.8358865 50.1956218)",,,,
688736877,True,1,,,primary,50,False,10.828,"LINESTRING (6.8354064 50.1960668, 6.8354535 50.1960788, 6.8354917 50.1961001, 6.8355164 50.1961285)",roundabout,,,
"[40437404, 39980013]",False,,,Wehrbüschstraße,residential,30,False,181.27499999999995,"LINESTRING (6.8311722 50.1940903, 6.8311852 50.1940057, 6.8310713 50.1937908, 6.8310088 50.1936529, 6.8309927 50.1935422, 6.8309976 50.1934604, 6.83102 50.1933545, 6.8311034 50.193207, 6.8311804 50.1931123, 6.8312189 50.1930193, 6.8312349 50.1929391, 6.8312285 50.1928653, 6.8311981 50.1927867, 6.8311612 50.1927226, 6.831081 50.1926584, 6.8309976 50.1926167, 6.8309045 50.1926039)",,,,
39980022,False,,,Friedhofstraße,residential,30,True,113.50299999999999,"LINESTRING (6.8311722 50.1940903, 6.8311219 50.1940912, 6.831032 50.1941033, 6.8308429 50.1941505, 6.8304159 50.1944369, 6.8300713 50.1947752)",,,,
40437382,False,,,Wehrbüschstraße,residential,30,True,68.31700000000001,"LINESTRING (6.8311722 50.1940903, 6.8317183 50.1941528, 6.8318268 50.1941867, 6.8320378 50.1943086)",,,,
28483961,False,,,Friedhofstraße,residential,,False,86.96800000000002,"LINESTRING (6.8300713 50.1947752, 6.8300068 50.1947355, 6.8299436 50.1946817, 6.8298582 50.1945943, 6.829782 50.194494, 6.82973 50.1944067, 6.8297255 50.1943197, 6.8297244 50.1942989, 6.8297486 50.194219, 6.8298006 50.1941373, 6.8298545 50.1940741)",,,,
39980022,False,,,Friedhofstraße,residential,30,False,113.503,"LINESTRING (6.8300713 50.1947752, 6.8304159 50.1944369, 6.8308429 50.1941505, 6.831032 50.1941033, 6.8311219 50.1940912, 6.8311722 50.1940903)",,,,
39980022,False,,,Friedhofstraße,residential,30,True,115.479,"LINESTRING (6.8300713 50.1947752, 6.8299651 50.1948849, 6.8297855 50.1950836, 6.8296508 50.1952247, 6.8296181 50.1952666, 6.8295895 50.1952953, 6.829608 50.1953289, 6.8296169 50.195359, 6.829666 50.1954039, 6.829833 50.1955566, 6.8299602 50.195653)",,,,
28483961,False,,,Friedhofstraße,residential,,True,86.96799999999999,"LINESTRING (6.8298545 50.1940741, 6.8298006 50.1941373, 6.8297486 50.194219, 6.8297244 50.1942989, 6.8297255 50.1943197, 6.82973 50.1944067, 6.829782 50.194494, 6.8298582 50.1945943, 6.8299436 50.1946817, 6.8300068 50.1947355, 6.8300713 50.1947752)",,,,
"[40437404, 39980013]",False,,,Wehrbüschstraße,residential,30,True,181.27500000000003,"LINESTRING (6.8309045 50.1926039, 6.8309976 50.1926167, 6.831081 50.1926584, 6.8311612 50.1927226, 6.8311981 50.1927867, 6.8312285 50.1928653, 6.8312349 50.1929391, 6.8312189 50.1930193, 6.8311804 50.1931123, 6.8311034 50.193207, 6.83102 50.1933545, 6.8309976 50.1934604, 6.8309927 50.1935422, 6.8310088 50.1936529, 6.8310713 50.1937908, 6.8311852 50.1940057, 6.8311722 50.1940903)",,,,
"[40437405, 86747934]",False,,,Wehrbüschstraße,residential,30,False,171.73,"LINESTRING (6.8309045 50.1926039, 6.8306719 50.1926327, 6.8304057 50.1926696, 6.8302004 50.1926905, 6.8300673 50.1927081, 6.8299758 50.192737, 6.8298555 50.1927995, 6.8289814 50.1933369, 6.8289226 50.1933809)",,,,
36378932,False,,,Rosenbergstraße,residential,,False,64.497,"LINESTRING (6.8264748 50.1971395, 6.8270985 50.1973069, 6.827149 50.1973205, 6.8273104 50.1973638)",,,,
36378932,False,,,Rosenbergstraße,residential,,True,35.141000000000005,"LINESTRING (6.8264748 50.1971395, 6.8262537 50.1970668, 6.8261953 50.1970425, 6.8260661 50.1969665)",,,,
31687542,False,,,Von-Ehrenberg-Straße,residential,,False,174.05499999999998,"LINESTRING (6.8260661 50.1969665, 6.826733 50.196572, 6.8274614 50.196168, 6.8277918 50.195868)",,,,
36378932,False,,,Rosenbergstraße,residential,,False,35.141000000000005,"LINESTRING (6.8260661 50.1969665, 6.8261953 50.1970425, 6.8262537 50.1970668, 6.8264748 50.1971395)",,,,
36378932,False,,,Rosenbergstraße,residential,,True,21.68,"LINESTRING (6.8260661 50.1969665, 6.8259754 50.1968619, 6.8259482 50.1967886)",,,,
31687544,False,,,Jahnstraße,residential,,False,18.196,"LINESTRING (6.8259482 50.1967886, 6.8256926 50.1967864)",,,,
31687540,False,,,Kurfürst-Balduin-Straße,residential,,False,171.28,"LINESTRING (6.8259482 50.1967886, 6.8261466 50.196689, 6.8271454 50.1960743, 6.8273865 50.1958577, 6.8275537 50.1956586)",,,,
36378932,False,,,Rosenbergstraße,residential,,False,21.68,"LINESTRING (6.8259482 50.1967886, 6.8259754 50.1968619, 6.8260661 50.1969665)",,,,
36378932,False,,,Rosenbergstraße,residential,,True,191.22900000000004,"LINESTRING (6.8259482 50.1967886, 6.82599 50.1965766, 6.8261393 50.1962062, 6.8265288 50.1956776, 6.8265273 50.195607, 6.8265054 50.1955449, 6.8264204 50.1953775, 6.8263791 50.1953251, 6.8263239 50.1952628, 6.826205 50.1952003)",,,,
31687537,False,,,Rosenbergstraße,residential,,False,131.267,"LINESTRING (6.826205 50.1952003, 6.8258718 50.1954927, 6.8254757 50.195721, 6.8250379 50.1959995, 6.8249332 50.1960472)",,,,
36378932,False,,,Rosenbergstraße,residential,,False,191.22899999999998,"LINESTRING (6.826205 50.1952003, 6.8263239 50.1952628, 6.8263791 50.1953251, 6.8264204 50.1953775, 6.8265054 50.1955449, 6.8265273 50.195607, 6.8265288 50.1956776, 6.8261393 50.1962062, 6.82599 50.1965766, 6.8259482 50.1967886)",,,,
"[36378932, 995338039]",False,,,Rosenbergstraße,residential,,True,240.59700000000004,"LINESTRING (6.826205 50.1952003, 6.826151 50.1951769, 6.8260632 50.1951388, 6.8259779 50.1951018, 6.8258581 50.1950142, 6.8257224 50.1948457, 6.8256446 50.1947271, 6.8256118 50.1946462, 6.8255962 50.1945787, 6.8256297 50.1945175, 6.8257445 50.1943951, 6.8260425 50.1940992, 6.8261264 50.1939854, 6.8262492 50.1937921, 6.8262577 50.193746, 6.8262303 50.1937064, 6.8260696 50.1936328, 6.8260025 50.1935909, 6.8259169 50.1935229, 6.8256922 50.1935261)",,,,
31687537,False,,,Rosenbergstraße,residential,,True,131.267,"LINESTRING (6.8249332 50.1960472, 6.8250379 50.1959995, 6.8254757 50.195721, 6.8258718 50.1954927, 6.826205 50.1952003)",,,,
31687540,False,,,Kurfürst-Balduin-Straße,residential,,True,171.28,"LINESTRING (6.8275537 50.1956586, 6.8273865 50.1958577, 6.8271454 50.1960743, 6.8261466 50.196689, 6.8259482 50.1967886)",,,,
31687542,False,,,Von-Ehrenberg-Straße,residential,,True,174.055,"LINESTRING (6.8277918 50.195868, 6.8274614 50.196168, 6.826733 50.196572, 6.8260661 50.1969665)",,,,
31687551,True,1,,Freiherr-vom-Stein-Straße,residential,,False,196.675,"LINESTRING (6.8243727 50.1982424, 6.8244909 50.19822, 6.8248812 50.1981032, 6.8251574 50.1979955, 6.8254336 50.1978603, 6.8255379 50.1978056, 6.8256394 50.1977503, 6.8259065 50.1975803, 6.8260063 50.1975109, 6.8264748 50.1971395)",,,,
62143868,False,2,,Freiherr-vom-Stein-Straße,residential,,False,55.69,"LINESTRING (6.8243727 50.1982424, 6.8242122 50.1982352, 6.823598 50.1981744)",,,,
624480532,False,,,Michel-Reineke-Straße,residential,,True,75.00399999999999,"LINESTRING (6.8243727 50.1982424, 6.8245116 50.19843, 6.8248241 50.1988519)",,,,
"[389881266, 346769639]",True,,,Bergstraße,residential,,False,104.473,"LINESTRING (6.8244546 50.1966963, 6.8246577 50.196709, 6.8247628 50.196699, 6.8248644 50.1966815, 6.8249588 50.1966572, 6.8253101 50.1965466, 6.8253755 50.1965484, 6.8256578 50.1967345, 6.8256926 50.1967864)",,,hgv,"['4', '3']"
86747929,False,,,Schulstraße,residential,,False,167.09799999999996,"LINESTRING (6.8256922 50.1935261, 6.8256556 50.1934589, 6.8255723 50.1933866, 6.8254714 50.1933308, 6.8249796 50.1931224, 6.8248365 50.1930797, 6.8246808 50.1930176, 6.8246276 50.1929782, 6.8245006 50.1929265, 6.824246 50.1928229, 6.8240609 50.1927474, 6.823977 50.1927228, 6.823885 50.1927097, 6.8238393 50.1927072, 6.8237935 50.1927047)",,,,
"[36378932, 995338039]",False,,,Rosenbergstraße,residential,,False,240.59699999999998,"LINESTRING (6.8256922 50.1935261, 6.8259169 50.1935229, 6.8260025 50.1935909, 6.8260696 50.1936328, 6.8262303 50.1937064, 6.8262577 50.193746, 6.8262492 50.1937921, 6.8261264 50.1939854, 6.8260425 50.1940992, 6.8257445 50.1943951, 6.8256297 50.1945175, 6.8255962 50.1945787, 6.8256118 50.1946462, 6.8256446 50.1947271, 6.8257224 50.1948457, 6.8258581 50.1950142, 6.8259779 50.1951018, 6.8260632 50.1951388, 6.826151 50.1951769, 6.826205 50.1952003)",,,,
86747929,False,,,Schulstraße,residential,,True,167.09799999999998,"LINESTRING (6.8237935 50.1927047, 6.8238393 50.1927072, 6.823885 50.1927097, 6.823977 50.1927228, 6.8240609 50.1927474, 6.824246 50.1928229, 6.8245006 50.1929265, 6.8246276 50.1929782, 6.8246808 50.1930176, 6.8248365 50.1930797, 6.8249796 50.1931224, 6.8254714 50.1933308, 6.8255723 50.1933866, 6.8256556 50.1934589, 6.8256922 50.1935261)",,,,
31687763,False,2,,Auf'm Weiher,residential,,False,122.964,"LINESTRING (6.8248811 50.1993465, 6.8249054 50.1993767, 6.8249382 50.1994203, 6.8251006 50.1996147, 6.8253996 50.2000069, 6.8254673 50.2000663, 6.8255519 50.2001059, 6.8256446 50.2001219, 6.8257302 50.2001175, 6.8258181 50.2000916, 6.8258738 50.20006)",,,,
624480533,False,2,,Trierer Straße,residential,50,False,21.869,"LINESTRING (6.8248811 50.1993465, 6.8249893 50.1993138, 6.8250384 50.199293, 6.8251456 50.1992474)",,,,
"[187189160, 275014488, 624480533]",False,2,,Trierer Straße,residential,50,True,62.62299999999999,"LINESTRING (6.8248811 50.1993465, 6.8246382 50.1994068, 6.8245283 50.1994312, 6.8243832 50.1994624, 6.8243302 50.1994677, 6.8242178 50.1994789, 6.8241547 50.1994843, 6.8240369 50.1994943)",,,,
187859096,False,,,,residential,,False,33.898,"LINESTRING (6.8258738 50.20006, 6.8262708 50.2002284)",,,,4
31687763,False,2,,Auf'm Weiher,residential,,False,248.77300000000002,"LINESTRING (6.8258738 50.20006, 6.8264249 50.1996722, 6.8267257 50.1994352, 6.8268442 50.1993394, 6.8268792 50.1993048, 6.8272544 50.1987652, 6.8272634 50.1987111, 6.8272477 50.1986562, 6.8272136 50.1986182, 6.827096 50.1985759, 6.8270187 50.1985469, 6.8265783 50.198398, 6.8265271 50.1983807)",,,,
31687763,False,2,,Auf'm Weiher,residential,,True,122.96400000000001,"LINESTRING (6.8258738 50.20006, 6.8258181 50.2000916, 6.8257302 50.2001175, 6.8256446 50.2001219, 6.8255519 50.2001059, 6.8254673 50.2000663, 6.8253996 50.2000069, 6.8251006 50.1996147, 6.8249382 50.1994203, 6.8249054 50.1993767, 6.8248811 50.1993465)",,,,
187189161,False,2,,Trierer Straße,residential,50,False,138.899,"LINESTRING (6.8251456 50.1992474, 6.8252373 50.1992047, 6.8252783 50.1991856, 6.8254333 50.1991134, 6.8254932 50.1990852, 6.8256399 50.1990168, 6.8257023 50.1989856, 6.8257333 50.1989674, 6.8258723 50.1988833, 6.826114 50.198738, 6.8263024 50.1985974, 6.8265271 50.1983807)",,,,
551427485,False,2,,Michel-Reineke-Straße,residential,,False,49.584999999999994,"LINESTRING (6.8251456 50.1992474, 6.8251226 50.1992206, 6.8250603 50.199145, 6.8249383 50.1989856, 6.8248241 50.1988519)",,,,
624480533,False,2,,Trierer Straße,residential,50,True,21.869,"LINESTRING (6.8251456 50.1992474, 6.8250384 50.199293, 6.8249893 50.1993138, 6.8248811 50.1993465)",,,,
40437382,False,,,Wehrbüschstraße,residential,30,False,68.31700000000001,"LINESTRING (6.8320378 50.1943086, 6.8318268 50.1941867, 6.8317183 50.1941528, 6.8311722 50.1940903)",,,,
"[40437405, 86747934]",False,,,Wehrbüschstraße,residential,30,True,171.73000000000002,"LINESTRING (6.8289226 50.1933809, 6.8289814 50.1933369, 6.8298555 50.1927995, 6.8299758 50.192737, 6.8300673 50.1927081, 6.8302004 50.1926905, 6.8304057 50.1926696, 6.8306719 50.1926327, 6.8309045 50.1926039)",,,,
31693639,False,,,Arensbergstraße,residential,20,False,61.91199999999999,"LINESTRING (6.8328496 50.1955032, 6.8325487 50.195695, 6.8323596 50.1958269, 6.8322458 50.1959038)",,,,
31693639,False,,,Arensbergstraße,residential,20,True,6.731,"LINESTRING (6.8328496 50.1955032, 6.8328718 50.1954787, 6.832888 50.1954482)",,,,
31693651,False,1,,Schweizstraße,residential,20,True,193.987,"LINESTRING (6.8328496 50.1955032, 6.832895 50.1955403, 6.8329375 50.1955817, 6.8329704 50.1956281, 6.8329838 50.1956616, 6.8329956 50.1956888, 6.8330408 50.1957603, 6.8331166 50.1958578, 6.8332279 50.1959861, 6.833299 50.1960728, 6.8333392 50.19616, 6.8333566 50.1962368, 6.8333734 50.1963458, 6.8333922 50.1964677, 6.8333861 50.1965557, 6.8333673 50.1967313, 6.833366 50.1968107, 6.8333808 50.1969077, 6.8334022 50.1970305, 6.8334116 50.1971164, 6.8334086 50.1971686)",,,,
326081504,False,,,Bahnhofstraße,residential,,False,280.48100000000005,"LINESTRING (6.8339336 50.1955422, 6.8339064 50.1954619, 6.833901 50.1950885, 6.8339116 50.1949581, 6.8339447 50.194803, 6.833952 50.1947741, 6.8339884 50.1946825, 6.8340216 50.1945639, 6.8341009 50.1942244, 6.8341385 50.1941162, 6.8341586 50.1939458, 6.8341513 50.1938621, 6.8341425 50.1938157, 6.8341177 50.1937668, 6.8340822 50.1937226, 6.8340278 50.1936813, 6.8339702 50.1936556, 6.8339058 50.1936324, 6.8338092 50.1936135, 6.8337107 50.1936105, 6.833592 50.1936174, 6.8334103 50.1936419, 6.8331984 50.1936771, 6.8330954 50.1936556)",,,,
326081504,False,,,Bahnhofstraße,residential,,True,69.339,"LINESTRING (6.8339336 50.1955422, 6.8340095 50.1956358, 6.8341203 50.1957093, 6.8342537 50.195785, 6.8344216 50.1958458, 6.8346761 50.1959184)",,,,
"[37121112, 794447465]",False,2,,Arensbergstraße,residential,"['50', '20']",True,76.72499999999998,"LINESTRING (6.8339336 50.1955422, 6.8338435 50.1955357, 6.833763 50.1955247, 6.8336369 50.1955053, 6.8334404 50.1954658, 6.8333204 50.1954414, 6.833248 50.1954289, 6.8331836 50.1954229, 6.8331166 50.1954233, 6.8330441 50.1954345, 6.8330012 50.1954448, 6.8329657 50.1954521, 6.8329355 50.1954534, 6.832904 50.1954508, 6.832888 50.1954482)",,,,
26752199,False,2,,Rosenbergstraße,residential,,False,89.327,"LINESTRING (6.8282529 50.1978783, 6.8279457 50.1976357, 6.8277272 50.1975271, 6.8274963 50.1974223, 6.8274567 50.1974128, 6.8273104 50.1973638)",,,,
