osmid,oneway,lanes,ref,name,highway,width,reversed,length,geometry,maxspeed,bridge
148003506,False,,,Schäferweg,residential,,False,53.189,"LINESTRING (13.6090198 52.1329457, 13.6082521 52.1330278)",,
"[29054552, 26654547, 934684572, 29054551]",False,2,L 74,"['Baruther Straße', 'Gutzmannstraße']",secondary,"['4.5', '3']",True,297.049,"LINESTRING (13.6090198 52.1329457, 13.6090415 52.1330121, 13.6092349 52.1336165, 13.6092966 52.1338092, 13.6093153 52.1338709, 13.6093458 52.1339917, 13.6093467 52.1342323, 13.6093474 52.1344309, 13.609353 52.1345269, 13.6093647 52.1346182, 13.6094011 52.1347564, 13.6094295 52.1348437, 13.6094764 52.1349973, 13.6095287 52.1351959, 13.6095635 52.1353392, 13.6095995 52.1354574, 13.6096316 52.1355838)",30,yes
26654548,False,,,Kirchstraße,living_street,,False,236.20499999999998,"LINESTRING (13.6085997 52.136834, 13.6083399 52.136923, 13.6080876 52.1369987, 13.6078689 52.1370994, 13.6077243 52.1371858, 13.6076073 52.1372698, 13.6074887 52.1373549, 13.6073302 52.1374687, 13.6072674 52.1375137, 13.6070958 52.1376402, 13.606864 52.1378614, 13.6063322 52.1383868)",,
26654548,False,,,Kirchstraße,living_street,,True,96.64499999999998,"LINESTRING (13.6085997 52.136834, 13.6090448 52.1366447, 13.6091101 52.136626, 13.609514 52.1365062, 13.6095684 52.1364763, 13.6096106 52.136418, 13.6096868 52.13632)",,
35145560,False,,,Baumgarten,living_street,,False,167.28900000000002,"LINESTRING (13.6085997 52.136834, 13.6087233 52.1369292, 13.608868 52.1370506, 13.6094119 52.1374697, 13.6094696 52.1375011, 13.609547 52.1375154, 13.6096369 52.1374852, 13.6097137 52.1374721, 13.6098197 52.1374801, 13.6103018 52.1375853, 13.610478 52.137585)",,
35145560,False,,,Baumgarten,living_street,,True,167.28900000000002,"LINESTRING (13.610478 52.137585, 13.6103018 52.1375853, 13.6098197 52.1374801, 13.6097137 52.1374721, 13.6096369 52.1374852, 13.609547 52.1375154, 13.6094696 52.1375011, 13.6094119 52.1374697, 13.608868 52.1370506, 13.6087233 52.1369292, 13.6085997 52.136834)",,
"[925268336, 925268335]",False,,,Tornower Weg,residential,,False,22.157,"LINESTRING (13.6135734 52.1335158, 13.6136093 52.1335144, 13.6136439 52.1335202, 13.6136735 52.1335328, 13.6136947 52.1335505, 13.6137053 52.1335716, 13.6137048 52.1335938, 13.613692 52.133618, 13.6136682 52.1336325, 13.6136391 52.1336431)",,
"[1215718297, 925268335]",False,,,Tornower Weg,residential,,True,24.182000000000006,"LINESTRING (13.6135734 52.1335158, 13.6135409 52.1335241, 13.6135145 52.1335384, 13.613497 52.1335572, 13.6134902 52.1335784, 13.613495 52.1335999, 13.6135107 52.1336192, 13.6135357 52.1336344, 13.6135674 52.1336439, 13.6136024 52.1336466, 13.6136391 52.1336431)",,
"[1192824712, 10259612]",False,2,L 74,Buchholzer Straße,secondary,5,True,197.82299999999998,"LINESTRING (13.6167378 52.1335082, 13.6165757 52.1336516, 13.6163109 52.1338895, 13.6161909 52.1339917, 13.6160416 52.1340957, 13.6158782 52.1341803, 13.6157185 52.1342536, 13.6155656 52.134319, 13.6154094 52.1343822, 13.6153362 52.134411, 13.6150302 52.134534, 13.6148793 52.1345947, 13.6146361 52.1346959)",50,
923956869,False,2,,Buchholzer Straße,unclassified,,True,24.903,"LINESTRING (13.6167378 52.1335082, 13.6166885 52.1334868, 13.6166026 52.1334488, 13.6164888 52.1335487)",,
923956869,False,2,,Buchholzer Straße,unclassified,,False,24.903,"LINESTRING (13.6164888 52.1335487, 13.6166026 52.1334488, 13.6166885 52.1334868, 13.6167378 52.1335082)",,
26654548,False,,,Kirchstraße,living_street,,True,236.205,"LINESTRING (13.6063322 52.1383868, 13.606864 52.1378614, 13.6070958 52.1376402, 13.6072674 52.1375137, 13.6073302 52.1374687, 13.6074887 52.1373549, 13.6076073 52.1372698, 13.6077243 52.1371858, 13.6078689 52.1370994, 13.6080876 52.1369987, 13.6083399 52.136923, 13.6085997 52.136834)",,
148003506,False,,,Schäferweg,residential,,True,53.189,"LINESTRING (13.6082521 52.1330278, 13.6090198 52.1329457)",,
25661155,False,,,Lindenstraße,residential,,True,136.511,"LINESTRING (13.6136391 52.1336431, 13.613764 52.1338082, 13.6138967 52.1339909, 13.6140441 52.1341803, 13.6141256 52.134278, 13.6141798 52.1343429, 13.614253 52.134424, 13.6143363 52.1344978, 13.6144345 52.1345683, 13.61454 52.134637, 13.6146361 52.1346959)",,
"[1215718297, 925268335]",False,,,Tornower Weg,residential,,False,24.182,"LINESTRING (13.6136391 52.1336431, 13.6136024 52.1336466, 13.6135674 52.1336439, 13.6135357 52.1336344, 13.6135107 52.1336192, 13.613495 52.1335999, 13.6134902 52.1335784, 13.613497 52.1335572, 13.6135145 52.1335384, 13.6135409 52.1335241, 13.6135734 52.1335158)",,
"[925268336, 925268335]",False,,,Tornower Weg,residential,,True,22.157000000000004,"LINESTRING (13.6136391 52.1336431, 13.6136682 52.1336325, 13.613692 52.133618, 13.6137048 52.1335938, 13.6137053 52.1335716, 13.6136947 52.1335505, 13.6136735 52.1335328, 13.6136439 52.1335202, 13.6136093 52.1335144, 13.6135734 52.1335158)",,
