osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,bridge,access
"[385713373, 1153482646]",False,,,residential,"['50', '30']",True,195.56499999999997,Kietzstraße,"LINESTRING (13.864096 53.3191486, 13.8639291 53.3191851, 13.8635935 53.3192598, 13.863333 53.3193091, 13.8631254 53.3193212, 13.862968 53.3193422, 13.8627202 53.3193819, 13.8615689 53.3194975, 13.8612318 53.3195291)",,
32605747,False,,,residential,50,False,86.203,Lessingstraße,"LINESTRING (13.8612318 53.3195291, 13.8612481 53.3195878, 13.8614085 53.3202971)",,
"[385713373, 1153482646]",False,,,residential,"['50', '30']",False,195.56500000000003,Kietzstraße,"LINESTRING (13.8612318 53.3195291, 13.8615689 53.3194975, 13.8627202 53.3193819, 13.862968 53.3193422, 13.8631254 53.3193212, 13.863333 53.3193091, 13.8635935 53.3192598, 13.8639291 53.3191851, 13.864096 53.3191486)",,
32605747,False,,,residential,50,False,68.042,Lessingstraße,"LINESTRING (13.8614085 53.3202971, 13.8615768 53.3209007)",,
32605747,False,,,residential,50,True,86.203,Lessingstraße,"LINESTRING (13.8614085 53.3202971, 13.8612481 53.3195878, 13.8612318 53.3195291)",,
333509509,False,,,residential,50,False,195.101,Winterfeldtstraße,"LINESTRING (13.8614085 53.3202971, 13.8617746 53.3202666, 13.8643222 53.3200752)",,
32605747,False,,,residential,50,True,68.042,Lessingstraße,"LINESTRING (13.8615768 53.3209007, 13.8614085 53.3202971)",,
32605749,False,,,residential,50,False,92.755,Thomas-Müntzer-Platz,"LINESTRING (13.8615768 53.3209007, 13.8615001 53.3209306, 13.8607126 53.3209954, 13.8602051 53.3210253)",,
32605749,False,,,residential,50,True,157.19899999999998,Thomas-Müntzer-Platz,"LINESTRING (13.8615768 53.3209007, 13.8616771 53.3209387, 13.863223 53.3208198, 13.8638187 53.320774, 13.8639067 53.3207805)",,
"[32605794, 32605795]",False,,,"['living_street', 'residential']",50,True,359.145,Rosa-Luxemburg-Straße,"LINESTRING (13.8659785 53.3137509, 13.8660758 53.3137732, 13.8670407 53.3139841, 13.8671741 53.3140129, 13.867606 53.3141069, 13.8678167 53.31415, 13.8679806 53.3141758, 13.868081 53.3141615, 13.8698154 53.3125708)",,
1236430943,True,1,,residential,50,False,47.759,Grabowstraße,"LINESTRING (13.8659785 53.3137509, 13.8658635 53.3140457, 13.8657646 53.3141579)",,
237796745,False,3,B 109,primary,50,False,83.273,Stettiner Straße,"LINESTRING (13.8635376 53.3184781, 13.864096 53.3191486)",,
"[237796738, 237796756]",True,"['3', '1']",B 109,primary,50,False,200.452,Stettiner Straße,"LINESTRING (13.8635376 53.3184781, 13.8634291 53.3184091, 13.8633018 53.3182599, 13.863067 53.3179765, 13.8629374 53.3178116, 13.8628901 53.3177514, 13.8627922 53.317627, 13.862387 53.3170271, 13.8623638 53.3169913, 13.8622771 53.3168474)",,
500609272,False,2,,residential,50,True,37.002,Grabowstraße,"LINESTRING (13.8635376 53.3184781, 13.8637078 53.3184381, 13.8637961 53.3184173, 13.8639186 53.3184277, 13.8640666 53.3184562)",,
173515917,False,,,residential,50,True,8.443,Friedrichstraße,"LINESTRING (13.8603529 53.3167884, 13.8603867 53.3168616)",,
"[237766091, 333505525]",True,"['3', '1']",B 198,primary,50,False,124.264,Dr.-Wilhelm-Külz-Straße,"LINESTRING (13.8603529 53.3167884, 13.860589 53.3167591, 13.8606107 53.3167564, 13.8607579 53.3167434, 13.8609844 53.3167329, 13.8615767 53.3167226, 13.861836 53.3167246, 13.8619385 53.316726, 13.8620641 53.3167267, 13.8622155 53.3167275)",,
333505526,False,,,residential,50,False,52.577,Friedrichstraße,"LINESTRING (13.8603529 53.3167884, 13.8603195 53.3166887, 13.8602291 53.316386, 13.8602105 53.3163233)",,
32605789,False,2,,residential,50,False,46.327,Steinstraße,"LINESTRING (13.8596595 53.3134979, 13.8596766 53.3133972, 13.8596838 53.3133862, 13.8597088 53.3133478, 13.8598682 53.3131033)",,
1236025831,True,,,residential,50,False,21.058999999999997,Friedrichstraße,"LINESTRING (13.8596595 53.3134979, 13.8596527 53.3135833, 13.8596421 53.313687)",,
"[420751451, 1236938748]",False,4,B 109,primary,50,True,51.656000000000006,Vincentstraße,"LINESTRING (13.8596595 53.3134979, 13.8598737 53.3135301, 13.8599452 53.3135408, 13.8603246 53.3135941, 13.8604144 53.3136091)",,
"[442170828, 285827380]",False,3,,residential,50,False,84.53,Georg-Dreke-Ring,"LINESTRING (13.8692159 53.319849, 13.8693408 53.3197776, 13.8693612 53.3197557, 13.869475 53.3196588, 13.8696378 53.3194586, 13.86975 53.3193296, 13.8698622 53.3192004)",,
"[728952866, 728952867, 728952870, 442170825, 442170827, 333507376]",False,"['4', '5']",L 26,secondary,50,False,431.861,Brüssower Allee,"LINESTRING (13.8692159 53.319849, 13.8690487 53.3196826, 13.8690239 53.3196523, 13.8685964 53.3191992, 13.8680195 53.3186079, 13.8679235 53.3185113, 13.8675454 53.3182198, 13.8671242 53.3179597, 13.866872 53.317842, 13.8666578 53.3177421, 13.8663972 53.3176406, 13.865961 53.3174829, 13.8655273 53.3173444, 13.865013 53.3171985, 13.8648132 53.3171453)",yes,
"[442170824, 333974674, 1238101283, 700273307]",False,"['4', '2']",L 26,secondary,50,True,236.90800000000002,Brüssower Allee,"LINESTRING (13.8692159 53.319849, 13.8693602 53.3199928, 13.8693769 53.3200042, 13.8696066 53.3201608, 13.8698462 53.3202655, 13.8701094 53.3203556, 13.8704805 53.3204761, 13.8721615 53.3209916)",,
1252798656,True,1,,residential,50,False,42.095,Brüssower Straße,"LINESTRING (13.8692159 53.319849, 13.8690656 53.3199414, 13.86903 53.3199473, 13.8688845 53.3199715, 13.8686681 53.3199248)",,
32605783,False,2,,residential,50,True,87.49900000000001,Wallgasse,"LINESTRING (13.8632511 53.3138632, 13.8629652 53.3138572, 13.8621279 53.3138396, 13.8620729 53.3138379, 13.8619349 53.3138337)",,
32605793,False,,,residential,50,False,49.951,Karl-Marx-Straße,"LINESTRING (13.8698154 53.3125708, 13.8704375 53.3128231)",,
32605793,False,,,residential,50,True,42.082,Karl-Marx-Straße,"LINESTRING (13.8698154 53.3125708, 13.8692982 53.3123523)",,
"[32605794, 32605795]",False,,,"['residential', 'living_street']",50,False,359.145,Rosa-Luxemburg-Straße,"LINESTRING (13.8698154 53.3125708, 13.868081 53.3141615, 13.8679806 53.3141758, 13.8678167 53.31415, 13.867606 53.3141069, 13.8671741 53.3140129, 13.8670407 53.3139841, 13.8660758 53.3137732, 13.8659785 53.3137509)",,
32605797,False,,,residential,50,False,38.097,Friedrichstraße,"LINESTRING (13.8595915 53.3140282, 13.8595964 53.3139623, 13.8596182 53.3138308, 13.8596421 53.313687)",,
32605798,True,,,residential,50,False,145.50300000000001,Friedrichstraße,"LINESTRING (13.8602105 53.3163233, 13.8598812 53.3150824, 13.8598675 53.3150309)",,
333505526,False,,,residential,50,True,52.577,Friedrichstraße,"LINESTRING (13.8602105 53.3163233, 13.8602291 53.316386, 13.8603195 53.3166887, 13.8603529 53.3167884)",,
"[237814740, 237766078]",True,"['2', '3']",L 26,secondary,50,False,159.57999999999998,Brüssower Allee,"LINESTRING (13.8648132 53.3171453, 13.8643883 53.3170714, 13.8642477 53.3170477, 13.8639098 53.3170002, 13.863424 53.3169304, 13.862822 53.3168726, 13.8626848 53.3168637, 13.8625865 53.3168605, 13.8624659 53.3168565)",,
"[728952866, 728952867, 728952870, 442170825, 442170827, 333507376]",False,"['4', '5']",L 26,secondary,50,True,431.86099999999993,Brüssower Allee,"LINESTRING (13.8648132 53.3171453, 13.865013 53.3171985, 13.8655273 53.3173444, 13.865961 53.3174829, 13.8663972 53.3176406, 13.8666578 53.3177421, 13.866872 53.317842, 13.8671242 53.3179597, 13.8675454 53.3182198, 13.8679235 53.3185113, 13.8680195 53.3186079, 13.8685964 53.3191992, 13.8690239 53.3196523, 13.8690487 53.3196826, 13.8692159 53.319849)",yes,
237766083,True,1,B 198,primary,50,False,83.448,Dr.-Wilhelm-Külz-Straße,"LINESTRING (13.8591442 53.3169801, 13.859438 53.3169028, 13.8600241 53.3168383, 13.8603529 53.3167884)",,
237796742,False,,,residential,50,True,136.022,Kleine Baustraße,"LINESTRING (13.8598675 53.3150309, 13.8599745 53.3150188, 13.8606676 53.3149523, 13.8607445 53.3149008, 13.860782 53.3147955, 13.860938 53.3147511, 13.8611057 53.3147342, 13.861606 53.3147242, 13.8617035 53.3147223)",,
32763272,False,,,residential,50,True,142.38400000000001,Georg-Dreke-Ring,"LINESTRING (13.8672564 53.3164871, 13.868358 53.3164693, 13.8691841 53.316489, 13.869254 53.3164893, 13.8693988 53.31649)",,
333974676,False,,,residential,50,False,5.47,Georg-Dreke-Ring,"LINESTRING (13.8709363 53.3188227, 13.8710097 53.318845)",,
45058066,False,,,residential,50,False,112.71699999999998,Georg-Dreke-Ring,"LINESTRING (13.8709363 53.3188227, 13.8707966 53.3189783, 13.8706778 53.3191105, 13.8705516 53.3192509, 13.8704402 53.319375, 13.8698622 53.3192004)",,
"[333974676, 1236412190]",False,,,residential,50,True,71.837,Georg-Dreke-Ring,"LINESTRING (13.8709363 53.3188227, 13.8707737 53.3187776, 13.8701567 53.3185861, 13.8699719 53.3185305)",,
333974676,False,,,residential,50,False,9.231,Georg-Dreke-Ring,"LINESTRING (13.8734006 53.3195357, 13.873525 53.3195727)",,
333974676,False,,,residential,50,True,90.309,Georg-Dreke-Ring,"LINESTRING (13.8734006 53.3195357, 13.872993 53.3193916, 13.8723907 53.319196, 13.8722029 53.3191542)",,
"[512905488, 32763126]",False,,,residential,50,"[False, True]",92.007,Georg-Dreke-Ring,"LINESTRING (13.8693988 53.31649, 13.8694083 53.3164544, 13.8695615 53.3162022, 13.8696435 53.3160673, 13.8697557 53.3158836, 13.8699122 53.3157251)",,
32763272,False,,,residential,50,False,142.38400000000001,Georg-Dreke-Ring,"LINESTRING (13.8693988 53.31649, 13.869254 53.3164893, 13.8691841 53.316489, 13.868358 53.3164693, 13.8672564 53.3164871)",,
1236412190,False,,,residential,50,False,133.33999999999997,Georg-Dreke-Ring,"LINESTRING (13.8693988 53.31649, 13.8693868 53.3166649, 13.8693808 53.3167523, 13.869359 53.3171223, 13.8693531 53.3172233, 13.8693264 53.3176277, 13.8693236 53.3176883)",,
1238101285,False,2,,residential,30,False,12.227,Schenkenberger Straße,"LINESTRING (13.8695927 53.3204272, 13.8695092 53.3203292)",,
32987821,False,2,,residential,50,True,127.78,Wittenhofer Straße,"LINESTRING (13.8695927 53.3204272, 13.8694898 53.3204564, 13.8694547 53.320466, 13.8687214 53.3206907, 13.8679517 53.3209399, 13.8678893 53.3209609)",,
33287496,False,2,,residential,50,True,157.28799999999998,Franz-Wienholz-Straße,"LINESTRING (13.8676165 53.3196023, 13.8675589 53.3196711, 13.867553 53.3196782, 13.8674867 53.3197649, 13.8674673 53.3199868, 13.8675773 53.3204511, 13.8676063 53.3205112, 13.8677312 53.3207321, 13.8678893 53.3209609)",,
558278224,False,2,,residential,20,False,78.552,Brüssower Straße,"LINESTRING (13.8676165 53.3196023, 13.8677426 53.3196407, 13.8677961 53.319657, 13.8686173 53.3199141, 13.8686681 53.3199248)",,
"[558278224, 1235798981, 1236772637, 33287495]",False,2,,residential,20,True,310.229,Brüssower Straße,"LINESTRING (13.8676165 53.3196023, 13.8674974 53.3195698, 13.8669386 53.3194244, 13.8665834 53.3193306, 13.8665636 53.3193243, 13.8663977 53.3192966, 13.8663228 53.3193043, 13.8662869 53.3193184, 13.8662373 53.319367, 13.8661937 53.3194481, 13.8661931 53.3195228, 13.8662293 53.3196009, 13.8664127 53.3197616, 13.866537 53.3199296, 13.8665818 53.3200342, 13.866598 53.3200653, 13.866802 53.3206599, 13.8668314 53.3207583, 13.8669304 53.3210742, 13.8669678 53.3211546)",,
32987821,False,2,,residential,50,False,127.78,Wittenhofer Straße,"LINESTRING (13.8678893 53.3209609, 13.8679517 53.3209399, 13.8687214 53.3206907, 13.8694547 53.320466, 13.8694898 53.3204564, 13.8695927 53.3204272)",,
33287496,False,2,,residential,50,False,157.28799999999998,Franz-Wienholz-Straße,"LINESTRING (13.8678893 53.3209609, 13.8677312 53.3207321, 13.8676063 53.3205112, 13.8675773 53.3204511, 13.8674673 53.3199868, 13.8674867 53.3197649, 13.867553 53.3196782, 13.8675589 53.3196711, 13.8676165 53.3196023)",,
32987833,False,,,residential,50,False,123.25299999999999,Georg-Dreke-Ring,"LINESTRING (13.8693236 53.3176883, 13.8694805 53.3176919, 13.8695155 53.3176927, 13.8697712 53.3176927, 13.8703094 53.3176927, 13.8708693 53.3176967, 13.8711059 53.3177021, 13.8711787 53.3177038)",,
1236412190,False,,,residential,50,False,119.46699999999998,Georg-Dreke-Ring,"LINESTRING (13.8693236 53.3176883, 13.8692836 53.3182514, 13.8693455 53.3183279, 13.8694487 53.3183661, 13.8695255 53.3183945, 13.8699719 53.3185305)",,
1236412190,False,,,residential,50,True,133.34,Georg-Dreke-Ring,"LINESTRING (13.8693236 53.3176883, 13.8693264 53.3176277, 13.8693531 53.3172233, 13.869359 53.3171223, 13.8693808 53.3167523, 13.8693868 53.3166649, 13.8693988 53.31649)",,
32987833,False,,,residential,50,True,123.25299999999999,Georg-Dreke-Ring,"LINESTRING (13.8711787 53.3177038, 13.8711059 53.3177021, 13.8708693 53.3176967, 13.8703094 53.3176927, 13.8697712 53.3176927, 13.8695155 53.3176927, 13.8694805 53.3176919, 13.8693236 53.3176883)",,
32605749,False,,,residential,50,False,157.199,Thomas-Müntzer-Platz,"LINESTRING (13.8639067 53.3207805, 13.8638187 53.320774, 13.863223 53.3208198, 13.8616771 53.3209387, 13.8615768 53.3209007)",,
32605749,False,,,residential,50,True,92.755,Thomas-Müntzer-Platz,"LINESTRING (13.8602051 53.3210253, 13.8607126 53.3209954, 13.8615001 53.3209306, 13.8615768 53.3209007)",,
33287485,False,,,residential,50,False,67.087,Georg-Dreke-Ring,"LINESTRING (13.8716532 53.3196181, 13.8707494 53.3193488)",,
33287485,False,,,residential,50,True,67.087,Georg-Dreke-Ring,"LINESTRING (13.8707494 53.3193488, 13.8716532 53.3196181)",,
33525021,False,,,residential,50,False,57.775999999999996,Georg-Dreke-Ring,"LINESTRING (13.8707494 53.3193488, 13.8710185 53.3190309, 13.8711395 53.3188844)",,
33525021,False,,,residential,50,True,72.174,Georg-Dreke-Ring,"LINESTRING (13.8707494 53.3193488, 13.8707301 53.3193843, 13.8702423 53.3199222)",,
333974676,False,,,residential,50,True,9.671,Georg-Dreke-Ring,"LINESTRING (13.8711395 53.3188844, 13.8710097 53.318845)",,
33525021,False,,,residential,50,True,57.775999999999996,Georg-Dreke-Ring,"LINESTRING (13.8711395 53.3188844, 13.8710185 53.3190309, 13.8707494 53.3193488)",,
333974676,False,,,residential,50,False,76.85900000000001,Georg-Dreke-Ring,"LINESTRING (13.8711395 53.3188844, 13.8715468 53.319008, 13.8722029 53.3191542)",,
33287486,True,,,residential,50,False,181.897,Philipp-Hackert-Straße,"LINESTRING (13.8721615 53.3209916, 13.8722127 53.320934, 13.8722394 53.3209039, 13.8724107 53.320711, 13.872521 53.320514, 13.8728186 53.320183, 13.8731302 53.3198365, 13.8734006 53.3195357)",,
"[442170824, 1238101283, 333974674, 700273307]",False,"['4', '2']",L 26,secondary,50,False,236.908,Brüssower Allee,"LINESTRING (13.8721615 53.3209916, 13.8704805 53.3204761, 13.8701094 53.3203556, 13.8698462 53.3202655, 13.8696066 53.3201608, 13.8693769 53.3200042, 13.8693602 53.3199928, 13.8692159 53.319849)",,
33525021,False,,,residential,50,False,72.174,Georg-Dreke-Ring,"LINESTRING (13.8702423 53.3199222, 13.8707301 53.3193843, 13.8707494 53.3193488)",,
33525036,False,,,residential,50,True,129.64499999999998,Dr.-Lena-Ohnesorge-Straße,"LINESTRING (13.8640666 53.3184562, 13.8640311 53.3186386, 13.8640771 53.3186828, 13.864138 53.3187002, 13.8641626 53.3187073, 13.8655029 53.3190568)",,
500609272,False,2,,residential,50,False,37.002,Grabowstraße,"LINESTRING (13.8640666 53.3184562, 13.8639186 53.3184277, 13.8637961 53.3184173, 13.8637078 53.3184381, 13.8635376 53.3184781)",,
"[500609272, 285827361, 1236430951]",False,2,,residential,50,True,505.722,Grabowstraße,"LINESTRING (13.8640666 53.3184562, 13.8641184 53.3184498, 13.864186 53.3184258, 13.8642016 53.3184128, 13.8642867 53.3183417, 13.8644042 53.318217, 13.8647375 53.3178633, 13.8649805 53.3176419, 13.8651036 53.3175227, 13.8652225 53.3173691, 13.8653224 53.3171767, 13.8653551 53.3170965, 13.8653776 53.3169951, 13.8653851 53.3169456, 13.8653982 53.3168592, 13.8653851 53.3163034, 13.8653755 53.3159011, 13.8654189 53.3154663, 13.8654279 53.3153764, 13.865463 53.3151749, 13.8655168 53.3148699, 13.8656269 53.3145488, 13.8657646 53.3141579)",,
33525036,False,,,residential,50,False,129.645,Dr.-Lena-Ohnesorge-Straße,"LINESTRING (13.8655029 53.3190568, 13.8641626 53.3187073, 13.864138 53.3187002, 13.8640771 53.3186828, 13.8640311 53.3186386, 13.8640666 53.3184562)",,
32605789,False,2,,residential,50,True,46.327000000000005,Steinstraße,"LINESTRING (13.8598682 53.3131033, 13.8597088 53.3133478, 13.8596838 53.3133862, 13.8596766 53.3133972, 13.8596595 53.3134979)",,
1236938717,False,,,unclassified,,False,30.084,Marktberg,"LINESTRING (13.8598682 53.3131033, 13.8597688 53.3130791, 13.8594952 53.3130127, 13.8594487 53.3130014)",,
32605793,False,,,residential,50,False,42.082,Karl-Marx-Straße,"LINESTRING (13.8692982 53.3123523, 13.8698154 53.3125708)",,
1236938717,False,,,unclassified,,True,30.084,Marktberg,"LINESTRING (13.8594487 53.3130014, 13.8594952 53.3130127, 13.8597688 53.3130791, 13.8598682 53.3131033)",,
45058066,False,,,residential,50,False,25.823,Georg-Dreke-Ring,"LINESTRING (13.8698622 53.3192004, 13.8697388 53.3191639, 13.8695172 53.3190934)",,
45058066,False,,,residential,50,True,112.717,Georg-Dreke-Ring,"LINESTRING (13.8698622 53.3192004, 13.8704402 53.319375, 13.8705516 53.3192509, 13.8706778 53.3191105, 13.8707966 53.3189783, 13.8709363 53.3188227)",,
"[442170828, 285827380]",False,3,,residential,50,True,84.53000000000002,Georg-Dreke-Ring,"LINESTRING (13.8698622 53.3192004, 13.86975 53.3193296, 13.8696378 53.3194586, 13.869475 53.3196588, 13.8693612 53.3197557, 13.8693408 53.3197776, 13.8692159 53.319849)",,
45058066,False,,,residential,50,True,25.823,Georg-Dreke-Ring,"LINESTRING (13.8695172 53.3190934, 13.8697388 53.3191639, 13.8698622 53.3192004)",,
1236412191,True,,,residential,50,False,69.649,Georg-Dreke-Ring,"LINESTRING (13.8695172 53.3190934, 13.8695757 53.3190259, 13.8696785 53.3189054, 13.869892 53.3186692, 13.8699719 53.3185305)",,
"[333974676, 1236412190]",False,,,residential,50,False,71.837,Georg-Dreke-Ring,"LINESTRING (13.8699719 53.3185305, 13.8701567 53.3185861, 13.8707737 53.3187776, 13.8709363 53.3188227)",,
1236412190,False,,,residential,50,True,119.467,Georg-Dreke-Ring,"LINESTRING (13.8699719 53.3185305, 13.8695255 53.3183945, 13.8694487 53.3183661, 13.8693455 53.3183279, 13.8692836 53.3182514, 13.8693236 53.3176883)",,
442170829,True,2,,residential,50,False,37.769000000000005,Brüssower Straße,"LINESTRING (13.8686681 53.3199248, 13.8689086 53.31988, 13.8689473 53.3198709, 13.8690348 53.3198504, 13.8692159 53.319849)",,
558278224,False,2,,residential,20,True,78.552,Brüssower Straße,"LINESTRING (13.8686681 53.3199248, 13.8686173 53.3199141, 13.8677961 53.319657, 13.8677426 53.3196407, 13.8676165 53.3196023)",,
333509509,False,,,residential,50,False,22.054,Winterfeldtstraße,"LINESTRING (13.8643222 53.3200752, 13.8643637 53.3200724, 13.8644923 53.3200639, 13.8645181 53.3200616, 13.8646511 53.3200485)",,
333509509,False,,,residential,50,True,195.101,Winterfeldtstraße,"LINESTRING (13.8643222 53.3200752, 13.8617746 53.3202666, 13.8614085 53.3202971)",,
338037886,True,,,residential,50,False,83.735,Triftstraße,"LINESTRING (13.8643222 53.3200752, 13.8643226 53.3201581, 13.8639067 53.3207805)",,
173515909,True,2,B 198,primary,50,False,12.582,,"LINESTRING (13.8624659 53.3168565, 13.8622771 53.3168474)",,
"[237796743, 237814738, 1236025782, 237796751]",True,"['2', '1']",B 109,primary,50,False,194.84399999999997,Stettiner Straße,"LINESTRING (13.8624659 53.3168565, 13.8625747 53.3170152, 13.8626557 53.3171615, 13.8627406 53.3173173, 13.8630294 53.317784, 13.8631373 53.3179278, 13.863523 53.3183646, 13.8635376 53.3184781)",,
173515917,False,,,residential,50,False,8.443,Friedrichstraße,"LINESTRING (13.8603867 53.3168616, 13.8603529 53.3167884)",,
237766086,True,1,B 198,primary,50,False,83.623,Dr.-Wilhelm-Külz-Straße,"LINESTRING (13.8603867 53.3168616, 13.8600387 53.3168937, 13.8594446 53.3169609, 13.8591442 53.3169801)",,
32605793,False,,,residential,50,True,49.951,Karl-Marx-Straße,"LINESTRING (13.8704375 53.3128231, 13.8698154 53.3125708)",,
237796742,False,,,residential,50,False,136.02200000000002,Kleine Baustraße,"LINESTRING (13.8617035 53.3147223, 13.861606 53.3147242, 13.8611057 53.3147342, 13.860938 53.3147511, 13.860782 53.3147955, 13.8607445 53.3149008, 13.8606676 53.3149523, 13.8599745 53.3150188, 13.8598675 53.3150309)",,
237796744,True,3,B 109;B 198,primary,50,False,97.14999999999998,Baustraße,"LINESTRING (13.8617035 53.3147223, 13.8617153 53.3144706, 13.861761 53.3140236, 13.8617655 53.3139983, 13.861788 53.3138503)",,
237796739,True,2,B 198,primary,50,False,10.326,,"LINESTRING (13.8622155 53.3167275, 13.8623708 53.3167315)",,
237796758,True,1,B 109;B 198,primary,50,False,226.627,Baustraße,"LINESTRING (13.8622155 53.3167275, 13.8621648 53.3166409, 13.8621542 53.3166182, 13.8621432 53.3165937, 13.8620488 53.3163898, 13.8619061 53.3160562, 13.8618128 53.3157506, 13.8617722 53.3155571, 13.8617504 53.3153853, 13.8617282 53.315106, 13.8617035 53.3147223)",,
237796749,True,2,B 109;B 198,primary,50,False,13.946,,"LINESTRING (13.8622771 53.3168474, 13.8622155 53.3167275)",,
"[237766080, 237796754]",True,"['2', '1']",B 198,primary,50,False,125.702,Dr.-Wilhelm-Külz-Straße,"LINESTRING (13.8622771 53.3168474, 13.8621236 53.3168445, 13.8619748 53.3168416, 13.8616855 53.316835, 13.8611138 53.3168335, 13.8606891 53.3168481, 13.8606074 53.3168517, 13.8603867 53.3168616)",,yes
237796755,True,2,B 109;B 198,primary,50,False,10.4,Baustraße,"LINESTRING (13.861788 53.3138503, 13.8618012 53.3137571)",,
237796752,True,1,B 109,primary,50,False,95.298,Vincentstraße,"LINESTRING (13.861788 53.3138503, 13.8615637 53.3138265, 13.8614802 53.3138177, 13.8608262 53.3136986, 13.8604144 53.3136091)",,
237796740,True,2,B 109,primary,50,False,12.306,Vincentstraße,"LINESTRING (13.8618012 53.3137571, 13.8619349 53.3138337)",,
237796750,True,3,B 109,primary,50,False,93.595,Vincentstraße,"LINESTRING (13.8604144 53.3136091, 13.8614693 53.3137164, 13.8615143 53.3137219, 13.8618012 53.3137571)",,
"[420751451, 1236938748]",False,4,B 109,primary,50,False,51.656,Vincentstraße,"LINESTRING (13.8604144 53.3136091, 13.8603246 53.3135941, 13.8599452 53.3135408, 13.8598737 53.3135301, 13.8596595 53.3134979)",,
333974676,False,,,residential,50,False,90.309,Georg-Dreke-Ring,"LINESTRING (13.8722029 53.3191542, 13.8723907 53.319196, 13.872993 53.3193916, 13.8734006 53.3195357)",,
333974676,False,,,residential,50,True,76.85900000000001,Georg-Dreke-Ring,"LINESTRING (13.8722029 53.3191542, 13.8715468 53.319008, 13.8711395 53.3188844)",,
32605797,False,,,residential,50,True,38.097,Friedrichstraße,"LINESTRING (13.8596421 53.313687, 13.8596182 53.3138308, 13.8595964 53.3139623, 13.8595915 53.3140282)",,
"[558278224, 1236772637, 1235798981, 33287495]",False,2,,residential,20,False,310.2290000000001,Brüssower Straße,"LINESTRING (13.8669678 53.3211546, 13.8669304 53.3210742, 13.8668314 53.3207583, 13.866802 53.3206599, 13.866598 53.3200653, 13.8665818 53.3200342, 13.866537 53.3199296, 13.8664127 53.3197616, 13.8662293 53.3196009, 13.8661931 53.3195228, 13.8661937 53.3194481, 13.8662373 53.319367, 13.8662869 53.3193184, 13.8663228 53.3193043, 13.8663977 53.3192966, 13.8665636 53.3193243, 13.8665834 53.3193306, 13.8669386 53.3194244, 13.8674974 53.3195698, 13.8676165 53.3196023)",,
333974676,False,,,residential,50,True,9.231,Georg-Dreke-Ring,"LINESTRING (13.873525 53.3195727, 13.8734006 53.3195357)",,
33838471,False,,,residential,50,True,158.219,Georg-Dreke-Ring,"LINESTRING (13.8690008 53.3147948, 13.869014 53.3148501, 13.8690839 53.3148877, 13.869161 53.3149, 13.8697028 53.3150474, 13.8697994 53.3151147, 13.8698206 53.3151594, 13.8694665 53.315576, 13.8699122 53.3157251)",,
