osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge
27580362,,,Mauerstraße,residential,30,True,False,152.262,"LINESTRING (14.4131428 51.857807, 14.4132383 51.8580085, 14.4132406 51.8580775, 14.4126373 51.8587205, 14.4125017 51.8588356, 14.4123554 51.8589501, 14.4123417 51.8589608, 14.4122797 51.8589851)",,
665309968,,,Lutherplatz,residential,30,True,False,21.166,"LINESTRING (14.4127379 51.8575545, 14.4130086 51.8574635)",,
"[27580056, 665309967]",,,Festungsweg,residential,30,False,False,173.161,"LINESTRING (14.4093215 51.8572542, 14.409379 51.8573973, 14.4094161 51.8574896, 14.4094768 51.8576399, 14.4094903 51.857782, 14.4094496 51.8578876, 14.4093824 51.8580105, 14.4092434 51.8582943, 14.4092466 51.8583861, 14.4094172 51.8585715, 14.4095536 51.8587279)",,
209003075,2,B 168,Markt,primary,30,False,False,32.017,"LINESTRING (14.4103447 51.8590175, 14.4099944 51.8592075)",,
27580255,,,Festungsgraben,residential,30,False,False,37.362,"LINESTRING (14.4103447 51.8590175, 14.4103636 51.85904, 14.410384 51.8590614, 14.4106253 51.8593053)",,
209003075,2,B 168,Markt,primary,30,False,True,58.386,"LINESTRING (14.4103447 51.8590175, 14.4107025 51.8588228, 14.4109952 51.8586797)",,
27580255,,,Festungsgraben,residential,30,False,False,249.76000000000002,"LINESTRING (14.4106253 51.8593053, 14.4106702 51.8595935, 14.4107249 51.8598828, 14.4107724 51.8599943, 14.4109616 51.8604386, 14.4110979 51.8608438, 14.4112565 51.8613152, 14.411358 51.8615002)",,
27580255,,,Festungsgraben,residential,30,False,True,37.362,"LINESTRING (14.4106253 51.8593053, 14.410384 51.8590614, 14.4103636 51.85904, 14.4103447 51.8590175)",,
150925645,,,Mauerstraße,residential,,True,False,114.437,"LINESTRING (14.4106253 51.8593053, 14.4112588 51.8592058, 14.4114461 51.8591719, 14.4118077 51.859104, 14.4121402 51.8590325, 14.4122213 51.8590122)",,
27580227,,,An der Glashütte,residential,50,False,True,136.319,"LINESTRING (14.4115291 51.8627224, 14.4116709 51.8621406, 14.4117496 51.8617792, 14.4118895 51.8615203)",,
27580030,,,Lutherplatz,residential,30,True,False,24.74,"LINESTRING (14.4129705 51.8577244, 14.4127379 51.8575545)",,
150930543,2,,Lutherstraße,residential,30,False,False,122.121,"LINESTRING (14.4129705 51.8577244, 14.4123414 51.8581204, 14.4118314 51.8584194, 14.4117694 51.8584412, 14.4116775 51.8584731)",,
28463145,,,Lindenstraße,residential,50,False,False,68.595,"LINESTRING (14.4048647 51.8586032, 14.405458 51.8584282, 14.4057129 51.8583531, 14.4057673 51.8583391)",,
"[28042369, 713673187]",,,Luisenstraße,residential,"['50', '30']",False,True,136.617,"LINESTRING (14.4048647 51.8586032, 14.4055935 51.8596602, 14.4056441 51.8597336)",,
28463145,,,Lindenstraße,residential,50,False,True,20.684,"LINESTRING (14.4060181 51.8582361, 14.4057673 51.8583391)",,
150925650,,,Um die Halbe Stadt,residential,,False,False,20.852,"LINESTRING (14.4060181 51.8582361, 14.4060963 51.8584173)",,
