osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width,ref,access
117964890,Marienstraße,residential,,True,False,7.773000000000001,,"LINESTRING (14.3332379 51.7533269, 14.3333185 51.7533259, 14.3333508 51.7533255)",,,
"[130242016, 864280704, 252763438, 252763440, 252763442, 209064532, 864280700, 864280701]",Karl-Liebknecht-Straße,secondary,50,True,False,254.557,"['4', '2', '3']","LINESTRING (14.329644 51.7571038, 14.3300142 51.7571102, 14.3302798 51.7571203, 14.330413 51.7571264, 14.3309415 51.7571506, 14.3311645 51.7571589, 14.3314152 51.7571692, 14.3318273 51.7571856, 14.3322301 51.7572039, 14.332292 51.7572074, 14.3324483 51.757214, 14.3325268 51.7572174, 14.3329668 51.7572359, 14.3331556 51.7572375, 14.333194 51.7572374, 14.3332218 51.7572373, 14.3333352 51.7572372)",,,
"[117721441, 117721442, 117721443]",Franz-Mehring-Straße,secondary,50,True,False,120.11000000000001,"['2', '3']","LINESTRING (14.3390295 51.7581601, 14.3389112 51.7581364, 14.3383849 51.7579697, 14.3382921 51.7579441, 14.3381276 51.7579031, 14.3378571 51.7578524, 14.3376551 51.7578252, 14.337395 51.7578101)",,L 49,
171917598,Franz-Mehring-Straße,secondary,50,False,True,17.7,4,"LINESTRING (14.3390295 51.7581601, 14.3390985 51.7581823, 14.3391516 51.7581996, 14.3392572 51.7582341)",,L 49,
179220655,Straße der Jugend,secondary,50,False,True,14.353,,"LINESTRING (14.333392 51.7573614, 14.3333352 51.7572372)",,,
"[807987491, 127012581, 127012582, 127012583, 127012584, 106055498, 130268141, 209064531, 130242012]",Karl-Liebknecht-Straße,secondary,50,True,False,260.762,"['2', '3']","LINESTRING (14.333392 51.7573614, 14.333097 51.7573588, 14.333035 51.7573564, 14.3330003 51.7573552, 14.3328874 51.7573521, 14.3325849 51.7573395, 14.3324044 51.757332, 14.3317399 51.7573079, 14.3314016 51.7572926, 14.3312109 51.7572845, 14.3311072 51.7572795, 14.33056 51.7572538, 14.3302738 51.75723, 14.329972 51.7571701, 14.329644 51.7571038)",,L 49,
"[130268161, 130400710]",Spremberger Straße,residential,50,False,"[False, True]",21.106,2,"LINESTRING (14.333392 51.7573614, 14.3334253 51.7574219, 14.3334451 51.7575472)",,,
48891724,Straße der Jugend,secondary,50,False,True,10.21,2,"LINESTRING (14.3332678 51.754501, 14.3332888 51.7544101)",,,
"[130242020, 131245574, 117725295]",Straße der Jugend,secondary,50,False,False,178.169,2,"LINESTRING (14.3332678 51.754501, 14.3332474 51.754568, 14.3330144 51.7552945, 14.3330013 51.7553353, 14.3329844 51.7555595, 14.3329886 51.7556794, 14.3329934 51.7558156, 14.3329905 51.7560128, 14.3329806 51.7560866)",,,
"[1265806021, 402970693, 1265806022]",Feigestraße,residential,50,True,False,129.79000000000002,,"LINESTRING (14.3332678 51.754501, 14.3333363 51.7545134, 14.3337972 51.7545895, 14.3339273 51.754611, 14.3340043 51.7546242, 14.3343229 51.7546789, 14.3345475 51.7547174, 14.3348476 51.7547689, 14.3349796 51.754788, 14.3350914 51.7547917)",,,
127011864,Marktstraße,residential,30,False,False,15.696,,"LINESTRING (14.3315238 51.7602631, 14.3315586 51.7602683, 14.3315586 51.7602966, 14.3315755 51.7603346, 14.3316304 51.760373)",,,
127012919,Mauerstraße,residential,30,False,False,84.388,,"LINESTRING (14.3315238 51.7602631, 14.3315887 51.7601626, 14.331638 51.7601127, 14.3318355 51.7599925, 14.3319475 51.7599179, 14.3322981 51.7596842)",,,
127012919,Mauerstraße,residential,30,False,True,17.587,,"LINESTRING (14.3315238 51.7602631, 14.3314384 51.7602579, 14.3314169 51.7603621)",,,
127011864,Marktstraße,residential,30,False,True,15.696000000000002,,"LINESTRING (14.3316304 51.760373, 14.3315755 51.7603346, 14.3315586 51.7602966, 14.3315586 51.7602683, 14.3315238 51.7602631)",,,
129996520,Marktstraße,residential,30,True,False,42.85,,"LINESTRING (14.3316304 51.760373, 14.3317878 51.7603839, 14.3322517 51.7603943)",,,
129090012,Schloßkirchstraße,residential,30,False,False,88.392,1,"LINESTRING (14.3343258 51.7590365, 14.3343724 51.7590438, 14.3350161 51.7591441, 14.3355712 51.7592306)",,,
129825895,Neustädter Straße,residential,30,False,True,3.17,,"LINESTRING (14.3355712 51.7592306, 14.3355702 51.7592591)",,,
129090012,Schloßkirchstraße,residential,30,False,True,88.392,1,"LINESTRING (14.3355712 51.7592306, 14.3350161 51.7591441, 14.3343724 51.7590438, 14.3343258 51.7590365)",,,
129825895,Neustädter Straße,residential,30,False,False,20.718,,"LINESTRING (14.3355712 51.7592306, 14.3355684 51.7591577, 14.335542 51.7591086, 14.3354835 51.7590587)",,,
129826775,Berliner Straße,residential,20,False,False,17.61,,"LINESTRING (14.332597 51.7608899, 14.3323422 51.7609044)",,,
130594364,Berliner Straße,residential,20,False,True,54.971,,"LINESTRING (14.332597 51.7608899, 14.3333954 51.760876)",,,no
129825894,Neumarkt,residential,30,True,False,57.062,,"LINESTRING (14.3322517 51.7603943, 14.3322687 51.7604876, 14.3322782 51.7605394, 14.3322979 51.7606475, 14.3323224 51.7607955, 14.3323301 51.7608364, 14.3323401 51.7608926, 14.3323422 51.7609044)",,,
129996520,Marktstraße,residential,30,True,False,83.25599999999999,,"LINESTRING (14.3322517 51.7603943, 14.3326582 51.7604091, 14.3326971 51.7604105, 14.3334208 51.7604438, 14.3334585 51.7604457)",,,
130594364,Berliner Straße,residential,20,False,False,54.971,,"LINESTRING (14.3333954 51.760876, 14.332597 51.7608899)",,,no
"[117869071, 117696244, 129826774, 117697831]","['Sandower Straße', 'Altmarkt']",residential,20,True,False,213.209,,"LINESTRING (14.3333954 51.760876, 14.3352831 51.7608514, 14.3359199 51.7608499, 14.3360806 51.7608511, 14.3364925 51.760862)",,,no
129826775,Berliner Straße,residential,20,False,True,17.61,,"LINESTRING (14.3323422 51.7609044, 14.332597 51.7608899)",,,
130398097,Berliner Straße,residential,20,False,False,60.385000000000005,,"LINESTRING (14.3323422 51.7609044, 14.3318517 51.7609432, 14.3314727 51.7609769)",,,
"[48222950, 807297167]",Ostrower Damm,residential,50,False,False,100.386,,"LINESTRING (14.3392572 51.7582341, 14.3391368 51.7583227, 14.3381783 51.7588398)",,,
171917598,Franz-Mehring-Straße,secondary,50,False,False,17.7,4,"LINESTRING (14.3392572 51.7582341, 14.3391516 51.7581996, 14.3390985 51.7581823, 14.3390295 51.7581601)",,L 49,
133546703,Ostrower Damm,residential,50,True,False,93.738,,"LINESTRING (14.3381783 51.7588398, 14.3371376 51.7593836)",,,
"[48222950, 807297167]",Ostrower Damm,residential,50,False,True,100.386,,"LINESTRING (14.3381783 51.7588398, 14.3391368 51.7583227, 14.3392572 51.7582341)",,,
129894067,Gerichtsplatz,residential,30,False,False,13.548,,"LINESTRING (14.3383867 51.7604622, 14.3382069 51.7605118)",,,
192331195,Am Spreeufer,residential,30,False,False,152.57899999999998,,"LINESTRING (14.3383867 51.7604622, 14.3384704 51.760528, 14.3386219 51.7605963, 14.338954 51.7606775, 14.3390791 51.760708, 14.339444 51.7607972, 14.3397566 51.7608851, 14.3400222 51.760974, 14.340313 51.7611106)",,,
"[192331195, 807314773]",Am Spreeufer,residential,"['50', '30']",False,True,124.71800000000002,,"LINESTRING (14.3383867 51.7604622, 14.3383194 51.7603851, 14.3380664 51.7602016, 14.337896 51.7600823, 14.3374841 51.7597063, 14.337315 51.7595608)",,,
192331195,Am Spreeufer,residential,30,False,True,152.579,,"LINESTRING (14.340313 51.7611106, 14.3400222 51.760974, 14.3397566 51.7608851, 14.339444 51.7607972, 14.3390791 51.760708, 14.338954 51.7606775, 14.3386219 51.7605963, 14.3384704 51.760528, 14.3383867 51.7604622)",,,
129894042,Am Spreeufer,residential,50,False,True,23.18,,"LINESTRING (14.337315 51.7595608, 14.3371376 51.7593836)",,,
813141294,Gertraudtenstraße,residential,50,False,False,16.567,,"LINESTRING (14.337315 51.7595608, 14.3371465 51.7596672)",,,
"[192331195, 807314773]",Am Spreeufer,residential,"['50', '30']",False,False,124.718,,"LINESTRING (14.337315 51.7595608, 14.3374841 51.7597063, 14.337896 51.7600823, 14.3380664 51.7602016, 14.3383194 51.7603851, 14.3383867 51.7604622)",,,
127012919,Mauerstraße,residential,30,False,True,14.004,,"LINESTRING (14.3324269 51.7595867, 14.3322981 51.7596842)",,,
129996516,Gertraudtenstraße,residential,30,False,False,42.046,,"LINESTRING (14.3371465 51.7596672, 14.3367157 51.7599353)",,,
813141294,Gertraudtenstraße,residential,50,False,True,16.567,,"LINESTRING (14.3371465 51.7596672, 14.337315 51.7595608)",,,
127012919,Mauerstraße,residential,30,False,False,14.004,,"LINESTRING (14.3322981 51.7596842, 14.3324269 51.7595867)",,,
127012919,Mauerstraße,residential,30,False,True,84.388,,"LINESTRING (14.3322981 51.7596842, 14.3319475 51.7599179, 14.3318355 51.7599925, 14.331638 51.7601127, 14.3315887 51.7601626, 14.3315238 51.7602631)",,,
"[668087048, 129996521, 668087047]",Mühlenstraße,residential,30,False,False,221.34799999999996,,"LINESTRING (14.3322981 51.7596842, 14.3327204 51.7596864, 14.3334018 51.7597007, 14.3334666 51.7597004, 14.3335019 51.7597006, 14.3336363 51.7597033, 14.3337453 51.7597071, 14.3342709 51.759738, 14.3343217 51.7597424, 14.3343593 51.7597456, 14.3346944 51.7597743, 14.3348878 51.7597935, 14.3349789 51.7598025, 14.3353942 51.7598571, 14.3354807 51.7598882)",,,
1030383655,Neustädter Straße,residential,30,True,False,55.857,,"LINESTRING (14.3354807 51.7598882, 14.3355536 51.7593879)",,,
"[668087048, 129996521, 668087047]",Mühlenstraße,residential,30,False,True,221.34799999999998,,"LINESTRING (14.3354807 51.7598882, 14.3353942 51.7598571, 14.3349789 51.7598025, 14.3348878 51.7597935, 14.3346944 51.7597743, 14.3343593 51.7597456, 14.3343217 51.7597424, 14.3342709 51.759738, 14.3337453 51.7597071, 14.3336363 51.7597033, 14.3335019 51.7597006, 14.3334666 51.7597004, 14.3334018 51.7597007, 14.3327204 51.7596864, 14.3322981 51.7596842)",,,
932529313,Mühlenstraße,residential,30,False,False,82.035,,"LINESTRING (14.3354807 51.7598882, 14.3355749 51.759926, 14.336327 51.760091, 14.3365925 51.7601493)",5,,
129996516,Gertraudtenstraße,residential,30,False,True,25.335,,"LINESTRING (14.3365925 51.7601493, 14.33666 51.7600075, 14.3367157 51.7599353)",,,
932529313,Mühlenstraße,residential,30,False,True,82.035,,"LINESTRING (14.3365925 51.7601493, 14.336327 51.760091, 14.3355749 51.759926, 14.3354807 51.7598882)",5,,
932529316,Mühlenstraße,residential,30,False,False,86.452,,"LINESTRING (14.3365925 51.7601493, 14.3367252 51.7601761, 14.337163 51.7602645, 14.3376725 51.7603679, 14.3377056 51.7603854, 14.3377275 51.7604057, 14.3377379 51.7604276)",,,
"[129996515, 932529317, 130662974]",Gertraudtenstraße,residential,"['50', '30']",False,False,79.553,,"LINESTRING (14.3365925 51.7601493, 14.3365793 51.760259, 14.3365252 51.7606047, 14.3365106 51.7606981, 14.3364964 51.7608244, 14.3364938 51.7608492, 14.3364925 51.760862)",,,
129996520,Marktstraße,residential,30,True,False,14.744,,"LINESTRING (14.3314169 51.7603621, 14.3316304 51.760373)",,,
127012919,Mauerstraße,residential,30,False,False,17.587,,"LINESTRING (14.3314169 51.7603621, 14.3314384 51.7602579, 14.3315238 51.7602631)",,,
129996513,Gerichtsplatz,residential,30,False,False,62.983,,"LINESTRING (14.3377379 51.7604276, 14.3377182 51.7605187, 14.3376298 51.7609268, 14.3376163 51.760989)",,,
"[813147577, 932529315, 804262246]",Gerichtsplatz,residential,30,False,False,33.608999999999995,,"LINESTRING (14.3377379 51.7604276, 14.3379739 51.76047, 14.3381767 51.7605064, 14.3382069 51.7605118)",,,
932529316,Mühlenstraße,residential,30,False,True,86.452,,"LINESTRING (14.3377379 51.7604276, 14.3377275 51.7604057, 14.3377056 51.7603854, 14.3376725 51.7603679, 14.337163 51.7602645, 14.3367252 51.7601761, 14.3365925 51.7601493)",,,
129894067,Gerichtsplatz,residential,30,False,True,13.548,,"LINESTRING (14.3382069 51.7605118, 14.3383867 51.7604622)",,,
"[813147577, 932529315, 804262246]",Gerichtsplatz,residential,30,False,True,33.608999999999995,,"LINESTRING (14.3382069 51.7605118, 14.3381767 51.7605064, 14.3379739 51.76047, 14.3377379 51.7604276)",,,
"[96664110, 807314767]",Sandower Straße,residential,30,False,False,56.635000000000005,,"LINESTRING (14.3364925 51.760862, 14.3365483 51.7608681, 14.3367884 51.7608971, 14.3370324 51.7609395, 14.3370685 51.7609467, 14.3371078 51.7609586, 14.3371421 51.7609704, 14.3371825 51.7609873, 14.3372157 51.7610035, 14.3372583 51.7610262)",,,
"[129996515, 932529317, 130662974]",Gertraudtenstraße,residential,"['50', '30']",False,True,79.553,,"LINESTRING (14.3364925 51.760862, 14.3364938 51.7608492, 14.3364964 51.7608244, 14.3365106 51.7606981, 14.3365252 51.7606047, 14.3365793 51.760259, 14.3365925 51.7601493)",,,
804262251,Gerichtsstraße,residential,30,False,False,62.3,,"LINESTRING (14.3380032 51.7609824, 14.338901 51.761054)",,,
932529314,Gerichtsplatz,residential,30,False,True,26.638,,"LINESTRING (14.3380032 51.7609824, 14.3376163 51.760989)",,,
"[932529309, 804262254]",Gerichtsplatz,residential,30,True,False,54.312000000000005,,"LINESTRING (14.3380032 51.7609824, 14.3380766 51.7607457, 14.3381899 51.7605438, 14.3382069 51.7605118)",2,,
129996530,Mauerstraße,residential,30,True,False,68.656,,"LINESTRING (14.3314727 51.7609769, 14.3314638 51.7609159, 14.331408 51.7606607, 14.3314169 51.7603621)",,,
130398097,Berliner Straße,residential,20,False,True,60.385000000000005,,"LINESTRING (14.3314727 51.7609769, 14.3318517 51.7609432, 14.3323422 51.7609044)",,,
932529314,Gerichtsplatz,residential,30,False,False,26.638,,"LINESTRING (14.3376163 51.760989, 14.3380032 51.7609824)",,,
129996513,Gerichtsplatz,residential,30,False,True,62.983,,"LINESTRING (14.3376163 51.760989, 14.3376298 51.7609268, 14.3377182 51.7605187, 14.3377379 51.7604276)",,,
"[129996514, 807314765]",Gerichtsplatz,residential,"['50', '30']",False,True,25.061999999999998,,"LINESTRING (14.3376163 51.760989, 14.3374114 51.7610013, 14.3372873 51.7610215, 14.3372583 51.7610262)",,,
"[129996514, 807314765]",Gerichtsplatz,residential,"['50', '30']",False,False,25.061999999999998,,"LINESTRING (14.3372583 51.7610262, 14.3372873 51.7610215, 14.3374114 51.7610013, 14.3376163 51.760989)",,,
"[96664110, 807314767]",Sandower Straße,residential,30,False,True,56.635,,"LINESTRING (14.3372583 51.7610262, 14.3372157 51.7610035, 14.3371825 51.7609873, 14.3371421 51.7609704, 14.3371078 51.7609586, 14.3370685 51.7609467, 14.3370324 51.7609395, 14.3367884 51.7608971, 14.3365483 51.7608681, 14.3364925 51.760862)",,,
129825895,Neustädter Straße,residential,30,False,False,3.17,,"LINESTRING (14.3355702 51.7592591, 14.3355712 51.7592306)",,,
129825895,Neustädter Straße,residential,30,False,True,14.366999999999999,,"LINESTRING (14.3355702 51.7592591, 14.3355568 51.7593633, 14.3355536 51.7593879)",,,
129996869,Burgstraße,residential,20,True,False,111.988,,"LINESTRING (14.3355702 51.7592591, 14.3357919 51.7592824, 14.3358728 51.7593355, 14.3362674 51.7596163, 14.3367157 51.7599353)",,,
129996516,Gertraudtenstraße,residential,30,False,True,42.046,,"LINESTRING (14.3367157 51.7599353, 14.3371465 51.7596672)",,,
129996516,Gertraudtenstraße,residential,30,False,False,25.335,,"LINESTRING (14.3367157 51.7599353, 14.33666 51.7600075, 14.3365925 51.7601493)",,,
129825895,Neustädter Straße,residential,30,False,True,20.718,,"LINESTRING (14.3354835 51.7590587, 14.335542 51.7591086, 14.3355684 51.7591577, 14.3355712 51.7592306)",,,
129996891,Am Neustädter Tor,residential,30,True,False,45.093,,"LINESTRING (14.3354835 51.7590587, 14.335891 51.7588471, 14.3359891 51.7588009)",,,
130095969,Marienstraße,residential,30,True,False,72.886,,"LINESTRING (14.3284805 51.7535192, 14.3285549 51.7535236, 14.3295371 51.7535616)",,,
130095968,Marienstraße,residential,30,False,False,84.716,,"LINESTRING (14.3295371 51.7535616, 14.3307648 51.7536149)",8.3,,
130095987,Wilhelmstraße,residential,30,False,True,84.367,,"LINESTRING (14.3295371 51.7535616, 14.3294729 51.7542587, 14.3294673 51.7543191)",,,
130095987,Wilhelmstraße,residential,30,False,False,84.367,,"LINESTRING (14.3294673 51.7543191, 14.3294729 51.7542587, 14.3295371 51.7535616)",,,
"[1026412060, 808073365, 862955879]",Adolph-Kolping-Straße,residential,30,False,False,112.79499999999999,2,"LINESTRING (14.3294673 51.7543191, 14.3297346 51.754356, 14.3297629 51.7543599, 14.3306799 51.7544897, 14.3308578 51.7545149, 14.3310654 51.7545434)",,,
"[815825758, 984717724, 117589453, 13788974]",Bürgerstraße,residential,10,False,False,147.686,2,"LINESTRING (14.3311841 51.7546474, 14.3314031 51.7546213, 14.3317196 51.7545795, 14.3320363 51.7545376, 14.3323931 51.7544904, 14.3327908 51.7544379, 14.3328753 51.7544267, 14.3331033 51.7544039, 14.3332183 51.7544039, 14.3332888 51.7544101)",,,no
127012921,Taubenstraße,residential,10,False,True,59.94200000000001,2,"LINESTRING (14.3311841 51.7546474, 14.3313117 51.7547974, 14.3314479 51.7549478, 14.3315623 51.7550651, 14.3316274 51.7551097)",,,
179220656,Taubenstraße,residential,30,False,False,14.437,,"LINESTRING (14.3311841 51.7546474, 14.3311265 51.7545756, 14.3310654 51.7545434)",,,
"[808048849, 1027040722, 1241354396, 130242022]",Tiegelgasse,"['living_street', 'residential']",30,False,True,111.251,,"LINESTRING (14.3310266 51.7549211, 14.3310118 51.7551146, 14.3309696 51.7552836, 14.3309303 51.7553217, 14.3309022 51.7553671, 14.3308942 51.7554423, 14.3308797 51.7555912, 14.3308602 51.7558393, 14.3308569 51.7559083)",,,
"[808048849, 1027040722, 1241354396, 130242022]",Tiegelgasse,"['residential', 'living_street']",30,False,False,111.251,,"LINESTRING (14.3308569 51.7559083, 14.3308602 51.7558393, 14.3308797 51.7555912, 14.3308942 51.7554423, 14.3309022 51.7553671, 14.3309303 51.7553217, 14.3309696 51.7552836, 14.3310118 51.7551146, 14.3310266 51.7549211)",,,
"[808048848, 808048850]",Rudolf-Breitscheid-Straße,residential,30,False,False,75.60400000000001,,"LINESTRING (14.3308569 51.7559083, 14.3311695 51.7559281, 14.3317019 51.7559618, 14.331748 51.7559647, 14.3319442 51.7559961)",,,
"[808048848, 808048850]",Rudolf-Breitscheid-Straße,residential,30,False,True,75.604,,"LINESTRING (14.3319442 51.7559961, 14.331748 51.7559647, 14.3317019 51.7559618, 14.3311695 51.7559281, 14.3308569 51.7559083)",,,
"[48891784, 862955883, 808048853]",Rudolf-Breitscheid-Straße,residential,"['50', '30']",False,False,72.092,2,"LINESTRING (14.3319442 51.7559961, 14.3320943 51.7560173, 14.3321227 51.7560209, 14.3325282 51.7560521, 14.3325622 51.7560547, 14.3326223 51.7560593, 14.3328036 51.7560732, 14.3328337 51.7560755, 14.3329622 51.7560852, 14.3329806 51.7560866)",,,
"[127012922, 808052391]",Taubenstraße,residential,30,False,False,77.569,,"LINESTRING (14.3319442 51.7559961, 14.3319893 51.7559419, 14.3320437 51.7557976, 14.3320487 51.7556923, 14.3319872 51.755509, 14.3318884 51.7553229)",,,
"[862955886, 862955885, 130242014]",Roßstraße,residential,30,False,False,90.36200000000001,,"LINESTRING (14.3319442 51.7559961, 14.3318677 51.7560489, 14.3316978 51.7561791, 14.3315416 51.7562948, 14.3315227 51.7563088, 14.3314756 51.7563436, 14.3312865 51.7564837, 14.3312428 51.7565279, 14.3312202 51.7565839, 14.3312134 51.7566516)",,,
"[48891784, 862955883, 808048853]",Rudolf-Breitscheid-Straße,residential,"['50', '30']",False,True,72.092,2,"LINESTRING (14.3329806 51.7560866, 14.3329622 51.7560852, 14.3328337 51.7560755, 14.3328036 51.7560732, 14.3326223 51.7560593, 14.3325622 51.7560547, 14.3325282 51.7560521, 14.3321227 51.7560209, 14.3320943 51.7560173, 14.3319442 51.7559961)",,,
"[48893555, 130242021]",Straße der Jugend,secondary,50,False,False,79.188,"['4', '2']","LINESTRING (14.3329806 51.7560866, 14.3329916 51.7561136, 14.3330084 51.7561545, 14.333087 51.7563466, 14.3332054 51.7565548, 14.3332601 51.7566737, 14.3332869 51.7567719)",,,
"[130242020, 131245574, 117725295]",Straße der Jugend,secondary,50,False,True,178.16899999999998,2,"LINESTRING (14.3329806 51.7560866, 14.3329905 51.7560128, 14.3329934 51.7558156, 14.3329886 51.7556794, 14.3329844 51.7555595, 14.3330013 51.7553353, 14.3330144 51.7552945, 14.3332474 51.754568, 14.3332678 51.754501)",,,
"[882326632, 882326637, 130242013]",Roßstraße,residential,30,False,True,44.089,,"LINESTRING (14.3312134 51.7566516, 14.3311972 51.7568189, 14.3311949 51.7568425, 14.331191 51.7568831, 14.3311751 51.7570474)",,,
"[862955885, 130242014, 862955886]",Roßstraße,residential,30,False,True,90.362,,"LINESTRING (14.3312134 51.7566516, 14.3312202 51.7565839, 14.3312428 51.7565279, 14.3312865 51.7564837, 14.3314756 51.7563436, 14.3315227 51.7563088, 14.3315416 51.7562948, 14.3316978 51.7561791, 14.3318677 51.7560489, 14.3319442 51.7559961)",,,
"[882326632, 882326637, 130242013]",Roßstraße,residential,30,False,False,44.089,,"LINESTRING (14.3311751 51.7570474, 14.331191 51.7568831, 14.3311949 51.7568425, 14.3311972 51.7568189, 14.3312134 51.7566516)",,,
179220655,Straße der Jugend,secondary,50,False,False,14.353,,"LINESTRING (14.3333352 51.7572372, 14.333392 51.7573614)",,,
"[130268209, 130268207]",Straße der Jugend,secondary,50,False,True,51.971,4,"LINESTRING (14.3333352 51.7572372, 14.3333146 51.757174, 14.3333039 51.7571413, 14.3332869 51.7567719)",,,
"[224621083, 149550174, 864280679]",Brandenburger Platz,secondary,50,True,False,167.038,2,"LINESTRING (14.3333352 51.7572372, 14.3334498 51.7572365, 14.3336103 51.7572356, 14.3337726 51.7572397, 14.3341521 51.7572495, 14.3344317 51.7572568, 14.3346249 51.7572618, 14.3350519 51.7572925, 14.3354654 51.7573421, 14.3357393 51.7573913)",,L 49,
"[836484273, 258668690, 836484271]",Lobedanstraße,residential,30,False,True,208.368,,"LINESTRING (14.338515 51.752423, 14.338429 51.7526599, 14.3383127 51.7529489, 14.3382943 51.7530551, 14.3383028 51.7531232, 14.3383169 51.7532367, 14.3383373 51.7533532, 14.3383506 51.7534265, 14.3383759 51.7535641, 14.3384746 51.7541292, 14.3384962 51.7541946, 14.338522 51.7542727)",,,
190365606,Parzellenstraße,residential,,False,False,26.830999999999996,,"LINESTRING (14.3349929 51.7528073, 14.3350431 51.7528311, 14.3352495 51.7529348, 14.3352969 51.7529583)",,,
