osmid,ref,highway,junction,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes,width
29121825,,residential,,False,True,125.899,"LINESTRING (6.8995649 50.8303529, 6.8996146 50.8304175, 6.8996508 50.8304925, 6.8997317 50.8307902, 6.899827 50.8310785, 6.8998372 50.8311037, 6.8999783 50.8314519)",Josefstraße,30,,,
24659229,L 184,secondary,,False,True,3.265,"LINESTRING (6.9085062 50.8310232, 6.9084656 50.8310375)",Comesstraße,50,,2,
"[115885585, 24659229]",L 184,secondary,,False,False,162.994,"LINESTRING (6.9085062 50.8310232, 6.9087736 50.8309262, 6.9090226 50.8308484, 6.9094493 50.8307506, 6.9096743 50.8306906, 6.9101272 50.8305772, 6.9103807 50.8305137, 6.9106374 50.8304487)",Comesstraße,50,,2,
"[1223767313, 1223767314, 28938502]",,residential,,False,False,307.44599999999997,"LINESTRING (6.9085062 50.8310232, 6.9086358 50.8311342, 6.9086646 50.8311696, 6.9087141 50.8312306, 6.9087519 50.8313297, 6.9087729 50.8316135, 6.9088102 50.8319166, 6.9088874 50.8319841, 6.9090115 50.8320028, 6.9093058 50.8319824, 6.9097417 50.8319758, 6.9101321 50.8319728, 6.9102009 50.8319717, 6.9104159 50.8319682, 6.9105018 50.831914, 6.9105796 50.8318327, 6.9107004 50.8315768, 6.9107501 50.8314168, 6.9107781 50.831243)",Wilhelmstraße,30,,,
"[1232207313, 1156024339]",,residential,,False,False,94.563,"LINESTRING (6.9069287 50.8333978, 6.907349 50.8333845, 6.9077303 50.8333728, 6.9077603 50.8333719, 6.9079611 50.8333796, 6.9082715 50.8334036)",Schildgesstraße,"['50', '30']",,2,
1156024339,,residential,,False,True,35.459,"LINESTRING (6.9069287 50.8333978, 6.9066335 50.8334772, 6.9064642 50.8335228)",Schildgesstraße,50,,2,
45966168,L 194,secondary,,False,False,28.776000000000003,"LINESTRING (6.9064642 50.8335228, 6.9064079 50.8334321, 6.9063145 50.8332819)",Kölnstraße,,,2,
1156024339,,residential,,False,False,35.459,"LINESTRING (6.9064642 50.8335228, 6.9066335 50.8334772, 6.9069287 50.8333978)",Schildgesstraße,50,,2,
35149641,,residential,,False,True,55.498000000000005,"LINESTRING (6.9069203 50.8289869, 6.9068245 50.8289726, 6.9067655 50.828964, 6.9063816 50.8288955, 6.9062314 50.8287836)",Bahnhofstraße,10,,,3
"[28840760, 82246266, 28841213]",,living_street,,False,True,140.906,"LINESTRING (6.9037833 50.8295337, 6.9037886 50.8295615, 6.9038082 50.8296526, 6.9039796 50.8303028, 6.9032084 50.8303341)","['Kempishofstraße', 'Pastoratstraße']",,,1,
24622769,,residential,,True,False,70.601,"LINESTRING (6.9022057 50.8303792, 6.9032084 50.8303341)",Kempishofstraße,30,,,
28840734,,residential,,True,False,53.574,"LINESTRING (6.9022057 50.8303792, 6.9021645 50.8298981)",Mühlenstraße,30,,,
"[28840760, 82246266, 28841213]",,living_street,,False,False,140.906,"LINESTRING (6.9032084 50.8303341, 6.9039796 50.8303028, 6.9038082 50.8296526, 6.9037886 50.8295615, 6.9037833 50.8295337)","['Kempishofstraße', 'Pastoratstraße']",,,1,
28841195,,residential,,True,False,72.318,"LINESTRING (6.9032084 50.8303341, 6.9030744 50.8306363, 6.9030742 50.8307942, 6.9030927 50.8308881, 6.9030948 50.8309721)",Wallstraße,30,,,
28938454,,residential,,False,False,80.809,"LINESTRING (6.9094347 50.8327771, 6.9094286 50.8328547, 6.9094275 50.8328688, 6.9093848 50.8330643, 6.9092811 50.8332803, 6.9091121 50.8334633)",Will-Küpper-Straße,30,,,
"[943537416, 23612160, 24658267, 24658277]",,residential,,False,"[False, True]",271.111,"LINESTRING (6.9062314 50.8287836, 6.9061152 50.8288087, 6.9059882 50.8288316, 6.9058561 50.8288751, 6.9055719 50.8289686, 6.9057066 50.8292731, 6.9057092 50.8292773, 6.9057477 50.8293592, 6.9058183 50.8295041, 6.9058781 50.8296454, 6.9059503 50.8297826, 6.905991 50.82986, 6.9060292 50.8299313, 6.9060428 50.8299568, 6.906008 50.8299655, 6.9059795 50.8299725, 6.9054794 50.830085, 6.9054192 50.8301092, 6.9056369 50.8306159)","['Bahnhofstraße', 'Burgstraße', 'Kölnstraße']","['30', '10']",,,
24658280,,residential,,False,True,191.59099999999998,"LINESTRING (6.9062314 50.8287836, 6.906355 50.8287457, 6.9064104 50.8287225, 6.9064377 50.8286977, 6.906458 50.8286659, 6.9064785 50.8286105, 6.9064968 50.8285613, 6.9065483 50.8284333, 6.9066232 50.828259, 6.9066651 50.8281647, 6.9066864 50.8280987, 6.906686 50.8280419, 6.9066706 50.8280114, 6.9066619 50.8279979, 6.9066443 50.8279832, 6.9066234 50.8279716, 6.9065844 50.8279582, 6.9065176 50.8279431, 6.9064482 50.8279343, 6.9063747 50.8279254, 6.9061815 50.8279141, 6.9059964 50.8279084, 6.9058268 50.8279114, 6.9056743 50.8279169, 6.9053658 50.8279446)",Schloßstraße,10,,,
35149641,,residential,,False,False,55.498000000000005,"LINESTRING (6.9062314 50.8287836, 6.9063816 50.8288955, 6.9067655 50.828964, 6.9068245 50.8289726, 6.9069203 50.8289869)",Bahnhofstraße,10,,,3
"[1223767313, 1223767314, 28938502]",,residential,,False,True,307.446,"LINESTRING (6.9107781 50.831243, 6.9107501 50.8314168, 6.9107004 50.8315768, 6.9105796 50.8318327, 6.9105018 50.831914, 6.9104159 50.8319682, 6.9102009 50.8319717, 6.9101321 50.8319728, 6.9097417 50.8319758, 6.9093058 50.8319824, 6.9090115 50.8320028, 6.9088874 50.8319841, 6.9088102 50.8319166, 6.9087729 50.8316135, 6.9087519 50.8313297, 6.9087141 50.8312306, 6.9086646 50.8311696, 6.9086358 50.8311342, 6.9085062 50.8310232)",Wilhelmstraße,30,,,
24641237,,residential,,False,False,24.366,"LINESTRING (6.9082715 50.8334036, 6.9083952 50.8334172, 6.9086071 50.8334577)",Schildgesstraße,30,,2,
"[1232207313, 1156024339]",,residential,,False,True,94.563,"LINESTRING (6.9082715 50.8334036, 6.9079611 50.8333796, 6.9077603 50.8333719, 6.9077303 50.8333728, 6.907349 50.8333845, 6.9069287 50.8333978)",Schildgesstraße,"['50', '30']",,2,
24641273,,residential,,True,False,241.431,"LINESTRING (6.9077116 50.8312894, 6.9078065 50.8319064, 6.9078665 50.8320593, 6.908109 50.8324387, 6.9082921 50.8327696, 6.9082802 50.833171, 6.9082715 50.8334036)",Poststraße,30,,,
24659229,L 184,secondary,,False,False,59.974999999999994,"LINESTRING (6.9077116 50.8312894, 6.9079358 50.8312277, 6.9084656 50.8310375)",Comesstraße,50,,2,
24659229,L 184,secondary,,False,True,112.38600000000001,"LINESTRING (6.9077116 50.8312894, 6.907285 50.8313977, 6.9067993 50.8314949, 6.906308 50.8315963, 6.9061983 50.8316161)",Comesstraße,50,,2,
24622356,,residential,,True,False,183.081,"LINESTRING (6.9030948 50.8309721, 6.9041416 50.8308234, 6.9051969 50.8306645, 6.9055143 50.8306165, 6.9056369 50.8306159)",Schützenstraße,10,,,
24622466,,residential,,False,False,100.417,"LINESTRING (6.9030948 50.8309721, 6.9030929 50.8310575, 6.9031132 50.8312473, 6.9031664 50.8315032, 6.9031873 50.8315966, 6.9031985 50.8316711, 6.9031826 50.8317714, 6.903177 50.8318707)",An der Synagoge,30,,,
24622544,,residential,,True,False,58.154999999999994,"LINESTRING (6.9030948 50.8309721, 6.9029426 50.8309793, 6.902657 50.8309464, 6.9023774 50.8309111, 6.9022838 50.8308889)",Schützenstraße,10,,,
24622441,,residential,,True,False,186.57,"LINESTRING (6.9056369 50.8306159, 6.9058591 50.8306177, 6.9074448 50.8305266, 6.9082816 50.8304677)",Gartenstraße,30,,,
24658267,,residential,,False,False,105.20100000000001,"LINESTRING (6.9056369 50.8306159, 6.9058283 50.8310034, 6.9059503 50.8313166, 6.9059854 50.8315331)",Kölnstraße,10,,,
"[23612160, 943537416, 24658267, 24658277]",,residential,,False,"[False, True]",271.11100000000005,"LINESTRING (6.9056369 50.8306159, 6.9054192 50.8301092, 6.9054794 50.830085, 6.9059795 50.8299725, 6.906008 50.8299655, 6.9060428 50.8299568, 6.9060292 50.8299313, 6.905991 50.82986, 6.9059503 50.8297826, 6.9058781 50.8296454, 6.9058183 50.8295041, 6.9057477 50.8293592, 6.9057092 50.8292773, 6.9057066 50.8292731, 6.9055719 50.8289686, 6.9058561 50.8288751, 6.9059882 50.8288316, 6.9061152 50.8288087, 6.9062314 50.8287836)","['Burgstraße', 'Bahnhofstraße', 'Kölnstraße']","['30', '10']",,,
28841195,,residential,,True,False,101.361,"LINESTRING (6.9030298 50.8294296, 6.903087 50.829683, 6.9032084 50.8303341)",Wallstraße,30,,,
43119322,,residential,,False,True,128.591,"LINESTRING (6.9030298 50.8294296, 6.9030217 50.8293413, 6.9029062 50.8282758)",Wallstraße,30,,,
24658426,,residential,,False,True,87.107,"LINESTRING (6.8993585 50.8295835, 6.8993989 50.8297606, 6.8994851 50.8301113, 6.8994905 50.8302045, 6.899527 50.8302996, 6.8995649 50.8303529)",Josefstraße,10,,,
"[29121855, 71190815]",,residential,,False,"[False, True]",88.33500000000001,"LINESTRING (6.9021869 50.8325017, 6.9019873 50.8325368, 6.9021018 50.8331964)",Hermann-Löns-Straße,,,,
43119322,,residential,,False,False,128.591,"LINESTRING (6.9029062 50.8282758, 6.9030217 50.8293413, 6.9030298 50.8294296)",Wallstraße,30,,,
10714206,,living_street,,False,False,79.09,"LINESTRING (6.9082816 50.8304677, 6.9082732 50.8302466, 6.9082607 50.8301489, 6.9082461 50.8299663, 6.9082435 50.8298359, 6.9082744 50.8297595)",Mayersweg,,,,
943521977,,residential,,False,True,65.286,"LINESTRING (6.9082816 50.8304677, 6.9083414 50.8308391, 6.9083934 50.8309414, 6.9084656 50.8310375)",Mayersweg,30,,,
10714206,,living_street,,False,True,79.09,"LINESTRING (6.9082744 50.8297595, 6.9082435 50.8298359, 6.9082461 50.8299663, 6.9082607 50.8301489, 6.9082732 50.8302466, 6.9082816 50.8304677)",Mayersweg,,,,
28840734,,residential,,True,False,56.941,"LINESTRING (6.9022838 50.8308889, 6.9022057 50.8303792)",Mühlenstraße,30,,,
"[115885585, 24659229]",L 184,secondary,,False,True,162.994,"LINESTRING (6.9106374 50.8304487, 6.9103807 50.8305137, 6.9101272 50.8305772, 6.9096743 50.8306906, 6.9094493 50.8307506, 6.9090226 50.8308484, 6.9087736 50.8309262, 6.9085062 50.8310232)",Comesstraße,50,,2,
45966168,L 194,secondary,,False,False,174.939,"LINESTRING (6.9063145 50.8332819, 6.906086 50.8329265, 6.9060431 50.8326578, 6.9060458 50.8324555, 6.9060482 50.8322772, 6.9060498 50.8321551, 6.9060403 50.831832, 6.9060364 50.8317383)",Kölnstraße,,,2,
45966168,L 194,secondary,,False,True,28.776000000000003,"LINESTRING (6.9063145 50.8332819, 6.9064079 50.8334321, 6.9064642 50.8335228)",Kölnstraße,,,2,
80278005,,secondary_link,,True,False,46.983999999999995,"LINESTRING (6.9063145 50.8332819, 6.9064803 50.8333609, 6.9065818 50.8333884, 6.9066136 50.833397, 6.9067667 50.8334061, 6.9069287 50.8333978)",,,,,
24622466,,residential,,False,True,100.41699999999999,"LINESTRING (6.903177 50.8318707, 6.9031826 50.8317714, 6.9031985 50.8316711, 6.9031873 50.8315966, 6.9031664 50.8315032, 6.9031132 50.8312473, 6.9030929 50.8310575, 6.9030948 50.8309721)",An der Synagoge,30,,,
73356200,L 184,secondary,roundabout,True,False,13.785,"LINESTRING (6.903177 50.8318707, 6.9032226 50.8319014, 6.9032415 50.8319393, 6.9032319 50.831981)",,,,,
30701576,L 184,secondary,,False,False,177.003,"LINESTRING (6.9034085 50.8319885, 6.904372 50.8318673, 6.9045275 50.8318458, 6.90573 50.8316733, 6.905872 50.831653)",Heinrich-Esser-Straße,30,,2,
30701576,L 184,secondary,,False,True,12.433,"LINESTRING (6.9034085 50.8319885, 6.9033011 50.8319829, 6.9032319 50.831981)",Heinrich-Esser-Straße,30,,2,
